iso3,year,value
ARG,2015,33.0009
ARG,2016,24.7503
ARG,2017,28.75
ARG,2018,59.252
ARG,2019,55
ARG,2020,38
ARG,2021,38
ARG,2022,75
ARG,2023,100
ARG,2024,32
ARG,2025,29
AUS,2015,2
AUS,2016,1.5
AUS,2017,1.5
AUS,2018,1.5
AUS,2019,0.75
AUS,2020,0.1
AUS,2021,0.1
AUS,2022,3.1
AUS,2023,4.35
AUS,2024,4.35
AUS,2025,3.6
BRA,2015,14.25
BRA,2016,13.75
BRA,2017,7
BRA,2018,6.5
BRA,2019,4.5
BRA,2020,2
BRA,2021,9.25
BRA,2022,13.75
BRA,2023,11.75
BRA,2024,12.25
BRA,2025,15
CAN,2015,0.5
CAN,2016,0.5
CAN,2017,1
CAN,2018,1.75
CAN,2019,1.75
CAN,2020,0.25
CAN,2021,0.25
CAN,2022,4.25
CAN,2023,5
CAN,2024,3.25
CAN,2025,2.25
CHE,2015,-0.75
CHE,2016,-0.75
CHE,2017,-0.75
CHE,2018,-0.75
CHE,2019,-0.75
CHE,2020,-0.75
CHE,2021,-0.75
CHE,2022,1
CHE,2023,1.75
CHE,2024,0.5
CHE,2025,0
CHL,2015,3.5
CHL,2016,3.5
CHL,2017,2.5
CHL,2018,2.75
CHL,2019,1.75
CHL,2020,0.5
CHL,2021,4
CHL,2022,11.25
CHL,2023,8.25
CHL,2024,5
CHL,2025,4.5
CHN,2015,4.35
CHN,2016,4.35
CHN,2017,4.35
CHN,2018,4.35
CHN,2019,4.15
CHN,2020,3.85
CHN,2021,3.8
CHN,2022,3.65
CHN,2023,3.45
CHN,2024,3.1
CHN,2025,3
COL,2015,5.75
COL,2016,7.5
COL,2017,4.75
COL,2018,4.25
COL,2019,4.25
COL,2020,1.75
COL,2021,3
COL,2022,12
COL,2023,13
COL,2024,9.5
COL,2025,9.25
CZE,2015,0.05
CZE,2016,0.05
CZE,2017,0.5
CZE,2018,1.75
CZE,2019,2
CZE,2020,0.25
CZE,2021,3.75
CZE,2022,7
CZE,2023,6.75
CZE,2024,4
CZE,2025,3.5
DNK,2015,-0.75
DNK,2016,-0.65
