month,value
1992-01-01,90711
1992-02-01,90669
1992-03-01,90298
1992-04-01,90246
1992-05-01,91115
1992-06-01,91432
1992-07-01,91211
1992-08-01,90969
1992-09-01,91336
1992-10-01,91428
1992-11-01,92354
1992-12-01,92503
1993-01-01,91754
1993-02-01,91558
1993-03-01,90740
1993-04-01,91238
1993-05-01,91238
1993-06-01,91384
1993-07-01,91981
1993-08-01,92896
1993-09-01,92547
1993-10-01,93283
1993-11-01,93514
1993-12-01,95287
1994-01-01,94834
1994-02-01,95297
1994-03-01,95941
1994-04-01,97119
1994-05-01,97536
1994-06-01,99398
1994-07-01,100529
1994-08-01,101859
1994-09-01,103044
1994-10-01,105357
1994-11-01,106453
1994-12-01,106779
1995-01-01,108852
1995-02-01,109113
1995-03-01,109890
1995-04-01,110205
1995-05-01,111992
1995-06-01,112838
1995-07-01,112895
1995-08-01,113113
1995-09-01,114487
1995-10-01,117012
1995-11-01,118071
1995-12-01,118006
1996-01-01,118599
1996-02-01,119945
1996-03-01,119400
1996-04-01,118888
1996-05-01,119588
1996-06-01,119555
1996-07-01,121394
1996-08-01,121896
1996-09-01,120396
1996-10-01,122289
1996-11-01,122803
1996-12-01,120276
1997-01-01,121306
1997-02-01,122462
1997-03-01,122969
1997-04-01,123531
1997-05-01,123401
1997-06-01,123428
1997-07-01,125910
1997-08-01,127276
1997-09-01,130379
1997-10-01,130726
1997-11-01,131542
1997-12-01,132076
1998-01-01,132598
1998-02-01,133576
1998-03-01,132196
1998-04-01,130937
1998-05-01,131689
1998-06-01,131858
1998-07-01,131538
1998-08-01,132502
1998-09-01,134092
1998-10-01,132598
1998-11-01,132444
1998-12-01,134417
1999-01-01,134122
1999-02-01,134358
1999-03-01,135795
1999-04-01,136407
1999-05-01,136722
1999-06-01,135485
1999-07-01,136928
1999-08-01,138433
1999-09-01,141283
1999-10-01,141872
1999-11-01,144097
1999-12-01,149679
2000-01-01,152015
2000-02-01,151112
2000-03-01,152262
2000-04-01,152954
2000-05-01,153948
2000-06-01,159054
2000-07-01,159517
2000-08-01,160940
2000-09-01,162695
2000-10-01,162575
2000-11-01,161673
2000-12-01,159844
2001-01-01,158448
2001-02-01,157085
2001-03-01,153903
2001-04-01,150683
2001-05-01,149473
2001-06-01,147631
2001-07-01,145697
2001-08-01,144607
2001-09-01,141682
2001-10-01,138643
2001-11-01,138568
