industry,asset,year,value
110C,AE10,2023,0.0
110C,AE10,2024,0.0
110C,AE20,2023,0.0
110C,AE20,2024,0.0
110C,AE30,2023,0.0
110C,AE30,2024,0.0
110C,AE40,2023,0.0
110C,AE40,2024,0.0
110C,AE50,2023,0.0
110C,AE50,2024,0.0
110C,EI11,2023,0.0
110C,EI11,2024,0.0
110C,EI12,2023,260.0
110C,EI12,2024,265.0
110C,EI21,2023,0.0
110C,EI21,2024,0.0
110C,EI22,2023,9.0
110C,EI22,2024,9.0
110C,EI30,2023,10.0
110C,EI30,2024,9.0
110C,EI40,2023,0.0
110C,EI40,2024,0.0
110C,EI50,2023,70.0
110C,EI50,2024,66.0
110C,EI60,2023,23.0
110C,EI60,2024,22.0
110C,ENS1,2023,93.0
110C,ENS1,2024,105.0
110C,ENS2,2023,9.0
110C,ENS2,2024,10.0
110C,ENS3,2023,0.0
110C,ENS3,2024,0.0
110C,EO11,2023,0.0
110C,EO11,2024,0.0
110C,EO12,2023,9.0
110C,EO12,2024,8.0
110C,EO21,2023,7843.0
110C,EO21,2024,7929.0
110C,EO22,2023,3.0
110C,EO22,2024,3.0
110C,EO30,2023,23169.0
110C,EO30,2024,23182.0
110C,EO40,2023,26.0
110C,EO40,2024,25.0
110C,EO50,2023,0.0
110C,EO50,2024,0.0
110C,EO60,2023,23.0
110C,EO60,2024,22.0
110C,EO71,2023,0.0
110C,EO71,2024,0.0
110C,EO72,2023,1.0
110C,EO72,2024,1.0
110C,EO80,2023,1778.0
110C,EO80,2024,1728.0
110C,EP12,2023,0.0
110C,EP12,2024,0.0
110C,EP1A,2023,0.0
110C,EP1A,2024,0.0
110C,EP1B,2023,1.0
110C,EP1B,2024,1.0
110C,EP1C,2023,0.0
110C,EP1C,2024,0.0
110C,EP1D,2023,0.0
110C,EP1D,2024,0.0
110C,EP1E,2023,0.0
110C,EP1E,2024,0.0
110C,EP1F,2023,0.0
110C,EP1F,2024,0.0
110C,EP1G,2023,0.0
110C,EP1G,2024,0.0
110C,EP1H,2023,1.0
110C,EP1H,2024,2.0
110C,EP20,2023,7.0
110C,EP20,2024,7.0
110C,EP31,2023,0.0
110C,EP31,2024,0.0
110C,EP34,2023,3.0
110C,EP34,2024,3.0
110C,EP35,2023,0.0
110C,EP35,2024,0.0
110C,EP36,2023,8806.0
110C,EP36,2024,9229.0
110C,EQ00,2023,48050.0
110C,EQ00,2024,48814.0
110C,ET11,2023,4926.0
110C,ET11,2024,5220.0
110C,ET12,2023,666.0
110C,ET12,2024,665.0
110C,ET20,2023,415.0
110C,ET20,2024,417.0
110C,ET30,2023,0.0
110C,ET30,2024,0.0
110C,ET40,2023,0.0
110C,ET40,2024,0.0
