industry,asset,year,value
110C,AE10,2015,0.0
110C,AE10,2016,0.0
110C,AE10,2017,0.0
110C,AE10,2018,0.0
110C,AE10,2019,0.0
110C,AE10,2020,0.0
110C,AE10,2021,0.0
110C,AE10,2022,0.0
110C,AE10,2023,0.0
110C,AE10,2024,0.0
110C,AE20,2015,0.0
110C,AE20,2016,0.0
110C,AE20,2017,0.0
110C,AE20,2018,0.0
110C,AE20,2019,0.0
110C,AE20,2020,0.0
110C,AE20,2021,0.0
110C,AE20,2022,0.0
110C,AE20,2023,0.0
110C,AE20,2024,0.0
110C,AE30,2015,0.0
110C,AE30,2016,0.0
110C,AE30,2017,0.0
110C,AE30,2018,0.0
110C,AE30,2019,0.0
110C,AE30,2020,0.0
110C,AE30,2021,0.0
110C,AE30,2022,0.0
110C,AE30,2023,0.0
110C,AE30,2024,0.0
110C,AE40,2015,0.0
110C,AE40,2016,0.0
110C,AE40,2017,0.0
110C,AE40,2018,0.0
110C,AE40,2019,0.0
110C,AE40,2020,0.0
110C,AE40,2021,0.0
110C,AE40,2022,0.0
110C,AE40,2023,0.0
110C,AE40,2024,0.0
110C,AE50,2015,0.0
110C,AE50,2016,0.0
110C,AE50,2017,0.0
110C,AE50,2018,0.0
110C,AE50,2019,0.0
110C,AE50,2020,0.0
110C,AE50,2021,0.0
110C,AE50,2022,0.0
110C,AE50,2023,0.0
110C,AE50,2024,0.0
110C,EI11,2015,0.0
110C,EI11,2016,0.0
110C,EI11,2017,0.0
110C,EI11,2018,0.0
110C,EI11,2019,0.0
110C,EI11,2020,0.0
110C,EI11,2021,0.0
110C,EI11,2022,0.0
110C,EI11,2023,0.0
110C,EI11,2024,0.0
110C,EI12,2015,168.0
110C,EI12,2016,124.0
110C,EI12,2017,135.0
110C,EI12,2018,127.0
110C,EI12,2019,132.0
110C,EI12,2020,141.0
110C,EI12,2021,185.0
110C,EI12,2022,209.0
110C,EI12,2023,216.0
110C,EI12,2024,228.0
110C,EI21,2015,0.0
110C,EI21,2016,0.0
110C,EI21,2017,0.0
110C,EI21,2018,0.0
110C,EI21,2019,0.0
110C,EI21,2020,0.0
110C,EI21,2021,0.0
110C,EI21,2022,0.0
110C,EI21,2023,0.0
110C,EI21,2024,0.0
110C,EI22,2015,9.0
110C,EI22,2016,5.0
110C,EI22,2017,2.0
110C,EI22,2018,3.0
110C,EI22,2019,3.0
110C,EI22,2020,2.0
110C,EI22,2021,3.0
110C,EI22,2022,4.0
110C,EI22,2023,4.0
110C,EI22,2024,4.0
110C,EI30,2015,0.0
110C,EI30,2016,0.0
110C,EI30,2017,0.0
110C,EI30,2018,0.0
110C,EI30,2019,0.0
110C,EI30,2020,0.0
110C,EI30,2021,0.0
110C,EI30,2022,0.0
110C,EI30,2023,0.0
110C,EI30,2024,0.0
110C,EI40,2015,0.0
110C,EI40,2016,0.0
110C,EI40,2017,0.0
110C,EI40,2018,0.0
110C,EI40,2019,0.0
110C,EI40,2020,0.0
110C,EI40,2021,0.0
110C,EI40,2022,0.0
110C,EI40,2023,0.0
110C,EI40,2024,0.0
110C,EI50,2015,16.0
110C,EI50,2016,11.0
110C,EI50,2017,9.0
110C,EI50,2018,9.0
110C,EI50,2019,9.0
110C,EI50,2020,10.0
110C,EI50,2021,14.0
110C,EI50,2022,15.0
110C,EI50,2023,17.0
110C,EI50,2024,17.0
110C,EI60,2015,9.0
110C,EI60,2016,6.0
110C,EI60,2017,5.0
110C,EI60,2018,5.0
110C,EI60,2019,5.0
110C,EI60,2020,5.0
110C,EI60,2021,7.0
110C,EI60,2022,10.0
110C,EI60,2023,11.0
110C,EI60,2024,11.0
110C,ENS1,2015,44.0
110C,ENS1,2016,43.0
110C,ENS1,2017,57.0
110C,ENS1,2018,55.0
110C,ENS1,2019,58.0
110C,ENS1,2020,74.0
110C,ENS1,2021,92.0
110C,ENS1,2022,97.0
110C,ENS1,2023,106.0
110C,ENS1,2024,118.0
110C,ENS2,2015,6.0
110C,ENS2,2016,6.0
110C,ENS2,2017,7.0
110C,ENS2,2018,7.0
110C,ENS2,2019,7.0
110C,ENS2,2020,9.0
110C,ENS2,2021,10.0
110C,ENS2,2022,11.0
110C,ENS2,2023,11.0
110C,ENS2,2024,12.0
110C,ENS3,2015,0.0
110C,ENS3,2016,0.0
110C,ENS3,2017,0.0
110C,ENS3,2018,0.0
110C,ENS3,2019,0.0
110C,ENS3,2020,0.0
110C,ENS3,2021,0.0
110C,ENS3,2022,0.0
110C,ENS3,2023,0.0
110C,ENS3,2024,0.0
110C,EO11,2015,0.0
110C,EO11,2016,0.0
110C,EO11,2017,0.0
110C,EO11,2018,0.0
110C,EO11,2019,0.0
110C,EO11,2020,0.0
110C,EO11,2021,0.0
110C,EO11,2022,0.0
110C,EO11,2023,0.0
110C,EO11,2024,0.0
110C,EO12,2015,2.0
110C,EO12,2016,1.0
110C,EO12,2017,1.0
110C,EO12,2018,1.0
110C,EO12,2019,1.0
110C,EO12,2020,1.0
110C,EO12,2021,1.0
110C,EO12,2022,1.0
110C,EO12,2023,1.0
110C,EO12,2024,1.0
110C,EO21,2015,7631.0
110C,EO21,2016,4634.0
110C,EO21,2017,4108.0
110C,EO21,2018,4452.0
110C,EO21,2019,6434.0
110C,EO21,2020,5375.0
110C,EO21,2021,7287.0
110C,EO21,2022,9094.0
110C,EO21,2023,8460.0
110C,EO21,2024,8275.0
110C,EO22,2015,2.0
110C,EO22,2016,1.0
110C,EO22,2017,0.0
110C,EO22,2018,1.0
110C,EO22,2019,1.0
110C,EO22,2020,1.0
110C,EO22,2021,2.0
110C,EO22,2022,2.0
110C,EO22,2023,2.0
110C,EO22,2024,2.0
110C,EO30,2015,18611.0
110C,EO30,2016,14015.0
110C,EO30,2017,15275.0
110C,EO30,2018,16202.0
110C,EO30,2019,17758.0
110C,EO30,2020,19597.0
110C,EO30,2021,23713.0
110C,EO30,2022,25634.0
110C,EO30,2023,21420.0
110C,EO30,2024,22659.0
110C,EO40,2015,16.0
110C,EO40,2016,13.0
110C,EO40,2017,13.0
110C,EO40,2018,8.0
110C,EO40,2019,9.0
110C,EO40,2020,9.0
110C,EO40,2021,13.0
110C,EO40,2022,15.0
110C,EO40,2023,19.0
110C,EO40,2024,19.0
110C,EO50,2015,0.0
110C,EO50,2016,0.0
110C,EO50,2017,0.0
110C,EO50,2018,0.0
110C,EO50,2019,0.0
110C,EO50,2020,0.0
110C,EO50,2021,0.0
110C,EO50,2022,0.0
110C,EO50,2023,0.0
110C,EO50,2024,0.0
110C,EO60,2015,19.0
110C,EO60,2016,13.0
110C,EO60,2017,9.0
110C,EO60,2018,8.0
110C,EO60,2019,8.0
110C,EO60,2020,10.0
110C,EO60,2021,12.0
110C,EO60,2022,13.0
110C,EO60,2023,14.0
110C,EO60,2024,15.0
110C,EO71,2015,0.0
110C,EO71,2016,0.0
110C,EO71,2017,0.0
110C,EO71,2018,0.0
110C,EO71,2019,0.0
110C,EO71,2020,0.0
110C,EO71,2021,0.0
110C,EO71,2022,0.0
110C,EO71,2023,0.0
110C,EO71,2024,0.0
110C,EO72,2015,0.0
110C,EO72,2016,0.0
110C,EO72,2017,0.0
110C,EO72,2018,0.0
110C,EO72,2019,0.0
110C,EO72,2020,0.0
110C,EO72,2021,0.0
110C,EO72,2022,0.0
110C,EO72,2023,0.0
110C,EO72,2024,0.0
110C,EO80,2015,1365.0
110C,EO80,2016,957.0
110C,EO80,2017,843.0
110C,EO80,2018,715.0
110C,EO80,2019,724.0
110C,EO80,2020,897.0
110C,EO80,2021,1141.0
110C,EO80,2022,1138.0
110C,EO80,2023,1169.0
110C,EO80,2024,1247.0
110C,EP12,2015,0.0
110C,EP12,2016,0.0
110C,EP12,2017,0.0
110C,EP12,2018,0.0
110C,EP12,2019,0.0
110C,EP12,2020,0.0
110C,EP12,2021,0.0
110C,EP12,2022,0.0
110C,EP12,2023,0.0
110C,EP12,2024,0.0
110C,EP1A,2015,0.0
110C,EP1A,2016,0.0
110C,EP1A,2017,0.0
110C,EP1A,2018,0.0
110C,EP1A,2019,0.0
110C,EP1A,2020,0.0
110C,EP1A,2021,0.0
110C,EP1A,2022,0.0
110C,EP1A,2023,0.0
110C,EP1A,2024,0.0
110C,EP1B,2015,2.0
110C,EP1B,2016,1.0
110C,EP1B,2017,1.0
110C,EP1B,2018,1.0
110C,EP1B,2019,1.0
110C,EP1B,2020,1.0
110C,EP1B,2021,2.0
110C,EP1B,2022,1.0
110C,EP1B,2023,1.0
110C,EP1B,2024,2.0
110C,EP1C,2015,0.0
110C,EP1C,2016,0.0
110C,EP1C,2017,0.0
110C,EP1C,2018,0.0
110C,EP1C,2019,0.0
110C,EP1C,2020,0.0
110C,EP1C,2021,0.0
110C,EP1C,2022,0.0
110C,EP1C,2023,0.0
110C,EP1C,2024,0.0
110C,EP1D,2015,0.0
110C,EP1D,2016,0.0
110C,EP1D,2017,0.0
110C,EP1D,2018,0.0
110C,EP1D,2019,0.0
110C,EP1D,2020,0.0
110C,EP1D,2021,0.0
110C,EP1D,2022,0.0
110C,EP1D,2023,0.0
110C,EP1D,2024,0.0
110C,EP1E,2015,0.0
110C,EP1E,2016,0.0
110C,EP1E,2017,0.0
110C,EP1E,2018,0.0
110C,EP1E,2019,0.0
110C,EP1E,2020,0.0
110C,EP1E,2021,0.0
110C,EP1E,2022,0.0
110C,EP1E,2023,0.0
110C,EP1E,2024,0.0
110C,EP1F,2015,0.0
110C,EP1F,2016,0.0
110C,EP1F,2017,0.0
110C,EP1F,2018,0.0
110C,EP1F,2019,0.0
110C,EP1F,2020,0.0
110C,EP1F,2021,0.0
110C,EP1F,2022,0.0
110C,EP1F,2023,0.0
110C,EP1F,2024,0.0
110C,EP1G,2015,0.0
110C,EP1G,2016,0.0
110C,EP1G,2017,0.0
110C,EP1G,2018,0.0
110C,EP1G,2019,0.0
110C,EP1G,2020,0.0
110C,EP1G,2021,0.0
110C,EP1G,2022,0.0
110C,EP1G,2023,0.0
110C,EP1G,2024,0.0
110C,EP1H,2015,1.0
110C,EP1H,2016,1.0
110C,EP1H,2017,1.0
110C,EP1H,2018,1.0
110C,EP1H,2019,1.0
110C,EP1H,2020,1.0
110C,EP1H,2021,1.0
110C,EP1H,2022,1.0
110C,EP1H,2023,2.0
110C,EP1H,2024,2.0
110C,EP20,2015,9.0
110C,EP20,2016,7.0
110C,EP20,2017,7.0
110C,EP20,2018,6.0
110C,EP20,2019,6.0
110C,EP20,2020,7.0
110C,EP20,2021,8.0
110C,EP20,2022,8.0
110C,EP20,2023,8.0
110C,EP20,2024,8.0
110C,EP31,2015,0.0
110C,EP31,2016,0.0
110C,EP31,2017,0.0
110C,EP31,2018,0.0
110C,EP31,2019,0.0
110C,EP31,2020,0.0
110C,EP31,2021,0.0
110C,EP31,2022,0.0
110C,EP31,2023,0.0
110C,EP31,2024,0.0
110C,EP34,2015,3.0
110C,EP34,2016,2.0
110C,EP34,2017,2.0
110C,EP34,2018,2.0
110C,EP34,2019,2.0
110C,EP34,2020,3.0
110C,EP34,2021,3.0
110C,EP34,2022,4.0
110C,EP34,2023,4.0
110C,EP34,2024,4.0
110C,EP35,2015,0.0
110C,EP35,2016,0.0
110C,EP35,2017,0.0
110C,EP35,2018,0.0
110C,EP35,2019,0.0
110C,EP35,2020,0.0
110C,EP35,2021,0.0
110C,EP35,2022,0.0
110C,EP35,2023,0.0
110C,EP35,2024,0.0
110C,EP36,2015,7440.0
110C,EP36,2016,6818.0
110C,EP36,2017,7511.0
110C,EP36,2018,7229.0
110C,EP36,2019,7276.0
110C,EP36,2020,7555.0
110C,EP36,2021,8916.0
110C,EP36,2022,9670.0
110C,EP36,2023,10088.0
110C,EP36,2024,10105.0
110C,EQ00,2015,41148.0
110C,EQ00,2016,31912.0
110C,EQ00,2017,33931.0
110C,EQ00,2018,34368.0
110C,EQ00,2019,38184.0
110C,EQ00,2020,38369.0
110C,EQ00,2021,45720.0
110C,EQ00,2022,50531.0
110C,EQ00,2023,48566.0
110C,EQ00,2024,50717.0
110C,ET11,2015,4401.0
110C,ET11,2016,4412.0
110C,ET11,2017,5117.0
110C,ET11,2018,4922.0
110C,ET11,2019,5150.0
110C,ET11,2020,4265.0
110C,ET11,2021,3711.0
110C,ET11,2022,3926.0
110C,ET11,2023,6108.0
110C,ET11,2024,7025.0
110C,ET12,2015,744.0
110C,ET12,2016,435.0
110C,ET12,2017,421.0
110C,ET12,2018,422.0
110C,ET12,2019,447.0
110C,ET12,2020,413.0
110C,ET12,2021,503.0
110C,ET12,2022,628.0
110C,ET12,2023,657.0
110C,ET12,2024,575.0
110C,ET20,2015,699.0
110C,ET20,2016,456.0
110C,ET20,2017,469.0
110C,ET20,2018,256.0
110C,ET20,2019,217.0
110C,ET20,2020,74.0
110C,ET20,2021,197.0
110C,ET20,2022,157.0
110C,ET20,2023,364.0
110C,ET20,2024,519.0
110C,ET30,2015,0.0
110C,ET30,2016,0.0
110C,ET30,2017,0.0
110C,ET30,2018,0.0
110C,ET30,2019,0.0
110C,ET30,2020,0.0
110C,ET30,2021,0.0
110C,ET30,2022,0.0
110C,ET30,2023,0.0
110C,ET30,2024,0.0
110C,ET40,2015,0.0
110C,ET40,2016,0.0
110C,ET40,2017,0.0
110C,ET40,2018,0.0
110C,ET40,2019,0.0
110C,ET40,2020,0.0
110C,ET40,2021,0.0
110C,ET40,2022,0.0
110C,ET40,2023,0.0
110C,ET40,2024,0.0
110C,ET50,2015,0.0
110C,ET50,2016,0.0
110C,ET50,2017,0.0
110C,ET50,2018,0.0
110C,ET50,2019,0.0
110C,ET50,2020,0.0
110C,ET50,2021,0.0
110C,ET50,2022,0.0
110C,ET50,2023,0.0
110C,ET50,2024,0.0
110C,IP00,2015,50.0
110C,IP00,2016,49.0
110C,IP00,2017,64.0
110C,IP00,2018,62.0
110C,IP00,2019,65.0
110C,IP00,2020,83.0
110C,IP00,2021,102.0
110C,IP00,2022,107.0
110C,IP00,2023,118.0
110C,IP00,2024,130.0
110C,RD11,2015,0.0
110C,RD11,2016,0.0
110C,RD11,2017,0.0
110C,RD11,2018,0.0
110C,RD11,2019,0.0
110C,RD11,2020,0.0
110C,RD11,2021,0.0
110C,RD11,2022,0.0
110C,RD11,2023,0.0
110C,RD11,2024,0.0
110C,RD12,2015,0.0
110C,RD12,2016,0.0
110C,RD12,2017,0.0
110C,RD12,2018,0.0
110C,RD12,2019,0.0
110C,RD12,2020,0.0
110C,RD12,2021,0.0
110C,RD12,2022,0.0
110C,RD12,2023,0.0
110C,RD12,2024,0.0
110C,RD21,2015,0.0
110C,RD21,2016,0.0
110C,RD21,2017,0.0
110C,RD21,2018,0.0
110C,RD21,2019,0.0
110C,RD21,2020,0.0
110C,RD21,2021,0.0
110C,RD21,2022,0.0
110C,RD21,2023,0.0
110C,RD21,2024,0.0
110C,RD22,2015,0.0
110C,RD22,2016,0.0
110C,RD22,2017,0.0
110C,RD22,2018,0.0
110C,RD22,2019,0.0
110C,RD22,2020,0.0
110C,RD22,2021,0.0
110C,RD22,2022,0.0
110C,RD22,2023,0.0
110C,RD22,2024,0.0
110C,RD23,2015,0.0
110C,RD23,2016,0.0
110C,RD23,2017,0.0
110C,RD23,2018,0.0
110C,RD23,2019,0.0
110C,RD23,2020,0.0
110C,RD23,2021,0.0
110C,RD23,2022,0.0
110C,RD23,2023,0.0
