industry,asset,year,value
110C,AE10,2023,0.0
110C,AE10,2024,0.0
110C,AE20,2023,0.0
110C,AE20,2024,0.0
110C,AE30,2023,0.0
110C,AE30,2024,0.0
110C,AE40,2023,0.0
110C,AE40,2024,0.0
110C,AE50,2023,0.0
110C,AE50,2024,0.0
110C,EI11,2023,0.0
110C,EI11,2024,0.0
110C,EI12,2023,2679.0
110C,EI12,2024,2794.0
110C,EI21,2023,0.0
110C,EI21,2024,0.0
110C,EI22,2023,39.0
110C,EI22,2024,35.0
110C,EI30,2023,70.0
110C,EI30,2024,62.0
110C,EI40,2023,0.0
110C,EI40,2024,0.0
110C,EI50,2023,599.0
110C,EI50,2024,563.0
110C,EI60,2023,437.0
110C,EI60,2024,432.0
110C,ENS1,2023,129.0
110C,ENS1,2024,148.0
110C,ENS2,2023,24.0
110C,ENS2,2024,27.0
110C,ENS3,2023,0.0
110C,ENS3,2024,0.0
110C,EO11,2023,0.0
110C,EO11,2024,0.0
110C,EO12,2023,65.0
110C,EO12,2024,59.0
110C,EO21,2023,50282.0
110C,EO21,2024,50929.0
110C,EO22,2023,16.0
110C,EO22,2024,16.0
110C,EO30,2023,184867.0
110C,EO30,2024,185050.0
110C,EO40,2023,154.0
110C,EO40,2024,147.0
110C,EO50,2023,0.0
110C,EO50,2024,0.0
110C,EO60,2023,140.0
110C,EO60,2024,134.0
110C,EO71,2023,0.0
110C,EO71,2024,0.0
110C,EO72,2023,3.0
110C,EO72,2024,3.0
110C,EO80,2023,10947.0
110C,EO80,2024,10683.0
110C,EP12,2023,0.0
110C,EP12,2024,0.0
110C,EP1A,2023,0.0
110C,EP1A,2024,0.0
110C,EP1B,2023,3.0
110C,EP1B,2024,3.0
110C,EP1C,2023,0.0
110C,EP1C,2024,0.0
110C,EP1D,2023,0.0
110C,EP1D,2024,0.0
110C,EP1E,2023,0.0
110C,EP1E,2024,0.0
110C,EP1F,2023,0.0
110C,EP1F,2024,0.0
110C,EP1G,2023,0.0
110C,EP1G,2024,0.0
110C,EP1H,2023,4.0
110C,EP1H,2024,4.0
110C,EP20,2023,62.0
110C,EP20,2024,63.0
110C,EP31,2023,2.0
110C,EP31,2024,1.0
110C,EP34,2023,23.0
110C,EP34,2024,24.0
110C,EP35,2023,0.0
110C,EP35,2024,0.0
110C,EP36,2023,62230.0
110C,EP36,2024,64855.0
110C,EQ00,2023,341341.0
110C,EQ00,2024,346207.0
110C,ET11,2023,23742.0
110C,ET11,2024,25424.0
110C,ET12,2023,3037.0
110C,ET12,2024,2906.0
110C,ET20,2023,1939.0
110C,ET20,2024,2019.0
110C,ET30,2023,0.0
110C,ET30,2024,0.0
110C,ET40,2023,0.0
