iso3,year,tenure,share
BOL,2011,other,0.2020
BOL,2011,owner,0.6250
BOL,2011,tenant,0.1740
BOL,2012,other,0.1860
BOL,2012,owner,0.6200
BOL,2012,tenant,0.1940
BOL,2013,other,0.1720
BOL,2013,owner,0.6400
BOL,2013,tenant,0.1880
BOL,2014,other,0.1680
BOL,2014,owner,0.6570
BOL,2014,tenant,0.1750
BOL,2015,other,0.1710
BOL,2015,owner,0.6730
BOL,2015,tenant,0.1560
BOL,2016,other,0.2040
BOL,2016,owner,0.6320
BOL,2016,tenant,0.1640
BOL,2017,other,0.2160
BOL,2017,owner,0.6390
BOL,2017,tenant,0.1460
BOL,2018,other,0.2090
BOL,2018,owner,0.6400
BOL,2018,tenant,0.1510
BOL,2019,other,0.2130
BOL,2019,owner,0.6340
BOL,2019,tenant,0.1530
BOL,2021,other,0.2270
BOL,2021,owner,0.6370
BOL,2021,tenant,0.1360
BOL,2022,other,0.2020
BOL,2022,owner,0.6530
BOL,2022,tenant,0.1460
BOL,2023,other,0.2120
BOL,2023,owner,0.6610
BOL,2023,tenant,0.1270
BRA,2011,other,0.0790
BRA,2011,owner,0.7480
BRA,2011,tenant,0.1730
BRA,2012,other,0.0750
BRA,2012,owner,0.7480
BRA,2012,tenant,0.1770
BRA,2013,other,0.0770
BRA,2013,owner,0.7440
BRA,2013,tenant,0.1790
BRA,2014,other,0.0780
BRA,2014,owner,0.7370
BRA,2014,tenant,0.1850
BRA,2015,other,0.0730
BRA,2015,owner,0.7480
BRA,2015,tenant,0.1790
BRA,2016,other,0.0870
BRA,2016,owner,0.7280
BRA,2016,tenant,0.1850
BRA,2017,other,0.0920
BRA,2017,owner,0.7230
BRA,2017,tenant,0.1850
BRA,2018,other,0.0960
BRA,2018,owner,0.7120
BRA,2018,tenant,0.1920
BRA,2019,other,0.0950
BRA,2019,owner,0.7120
BRA,2019,tenant,0.1930
CHL,2011,other,0.1790
CHL,2011,owner,0.6330
CHL,2011,tenant,0.1880
CHL,2013,other,0.1700
CHL,2013,owner,0.6260
CHL,2013,tenant,0.2050
CHL,2015,other,0.1650
CHL,2015,owner,0.6130
CHL,2015,tenant,0.2210
CHL,2017,other,0.1880
CHL,2017,owner,0.5640
CHL,2017,tenant,0.2480
CHL,2020,other,0.1510
CHL,2020,owner,0.5920
CHL,2020,tenant,0.2570
CHL,2022,other,0.1640
CHL,2022,owner,0.5700
CHL,2022,tenant,0.2650
COL,2010,other,0.2000
COL,2010,owner,0.4820
COL,2010,tenant,0.3190
COL,2011,other,0.1980
COL,2011,owner,0.4770
COL,2011,tenant,0.3250
COL,2012,other,0.2040
COL,2012,owner,0.4450
COL,2012,tenant,0.3510
COL,2013,other,0.2070
COL,2013,owner,0.4390
COL,2013,tenant,0.3540
COL,2014,other,0.2110
COL,2014,owner,0.4270
COL,2014,tenant,0.3630
COL,2015,other,0.2090
COL,2015,owner,0.4220
COL,2015,tenant,0.3690
COL,2016,other,0.2140
COL,2016,owner,0.4160
COL,2016,tenant,0.3700
COL,2017,other,0.2090
COL,2017,owner,0.4120
COL,2017,tenant,0.3780
COL,2018,other,0.2190
COL,2018,owner,0.3980
COL,2018,tenant,0.3830
COL,2019,other,0.2230
COL,2019,owner,0.3860
COL,2019,tenant,0.3910
COL,2020,other,0.2140
COL,2020,owner,0.3780
COL,2020,tenant,0.4080
COL,2021,other,0.2260
COL,2021,owner,0.3560
COL,2021,tenant,0.4180
COL,2022,other,0.2380
COL,2022,owner,0.3680
COL,2022,tenant,0.3940
COL,2023,other,0.2400
COL,2023,owner,0.3590
COL,2023,tenant,0.4020
COL,2024,other,0.2470
COL,2024,owner,0.3510
COL,2024,tenant,0.4020
CRI,2010,other,0.0960
CRI,2010,owner,0.7110
CRI,2010,tenant,0.1930
CRI,2011,other,0.0990
CRI,2011,owner,0.7080
CRI,2011,tenant,0.1930
CRI,2012,other,0.0980
CRI,2012,owner,0.7080
CRI,2012,tenant,0.1940
CRI,2013,other,0.0930
CRI,2013,owner,0.7170
CRI,2013,tenant,0.1900
CRI,2014,other,0.0890
CRI,2014,owner,0.7220
CRI,2014,tenant,0.1890
CRI,2015,other,0.1090
CRI,2015,owner,0.7060
CRI,2015,tenant,0.1850
CRI,2016,other,0.1010
CRI,2016,owner,0.7120
CRI,2016,tenant,0.1870
CRI,2017,other,0.0990
CRI,2017,owner,0.7280
CRI,2017,tenant,0.1730
CRI,2018,other,0.1020
CRI,2018,owner,0.7130
CRI,2018,tenant,0.1860
CRI,2019,other,0.1040
CRI,2019,owner,0.7090
