iso3,year,sex,share
AFG,2015,men,0.8050
AFG,2015,women,0.3900
AGO,2015,men,0.4510
AGO,2023,men,0.3180
AGO,2023,women,0.3330
ALB,2017,men,0.3930
ALB,2017,women,0.2320
ARM,2010,men,0.7940
ARM,2010,women,0.7150
ARM,2016,men,0.7220
ARM,2016,women,0.4850
BDI,2010,men,0.5690
BDI,2010,women,0.5860
BDI,2016,men,0.5110
BDI,2016,women,0.5630
BEN,2012,men,0.3820
BEN,2012,women,0.1990
BEN,2017,men,0.3440
BEN,2017,women,0.1530
BFA,2010,men,0.6530
BFA,2010,women,0.3110
BFA,2021,men,0.4770
BFA,2021,women,0.1660
BGD,2022,women,0.0660
CIV,2012,men,0.3330
CIV,2012,women,0.2930
CIV,2021,men,0.2350
CIV,2021,women,0.1420
CMR,2011,women,0.9660
CMR,2018,men,0.2560
CMR,2018,women,0.1360
COD,2013,men,0.4310
COD,2013,women,0.3730
COD,2023,men,0.3650
COD,2023,women,0.3350
COG,2011,women,0.1630
COL,2015,men,0.2390
COL,2015,women,0.2660
COM,2012,men,0.5170
COM,2012,women,0.6630
DOM,2013,women,0.3020
EGY,2014,women,0.0480
ETH,2011,men,0.5310
ETH,2011,women,0.5720
ETH,2016,men,0.5110
ETH,2016,women,0.4960
ETH,2024,men,0.4190
ETH,2024,women,0.4760
GAB,2012,women,0.2230
GAB,2019,men,0.1630
GAB,2019,women,0.1370
GHA,2014,men,0.2250
GHA,2014,women,0.1890
GHA,2022,men,0.2350
GHA,2022,women,0.1610
GIN,2012,men,0.3960
GIN,2012,women,0.3780
GIN,2018,men,0.4310
GIN,2018,women,0.3300
GMB,2013,men,0.3550
GMB,2013,women,0.2470
GMB,2019,men,0.3760
GMB,2019,women,0.1680
GTM,2015,men,0.3350
GTM,2015,women,0.3070
HND,2011,men,0.3790
HND,2011,women,0.3530
HTI,2012,women,0.2850
HTI,2016,men,0.2380
HTI,2016,women,0.2740
IDN,2012,men,0.6430
IDN,2012,women,0.4950
IDN,2017,women,0.5060
IND,2015,men,0.6510
IND,2015,women,0.3710
IND,2020,men,0.6010
IND,2020,women,0.4230
JOR,2012,women,0.0680
JOR,2017,men,0.2520
JOR,2017,women,0.1120
JOR,2023,men,0.2070
JOR,2023,women,0.0730
KEN,2014,men,0.4920
KEN,2014,women,0.4220
KEN,2022,men,0.4460
KEN,2022,women,0.3280
KGZ,2012,men,0.6400
KGZ,2012,women,0.5230
KHM,2014,men,0.5140
KHM,2014,women,0.6150
KHM,2021,men,0.4140
KHM,2021,women,0.4890
LBR,2013,men,0.2570
LBR,2013,women,0.3030
LBR,2019,men,0.3100
LBR,2019,women,0.2360
LSO,2014,men,0.2530
LSO,2014,women,0.3520
LSO,2023,men,0.2640
LSO,2023,women,0.2940
MDG,2021,men,0.5290
MDG,2021,women,0.4770
MDV,2016,men,0.1920
MDV,2016,women,0.1750
MLI,2012,men,0.5600
MLI,2012,women,0.4930
MLI,2018,men,0.4430
MLI,2018,women,0.3030
MLI,2023,men,0.3840
MLI,2023,women,0.1420
MMR,2016,men,0.5610
MMR,2016,women,0.5400
MOZ,2011,men,0.5900
MOZ,2011,women,0.6460
MOZ,2015,men,0.5730
MOZ,2015,women,0.7430
MOZ,2022,men,0.5180
MOZ,2022,women,0.5770
MRT,2020,men,0.3430
MRT,2020,women,0.1430
MWI,2015,men,0.5280
MWI,2015,women,0.5910
MWI,2024,men,0.4300
MWI,2024,women,0.5150
NAM,2013,men,0.2720
NAM,2013,women,0.3090
NER,2012,men,0.7090
NER,2012,women,0.3920
NGA,2013,men,0.4000
NGA,2013,women,0.1760
NGA,2018,men,0.3680
NGA,2018,women,0.1070
NGA,2024,men,0.3410
NGA,2024,women,0.1000
NPL,2011,men,0.2510
NPL,2011,women,0.0750
NPL,2016,men,0.1930
NPL,2016,women,0.0780
NPL,2022,men,0.1500
NPL,2022,women,0.0810
PAK,2012,men,0.7530
PAK,2012,women,0.1080
PAK,2017,men,0.7220
PAK,2017,women,0.0330
PHL,2013,women,0.3290
PHL,2017,women,0.3180
PHL,2022,women,0.2950
PNG,2017,men,0.5950
PNG,2017,women,0.4920
RWA,2010,men,0.4740
RWA,2010,women,0.5220
RWA,2015,men,0.4760
RWA,2015,women,0.4920
RWA,2019,men,0.4180
RWA,2019,women,0.4150
RWA,2025,men,0.3920
RWA,2025,women,0.4060
SEN,2010,men,0.2440
SEN,2010,women,0.1410
SEN,2012,women,0.1530
SEN,2014,men,0.1890
SEN,2014,women,0.1310
SEN,2015,men,0.1340
SEN,2015,women,0.1860
SEN,2016,men,0.1260
SEN,2016,women,0.1160
SEN,2017,men,0.2060
SEN,2017,women,0.0780
SEN,2018,men,0.2020
SEN,2018,women,0.0900
SEN,2019,men,0.1780
SEN,2019,women,0.0690
SEN,2023,men,0.1930
SEN,2023,women,0.0920
SLE,2013,men,0.3840
SLE,2013,women,0.3870
SLE,2019,men,0.3230
SLE,2019,women,0.3920
TCD,2014,men,0.5640
TCD,2014,women,0.3620
TGO,2013,men,0.2510
TGO,2013,women,0.1050
TJK,2012,women,0.5260
TJK,2017,women,0.3560
TJK,2023,women,0.6250
TLS,2016,men,0.9160
TLS,2016,women,0.8660
TUR,2013,women,0.1690
TZA,2015,men,0.4090
TZA,2015,women,0.3790
TZA,2022,men,0.3710
TZA,2022,women,0.3670
UGA,2011,men,0.6320
UGA,2011,women,0.4350
UGA,2016,men,0.5350
UGA,2016,women,0.3780
ZAF,2016,men,0.1940
ZAF,2016,women,0.2770
ZMB,2013,men,0.4190
ZMB,2013,women,0.4610
ZMB,2018,men,0.3770
ZMB,2018,women,0.3470
ZMB,2024,men,0.3620
ZMB,2024,women,0.3550
ZWE,2010,men,0.3360
ZWE,2010,women,0.3740
