iso3,year,tenure,share
ALB,2017,OWN,0.9650
ALB,2017,OWN_L,0.0070
ALB,2017,OWN_NL,0.9580
ALB,2017,RENT,0.0350
ALB,2017,RENT_FR,0.0150
ALB,2017,RENT_MKT,0.0200
ALB,2017,TOTAL,1.0000
ALB,2018,OWN,0.9610
ALB,2018,OWN_L,0.0060
ALB,2018,OWN_NL,0.9550
ALB,2018,RENT,0.0390
ALB,2018,RENT_FR,0.0150
ALB,2018,RENT_MKT,0.0240
ALB,2018,TOTAL,1.0000
ALB,2019,OWN,0.9650
ALB,2019,OWN_L,0.0070
ALB,2019,OWN_NL,0.9580
ALB,2019,RENT,0.0350
ALB,2019,RENT_FR,0.0080
ALB,2019,RENT_MKT,0.0270
ALB,2019,TOTAL,1.0000
ALB,2020,OWN,0.9630
ALB,2020,OWN_L,0.0090
ALB,2020,OWN_NL,0.9540
ALB,2020,RENT,0.0370
ALB,2020,RENT_FR,0.0100
ALB,2020,RENT_MKT,0.0270
ALB,2020,TOTAL,1.0000
ALB,2021,OWN,0.9590
ALB,2021,OWN_L,0.0090
ALB,2021,OWN_NL,0.9500
ALB,2021,RENT,0.0410
ALB,2021,RENT_FR,0.0090
ALB,2021,RENT_MKT,0.0320
ALB,2021,TOTAL,1.0000
ALB,2022,OWN,0.9600
ALB,2022,OWN_L,0.0090
ALB,2022,OWN_NL,0.9510
ALB,2022,RENT,0.0400
ALB,2022,RENT_FR,0.0080
ALB,2022,RENT_MKT,0.0320
ALB,2022,TOTAL,1.0000
ALB,2023,OWN,0.9550
ALB,2023,OWN_L,0.0090
ALB,2023,OWN_NL,0.9460
ALB,2023,RENT,0.0450
ALB,2023,RENT_FR,0.0080
ALB,2023,RENT_MKT,0.0360
ALB,2023,TOTAL,1.0000
AUT,2015,OWN,0.5570
AUT,2015,OWN_L,0.2570
AUT,2015,OWN_NL,0.3000
AUT,2015,RENT,0.4430
AUT,2015,RENT_FR,0.1470
AUT,2015,RENT_MKT,0.2960
AUT,2015,TOTAL,1.0000
AUT,2016,OWN,0.5500
AUT,2016,OWN_L,0.2520
AUT,2016,OWN_NL,0.2980
AUT,2016,RENT,0.4500
AUT,2016,RENT_FR,0.1530
AUT,2016,RENT_MKT,0.2970
AUT,2016,TOTAL,1.0000
AUT,2017,OWN,0.5500
AUT,2017,OWN_L,0.2430
AUT,2017,OWN_NL,0.3070
AUT,2017,RENT,0.4500
AUT,2017,RENT_FR,0.1490
AUT,2017,RENT_MKT,0.3010
AUT,2017,TOTAL,1.0000
AUT,2018,OWN,0.5540
AUT,2018,OWN_L,0.2550
AUT,2018,OWN_NL,0.2990
AUT,2018,RENT,0.4460
AUT,2018,RENT_FR,0.1490
AUT,2018,RENT_MKT,0.2970
AUT,2018,TOTAL,1.0000
AUT,2019,OWN,0.5520
AUT,2019,OWN_L,0.2490
AUT,2019,OWN_NL,0.3030
AUT,2019,RENT,0.4480
AUT,2019,RENT_FR,0.1450
AUT,2019,RENT_MKT,0.3030
AUT,2019,TOTAL,1.0000
AUT,2020,OWN,0.5530
AUT,2020,OWN_L,0.2530
AUT,2020,OWN_NL,0.3010
AUT,2020,RENT,0.4470
AUT,2020,RENT_FR,0.1400
AUT,2020,RENT_MKT,0.3060
AUT,2020,TOTAL,1.0000
AUT,2021,OWN,0.5420
AUT,2021,OWN_L,0.2360
AUT,2021,OWN_NL,0.3060
AUT,2021,RENT,0.4580
AUT,2021,RENT_FR,0.1550
AUT,2021,RENT_MKT,0.3030
AUT,2021,TOTAL,1.0000
AUT,2022,OWN,0.5140
AUT,2022,OWN_L,0.2210
AUT,2022,OWN_NL,0.2930
AUT,2022,RENT,0.4860
AUT,2022,RENT_FR,0.1700
AUT,2022,RENT_MKT,0.3160
AUT,2022,TOTAL,1.0000
AUT,2023,OWN,0.5430
AUT,2023,OWN_L,0.2350
AUT,2023,OWN_NL,0.3070
AUT,2023,RENT,0.4570
AUT,2023,RENT_FR,0.1320
AUT,2023,RENT_MKT,0.3260
AUT,2023,TOTAL,1.0000
AUT,2024,OWN,0.5450
AUT,2024,OWN_L,0.2260
AUT,2024,OWN_NL,0.3190
AUT,2024,RENT,0.4550
AUT,2024,RENT_FR,0.1480
AUT,2024,RENT_MKT,0.3070
AUT,2024,TOTAL,1.0000
AUT,2025,OWN,0.5420
AUT,2025,OWN_L,0.2210
AUT,2025,OWN_NL,0.3210
AUT,2025,RENT,0.4580
AUT,2025,RENT_FR,0.1500
AUT,2025,RENT_MKT,0.3080
AUT,2025,TOTAL,1.0000
BEL,2015,OWN,0.7140
BEL,2015,OWN_L,0.4240
BEL,2015,OWN_NL,0.2900
BEL,2015,RENT,0.2860
BEL,2015,RENT_FR,0.0890
BEL,2015,RENT_MKT,0.1970
BEL,2015,TOTAL,1.0000
BEL,2016,OWN,0.7090
BEL,2016,OWN_L,0.4140
BEL,2016,OWN_NL,0.2960
BEL,2016,RENT,0.2910
BEL,2016,RENT_FR,0.0870
BEL,2016,RENT_MKT,0.2030
BEL,2016,TOTAL,1.0000
BEL,2017,OWN,0.7240
BEL,2017,OWN_L,0.4320
BEL,2017,OWN_NL,0.2920
BEL,2017,RENT,0.2760
BEL,2017,RENT_FR,0.0880
BEL,2017,RENT_MKT,0.1890
BEL,2017,TOTAL,1.0000
BEL,2018,OWN,0.7230
BEL,2018,OWN_L,0.4340
BEL,2018,OWN_NL,0.2890
BEL,2018,RENT,0.2770
BEL,2018,RENT_FR,0.0830
BEL,2018,RENT_MKT,0.1940
BEL,2018,TOTAL,1.0000
BEL,2019,OWN,0.7140
BEL,2019,OWN_L,0.4250
BEL,2019,OWN_NL,0.2880
BEL,2019,RENT,0.2860
BEL,2019,RENT_FR,0.0830
BEL,2019,RENT_MKT,0.2030
BEL,2019,TOTAL,1.0000
BEL,2020,OWN,0.7110
BEL,2020,OWN_L,0.4330
BEL,2020,OWN_NL,0.2770
BEL,2020,RENT,0.2890
BEL,2020,RENT_FR,0.0940
BEL,2020,RENT_MKT,0.1950
BEL,2020,TOTAL,1.0000
BEL,2021,OWN,0.7130
BEL,2021,OWN_L,0.4350
BEL,2021,OWN_NL,0.2780
BEL,2021,RENT,0.2870
BEL,2021,RENT_FR,0.0890
BEL,2021,RENT_MKT,0.1990
BEL,2021,TOTAL,1.0000
BEL,2022,OWN,0.7240
BEL,2022,OWN_L,0.4530
BEL,2022,OWN_NL,0.2710
BEL,2022,RENT,0.2760
BEL,2022,RENT_FR,0.0860
BEL,2022,RENT_MKT,0.1900
BEL,2022,TOTAL,1.0000
BEL,2023,OWN,0.7190
BEL,2023,OWN_L,0.4560
BEL,2023,OWN_NL,0.2620
BEL,2023,RENT,0.2810
BEL,2023,RENT_FR,0.0870
BEL,2023,RENT_MKT,0.1950
BEL,2023,TOTAL,1.0000
BEL,2024,OWN,0.7030
BEL,2024,OWN_L,0.4370
BEL,2024,OWN_NL,0.2660
BEL,2024,RENT,0.2970
BEL,2024,RENT_FR,0.0920
BEL,2024,RENT_MKT,0.2050
BEL,2024,TOTAL,1.0000
BEL,2025,OWN,0.7090
BEL,2025,OWN_L,0.4310
BEL,2025,OWN_NL,0.2780
BEL,2025,RENT,0.2910
BEL,2025,RENT_FR,0.0830
BEL,2025,RENT_MKT,0.2080
BEL,2025,TOTAL,1.0000
BGR,2015,OWN,0.8230
BGR,2015,OWN_L,0.0280
BGR,2015,OWN_NL,0.7950
BGR,2015,RENT,0.1770
BGR,2015,RENT_FR,0.1460
BGR,2015,RENT_MKT,0.0310
BGR,2015,TOTAL,1.0000
BGR,2016,OWN,0.8230
BGR,2016,OWN_L,0.0260
BGR,2016,OWN_NL,0.7970
BGR,2016,RENT,0.1770
BGR,2016,RENT_FR,0.1480
BGR,2016,RENT_MKT,0.0290
BGR,2016,TOTAL,1.0000
BGR,2017,OWN,0.8290
BGR,2017,OWN_L,0.0290
BGR,2017,OWN_NL,0.8000
BGR,2017,RENT,0.1710
BGR,2017,RENT_FR,0.1410
BGR,2017,RENT_MKT,0.0300
BGR,2017,TOTAL,1.0000
BGR,2018,OWN,0.8360
BGR,2018,OWN_L,0.0270
BGR,2018,OWN_NL,0.8090
BGR,2018,RENT,0.1640
BGR,2018,RENT_FR,0.1350
BGR,2018,RENT_MKT,0.0290
BGR,2018,TOTAL,1.0000
BGR,2019,OWN,0.8410
BGR,2019,OWN_L,0.0230
BGR,2019,OWN_NL,0.8180
BGR,2019,RENT,0.1590
BGR,2019,RENT_FR,0.1310
BGR,2019,RENT_MKT,0.0280
BGR,2019,TOTAL,1.0000
BGR,2020,OWN,0.8430
BGR,2020,OWN_L,0.0230
BGR,2020,OWN_NL,0.8200
BGR,2020,RENT,0.1570
BGR,2020,RENT_FR,0.1320
BGR,2020,RENT_MKT,0.0240
BGR,2020,TOTAL,1.0000
BGR,2021,OWN,0.8490
BGR,2021,OWN_L,0.0240
BGR,2021,OWN_NL,0.8260
BGR,2021,RENT,0.1510
BGR,2021,RENT_FR,0.1290
BGR,2021,RENT_MKT,0.0220
BGR,2021,TOTAL,1.0000
BGR,2022,OWN,0.8500
BGR,2022,OWN_L,0.0240
BGR,2022,OWN_NL,0.8260
BGR,2022,RENT,0.1500
BGR,2022,RENT_FR,0.1260
BGR,2022,RENT_MKT,0.0240
BGR,2022,TOTAL,1.0000
BGR,2023,OWN,0.8610
BGR,2023,OWN_L,0.0180
BGR,2023,OWN_NL,0.8430
BGR,2023,RENT,0.1390
BGR,2023,RENT_FR,0.1170
BGR,2023,RENT_MKT,0.0220
BGR,2023,TOTAL,1.0000
BGR,2024,OWN,0.8600
BGR,2024,OWN_L,0.0170
BGR,2024,OWN_NL,0.8430
BGR,2024,RENT,0.1400
BGR,2024,RENT_FR,0.1160
BGR,2024,RENT_MKT,0.0240
BGR,2024,TOTAL,1.0000
BGR,2025,OWN,0.8610
BGR,2025,OWN_L,0.0170
BGR,2025,OWN_NL,0.8440
BGR,2025,RENT,0.1390
BGR,2025,RENT_FR,0.1170
BGR,2025,RENT_MKT,0.0220
BGR,2025,TOTAL,1.0000
CHE,2015,OWN,0.4340
CHE,2015,OWN_L,0.3890
CHE,2015,OWN_NL,0.0450
CHE,2015,RENT,0.5660
CHE,2015,RENT_FR,0.0750
CHE,2015,RENT_MKT,0.4920
CHE,2015,TOTAL,1.0000
CHE,2016,OWN,0.4250
CHE,2016,OWN_L,0.3850
CHE,2016,OWN_NL,0.0400
CHE,2016,RENT,0.5750
CHE,2016,RENT_FR,0.0720
CHE,2016,RENT_MKT,0.5020
CHE,2016,TOTAL,1.0000
CHE,2017,OWN,0.4130
CHE,2017,OWN_L,0.3740
CHE,2017,OWN_NL,0.0390
CHE,2017,RENT,0.5870
CHE,2017,RENT_FR,0.0780
CHE,2017,RENT_MKT,0.5090
CHE,2017,TOTAL,1.0000
CHE,2018,OWN,0.4250
CHE,2018,OWN_L,0.3830
CHE,2018,OWN_NL,0.0420
CHE,2018,RENT,0.5750
CHE,2018,RENT_FR,0.0640
CHE,2018,RENT_MKT,0.5110
CHE,2018,TOTAL,1.0000
CHE,2019,OWN,0.4160
CHE,2019,OWN_L,0.3800
