iso3,row,product,value
ARG,B2A3G,CPA_A01,-8991.486
ARG,B2A3G,CPA_A02,-132.837
ARG,B2A3G,CPA_A03,865.787
ARG,B2A3G,CPA_B,7248.738
ARG,B2A3G,CPA_C10-12,14779.891
ARG,B2A3G,CPA_C13-15,-94.807
ARG,B2A3G,CPA_C16,-234.999
ARG,B2A3G,CPA_C17,1123.327
ARG,B2A3G,CPA_C18,285.001
ARG,B2A3G,CPA_C19,1311.366
ARG,B2A3G,CPA_C20,6208.185
ARG,B2A3G,CPA_C21,1966.786
ARG,B2A3G,CPA_C22,732.213
ARG,B2A3G,CPA_C23,2199.377
ARG,B2A3G,CPA_C24,-239.973
ARG,B2A3G,CPA_C25,-65.163
ARG,B2A3G,CPA_C26,433.798
ARG,B2A3G,CPA_C27,729.186
ARG,B2A3G,CPA_C28,2162.176
ARG,B2A3G,CPA_C29,953.612
ARG,B2A3G,CPA_C30,314.075
ARG,B2A3G,CPA_C31_32,816.228
ARG,B2A3G,CPA_C33,727.841
ARG,B2A3G,CPA_D35,3228.253
ARG,B2A3G,CPA_E36,629.548
ARG,B2A3G,CPA_E37-39,2330.760
ARG,B2A3G,CPA_F,17447.676
ARG,B2A3G,CPA_G45,4417.025
ARG,B2A3G,CPA_G46,24572.206
ARG,B2A3G,CPA_G47,35088.204
ARG,B2A3G,CPA_H49,3471.891
ARG,B2A3G,CPA_H50,-434.239
ARG,B2A3G,CPA_H51,954.525
ARG,B2A3G,CPA_H52,1660.460
ARG,B2A3G,CPA_H53,196.854
ARG,B2A3G,CPA_I,6149.842
ARG,B2A3G,CPA_J58,2016.530
ARG,B2A3G,CPA_J59_60,3.444
ARG,B2A3G,CPA_J61,7256.257
ARG,B2A3G,CPA_J62_63,2136.873
ARG,B2A3G,CPA_K64,8409.810
ARG,B2A3G,CPA_K65,2742.132
ARG,B2A3G,CPA_K66,988.148
ARG,B2A3G,CPA_L,22962.277
ARG,B2A3G,CPA_M69_70,5613.507
ARG,B2A3G,CPA_M71,3896.773
ARG,B2A3G,CPA_M72,852.817
ARG,B2A3G,CPA_M73,2014.798
ARG,B2A3G,CPA_M74_75,1163.795
ARG,B2A3G,CPA_N77,2513.838
ARG,B2A3G,CPA_N78,132.082
ARG,B2A3G,CPA_N79,1180.030
ARG,B2A3G,CPA_N80-82,2454.627
ARG,B2A3G,CPA_O84,28644.329
