iso3,year,share
AFG,2011,0.0901
AFG,2014,0.0996
AFG,2017,0.1489
AFG,2021,0.0965
AGO,2011,0.3920
AGO,2014,0.2932
ALB,2011,0.2827
ALB,2014,0.3799
ALB,2017,0.4002
ALB,2021,0.4417
ALB,2024,0.4607
ARE,2011,0.5973
ARE,2014,0.8374
ARE,2017,0.8821
ARE,2021,0.8574
ARG,2011,0.3313
ARG,2014,0.5020
ARG,2017,0.4871
ARG,2021,0.7163
ARG,2024,0.8174
ARM,2011,0.1749
ARM,2014,0.1767
ARM,2017,0.4776
ARM,2021,0.5535
ARM,2024,0.7137
AUS,2011,0.9906
AUS,2014,0.9886
AUS,2017,0.9952
AUS,2021,0.9932
AUS,2024,0.9801
AUT,2011,0.9708
AUT,2014,0.9673
AUT,2017,0.9816
AUT,2021,0.9995
AUT,2024,0.9951
AZE,2011,0.1490
AZE,2014,0.2915
AZE,2017,0.2857
AZE,2022,0.4626
AZE,2024,0.5630
BDI,2011,0.0724
BDI,2014,0.0711
BEL,2011,0.9631
BEL,2014,0.9813
BEL,2017,0.9864
BEL,2021,0.9901
BEL,2024,0.9824
BEN,2011,0.1046
BEN,2014,0.1662
BEN,2017,0.3849
BEN,2021,0.4861
BEN,2024,0.5184
BFA,2011,0.1335
BFA,2014,0.1436
BFA,2017,0.4316
BFA,2021,0.3611
BFA,2024,0.5143
BGD,2011,0.3174
BGD,2014,0.3099
BGD,2017,0.5005
BGD,2021,0.5281
BGD,2024,0.4328
BGR,2011,0.5282
BGR,2014,0.6299
BGR,2017,0.7220
BGR,2021,0.8397
BGR,2024,0.8472
BHR,2011,0.6451
BHR,2014,0.8194
BHR,2017,0.8261
BHR,2024,0.8232
BIH,2011,0.5621
BIH,2014,0.5269
BIH,2017,0.5884
BIH,2021,0.7934
BIH,2024,0.7746
BLR,2011,0.5860
BLR,2014,0.7198
BLR,2017,0.8116
BLZ,2014,0.4821
BLZ,2024,0.6797
BOL,2011,0.2803
BOL,2014,0.4180
BOL,2017,0.5441
BOL,2021,0.6889
BOL,2024,0.5685
BRA,2011,0.5586
BRA,2014,0.6812
BRA,2017,0.7004
BRA,2021,0.8404
BRA,2024,0.8638
BTN,2014,0.3367
BWA,2011,0.3026
BWA,2014,0.5196
BWA,2017,0.5103
BWA,2022,0.5876
BWA,2024,0.6144
CAF,2011,0.0330
CAF,2017,0.1375
CAN,2011,0.9580
CAN,2014,0.9910
CAN,2017,0.9973
CAN,2021,0.9963
CAN,2024,0.9840
CHE,2014,0.9799
CHE,2017,0.9843
CHE,2021,0.9949
CHE,2024,0.9841
CHL,2011,0.4218
CHL,2014,0.6326
CHL,2017,0.7435
CHL,2021,0.8706
CHL,2024,0.8507
CHN,2011,0.6382
CHN,2014,0.7897
CHN,2017,0.7953
CHN,2021,0.8871
CHN,2024,0.8938
CIV,2014,0.3432
CIV,2017,0.4133
