iso3,year,share
AFG,2014,0.0449
AFG,2017,0.0381
AFG,2021,0.0205
AGO,2014,0.0566
ALB,2014,0.1349
ALB,2017,0.1252
ALB,2021,0.1339
ALB,2024,0.1085
ARE,2014,0.3941
ARE,2017,0.4613
ARE,2021,0.2246
ARG,2014,0.2673
ARG,2017,0.2437
ARG,2021,0.3080
ARG,2024,0.2927
ARM,2014,0.2111
ARM,2017,0.3121
ARM,2021,0.2616
ARM,2024,0.2318
AUS,2014,0.6499
AUS,2017,0.6374
AUS,2021,0.5729
AUT,2014,0.4212
AUT,2017,0.4732
AUT,2021,0.5652
AZE,2014,0.2460
AZE,2017,0.1512
AZE,2022,0.1922
AZE,2024,0.2222
BDI,2014,0.0161
BEL,2014,0.4534
BEL,2017,0.4833
BEL,2021,0.4797
BEN,2014,0.0774
BEN,2017,0.1136
BEN,2021,0.0820
BEN,2024,0.0865
BFA,2014,0.0590
BFA,2017,0.1000
BFA,2021,0.0665
BFA,2024,0.0597
BGD,2014,0.1000
BGD,2017,0.0921
BGD,2021,0.1422
BGD,2024,0.1272
BGR,2014,0.1876
BGR,2017,0.1876
BGR,2021,0.2635
BGR,2024,0.1396
BHR,2014,0.3866
BHR,2017,0.3632
BIH,2014,0.1763
BIH,2017,0.1473
BIH,2021,0.2130
BIH,2024,0.1169
BLR,2014,0.2084
BLR,2017,0.2146
BLZ,2014,0.1887
BLZ,2024,0.1853
BOL,2014,0.2211
BOL,2017,0.1998
BOL,2021,0.1929
BOL,2024,0.1823
BRA,2014,0.3379
BRA,2017,0.2629
BRA,2021,0.4075
BRA,2024,0.4592
BTN,2014,0.0421
BWA,2014,0.1762
BWA,2017,0.0886
BWA,2022,0.0964
BWA,2024,0.0814
CAF,2017,0.0446
CAN,2014,0.7647
CAN,2017,0.8283
CAN,2021,0.8101
CHE,2014,0.5169
CHE,2017,0.6239
CHE,2021,0.6140
CHL,2014,0.3135
CHL,2017,0.3092
CHL,2021,0.2419
CHN,2014,0.2005
CHN,2017,0.2167
CHN,2021,0.3918
CHN,2024,0.4075
CIV,2014,0.0271
CIV,2017,0.0271
CIV,2021,0.0409
CIV,2024,0.0391
CMR,2014,0.0209
CMR,2017,0.0770
CMR,2021,0.0698
CMR,2024,0.0453
COD,2014,0.0295
COD,2017,0.0394
COD,2022,0.0359
COD,2024,0.0498
COG,2014,0.0508
COG,2017,0.0520
COG,2021,0.0619
COG,2024,0.0352
COL,2014,0.2165
COL,2017,0.2125
COL,2021,0.1810
COL,2024,0.1240
COM,2022,0.0825
COM,2024,0.0965
CRI,2014,0.2042
CRI,2017,0.2122
CRI,2021,0.1746
CRI,2024,0.1423
CYP,2014,0.2934
CYP,2017,0.2487
CYP,2021,0.3124
CZE,2014,0.2847
CZE,2017,0.2952
CZE,2021,0.3133
DEU,2014,0.4578
