iso3,heading,value
ABW,1000000,120.571850
ABW,1101000,173.458080
ABW,1101100,170.962851
ABW,1103000,115.817950
ABW,1105000,114.087621
ABW,1107300,179.069885
ABW,1111000,104.068307
ABW,1501100,91.098119
ABW,1501200,189.228182
ABW,1501300,86.876316
ABW,9080000,111.399470
ABW,9120000,98.637278
ABW,9140000,102.437749
AFG,1000000,26.357240
AGO,1000000,43.686492
AGO,1101000,85.773602
AGO,1101100,86.432630
AGO,1103000,46.347472
AGO,1105000,44.045003
AGO,1107300,52.140090
AGO,1111000,41.777800
AGO,1501100,66.501942
AGO,1501200,38.693657
AGO,1501300,63.143718
AGO,9080000,30.613333
AGO,9120000,16.050257
AGO,9140000,38.528542
ALB,1000000,62.122711
ALB,1101000,97.368272
ALB,1101100,96.888157
ALB,1103000,115.427069
ALB,1105000,104.075385
ALB,1107300,101.482011
ALB,1111000,61.955310
ALB,1501100,89.245406
ALB,1501200,65.991880
ALB,1501300,72.852757
ALB,9080000,37.527393
ALB,9120000,21.854488
ALB,9140000,53.980155
AND,1000000,113.319385
ARE,1000000,101.936064
ARE,1101000,137.675971
ARE,1101100,138.424714
ARE,1103000,123.643935
ARE,1105000,133.892619
ARE,1107300,113.845130
ARE,1111000,111.096194
ARE,1501100,107.321247
ARE,1501200,67.064673
ARE,1501300,96.359011
ARE,9080000,114.904873
ARE,9120000,177.635247
ARE,9140000,113.176405
ARG,1000000,63.241448
ARG,1101000,81.720393
ARG,1101100,81.656678
ARG,1103000,144.922190
ARG,1105000,88.376617
ARG,1107300,87.119685
ARG,1111000,77.197628
ARG,1501100,119.112082
ARG,1501200,67.561602
ARG,1501300,121.160012
ARG,9080000,41.297366
ARG,9120000,39.753619
ARG,9140000,63.201434
ARM,1000000,46.627507
ARM,1101000,74.124407
ARM,1101100,73.480538
ARM,1103000,91.682612
ARM,1105000,71.956740
ARM,1107300,51.032977
ARM,1111000,53.121886
ARM,1501100,89.201444
ARM,1501200,40.879818
ARM,1501300,83.321760
ARM,9080000,27.262633
ARM,9120000,20.601824
ARM,9140000,38.981555
ATG,1000000,106.110607
ATG,1101000,159.389244
ATG,1101100,161.116912
ATG,1103000,123.701050
ATG,1105000,126.968485
ATG,1107300,160.350650
ATG,1111000,91.071692
ATG,1501100,133.742842
ATG,1501200,102.266740
ATG,1501300,106.799579
ATG,9080000,106.718134
ATG,9120000,50.844176
ATG,9140000,94.541777
AUS,1000000,168.626952
AUS,1101000,148.253013
AUS,1101100,148.504418
AUS,1103000,115.214367
AUS,1105000,128.336356
AUS,1107300,283.780803
AUS,1111000,187.469932
AUS,1501100,109.240744
AUS,1501200,264.078147
AUS,1501300,118.364472
AUS,9080000,194.026630
AUS,9120000,207.032532
AUS,9140000,157.317965
AUT,1000000,133.707364
AUT,1101000,125.610663
AUT,1101100,128.424394
AUT,1103000,135.142406
AUT,1105000,127.874759
AUT,1107300,250.789131
AUT,1111000,138.315232
AUT,1501100,94.015384
AUT,1501200,176.711811
AUT,1501300,93.621212
AUT,9080000,146.586127
AUT,9120000,194.237604
AUT,9140000,123.484802
AZE,1000000,42.609265
AZE,1101000,60.868729
AZE,1101100,60.266341
AZE,1103000,85.744234
AZE,1105000,67.540698
AZE,1107300,44.532762
AZE,1111000,48.922812
AZE,1501100,84.341527
AZE,1501200,41.588416
AZE,1501300,77.389329
AZE,9080000,21.046320
AZE,9120000,24.940849
AZE,9140000,38.522241
BDI,1000000,48.884787
BDI,1101000,83.986428
BDI,1101100,83.468027
BDI,1103000,56.574367
BDI,1105000,44.807605
BDI,1107300,69.253491
BDI,1111000,35.592270
BDI,1501100,113.779784
BDI,1501200,52.089252
BDI,1501300,102.719838
BDI,9080000,32.158648
BDI,9120000,22.732986
BDI,9140000,43.115090
BEL,1000000,132.282228
BEL,1101000,123.612873
BEL,1101100,124.759092
BEL,1103000,132.666941
BEL,1105000,123.859285
BEL,1107300,226.193282
BEL,1111000,166.479628
BEL,1501100,93.446486
BEL,1501200,147.633178
BEL,1501300,88.161620
BEL,9080000,123.887528
BEL,9120000,178.900564
BEL,9140000,119.661017
BEN,1000000,60.322855
BEN,1101000,98.524012
BEN,1101100,97.513425
BEN,1103000,55.437004
BEN,1105000,55.251791
BEN,1107300,121.682943
BEN,1111000,58.853686
BEN,1501100,147.545769
BEN,1501200,57.650199
BEN,1501300,137.096638
BEN,9080000,49.623306
BEN,9120000,29.983318
BEN,9140000,49.998226
BFA,1000000,57.070516
BFA,1101000,75.790612
BFA,1101100,73.518478
BFA,1103000,53.358017
BFA,1105000,43.511877
BFA,1107300,79.227749
BFA,1111000,52.753699
BFA,1501100,125.602317
BFA,1501200,55.191350
BFA,1501300,116.183853
BFA,9080000,51.373302
BFA,9120000,45.561961
BFA,9140000,50.940709
BGD,1000000,52.687979
BGD,1101000,85.490696
BGD,1101100,85.855296
BGD,1103000,63.290650
BGD,1105000,50.825380
BGD,1107300,62.922566
BGD,1111000,39.473717
BGD,1501100,113.381389
BGD,1501200,44.951061
BGD,1501300,100.350019
BGD,9080000,26.896056
BGD,9120000,36.766747
BGD,9140000,51.617300
BGR,1000000,65.844343
BGR,1101000,93.395367
BGR,1101100,92.441797
BGR,1103000,100.534728
BGR,1105000,79.462174
BGR,1107300,107.980683
BGR,1111000,62.680805
BGR,1501100,88.859847
BGR,1501200,80.115440
BGR,1501300,74.584574
BGR,9080000,38.358685
BGR,9120000,54.037504
BGR,9140000,58.664965
BHR,1000000,78.277261
BHR,1101000,119.662172
BHR,1101100,121.525840
BHR,1103000,82.464821
BHR,1105000,86.904948
BHR,1107300,119.752813
BHR,1111000,71.763759
BHR,1501100,103.679512
BHR,1501200,65.435890
BHR,1501300,95.781084
BHR,9080000,74.370376
BHR,9120000,98.814744
BHR,9140000,78.294502
BHS,1000000,154.900485
BIH,1000000,62.330291
BIH,1101000,92.087111
BIH,1101100,92.005770
BIH,1103000,125.500216
BIH,1105000,78.474069
BIH,1107300,162.011493
BIH,1111000,78.110216
BIH,1501100,87.007971
BIH,1501200,65.784242
BIH,1501300,67.976364
BIH,9080000,49.899223
BIH,9120000,34.437108
BIH,9140000,59.400492
BLR,1000000,42.984907
BLR,1101000,60.027530
BLR,1101100,59.006332
BLR,1103000,80.065890
BLR,1105000,65.123641
BLR,1107300,52.653549
BLR,1111000,49.296428
BLR,1501100,82.102925
BLR,1501200,38.725159
BLR,1501300,77.300378
BLR,9080000,24.978354
BLR,9120000,25.641503
BLR,9140000,39.298204
BLZ,1000000,83.918669
BLZ,1101000,110.227809
BLZ,1101100,106.081459
BLZ,1103000,91.075055
BLZ,1105000,73.357732
BLZ,1107300,95.604737
BLZ,1111000,82.095330
BLZ,1501100,85.024872
BLZ,1501200,95.337507
BLZ,1501300,78.318011
BLZ,9080000,72.005179
BLZ,9120000,51.624649
BLZ,9140000,70.919147
BMU,1000000,193.546751
BMU,1101000,207.949677
BMU,1101100,205.331138
BMU,1103000,207.783040
BMU,1105000,144.813021
BMU,1107300,174.372707
BMU,1111000,178.060369
BMU,1501100,137.662349
BMU,1501200,279.918436
BMU,9080000,251.828427
BMU,9120000,211.160657
BMU,9140000,154.738279
BOL,1000000,56.424674
BOL,1101000,68.943716
BOL,1101100,68.568982
BOL,1103000,56.398861
BOL,1105000,64.548266
BOL,1107300,63.725586
BOL,1111000,49.059301
BOL,1501100,75.941934
BOL,1501200,48.090739
BOL,1501300,73.560606
BOL,9080000,55.114086
BOL,9120000,60.166378
BOL,9140000,50.630424
BRA,1000000,69.759684
BRA,1101000,80.731254
BRA,1101100,81.249668
BRA,1103000,71.028970
BRA,1105000,69.731696
BRA,1107300,108.154449
BRA,1111000,48.792449
BRA,1501100,111.175214
BRA,1501200,54.064814
BRA,1501300,104.539758
BRA,9080000,68.628208
BRA,9120000,76.448915
BRA,9140000,61.576269
BRB,1000000,188.894281
BRN,1000000,62.799180
BRN,1101000,101.762386
BRN,1101100,102.048932
BRN,1103000,75.625046
BRN,1105000,64.025514
BRN,1107300,57.898622
BRN,1111000,66.058095
BRN,1501100,105.284188
BRN,1501200,52.313448
BRN,1501300,93.849947
BRN,9080000,50.706230
BRN,9120000,63.329525
BRN,9140000,60.462366
BTN,1000000,42.025445
BTN,1101000,76.730942
BTN,1101100,77.729238
BTN,1103000,54.115164
BTN,1105000,59.658769
BTN,1107300,56.249213
BTN,1111000,28.175480
BTN,1501100,112.386017
BTN,1501200,44.020508
BTN,1501300,103.031281
BTN,9080000,21.657649
BTN,9120000,24.321767
BTN,9140000,38.854806
BWA,1000000,68.883880
BWA,1101000,90.750829
BWA,1101100,89.945538
BWA,1103000,65.508991
BWA,1105000,70.942811
BWA,1107300,79.516238
BWA,1111000,96.391283
BWA,1501100,93.785027
BWA,1501200,69.454364
BWA,1501300,85.579583
BWA,9080000,47.599769
BWA,9120000,70.624458
BWA,9140000,53.377171
CAF,1000000,69.116398
CAF,1101000,120.186552
CAF,1101100,118.660846
CAF,1103000,67.990107
CAF,1105000,63.859306
CAF,1107300,88.561844
CAF,1111000,92.948023
CAF,1501100,96.104878
CAF,1501200,59.043322
CAF,1501300,90.550755
CAF,9080000,45.460953
CAF,9120000,21.703888
CAF,9140000,58.201722
CAN,1000000,149.123792
CAN,1101000,145.787594
CAN,1101100,152.020365
CAN,1103000,139.574776
CAN,1105000,141.303293
CAN,1107300,267.786445
CAN,1111000,150.834531
CAN,1501100,94.317241
CAN,1501200,217.014133
CAN,1501300,99.351140
CAN,9080000,150.466428
CAN,9120000,183.349707
CAN,9140000,134.818438
CHE,1000000,181.402329
CHE,1101000,193.470208
CHE,1101100,199.197717
CHE,1103000,169.977137
CHE,1105000,156.919684
CHE,1107300,284.489213
CHE,1111000,228.436301
CHE,1501100,102.369283
CHE,1501200,237.431977
CHE,1501300,107.942876
CHE,9080000,225.235009
CHE,9120000,311.479456
CHE,9140000,192.182841
CHL,1000000,88.323660
CHL,1101000,124.890883
CHL,1101100,122.409442
CHL,1103000,124.307194
CHL,1105000,100.334943
CHL,1107300,91.073851
CHL,1111000,102.052825
CHL,1501100,82.069888
CHL,1501200,135.764844
CHL,1501300,86.331063
CHL,9080000,68.896445
CHL,9120000,43.300279
CHL,9140000,81.149030
CHN,1000000,97.934468
CHN,1101000,130.054963
CHN,1101100,130.410493
CHN,1103000,165.801422
CHN,1105000,117.431079
CHN,1107300,99.853329
CHN,1111000,84.709016
CHN,1501100,128.044455
CHN,1501200,92.246723
CHN,1501300,117.484709
CHN,9080000,63.765048
CHN,9120000,138.222202
CHN,9140000,99.678319
CIV,1000000,64.375339
CIV,1101000,91.051190
CIV,1101100,90.869623
CIV,1103000,68.001616
CIV,1105000,46.859479
CIV,1107300,107.416390
CIV,1111000,74.309640
CIV,1501100,124.621645
CIV,1501200,55.232903
CIV,1501300,116.188329
CIV,9080000,50.814014
CIV,9120000,49.868778
CIV,9140000,49.088631
CMR,1000000,55.280092
CMR,1101000,88.258943
CMR,1101100,87.262857
CMR,1103000,79.302302
CMR,1105000,58.963587
CMR,1107300,75.342148
CMR,1111000,60.249927
CMR,1501100,122.211880
CMR,1501200,62.613792
CMR,1501300,113.429612
CMR,9080000,51.375185
CMR,9120000,28.279086
CMR,9140000,50.674388
COD,1000000,67.340064
COD,1101000,105.011819
COD,1101100,105.362522
COD,1103000,59.488717
COD,1105000,49.432685
COD,1107300,88.029537
COD,1111000,60.274455
COD,1501100,122.638293
COD,1501200,67.875820
COD,1501300,111.447075
COD,9080000,42.182374
COD,9120000,29.124511
COD,9140000,52.469009
COG,1000000,63.657138
COG,1101000,111.451365
COG,1101100,110.773971
COG,1103000,79.643209
COG,1105000,57.747940
COG,1107300,83.822456
COG,1111000,56.186571
COG,1501100,130.446685
COG,1501200,69.646888
COG,1501300,122.691824
COG,9080000,47.350581
COG,9120000,31.035931
COG,9140000,48.968493
COL,1000000,55.706286
COL,1101000,78.504010
COL,1101100,79.149463
COL,1103000,84.848030
COL,1105000,64.107819
COL,1107300,76.387614
COL,1111000,66.684627
COL,1501100,79.861484
COL,1501200,80.230683
COL,1501300,63.688020
COL,9080000,36.018194
COL,9120000,20.234056
COL,9140000,57.142324
COM,1000000,72.942969
COM,1101000,164.742555
COM,1101100,165.123578
COM,1103000,100.794672
COM,1105000,84.224515
COM,1107300,31.926653
COM,1111000,75.255288
COM,1501100,94.771142
COM,1501200,60.230697
COM,1501300,88.195737
COM,9080000,42.249866
COM,9120000,23.521877
COM,9140000,68.808522
CPV,1000000,81.881612
CPV,1101000,99.362811
CPV,1101100,98.861637
CPV,1103000,94.294417
CPV,1105000,83.595039
CPV,1107300,153.763837
CPV,1111000,73.326188
CPV,1501100,108.334052
CPV,1501200,74.215133
CPV,1501300,101.530309
CPV,9080000,54.254591
CPV,9120000,49.472358
CPV,9140000,63.609174
CRI,1000000,84.267836
CRI,1101000,124.482704
CRI,1101100,124.247682
CRI,1103000,100.367620
CRI,1105000,74.776584
CRI,1107300,84.825091
CRI,1111000,89.195396
CRI,1501100,104.929702
CRI,1501200,75.820786
CRI,1501300,82.699250
CRI,9080000,128.979155
CRI,9120000,67.905446
CRI,9140000,85.916425
CUW,1000000,113.854655
CUW,1101000,145.947460
CUW,1101100,145.964017
CUW,1103000,168.182406
CUW,1105000,107.824944
CUW,1107300,130.817093
CUW,1111000,121.536393
CUW,1501100,103.315959
CUW,1501200,121.540951
CUW,1501300,89.847658
CUW,9080000,91.461292
CUW,9120000,117.345359
CUW,9140000,103.085426
CYM,1000000,184.712490
CYM,1101000,215.538721
CYM,1101100,223.558097
CYM,1103000,202.924614
CYM,1105000,166.775028
CYM,1107300,192.464434
CYM,1111000,121.227353
CYM,1501100,131.809920
CYM,1501200,171.386593
CYM,1501300,130.895283
CYM,9080000,202.881930
CYM,9120000,258.089145
CYM,9140000,152.818146
CYP,1000000,107.048645
CYP,1101000,128.001006
CYP,1101100,129.720735
CYP,1103000,123.736206
CYP,1105000,106.836350
CYP,1107300,208.525620
CYP,1111000,118.580547
CYP,1501100,96.665034
CYP,1501200,105.328707
CYP,1501300,81.387957
CYP,9080000,110.106764
CYP,9120000,157.025368
CYP,9140000,98.323124
CZE,1000000,87.776095
CZE,1101000,104.786365
CZE,1101100,105.356863
CZE,1103000,121.929021
CZE,1105000,105.017540
CZE,1107300,123.803840
CZE,1111000,76.827461
CZE,1501100,92.306843
CZE,1501200,104.842367
CZE,1501300,83.013333
CZE,9080000,49.411951
CZE,9120000,82.679280
CZE,9140000,74.297275
DEU,1000000,131.556088
DEU,1101000,121.999092
DEU,1101100,124.859434
DEU,1103000,129.798059
DEU,1105000,123.142373
DEU,1107300,251.927636
DEU,1111000,149.251118
DEU,1501100,89.371956
DEU,1501200,211.801249
DEU,1501300,102.789514
DEU,9080000,117.521427
DEU,9120000,149.452601
DEU,9140000,112.824878
DJI,1000000,80.446573
DJI,1101000,127.741192
DJI,1101100,128.796591
DJI,1103000,60.087026
DJI,1105000,107.695859
DJI,1107300,115.523659
DJI,1111000,54.423445
DJI,1501100,110.765480
DJI,1501200,71.975165
DJI,1501300,103.344235
DJI,9080000,66.165322
DJI,9120000,59.718702
DJI,9140000,73.726374
DMA,1000000,83.957486
DMA,1101000,160.237201
DMA,1101100,156.338085
DMA,1103000,84.846267
DMA,1105000,114.551345
DMA,1107300,175.764482
DMA,1111000,75.115073
DMA,1501100,86.058834
DMA,1501200,83.121694
DMA,1501300,80.983969
DMA,9080000,75.331910
DMA,9120000,67.869733
DMA,9140000,85.179548
DNK,1000000,157.044972
DNK,1101000,140.443622
DNK,1101100,140.200791
DNK,1103000,174.984745
DNK,1105000,144.760869
DNK,1107300,268.888760
DNK,1111000,206.352694
DNK,1501100,107.062668
DNK,1501200,185.461179
DNK,1501300,100.306239
DNK,9080000,149.479793
DNK,9120000,181.792837
DNK,9140000,152.684005
DOM,1000000,61.255001
DOM,1101000,91.559251
DOM,1101100,92.300593
DOM,1103000,79.419282
DOM,1105000,67.989659
DOM,1107300,80.385357
DOM,1111000,79.275978
DOM,1501100,124.783983
DOM,1501200,56.072271
DOM,1501300,110.705116
DOM,9080000,48.703253
DOM,9120000,58.513297
DOM,9140000,63.130673
DZA,1000000,45.476203
DZA,1101000,71.541578
DZA,1101100,72.301806
DZA,1103000,67.107008
DZA,1105000,40.295725
DZA,1107300,34.456700
DZA,1111000,33.643207
