iso3,year,sex,age,disabled,total,source
AFG,2017,F,15-24,41.449,2831.121,HIES - Households Living Conditions Survey
AFG,2017,F,25-54,183.602,3946.038,HIES - Households Living Conditions Survey
AFG,2017,F,55-64,86.48,495.298,HIES - Households Living Conditions Survey
AFG,2017,F,GE65,84.462,299.524,HIES - Households Living Conditions Survey
AFG,2017,M,15-24,59.86,2847.044,HIES - Households Living Conditions Survey
AFG,2017,M,25-54,151.505,3783.822,HIES - Households Living Conditions Survey
AFG,2017,M,55-64,69.989,546.971,HIES - Households Living Conditions Survey
AFG,2017,M,GE65,130.42,474.729,HIES - Households Living Conditions Survey
AFG,2020,F,15-24,21.589,3132.833,LFS - Labour Force Survey
AFG,2020,F,25-54,89.134,4337.601,LFS - Labour Force Survey
AFG,2020,F,55-64,35.817,518.939,LFS - Labour Force Survey
AFG,2020,F,GE65,54.137,319.22,LFS - Labour Force Survey
AFG,2020,M,15-24,36.042,2936.518,LFS - Labour Force Survey
AFG,2020,M,25-54,108.372,4225.489,LFS - Labour Force Survey
AFG,2020,M,55-64,47.066,577.119,LFS - Labour Force Survey
AFG,2020,M,GE65,93.906,510.29,LFS - Labour Force Survey
AFG,2021,F,15-24,21.79,3004.491,LFS - Labour Force Survey
AFG,2021,F,25-54,45.552,4465.716,LFS - Labour Force Survey
AFG,2021,F,55-64,38.048,525.979,LFS - Labour Force Survey
AFG,2021,F,GE65,50.965,312.277,LFS - Labour Force Survey
AFG,2021,M,15-24,23.651,2652.716,LFS - Labour Force Survey
AFG,2021,M,25-54,87.373,4363.409,LFS - Labour Force Survey
AFG,2021,M,55-64,36.526,575.437,LFS - Labour Force Survey
AFG,2021,M,GE65,79.423,472.106,LFS - Labour Force Survey
AGO,2014,F,15-24,113.749,2398.833,PC - Recensements de Population
AGO,2014,F,25-54,167.921,3856.602,PC - Recensements de Population
AGO,2014,F,55-64,31.99,467.209,PC - Recensements de Population
AGO,2014,F,GE65,29.995,333.751,PC - Recensements de Population
AGO,2014,M,15-24,117.52,2193.868,PC - Recensements de Population
AGO,2014,M,25-54,229.649,3494.598,PC - Recensements de Population
AGO,2014,M,55-64,43.751,426.857,PC - Recensements de Population
AGO,2014,M,GE65,32.852,265.948,PC - Recensements de Population
ALB,2012,F,15-24,2.298,252.279,HIES - Living Standards Measurement Survey
ALB,2012,F,25-54,15.355,582.176,HIES - Living Standards Measurement Survey
ALB,2012,F,55-64,12.359,165.334,HIES - Living Standards Measurement Survey
ALB,2012,F,GE65,25.244,169.756,HIES - Living Standards Measurement Survey
ALB,2012,M,15-24,3.761,262.915,HIES - Living Standards Measurement Survey
ALB,2012,M,25-54,19.67,547.113,HIES - Living Standards Measurement Survey
ALB,2012,M,55-64,12.015,169.586,HIES - Living Standards Measurement Survey
ALB,2012,M,GE65,20.028,162.529,HIES - Living Standards Measurement Survey
ARG,2018,F,15-24,91.144,3023.261,HS - Encuesta nacional de gastos de los hogares
ARG,2018,F,25-54,463.597,8437.682,HS - Encuesta nacional de gastos de los hogares
ARG,2018,F,55-64,307.138,1926.965,HS - Encuesta nacional de gastos de los hogares
ARG,2018,F,GE65,863.896,2628.88,HS - Encuesta nacional de gastos de los hogares
ARG,2018,M,15-24,170.916,3295.043,HS - Encuesta nacional de gastos de los hogares
ARG,2018,M,25-54,437.343,7680.354,HS - Encuesta nacional de gastos de los hogares
ARG,2018,M,55-64,254.795,1635.036,HS - Encuesta nacional de gastos de los hogares
ARG,2018,M,GE65,529.679,1959.631,HS - Encuesta nacional de gastos de los hogares
ARM,2010,F,15-24,2.724,294.836,HIES - Households Living Conditions Survey
ARM,2010,F,25-54,29.814,706.884,HIES - Households Living Conditions Survey
ARM,2010,F,55-64,27.371,179.397,HIES - Households Living Conditions Survey
ARM,2010,F,GE65,12.1,133.184,HIES - Households Living Conditions Survey
ARM,2010,M,15-24,6.65,233.523,HIES - Households Living Conditions Survey
ARM,2010,M,25-54,35.606,566.882,HIES - Households Living Conditions Survey
ARM,2010,M,55-64,20.539,132.296,HIES - Households Living Conditions Survey
ARM,2010,M,GE65,15.918,94.833,HIES - Households Living Conditions Survey
ARM,2011,F,15-24,1.898,255.258,HIES - Households Living Conditions Survey
ARM,2011,F,25-54,26.169,689.841,HIES - Households Living Conditions Survey
ARM,2011,F,55-64,25.789,184.835,HIES - Households Living Conditions Survey
ARM,2011,F,GE65,12.497,141.866,HIES - Households Living Conditions Survey
ARM,2011,M,15-24,5.397,216.689,HIES - Households Living Conditions Survey
ARM,2011,M,25-54,32.159,529.924,HIES - Households Living Conditions Survey
ARM,2011,M,55-64,24.642,147.543,HIES - Households Living Conditions Survey
ARM,2011,M,GE65,9.957,98.178,HIES - Households Living Conditions Survey
ARM,2012,F,15-24,2.057,246.15,HIES - Households Living Conditions Survey
ARM,2012,F,25-54,23.508,683.799,HIES - Households Living Conditions Survey
ARM,2012,F,55-64,30.411,200.137,HIES - Households Living Conditions Survey
ARM,2012,F,GE65,10.552,126.924,HIES - Households Living Conditions Survey
ARM,2012,M,15-24,6.529,205.456,HIES - Households Living Conditions Survey
ARM,2012,M,25-54,31.876,523.3,HIES - Households Living Conditions Survey
ARM,2012,M,55-64,21.535,147.164,HIES - Households Living Conditions Survey
ARM,2012,M,GE65,9.284,93.79,HIES - Households Living Conditions Survey
ARM,2013,F,15-24,1.429,212.426,HIES - Households Living Conditions Survey
ARM,2013,F,25-54,21.878,652.471,HIES - Households Living Conditions Survey
ARM,2013,F,55-64,32.897,216.765,HIES - Households Living Conditions Survey
ARM,2013,F,GE65,13.201,132.683,HIES - Households Living Conditions Survey
ARM,2013,M,15-24,4.556,186.433,HIES - Households Living Conditions Survey
ARM,2013,M,25-54,32.269,506.121,HIES - Households Living Conditions Survey
ARM,2013,M,55-64,26.468,163.746,HIES - Households Living Conditions Survey
ARM,2013,M,GE65,7.952,84.74,HIES - Households Living Conditions Survey
ARM,2014,F,15-24,2.28,232.32,LFS - Household Labour Force Survey
ARM,2014,F,25-54,19.396,674.787,LFS - Household Labour Force Survey
ARM,2014,F,55-64,27.813,206.382,LFS - Household Labour Force Survey
ARM,2014,F,GE65,13.887,109.951,LFS - Household Labour Force Survey
ARM,2014,M,15-24,3.209,210.259,LFS - Household Labour Force Survey
ARM,2014,M,25-54,28.304,514.632,LFS - Household Labour Force Survey
ARM,2014,M,55-64,22.699,157.486,LFS - Household Labour Force Survey
ARM,2014,M,GE65,11.728,74.338,LFS - Household Labour Force Survey
ARM,2015,F,15-24,1.386,205.905,LFS - Household Labour Force Survey
ARM,2015,F,25-54,18.419,636.656,LFS - Household Labour Force Survey
ARM,2015,F,55-64,29.022,208.549,LFS - Household Labour Force Survey
ARM,2015,F,GE65,16.319,115.377,LFS - Household Labour Force Survey
ARM,2015,M,15-24,2.905,198.672,LFS - Household Labour Force Survey
ARM,2015,M,25-54,29.931,497.854,LFS - Household Labour Force Survey
ARM,2015,M,55-64,24.619,164.238,LFS - Household Labour Force Survey
ARM,2015,M,GE65,10.497,79.389,LFS - Household Labour Force Survey
ARM,2016,F,15-24,1.79,175.25,LFS - Household Labour Force Survey
ARM,2016,F,25-54,19.185,588.68,LFS - Household Labour Force Survey
ARM,2016,F,55-64,30.418,225.219,LFS - Household Labour Force Survey
ARM,2016,F,GE65,19.308,117.056,LFS - Household Labour Force Survey
