iso3,year,activity,occupation,value,source
ARG,2019,A,1,8.355,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,A,2,4.167,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,A,3,2.254,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,A,4,6.762,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,A,5,5.038,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,A,6,17.949,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,A,7,1.394,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,A,8,6.213,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,A,9,12.908,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,A,TOTAL,66.357,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,A,X,1.317,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,B,1,2.108,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,B,2,7.031,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,B,3,6.492,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,B,4,5.571,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,B,5,0.702,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,B,7,7.156,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,B,8,14.475,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,B,9,2.065,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,B,TOTAL,48.28,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,B,X,2.681,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,C,1,77.632,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,C,2,33.242,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,C,3,85.939,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,C,4,91.195,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,C,5,140.813,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,C,6,0.349,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,C,7,424.132,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,C,8,377.111,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,C,9,105.354,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,C,TOTAL,1366.432,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,C,X,30.667,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,D,1,2.368,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,D,2,4.233,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,D,3,8.7,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,D,4,10.19,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,D,5,1.134,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,D,7,8.825,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,D,8,4.1,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,D,9,1.368,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,D,TOTAL,42.668,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,D,X,1.751,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,E,1,0.822,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,E,2,1.81,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,E,3,5.516,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,E,4,5.355,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,E,5,2.13,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,E,7,8.472,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,E,8,10.286,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,E,9,18.315,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,E,TOTAL,54.351,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,E,X,1.646,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,F,1,60.583,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,F,2,20.346,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,F,3,38.596,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,F,4,29.036,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,F,5,5.124,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,F,7,692.454,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,F,8,23.53,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,F,9,212.558,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,F,TOTAL,1088.14,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,F,X,5.913,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,G,1,162.494,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,G,2,23.987,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,G,3,86.988,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,G,4,179.358,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,G,5,1178.016,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,G,6,2.714,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,G,7,182.852,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,G,8,72.593,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,G,9,266.383,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,G,TOTAL,2184.819,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,G,X,29.436,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,H,1,20.533,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,H,2,5.193,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,H,3,32.825,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,H,4,69.116,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,H,5,24.103,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,H,7,25.003,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,H,8,403.635,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,H,9,48.306,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,H,TOTAL,640.661,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,H,X,11.948,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,I,1,31.19,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,I,2,2.476,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,I,3,10.198,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,I,4,29.085,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,I,5,311.998,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,I,7,16.469,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,I,8,20.416,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,I,9,35.119,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,I,TOTAL,463.072,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,I,X,6.121,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,J,1,17.451,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,J,2,55.02,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,J,3,102.631,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,J,4,33.77,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,J,5,10.796,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,J,7,10.167,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,J,8,5.788,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,J,9,2.927,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,J,TOTAL,250.324,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,J,X,11.777,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,K,1,16.602,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,K,2,45.609,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,K,3,29.69,"LFS - Encuesta Permanente de Hogares, Urbano"
