iso3,year,activity,occupation,value,source
ARG,2019,A,1,45,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,A,2,41.49,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,A,3,43.38,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,A,4,30.87,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,A,5,51.79,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,A,6,41.7,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,A,7,41.34,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,A,8,47.44,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,A,9,35.45,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,A,TOTAL,41.1,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,A,X,42.17,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,B,1,47.43,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,B,2,46.25,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,B,3,52.02,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,B,4,43.7,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,B,5,51.2,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,B,7,56.24,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,B,8,58.85,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,B,9,53.59,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,B,TOTAL,52.67,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,B,X,48.44,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,C,1,46.51,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,C,2,41.48,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,C,3,41.11,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,C,4,39.87,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,C,5,36.27,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,C,7,37.32,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,C,8,41.64,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,C,9,39.25,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,C,TOTAL,39.68,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,C,X,41.85,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,D,1,47.15,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,D,2,41.46,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,D,3,42.28,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,D,4,39.68,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,D,5,37.08,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,D,7,38.36,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,D,8,46.03,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,D,9,46.61,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,D,TOTAL,41.56,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,D,X,44.87,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,E,1,48.67,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,E,2,41.07,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,E,3,40.62,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,E,4,40.58,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,E,5,37.75,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,E,7,43.88,"LFS - Encuesta Permanente de Hogares, Urbano"
ARG,2019,E,8,45.25,"LFS - Encuesta Permanente de Hogares, Urbano"
