iso3,year,sex,class,employed,source
ABW,2010,F,0,0.004,PC - Population and Housing Census
ABW,2010,F,1,1.901,PC - Population and Housing Census
ABW,2010,F,2,2.701,PC - Population and Housing Census
ABW,2010,F,3,2.087,PC - Population and Housing Census
ABW,2010,F,4,4.773,PC - Population and Housing Census
ABW,2010,F,5,7.472,PC - Population and Housing Census
ABW,2010,F,6,0.005,PC - Population and Housing Census
ABW,2010,F,7,0.365,PC - Population and Housing Census
ABW,2010,F,8,0.144,PC - Population and Housing Census
ABW,2010,F,9,3.666,PC - Population and Housing Census
ABW,2010,F,TOTAL,23.163,PC - Population and Housing Census
ABW,2010,F,X,0.044,PC - Population and Housing Census
ABW,2010,M,0,0.128,PC - Population and Housing Census
ABW,2010,M,1,2.74,PC - Population and Housing Census
ABW,2010,M,2,2.025,PC - Population and Housing Census
ABW,2010,M,3,2.917,PC - Population and Housing Census
ABW,2010,M,4,1.895,PC - Population and Housing Census
ABW,2010,M,5,5.073,PC - Population and Housing Census
ABW,2010,M,6,0.054,PC - Population and Housing Census
ABW,2010,M,7,4.095,PC - Population and Housing Census
ABW,2010,M,8,1.496,PC - Population and Housing Census
ABW,2010,M,9,2.866,PC - Population and Housing Census
ABW,2010,M,TOTAL,23.363,PC - Population and Housing Census
ABW,2010,M,X,0.074,PC - Population and Housing Census
AFG,2014,F,0,0,HIES - Households Living Conditions Survey
AFG,2014,F,1,2.874,HIES - Households Living Conditions Survey
AFG,2014,F,2,57.701,HIES - Households Living Conditions Survey
AFG,2014,F,3,11.004,HIES - Households Living Conditions Survey
AFG,2014,F,4,12.294,HIES - Households Living Conditions Survey
AFG,2014,F,5,16.995,HIES - Households Living Conditions Survey
AFG,2014,F,6,946.286,HIES - Households Living Conditions Survey
AFG,2014,F,7,354.34,HIES - Households Living Conditions Survey
AFG,2014,F,8,1.584,HIES - Households Living Conditions Survey
AFG,2014,F,9,34.578,HIES - Households Living Conditions Survey
AFG,2014,F,TOTAL,1684.229,HIES - Households Living Conditions Survey
