iso3,year,function,sex,share,source
ABW,2015,pension,F,1.0000,ILO - Social Security Inquiry Database
ABW,2015,pension,M,1.0000,ILO - Social Security Inquiry Database
ABW,2015,pension,T,1.0000,ILO - Social Security Inquiry Database
ABW,2016,pension,F,1.0000,ILO - Social Security Inquiry Database
ABW,2016,pension,M,1.0000,ILO - Social Security Inquiry Database
ABW,2016,pension,T,1.0000,ILO - Social Security Inquiry Database
ABW,2019,pension,F,1.0000,ILO - Social Security Inquiry Database
ABW,2019,pension,M,1.0000,ILO - Social Security Inquiry Database
ABW,2019,pension,T,1.0000,ILO - Social Security Inquiry Database
ABW,2021,pension,F,1.0000,ILO - Social Security Inquiry Database
ABW,2021,pension,M,1.0000,ILO - Social Security Inquiry Database
ABW,2021,pension,T,1.0000,ILO - Social Security Inquiry Database
AFG,2010,pension,T,0.1070,ILO - Social Security Inquiry Database
AFG,2019,disab,T,0.1360,ILO - Social Security Inquiry Database
AFG,2019,pension,T,0.2470,ILO - Social Security Inquiry Database
AGO,2012,pension,T,0.1450,ILO - Social Security Inquiry Database
AGO,2022,pension,T,0.1530,ILO - Social Security Inquiry Database
ALB,2011,pension,F,0.6080,ILO - Social Security Inquiry Database
ALB,2011,pension,M,1.0000,ILO - Social Security Inquiry Database
ALB,2011,pension,T,0.7700,ILO - Social Security Inquiry Database
ALB,2021,disab,F,1.0000,ILO - Social Security Inquiry Database
ALB,2021,disab,M,1.0000,ILO - Social Security Inquiry Database
ALB,2021,disab,T,1.0000,ILO - Social Security Inquiry Database
ALB,2021,pension,F,0.9400,ILO - Social Security Inquiry Database
ALB,2021,pension,M,1.0000,ILO - Social Security Inquiry Database
ALB,2021,pension,T,0.9650,ILO - Social Security Inquiry Database
AND,2022,disab,F,0.1340,ILO - Social Security Inquiry Database
AND,2022,disab,M,0.1100,ILO - Social Security Inquiry Database
AND,2022,disab,T,0.1220,ILO - Social Security Inquiry Database
AND,2022,pension,F,1.0000,ILO - Social Security Inquiry Database
AND,2022,pension,M,1.0000,ILO - Social Security Inquiry Database
AND,2022,pension,T,1.0000,ILO - Social Security Inquiry Database
ARE,2019,disab,T,0.0180,ILO - Social Security Inquiry Database
ARE,2019,pension,T,0.1700,ILO - Social Security Inquiry Database
ARE,2022,disab,T,0.0410,ILO - Social Security Inquiry Database
ARE,2022,pension,T,0.1970,ILO - Social Security Inquiry Database
ARG,2015,pension,F,0.8640,ILO - Social Security Inquiry Database
ARG,2015,pension,M,0.9480,ILO - Social Security Inquiry Database
ARG,2015,pension,T,0.8930,ILO - Social Security Inquiry Database
ARG,2019,disab,F,1.0000,ILO - Social Security Inquiry Database
ARG,2019,disab,M,1.0000,ILO - Social Security Inquiry Database
ARG,2019,disab,T,1.0000,ILO - Social Security Inquiry Database
ARG,2019,pension,F,0.8690,ILO - Social Security Inquiry Database
ARG,2019,pension,M,0.9530,ILO - Social Security Inquiry Database
ARG,2019,pension,T,0.8980,ILO - Social Security Inquiry Database
ARG,2020,disab,F,1.0000,ILO - Social Security Inquiry Database
ARG,2020,disab,M,1.0000,ILO - Social Security Inquiry Database
ARG,2020,disab,T,1.0000,ILO - Social Security Inquiry Database
ARG,2021,disab,T,1.0000,ILO - Social Security Inquiry Database
ARG,2021,pension,F,0.8780,ILO - Social Security Inquiry Database
ARG,2021,pension,M,0.9640,ILO - Social Security Inquiry Database
ARG,2021,pension,T,0.9080,ILO - Social Security Inquiry Database
ARM,2015,disab,T,1.0000,ILO - Social Security Inquiry Database
ARM,2015,pension,F,0.8590,ILO - Social Security Inquiry Database
ARM,2015,pension,M,0.9030,ILO - Social Security Inquiry Database
ARM,2015,pension,T,0.8760,ILO - Social Security Inquiry Database
ARM,2016,disab,T,1.0000,ILO - Social Security Inquiry Database
ARM,2017,disab,T,1.0000,ILO - Social Security Inquiry Database
ARM,2018,disab,T,1.0000,ILO - Social Security Inquiry Database
ARM,2019,disab,F,1.0000,ILO - Social Security Inquiry Database
ARM,2019,disab,M,1.0000,ILO - Social Security Inquiry Database
ARM,2019,disab,T,1.0000,ILO - Social Security Inquiry Database
ARM,2019,pension,F,0.8460,ILO - Social Security Inquiry Database
ARM,2019,pension,M,0.8660,ILO - Social Security Inquiry Database
ARM,2019,pension,T,0.8530,ILO - Social Security Inquiry Database
ARM,2020,disab,F,1.0000,ILO - Social Security Inquiry Database
ARM,2020,disab,M,1.0000,ILO - Social Security Inquiry Database
ARM,2020,disab,T,1.0000,ILO - Social Security Inquiry Database
ARM,2021,disab,F,1.0000,ILO - Social Security Inquiry Database
ARM,2021,disab,M,1.0000,ILO - Social Security Inquiry Database
ARM,2021,disab,T,1.0000,ILO - Social Security Inquiry Database
ARM,2021,pension,F,0.7930,ILO - Social Security Inquiry Database
ARM,2021,pension,M,0.8660,ILO - Social Security Inquiry Database
ARM,2021,pension,T,0.8190,ILO - Social Security Inquiry Database
ATG,2015,disab,T,0.1110,ILO - Social Security Inquiry Database
ATG,2015,pension,F,0.8140,ILO - Social Security Inquiry Database
ATG,2015,pension,M,0.8610,ILO - Social Security Inquiry Database
ATG,2015,pension,T,0.8350,ILO - Social Security Inquiry Database
ATG,2016,disab,T,0.1110,ILO - Social Security Inquiry Database
ATG,2017,disab,T,0.0810,ILO - Social Security Inquiry Database
ATG,2019,disab,T,0.0790,ILO - Social Security Inquiry Database
ATG,2020,disab,T,0.0910,ILO - Social Security Inquiry Database
ATG,2020,pension,T,0.8440,ILO - Social Security Inquiry Database
AUS,2013,disab,F,1.0000,ILO - Social Security Inquiry Database
AUS,2013,disab,M,1.0000,ILO - Social Security Inquiry Database
AUS,2013,disab,T,1.0000,ILO - Social Security Inquiry Database
AUS,2013,pension,F,0.7260,ILO - Social Security Inquiry Database
AUS,2013,pension,M,0.6720,ILO - Social Security Inquiry Database
AUS,2013,pension,T,0.7010,ILO - Social Security Inquiry Database
AUS,2014,disab,F,1.0000,ILO - Social Security Inquiry Database
AUS,2014,disab,M,1.0000,ILO - Social Security Inquiry Database
AUS,2014,disab,T,1.0000,ILO - Social Security Inquiry Database
AUS,2014,pension,F,0.7690,ILO - Social Security Inquiry Database
AUS,2014,pension,M,0.7120,ILO - Social Security Inquiry Database
AUS,2014,pension,T,0.7430,ILO - Social Security Inquiry Database
AUS,2015,disab,T,1.0000,ILO - Social Security Inquiry Database
AUS,2016,pension,F,0.7690,ILO - Social Security Inquiry Database
AUS,2016,pension,M,0.7120,ILO - Social Security Inquiry Database
AUS,2016,pension,T,0.7430,ILO - Social Security Inquiry Database
AUS,2017,disab,T,1.0000,ILO - Social Security Inquiry Database
AUS,2018,disab,F,1.0000,ILO - Social Security Inquiry Database
AUS,2018,disab,M,1.0000,ILO - Social Security Inquiry Database
AUS,2018,disab,T,1.0000,ILO - Social Security Inquiry Database
AUS,2019,disab,F,1.0000,ILO - Social Security Inquiry Database
AUS,2019,disab,M,1.0000,ILO - Social Security Inquiry Database
AUS,2019,disab,T,1.0000,ILO - Social Security Inquiry Database
AUS,2022,disab,F,1.0000,ILO - Social Security Inquiry Database
AUS,2022,disab,M,1.0000,ILO - Social Security Inquiry Database
AUS,2022,disab,T,1.0000,ILO - Social Security Inquiry Database
AUS,2022,pension,F,0.7650,ILO - Social Security Inquiry Database
AUS,2022,pension,M,0.7190,ILO - Social Security Inquiry Database
AUS,2022,pension,T,0.7440,ILO - Social Security Inquiry Database
AUT,2013,disab,T,0.8920,ILO - Social Security Inquiry Database
AUT,2013,pension,F,1.0000,ILO - Social Security Inquiry Database
AUT,2013,pension,M,1.0000,ILO - Social Security Inquiry Database
AUT,2013,pension,T,1.0000,ILO - Social Security Inquiry Database
AUT,2014,disab,T,0.8220,ILO - Social Security Inquiry Database
AUT,2014,pension,F,1.0000,ILO - Social Security Inquiry Database
AUT,2014,pension,M,1.0000,ILO - Social Security Inquiry Database
AUT,2014,pension,T,1.0000,ILO - Social Security Inquiry Database
AUT,2015,disab,T,0.9330,ILO - Social Security Inquiry Database
AUT,2018,disab,F,1.0000,ILO - Social Security Inquiry Database
AUT,2018,disab,M,1.0000,ILO - Social Security Inquiry Database
AUT,2018,disab,T,1.0000,ILO - Social Security Inquiry Database
AUT,2018,pension,F,1.0000,ILO - Social Security Inquiry Database
AUT,2018,pension,M,1.0000,ILO - Social Security Inquiry Database
AUT,2018,pension,T,1.0000,ILO - Social Security Inquiry Database
AUT,2019,disab,F,1.0000,ILO - Social Security Inquiry Database
AUT,2019,disab,M,1.0000,ILO - Social Security Inquiry Database
AUT,2019,disab,T,1.0000,ILO - Social Security Inquiry Database
AUT,2019,pension,F,1.0000,ILO - Social Security Inquiry Database
AUT,2019,pension,M,1.0000,ILO - Social Security Inquiry Database
AUT,2019,pension,T,1.0000,ILO - Social Security Inquiry Database
AUT,2022,disab,F,1.0000,ILO - Social Security Inquiry Database
AUT,2022,disab,M,1.0000,ILO - Social Security Inquiry Database
AUT,2022,disab,T,1.0000,ILO - Social Security Inquiry Database
AUT,2022,pension,F,1.0000,ILO - Social Security Inquiry Database
AUT,2022,pension,M,1.0000,ILO - Social Security Inquiry Database
AUT,2022,pension,T,1.0000,ILO - Social Security Inquiry Database
AZE,2015,disab,T,1.0000,ILO - Social Security Inquiry Database
AZE,2015,pension,F,1.0000,ILO - Social Security Inquiry Database
AZE,2015,pension,M,1.0000,ILO - Social Security Inquiry Database
AZE,2015,pension,T,1.0000,ILO - Social Security Inquiry Database
AZE,2016,disab,T,1.0000,ILO - Social Security Inquiry Database
AZE,2017,disab,T,1.0000,ILO - Social Security Inquiry Database
AZE,2018,disab,T,1.0000,ILO - Social Security Inquiry Database
