iso3,year,activity,status,value,source
AFG,2017,A,2,51.047,HIES - Households Living Conditions Survey
AFG,2017,A,3,1477.524,HIES - Households Living Conditions Survey
AFG,2017,A,TOTAL,2740.235,HIES - Households Living Conditions Survey
AFG,2017,B,3,9.153,HIES - Households Living Conditions Survey
AFG,2017,B,TOTAL,11.977,HIES - Households Living Conditions Survey
AFG,2017,C,2,37.249,HIES - Households Living Conditions Survey
AFG,2017,C,3,234.457,HIES - Households Living Conditions Survey
AFG,2017,C,TOTAL,490.856,HIES - Households Living Conditions Survey
AFG,2017,D,3,2.941,HIES - Households Living Conditions Survey
AFG,2017,D,TOTAL,4.935,HIES - Households Living Conditions Survey
AFG,2017,F,2,15.144,HIES - Households Living Conditions Survey
AFG,2017,F,3,523.128,HIES - Households Living Conditions Survey
AFG,2017,F,TOTAL,614.907,HIES - Households Living Conditions Survey
AFG,2017,G,2,14.765,HIES - Households Living Conditions Survey
AFG,2017,G,3,569.825,HIES - Households Living Conditions Survey
AFG,2017,G,TOTAL,665.774,HIES - Households Living Conditions Survey
AFG,2017,H,2,18.268,HIES - Households Living Conditions Survey
AFG,2017,H,3,259.936,HIES - Households Living Conditions Survey
AFG,2017,H,TOTAL,362.755,HIES - Households Living Conditions Survey
AFG,2017,I,2,0.97,HIES - Households Living Conditions Survey
AFG,2017,I,3,10.866,HIES - Households Living Conditions Survey
AFG,2017,I,TOTAL,25.373,HIES - Households Living Conditions Survey
AFG,2017,J,3,0.509,HIES - Households Living Conditions Survey
AFG,2017,J,TOTAL,4.648,HIES - Households Living Conditions Survey
AFG,2017,K,3,1.494,HIES - Households Living Conditions Survey
AFG,2017,K,TOTAL,5.599,HIES - Households Living Conditions Survey
AFG,2017,L,2,1.694,HIES - Households Living Conditions Survey
AFG,2017,L,3,21.282,HIES - Households Living Conditions Survey
AFG,2017,L,TOTAL,59.228,HIES - Households Living Conditions Survey
AFG,2017,O,2,0.753,HIES - Households Living Conditions Survey
AFG,2017,O,3,11.537,HIES - Households Living Conditions Survey
AFG,2017,O,TOTAL,390.058,HIES - Households Living Conditions Survey
AFG,2017,Q,2,16.141,HIES - Households Living Conditions Survey
AFG,2017,Q,3,269.02,HIES - Households Living Conditions Survey
AFG,2017,Q,TOTAL,650.46,HIES - Households Living Conditions Survey
AFG,2017,R,3,1.703,HIES - Households Living Conditions Survey
AFG,2017,R,TOTAL,2.602,HIES - Households Living Conditions Survey
AFG,2017,T,2,5.777,HIES - Households Living Conditions Survey
AFG,2017,T,3,103.923,HIES - Households Living Conditions Survey
AFG,2017,T,TOTAL,147.766,HIES - Households Living Conditions Survey
AFG,2017,TOTAL,2,165.749,HIES - Households Living Conditions Survey
AFG,2017,TOTAL,3,3547.541,HIES - Households Living Conditions Survey
AFG,2017,TOTAL,TOTAL,6396.534,HIES - Households Living Conditions Survey
AFG,2017,U,3,3.976,HIES - Households Living Conditions Survey
AFG,2017,U,TOTAL,51.931,HIES - Households Living Conditions Survey
AFG,2017,X,2,3.055,HIES - Households Living Conditions Survey
AFG,2017,X,3,46.009,HIES - Households Living Conditions Survey
AFG,2017,X,TOTAL,167.172,HIES - Households Living Conditions Survey
AFG,2021,A,2,111.764,LFS - Labour Force Survey
AFG,2021,A,3,3259.008,LFS - Labour Force Survey
AFG,2021,A,TOTAL,3747.215,LFS - Labour Force Survey
AFG,2021,B,2,3.907,LFS - Labour Force Survey
AFG,2021,B,3,13.504,LFS - Labour Force Survey
AFG,2021,B,TOTAL,30.685,LFS - Labour Force Survey
AFG,2021,C,2,63.981,LFS - Labour Force Survey
AFG,2021,C,3,320.759,LFS - Labour Force Survey
AFG,2021,C,TOTAL,491.404,LFS - Labour Force Survey
AFG,2021,E,3,19.09,LFS - Labour Force Survey
AFG,2021,E,TOTAL,25.933,LFS - Labour Force Survey
AFG,2021,F,2,94.256,LFS - Labour Force Survey
AFG,2021,F,3,270.094,LFS - Labour Force Survey
AFG,2021,F,TOTAL,915.35,LFS - Labour Force Survey
AFG,2021,G,2,42.66,LFS - Labour Force Survey
AFG,2021,G,3,718.822,LFS - Labour Force Survey
AFG,2021,G,TOTAL,901.42,LFS - Labour Force Survey
AFG,2021,H,2,23.799,LFS - Labour Force Survey
AFG,2021,H,3,278.092,LFS - Labour Force Survey
AFG,2021,H,TOTAL,401.642,LFS - Labour Force Survey
AFG,2021,I,2,8.685,LFS - Labour Force Survey
AFG,2021,I,3,6.916,LFS - Labour Force Survey
AFG,2021,I,TOTAL,48.04,LFS - Labour Force Survey
AFG,2021,J,3,5.055,LFS - Labour Force Survey
AFG,2021,J,TOTAL,19.257,LFS - Labour Force Survey
AFG,2021,K,TOTAL,4.881,LFS - Labour Force Survey
AFG,2021,L,3,4.327,LFS - Labour Force Survey
AFG,2021,L,TOTAL,7.974,LFS - Labour Force Survey
AFG,2021,N,TOTAL,43.292,LFS - Labour Force Survey
AFG,2021,O,3,19.318,LFS - Labour Force Survey
AFG,2021,O,TOTAL,436.096,LFS - Labour Force Survey
AFG,2021,P,3,5.747,LFS - Labour Force Survey
AFG,2021,P,TOTAL,264.806,LFS - Labour Force Survey
AFG,2021,Q,3,8.188,LFS - Labour Force Survey
AFG,2021,Q,TOTAL,68.07,LFS - Labour Force Survey
AFG,2021,S,3,17.712,LFS - Labour Force Survey
AFG,2021,S,TOTAL,41.882,LFS - Labour Force Survey
AFG,2021,TOTAL,2,372.318,LFS - Labour Force Survey
AFG,2021,TOTAL,3,5012.392,LFS - Labour Force Survey
AFG,2021,TOTAL,TOTAL,7679.474,LFS - Labour Force Survey
AFG,2021,U,TOTAL,9.614,LFS - Labour Force Survey
AFG,2021,X,3,59.981,LFS - Labour Force Survey
AFG,2021,X,TOTAL,219.623,LFS - Labour Force Survey
AGO,2019,A,2,642.307,LFS - Employment Survey
AGO,2019,A,3,3632.8,LFS - Employment Survey
AGO,2019,A,TOTAL,5319.49,LFS - Employment Survey
AGO,2019,B,2,5.681,LFS - Employment Survey
AGO,2019,B,3,14.854,LFS - Employment Survey
AGO,2019,B,TOTAL,70.395,LFS - Employment Survey
AGO,2019,C,2,27.806,LFS - Employment Survey
AGO,2019,C,3,101.446,LFS - Employment Survey
AGO,2019,C,TOTAL,259.937,LFS - Employment Survey
AGO,2019,D,2,2.216,LFS - Employment Survey
AGO,2019,D,3,2.913,LFS - Employment Survey
AGO,2019,D,TOTAL,14.005,LFS - Employment Survey
AGO,2019,E,3,1.444,LFS - Employment Survey
AGO,2019,E,TOTAL,10.534,LFS - Employment Survey
AGO,2019,F,2,105.935,LFS - Employment Survey
AGO,2019,F,3,83.361,LFS - Employment Survey
AGO,2019,F,TOTAL,333.222,LFS - Employment Survey
AGO,2019,G,2,129.357,LFS - Employment Survey
AGO,2019,G,3,1328.171,LFS - Employment Survey
AGO,2019,G,TOTAL,1791.382,LFS - Employment Survey
AGO,2019,H,2,20.363,LFS - Employment Survey
AGO,2019,H,3,119.459,LFS - Employment Survey
AGO,2019,H,TOTAL,330.437,LFS - Employment Survey
AGO,2019,I,2,5.393,LFS - Employment Survey
AGO,2019,I,3,9.929,LFS - Employment Survey
AGO,2019,I,TOTAL,79.283,LFS - Employment Survey
AGO,2019,J,3,2.998,LFS - Employment Survey
AGO,2019,J,TOTAL,31.686,LFS - Employment Survey
AGO,2019,K,3,8.816,LFS - Employment Survey
AGO,2019,K,TOTAL,36.18,LFS - Employment Survey
AGO,2019,L,TOTAL,5.252,LFS - Employment Survey
AGO,2019,M,2,3.192,LFS - Employment Survey
AGO,2019,M,3,9.044,LFS - Employment Survey
AGO,2019,M,TOTAL,43.959,LFS - Employment Survey
AGO,2019,N,2,3.865,LFS - Employment Survey
AGO,2019,N,3,7.292,LFS - Employment Survey
AGO,2019,N,TOTAL,212.425,LFS - Employment Survey
AGO,2019,O,2,1.396,LFS - Employment Survey
AGO,2019,O,3,2.539,LFS - Employment Survey
AGO,2019,O,TOTAL,571.841,LFS - Employment Survey
AGO,2019,P,2,3.865,LFS - Employment Survey
AGO,2019,P,3,6.158,LFS - Employment Survey
AGO,2019,P,TOTAL,330.766,LFS - Employment Survey
AGO,2019,Q,2,2.428,LFS - Employment Survey
AGO,2019,Q,3,4.952,LFS - Employment Survey
AGO,2019,Q,TOTAL,81.372,LFS - Employment Survey
AGO,2019,R,3,2.147,LFS - Employment Survey
AGO,2019,R,TOTAL,9.56,LFS - Employment Survey
AGO,2019,S,2,19.526,LFS - Employment Survey
AGO,2019,S,3,69.756,LFS - Employment Survey
AGO,2019,S,TOTAL,154.439,LFS - Employment Survey
AGO,2019,T,3,6.798,LFS - Employment Survey
AGO,2019,T,TOTAL,268.372,LFS - Employment Survey
AGO,2019,TOTAL,2,978.273,LFS - Employment Survey
AGO,2019,TOTAL,3,5429.333,LFS - Employment Survey
AGO,2019,TOTAL,TOTAL,10250.671,LFS - Employment Survey
AGO,2019,U,TOTAL,2.706,LFS - Employment Survey
AGO,2019,X,2,1.65,LFS - Employment Survey
AGO,2019,X,3,12.186,LFS - Employment Survey
AGO,2019,X,TOTAL,293.429,LFS - Employment Survey
AGO,2020,A,2,771.338,LFS - Employment Survey
AGO,2020,A,3,3321.204,LFS - Employment Survey
AGO,2020,A,TOTAL,5917.109,LFS - Employment Survey
AGO,2020,B,2,2.914,LFS - Employment Survey
AGO,2020,B,3,20.282,LFS - Employment Survey
AGO,2020,B,TOTAL,75.054,LFS - Employment Survey
AGO,2020,C,2,28.717,LFS - Employment Survey
AGO,2020,C,3,80.694,LFS - Employment Survey
AGO,2020,C,TOTAL,227.833,LFS - Employment Survey
AGO,2020,D,3,4.646,LFS - Employment Survey
AGO,2020,D,TOTAL,21.498,LFS - Employment Survey
AGO,2020,E,TOTAL,9.465,LFS - Employment Survey
AGO,2020,F,2,65.164,LFS - Employment Survey
AGO,2020,F,3,77.575,LFS - Employment Survey
AGO,2020,F,TOTAL,251.515,LFS - Employment Survey
AGO,2020,G,2,95.91,LFS - Employment Survey
AGO,2020,G,3,1369.075,LFS - Employment Survey
AGO,2020,G,TOTAL,1835.623,LFS - Employment Survey
AGO,2020,H,2,13.355,LFS - Employment Survey
AGO,2020,H,3,129.253,LFS - Employment Survey
AGO,2020,H,TOTAL,308.334,LFS - Employment Survey
AGO,2020,I,2,3.517,LFS - Employment Survey
AGO,2020,I,3,3.801,LFS - Employment Survey
AGO,2020,I,TOTAL,67.157,LFS - Employment Survey
AGO,2020,J,2,1.701,LFS - Employment Survey
AGO,2020,J,3,5.66,LFS - Employment Survey
AGO,2020,J,TOTAL,38.645,LFS - Employment Survey
AGO,2020,K,3,4.335,LFS - Employment Survey
AGO,2020,K,TOTAL,29.374,LFS - Employment Survey
AGO,2020,L,TOTAL,4.55,LFS - Employment Survey
AGO,2020,M,2,1.897,LFS - Employment Survey
AGO,2020,M,3,3.683,LFS - Employment Survey
AGO,2020,M,TOTAL,22.916,LFS - Employment Survey
AGO,2020,N,2,3.245,LFS - Employment Survey
AGO,2020,N,3,8.308,LFS - Employment Survey
AGO,2020,N,TOTAL,187.34,LFS - Employment Survey
AGO,2020,O,TOTAL,531.352,LFS - Employment Survey
AGO,2020,P,2,1.755,LFS - Employment Survey
AGO,2020,P,3,5.14,LFS - Employment Survey
AGO,2020,P,TOTAL,305.632,LFS - Employment Survey
AGO,2020,Q,2,2.226,LFS - Employment Survey
AGO,2020,Q,3,4.211,LFS - Employment Survey
AGO,2020,Q,TOTAL,94.045,LFS - Employment Survey
AGO,2020,R,3,2.364,LFS - Employment Survey
AGO,2020,R,TOTAL,7.201,LFS - Employment Survey
AGO,2020,S,2,12.856,LFS - Employment Survey
