iso3,year,value
ABW,2015,74.2
ABW,2016,75.4
ABW,2017,75.8
ABW,2018,73.3
ABW,2019,72.1
ABW,2020,116.3
ABW,2021,109.7
ABW,2022,96.1
ABW,2023,80.3
ABW,2024,68.6
ABW,2025,63.6
AFG,2015,9.2
AFG,2016,8.4
AFG,2017,8
AFG,2018,7.4
AFG,2019,6.1
AFG,2020,7.3
AFG,2021,11.1
AFG,2022,10.6
AFG,2023,8.3
AFG,2024,8.9
AFG,2025,8
AGO,2015,50.4
AGO,2016,65.7
AGO,2017,59.6
AGO,2018,81.6
AGO,2019,100.8
AGO,2020,119.8
AGO,2021,75.5
AGO,2022,57.4
AGO,2023,75.7
AGO,2024,57.1
AGO,2025,51.3
ALB,2015,73.7
ALB,2016,73.3
ALB,2017,71.9
ALB,2018,68.5
ALB,2019,66.6
ALB,2020,75.4
ALB,2021,74.8
ALB,2022,64.7
ALB,2023,58
ALB,2024,54.5
ALB,2025,52.6
AND,2015,41
AND,2016,39.8
AND,2017,37.9
AND,2018,36.3
AND,2019,35.4
AND,2020,46.4
AND,2021,48.6
AND,2022,38.9
AND,2023,35.4
AND,2024,32.9
AND,2025,30.3
ARE,2015,15.6
ARE,2016,18.6
ARE,2017,21.2
ARE,2018,20.7
ARE,2019,25.8
ARE,2020,30.1
ARE,2021,35.7
ARE,2022,31.5
ARE,2023,31.9
ARE,2024,34.9
ARE,2025,34.3
ARG,2015,52.6
ARG,2016,53.1
ARG,2017,57
ARG,2018,85.2
ARG,2019,89.8
ARG,2020,103.8
ARG,2021,81
ARG,2022,84.3
ARG,2023,154.6
ARG,2024,84.7
ARG,2025,80.3
ARM,2015,48.7
ARM,2016,56.7
ARM,2017,58.9
ARM,2018,55.7
ARM,2019,53.7
ARM,2020,67.4
ARM,2021,63.4
ARM,2022,49.2
ARM,2023,50.5
ARM,2024,50
ARM,2025,49
ATG,2015,92.1
ATG,2016,83.1
ATG,2017,88.2
ATG,2018,84.3
ATG,2019,81.6
ATG,2020,100.5
ATG,2021,93
ATG,2022,82.4
ATG,2023,74.5
ATG,2024,71.8
ATG,2025,69.7
AUS,2015,37.6
AUS,2016,40.5
AUS,2017,41
AUS,2018,41.6
AUS,2019,46.5
AUS,2020,56.9
AUS,2021,55.4
AUS,2022,50
AUS,2023,49.4
AUS,2024,50.6
AUS,2025,51
AUT,2015,85.6
AUT,2016,83.4
AUT,2017,79.1
AUT,2018,74.6
AUT,2019,71
AUT,2020,83.2
AUT,2021,82.4
AUT,2022,78.1
AUT,2023,77.8
AUT,2024,79.2
AUT,2025,80.5
