iso3,year,value
AFG,2015,0.57747285
AFG,2016,0.64899214
AFG,2017,0.65299773
AFG,2018,0.6694918
AFG,2019,0.5651345
AFG,2020,0.54481922
ALB,2015,11.14376
ALB,2016,11.140699
ALB,2017,11.187956
ALB,2018,11.00686
ALB,2019,11.358866
ALB,2020,12.538158
ALB,2021,12.438168
ALB,2022,12.090759
ALB,2023,11.970517
ALB,2024,12.753536
ARE,2015,24.321224
ARE,2016,25.600513
ARE,2017,23.534887
ARE,2018,21.514673
ARE,2019,21.6541
ARE,2020,25.671172
ARE,2021,22.798186
ARE,2022,20.298946
ARE,2023,22.137718
ARE,2024,24.779436
ARG,2015,6.3521012
ARG,2016,5.9562333
ARG,2017,6.914792
ARG,2018,6.5665649
ARG,2019,5.3742368
ARG,2020,5.5651944
ARG,2021,4.5315976
ARG,2022,4.0744808
ARG,2023,4.0359413
ARG,2024,4.6901811
AUS,2015,120.97959
AUS,2016,123.76276
AUS,2017,123.03411
AUS,2018,122.25714
AUS,2019,118.97698
AUS,2020,122.34128
AUS,2021,117.68856
AUS,2022,110.69768
AUS,2023,109.81933
AUS,2024,112.14945
AUT,2015,51.306187
AUT,2016,50.991985
AUT,2017,50.225309
AUT,2018,49.513065
AUT,2019,49.392126
AUT,2020,52.800565
AUT,2021,51.691139
AUT,2022,48.30143
AUT,2023,44.943789
AUT,2024,44.01317
BEL,2015,58.562394
BEL,2016,58.965335
BEL,2017,59.553053
BEL,2018,59.718123
BEL,2019,60.860451
BEL,2020,65.329596
BEL,2021,63.064327
BEL,2022,59.545838
BEL,2023,57.628622
BEL,2024,57.345913
BGD,2015,6.9111918
BGD,2016,6.8317885
BGD,2017,7.2475839
BGD,2018,7.0741855
BGD,2019,6.9497492
BGD,2020,6.8278628
BGD,2021,6.8229629
BGD,2022,6.8664193
BGD,2023,6.6867465
BGD,2024,6.2178859
BGR,2015,23.23521
BGR,2016,22.640825
BGR,2017,22.551647
BGR,2018,22.988632
BGR,2019,23.058802
BGR,2020,24.169447
BGR,2021,23.731901
BGR,2022,22.400447
BGR,2023,23.525515
BGR,2024,25.897721
BRA,2015,27.963785
BRA,2016,27.765851
BRA,2017,27.922191
BRA,2018,28.410893
BRA,2019,29.953306
BRA,2020,32.204977
BRA,2021,32.519128
BRA,2022,33.994327
BRA,2023,34.619171
BRA,2024,36.35036
CAF,2015,4.443781
CAF,2016,4.8981226
CAF,2017,4.2812243
CAF,2018,3.3758547
CAF,2019,3.3593069
CAF,2020,3.1838466
CAF,2021,2.7895851
CAF,2022,2.2030923
CAN,2015,100.70914
CAN,2016,104.18176
CAN,2017,103.60378
CAN,2018,103.04235
CAN,2019,103.52262
CAN,2020,112.13428
CAN,2021,105.54768
CAN,2022,100.1912
CAN,2023,100.60457
CAN,2024,100.06666
CHE,2015,122.34439
CHE,2016,123.8341
CHE,2017,126.37904
CHE,2018,125.41852
CHE,2019,127.02527
CHE,2020,134.96361
CHE,2021,130.30092
CHE,2022,126.24466
CHE,2023,126.03897
CHE,2024,125.43477
CHL,2015,41.258618
CHL,2016,42.426216
CHL,2017,43.794943
CHL,2018,45.832953
CHL,2019,48.119088
CHL,2020,48.267481
CHL,2021,44.94282
CHL,2022,46.417301
CHL,2023,46.343999
CHL,2024,44.806224
CHN,2015,38.388142
CHN,2016,43.872972
CHN,2017,47.942982
CHN,2018,51.302889
CHN,2019,54.96011
CHN,2020,60.62888
CHN,2021,60.616667
CHN,2022,60.757981
CHN,2023,61.888913
CHN,2024,61.403692
CMR,2015,3.4776069
CMR,2016,3.3984069
CMR,2017,3.583979
CMR,2018,4.1409601
CMR,2019,4.44624
COG,2015,3.2756775
COG,2016,3.2748703
COG,2017,3.1096516
COG,2018,2.7042897
COG,2019,3.5786134
COG,2020,3.4943257
COG,2021,3.6035184
COG,2022,4.333544
COG,2023,4.6117275
COL,2015,26.869002
COL,2016,26.249149
COL,2017,26.959432
COL,2018,27.6546
COL,2019,29.081923
COL,2020,32.379324
COL,2021,30.070813
COL,2022,28.446104
COL,2023,26.945665
COL,2024,25.707414
CRI,2015,28.223075
CRI,2016,29.646824
CRI,2017,30.451685
CRI,2018,30.948351
CRI,2019,29.653812
CRI,2020,31.329334
CRI,2021,28.865821
CRI,2022,27.142797
CRI,2023,26.564908
CRI,2024,26.83016
CYP,2015,128.13754
CYP,2016,117.75088
CYP,2017,106.14895
CYP,2018,96.603066
CYP,2019,86.641654
CYP,2020,89.07035
CYP,2021,79.653895
CYP,2022,69.404406
CYP,2023,64.307913
CYP,2024,59.605917
CZE,2015,29.995337
CZE,2016,30.843625
CZE,2017,31.071194
CZE,2018,31.407182
CZE,2019,31.035586
CZE,2020,33.235987
CZE,2021,33.891599
CZE,2022,31.875487
CZE,2023,30.81972
CZE,2024,30.837368
DEU,2015,52.59686
DEU,2016,52.290253
DEU,2017,51.900207
DEU,2018,51.637828
DEU,2019,52.548149
DEU,2020,55.975934
DEU,2021,55.261882
DEU,2022,53.601174
DEU,2023,51.032051
DEU,2024,49.928901
DNK,2015,118.7609
DNK,2016,116.88924
DNK,2017,113.82575
DNK,2018,112.31709
DNK,2019,110.84207
DNK,2020,111.76108
DNK,2021,101.5455
DNK,2022,84.491503
DNK,2023,88.307128
DNK,2024,85.163196
ESP,2015,67.611341
ESP,2016,64.096452
ESP,2017,60.852854
ESP,2018,58.608518
ESP,2019,56.523279
ESP,2020,62.138266
ESP,2021,57.179512
ESP,2022,51.459819
ESP,2023,46.097773
ESP,2024,43.704712
EST,2015,39.013578
EST,2016,39.152804
EST,2017,38.520521
EST,2018,37.69657
EST,2019,37.538907
EST,2020,39.866429
EST,2021,37.955585
EST,2022,36.402801
EST,2023,36.841105
EST,2024,38.398556
FIN,2015,63.665601
FIN,2016,64.66157
FIN,2017,64.868317
FIN,2018,65.663957
FIN,2019,66.179911
FIN,2020,69.529204
FIN,2021,68.491422
FIN,2022,66.098033
FIN,2023,64.214281
FIN,2024,63.305114
FRA,2015,56.914866
FRA,2016,58.124068
FRA,2017,59.441868
FRA,2018,60.867561
FRA,2019,62.347366
FRA,2020,68.204994
FRA,2021,66.407347
FRA,2022,65.855845
FRA,2023,62.534267
FRA,2024,60.514811
GBR,2015,88.130821
GBR,2016,88.115101
GBR,2017,87.197536
GBR,2018,86.8618
GBR,2019,85.704866
GBR,2020,92.910578
GBR,2021,87.802923
GBR,2022,82.458594
GBR,2023,78.308157
GBR,2024,76.17525
