iso3,year,value
AFG,2015,3.1249905
AFG,2016,2.7247682
AFG,2017,2.6842456
AFG,2018,2.465668
AFG,2019,2.2558834
AFG,2020,2.0243442
ALB,2015,32.87238
ALB,2016,31.531238
ALB,2017,29.098762
ALB,2018,25.217194
ALB,2019,25.484825
ALB,2020,28.427081
ALB,2021,26.528851
ALB,2022,23.239913
ALB,2023,20.781701
ALB,2024,21.217028
ARE,2015,76.623904
ARE,2016,80.52545
ARE,2017,81.83624
ARE,2018,79.662196
ARE,2019,83.474134
ARE,2020,100.40671
ARE,2021,83.817859
ARE,2022,69.367872
ARE,2023,72.367669
ARE,2024,76.232002
ARG,2015,15.092773
ARG,2016,14.796771
ARG,2017,17.980077
ARG,2018,22.41344
ARG,2019,22.909522
ARG,2020,24.368071
ARG,2021,18.370566
ARG,2022,17.993459
ARG,2023,30.849798
ARG,2024,18.621149
AUS,2015,76.167127
AUS,2016,75.136888
AUS,2017,71.112448
AUS,2018,71.56647
AUS,2019,70.576635
AUS,2020,69.418467
AUS,2021,63.733465
AUS,2022,60.064893
AUS,2023,59.135999
AUS,2024,60.84491
AUT,2015,92.708652
AUT,2016,92.711217
AUT,2017,92.572208
AUT,2018,93.31448
AUT,2019,93.050461
AUT,2020,100.13886
AUT,2021,101.35708
AUT,2022,92.912028
AUT,2023,88.883468
AUT,2024,88.997611
BEL,2015,149.2097
BEL,2016,169.74866
BEL,2017,157.01746
BEL,2018,151.35497
BEL,2019,150.73856
BEL,2020,155.64356
BEL,2021,143.915
BEL,2022,131.47474
BEL,2023,125.67631
BEL,2024,122.48319
BGD,2015,29.412407
BGD,2016,30.321916
BGD,2017,32.279385
BGD,2018,32.221413
BGD,2019,31.428832
BGD,2020,31.612325
BGD,2021,31.444201
BGD,2022,31.311327
BGD,2023,30.228596
BGD,2024,28.91743
BGR,2015,95.099232
BGR,2016,90.364244
BGR,2017,84.947584
BGR,2018,83.381691
BGR,2019,78.831013
BGR,2020,75.680817
BGR,2021,68.097895
BGR,2022,57.797268
BGR,2023,56.191218
BGR,2024,54.021493
BRA,2015,53.867624
BRA,2016,46.591763
BRA,2017,44.513588
BRA,2018,46.016878
BRA,2019,47.035734
BRA,2020,54.236972
BRA,2021,52.353103
BRA,2022,52.058677
BRA,2023,50.842293
BRA,2024,57.113871
CAF,2015,6.8498442
CAF,2016,6.9944384
CAF,2017,6.5083884
CAF,2018,8.382672
CAF,2019,7.7716651
CAF,2020,7.916241
CAF,2021,8.3799226
CAF,2022,10.136693
CAN,2015,108.58709
CAN,2016,109.58463
CAN,2017,109.98944
CAN,2018,113.00847
CAN,2019,117.6424
CAN,2020,132.36687
CAN,2021,125.15441
CAN,2022,114.98892
CAN,2023,117.45999
CAN,2024,118.03067
CHE,2015,111.72294
CHE,2016,117.26108
CHE,2017,124.77135
CHE,2018,119.04445
CHE,2019,139.0279
CHE,2020,141.83545
CHE,2021,149.25205
CHE,2022,145.04988
CHE,2023,137.45883
CHE,2024,136.28301
CHL,2015,104.25985
CHL,2016,100.36255
CHL,2017,93.742053
CHL,2018,97.535605
CHL,2019,106.05215
CHL,2020,109.56457
CHL,2021,101.78804
CHL,2022,97.871536
CHL,2023,95.737244
CHL,2024,94.205036
CHN,2015,138.45207
CHN,2016,139.64352
CHN,2017,136.42913
CHN,2018,130.69487
CHN,2019,128.44847
CHN,2020,134.87823
CHN,2021,127.60329
CHN,2022,132.49416
CHN,2023,137.34382
