iso3,year,measure,share
AUS,2010,mortgage_burden,0.230169
AUS,2010,rent_burden,0.230974
AUS,2011,mortgage_burden,0.232663
AUS,2011,rent_burden,0.242636
AUS,2012,mortgage_burden,0.224928
AUS,2012,rent_burden,0.240838
AUS,2013,mortgage_burden,0.207300
AUS,2013,rent_burden,0.238133
AUS,2014,mortgage_burden,0.217737
AUS,2014,rent_burden,0.243015
AUS,2015,mortgage_burden,0.211390
AUS,2015,rent_burden,0.246367
AUS,2016,mortgage_burden,0.202947
AUS,2016,rent_burden,0.246969
AUS,2017,mortgage_burden,0.203285
AUS,2017,rent_burden,0.250699
AUS,2018,mortgage_burden,0.207657
AUS,2018,rent_burden,0.250707
AUS,2019,mortgage_burden,0.198765
AUS,2019,rent_burden,0.242177
AUS,2020,mortgage_burden,0.192629
AUS,2020,rent_burden,0.238245
AUS,2021,mortgage_burden,0.182440
AUS,2021,rent_burden,0.231343
AUT,2010,mortgage_burden,0.094371
AUT,2010,rent_burden,0.178518
AUT,2011,mortgage_burden,0.094206
AUT,2011,rent_burden,0.175052
AUT,2012,mortgage_burden,0.108738
AUT,2012,rent_burden,0.183745
AUT,2013,mortgage_burden,0.118464
AUT,2013,rent_burden,0.188078
AUT,2014,mortgage_burden,0.118508
AUT,2014,rent_burden,0.185984
AUT,2015,mortgage_burden,0.111275
AUT,2015,rent_burden,0.194653
AUT,2016,mortgage_burden,0.115886
AUT,2016,rent_burden,0.194352
AUT,2017,mortgage_burden,0.109239
AUT,2017,rent_burden,0.189112
AUT,2018,mortgage_burden,0.119491
AUT,2018,rent_burden,0.201232
AUT,2019,mortgage_burden,0.125205
AUT,2019,rent_burden,0.199300
AUT,2020,mortgage_burden,0.126453
AUT,2020,rent_burden,0.194357
AUT,2021,mortgage_burden,0.128595
AUT,2021,rent_burden,0.198460
AUT,2022,mortgage_burden,0.136271
AUT,2022,rent_burden,0.202513
AUT,2023,mortgage_burden,0.132308
AUT,2023,rent_burden,0.204493
AUT,2024,mortgage_burden,0.130801
AUT,2024,rent_burden,0.193695
BEL,2012,mortgage_burden,0.182875
BEL,2012,rent_burden,0.252286
BEL,2014,mortgage_burden,0.180260
BEL,2014,rent_burden,0.263580
BEL,2015,mortgage_burden,0.181449
BEL,2015,rent_burden,0.267501
BEL,2016,mortgage_burden,0.181118
BEL,2016,rent_burden,0.266298
BEL,2017,mortgage_burden,0.190620
BEL,2017,rent_burden,0.267480
BEL,2018,mortgage_burden,0.182554
BEL,2018,rent_burden,0.272727
BEL,2019,mortgage_burden,0.179299
BEL,2019,rent_burden,0.257192
BEL,2020,mortgage_burden,0.174307
BEL,2020,rent_burden,0.254190
BEL,2021,mortgage_burden,0.169592
BEL,2021,rent_burden,0.253727
BEL,2022,mortgage_burden,0.173460
BEL,2022,rent_burden,0.261055
BEL,2023,mortgage_burden,0.168572
BEL,2023,rent_burden,0.255392
BEL,2024,mortgage_burden,0.163692
BEL,2024,rent_burden,0.245291
BGR,2010,rent_burden,0.153103
BGR,2011,rent_burden,0.131494
BGR,2012,rent_burden,0.157011
BGR,2013,rent_burden,0.146070
BGR,2014,rent_burden,0.155792
BGR,2015,rent_burden,0.160428
BGR,2016,rent_burden,0.151511
BGR,2017,rent_burden,0.152654
BGR,2018,rent_burden,0.156649
BGR,2019,rent_burden,0.149636
BGR,2020,rent_burden,0.141338
BGR,2021,rent_burden,0.155587
BGR,2022,rent_burden,0.127171
BGR,2023,rent_burden,0.119476
BGR,2024,rent_burden,0.113675
CAN,2010,mortgage_burden,0.167010
CAN,2010,rent_burden,0.247605
CAN,2011,mortgage_burden,0.163990
CAN,2011,rent_burden,0.242424
CAN,2012,mortgage_burden,0.159762
CAN,2012,rent_burden,0.246249
CAN,2013,mortgage_burden,0.154661
CAN,2013,rent_burden,0.251770
CAN,2014,mortgage_burden,0.157315
CAN,2014,rent_burden,0.245077
CAN,2015,mortgage_burden,0.158028
CAN,2015,rent_burden,0.253819
CAN,2016,mortgage_burden,0.157265
CAN,2016,rent_burden,0.247066
CAN,2017,mortgage_burden,0.159423
CAN,2017,rent_burden,0.250000
CAN,2018,mortgage_burden,0.156695
CAN,2018,rent_burden,0.247168
CAN,2019,mortgage_burden,0.158387
