iso3,year,tenure,share
AUS,2010,other,0.056427
AUS,2010,own_mortgage,0.311367
AUS,2010,own_outright,0.333023
AUS,2010,rent_private,0.299183
AUS,2011,other,0.051032
AUS,2011,own_mortgage,0.290410
AUS,2011,own_outright,0.336891
AUS,2011,rent_private,0.321667
AUS,2012,other,0.056316
AUS,2012,own_mortgage,0.299597
AUS,2012,own_outright,0.328994
AUS,2012,rent_private,0.315093
AUS,2013,other,0.057404
AUS,2013,own_mortgage,0.300015
AUS,2013,own_outright,0.323853
AUS,2013,rent_private,0.318728
AUS,2014,other,0.057473
AUS,2014,own_mortgage,0.306744
AUS,2014,own_outright,0.321314
AUS,2014,rent_private,0.314469
AUS,2015,other,0.046437
AUS,2015,own_mortgage,0.315330
AUS,2015,own_outright,0.319933
AUS,2015,rent_private,0.318300
AUS,2016,other,0.053555
AUS,2016,own_mortgage,0.311799
AUS,2016,own_outright,0.317994
AUS,2016,rent_private,0.316653
AUS,2017,other,0.051715
AUS,2017,own_mortgage,0.308351
AUS,2017,own_outright,0.319555
AUS,2017,rent_private,0.320380
AUS,2018,other,0.052102
AUS,2018,own_mortgage,0.317584
AUS,2018,own_outright,0.306755
AUS,2018,rent_private,0.323559
AUS,2019,other,0.050081
AUS,2019,own_mortgage,0.320307
AUS,2019,own_outright,0.306623
AUS,2019,rent_private,0.322989
AUS,2020,other,0.049204
AUS,2020,own_mortgage,0.318353
AUS,2020,own_outright,0.311176
AUS,2020,rent_private,0.321267
AUS,2021,other,0.056044
AUS,2021,own_mortgage,0.312655
AUS,2021,own_outright,0.313914
AUS,2021,rent_private,0.317388
AUT,2010,other,0.078227
AUT,2010,own_mortgage,0.197970
AUT,2010,own_outright,0.306163
AUT,2010,rent_private,0.417640
AUT,2011,other,0.091376
AUT,2011,own_mortgage,0.176410
AUT,2011,own_outright,0.270365
AUT,2011,rent_private,0.461849
AUT,2012,other,0.080533
AUT,2012,own_mortgage,0.201552
AUT,2012,own_outright,0.294471
AUT,2012,rent_private,0.423444
AUT,2013,other,0.076601
AUT,2013,own_mortgage,0.203231
AUT,2013,own_outright,0.296314
AUT,2013,rent_private,0.423855
AUT,2014,other,0.073702
AUT,2014,own_mortgage,0.192197
AUT,2014,own_outright,0.304994
