iso3,year,activity,item,value,unit_mult
AUS,2018,A,N112N,65917,6
AUS,2018,A,N1131N,17389,6
AUS,2018,A,N1132N,1812,6
AUS,2018,A,N115N,25417,6
AUS,2018,A,N117N,1355,6
AUS,2018,A,N11ON,33723,6
AUS,2018,B,N112N,723724,6
AUS,2018,B,N1131N,5880,6
AUS,2018,B,N1132N,1244,6
AUS,2018,B,N117N,106720,6
AUS,2018,B,N11ON,84286,6
AUS,2018,C,N112N,98522,6
AUS,2018,C,N1131N,6329,6
AUS,2018,C,N1132N,1807,6
AUS,2018,C,N117N,23044,6
AUS,2018,C,N11ON,49741,6
AUS,2018,D,N112N,356936,6
AUS,2018,D,N1131N,4186,6
AUS,2018,D,N1132N,34643,6
AUS,2018,D,N117N,5114,6
AUS,2018,D,N11ON,15503,6
AUS,2018,F,N112N,18928,6
AUS,2018,F,N1131N,21512,6
AUS,2018,F,N1132N,4033,6
AUS,2018,F,N117N,4119,6
AUS,2018,F,N11ON,18474,6
AUS,2018,G,N112N,76781,6
AUS,2018,G,N1131N,19471,6
AUS,2018,G,N1132N,6798,6
AUS,2018,G,N117N,8766,6
AUS,2018,G,N11ON,34042,6
AUS,2018,G46,N112N,33558,6
AUS,2018,G46,N1131N,7600,6
AUS,2018,G46,N1132N,2787,6
AUS,2018,G46,N117N,6181,6
AUS,2018,G46,N11ON,17777,6
AUS,2018,G47,N112N,43223,6
AUS,2018,G47,N1131N,11871,6
AUS,2018,G47,N1132N,4011,6
AUS,2018,G47,N117N,2585,6
AUS,2018,G47,N11ON,16265,6
AUS,2018,H,N112N,386176,6
AUS,2018,H,N1131N,72300,6
AUS,2018,H,N1132N,3561,6
AUS,2018,H,N117N,4723,6
AUS,2018,H,N11ON,19417,6
AUS,2018,I,N112N,63638,6
AUS,2018,I,N1131N,4035,6
AUS,2018,I,N1132N,2459,6
AUS,2018,I,N117N,689,6
AUS,2018,I,N11ON,10180,6
AUS,2018,J,N112N,164500,6
AUS,2018,J,N1131N,1318,6
AUS,2018,J,N1132N,8786,6
AUS,2018,J,N117N,13247,6
AUS,2018,J,N11ON,3562,6
AUS,2018,K,N112N,78466,6
AUS,2018,K,N1131N,10315,6
AUS,2018,K,N1132N,3803,6
AUS,2018,K,N117N,23548,6
AUS,2018,K,N11ON,5315,6
AUS,2018,L,N112N,230987,6
AUS,2018,L,N1131N,28399,6
AUS,2018,L,N1132N,4628,6
AUS,2018,L,N117N,1682,6
AUS,2018,L,N11ON,8801,6
AUS,2018,M,N112N,22144,6
AUS,2018,M,N1131N,8910,6
AUS,2018,M,N1132N,2382,6
AUS,2018,M,N117N,31429,6
AUS,2018,M,N11ON,13067,6
AUS,2018,N,N112N,9214,6
AUS,2018,N,N1131N,2479,6
AUS,2018,N,N1132N,717,6
AUS,2018,N,N117N,2892,6
AUS,2018,N,N11ON,5042,6
AUS,2018,O,N112N,203098,6
AUS,2018,O,N1131N,7946,6
AUS,2018,O,N1132N,4230,6
AUS,2018,O,N117N,11699,6
AUS,2018,O,N11ON,80574,6
AUS,2018,P,N112N,159976,6
AUS,2018,P,N1131N,5283,6
AUS,2018,P,N1132N,2121,6
AUS,2018,P,N117N,8432,6
AUS,2018,P,N11ON,6064,6
AUS,2018,Q,N112N,142416,6
AUS,2018,Q,N1131N,16199,6
AUS,2018,Q,N1132N,4093,6
AUS,2018,Q,N117N,4516,6
AUS,2018,Q,N11ON,9654,6
AUS,2018,R,N112N,63418,6
AUS,2018,R,N1131N,3504,6
AUS,2018,R,N1132N,2847,6
AUS,2018,R,N117N,2172,6
AUS,2018,R,N11ON,2140,6
AUS,2018,S,N112N,12151,6
AUS,2018,S,N1131N,5469,6
AUS,2018,S,N1132N,2508,6
AUS,2018,S,N117N,1712,6
AUS,2018,S,N11ON,2424,6
AUS,2018,_T,N112N,2876993,6
AUS,2018,_T,N1131N,240926,6
AUS,2018,_T,N1132N,92472,6
AUS,2018,_T,N115N,25417,6
AUS,2018,_T,N117N,255857,6
AUS,2018,_T,N11ON,402006,6
AUS,2019,A,N112N,66093,6
AUS,2019,A,N1131N,18060,6
AUS,2019,A,N1132N,1812,6
AUS,2019,A,N115N,29498,6
AUS,2019,A,N117N,1481,6
AUS,2019,A,N11ON,34229,6
AUS,2019,B,N112N,731392,6
AUS,2019,B,N1131N,6079,6
AUS,2019,B,N1132N,1284,6
AUS,2019,B,N117N,104971,6
AUS,2019,B,N11ON,87153,6
AUS,2019,C,N112N,98710,6
AUS,2019,C,N1131N,6422,6
AUS,2019,C,N1132N,1850,6
AUS,2019,C,N117N,23917,6
AUS,2019,C,N11ON,49925,6
AUS,2019,D,N112N,374907,6
AUS,2019,D,N1131N,4268,6
AUS,2019,D,N1132N,38458,6
AUS,2019,D,N117N,5377,6
AUS,2019,D,N11ON,15600,6
AUS,2019,F,N112N,19175,6
AUS,2019,F,N1131N,22642,6
AUS,2019,F,N1132N,4151,6
AUS,2019,F,N117N,3876,6
AUS,2019,F,N11ON,18933,6
AUS,2019,G,N112N,78607,6
AUS,2019,G,N1131N,20439,6
AUS,2019,G,N1132N,6995,6
AUS,2019,G,N117N,8858,6
AUS,2019,G,N11ON,35041,6
AUS,2019,G46,N112N,33664,6
AUS,2019,G46,N1131N,8069,6
AUS,2019,G46,N1132N,2846,6
AUS,2019,G46,N117N,6106,6
AUS,2019,G46,N11ON,18228,6
AUS,2019,G47,N112N,44943,6
AUS,2019,G47,N1131N,12370,6
AUS,2019,G47,N1132N,4149,6
AUS,2019,G47,N117N,2752,6
AUS,2019,G47,N11ON,16813,6
AUS,2019,H,N112N,406440,6
AUS,2019,H,N1131N,72698,6
AUS,2019,H,N1132N,3531,6
AUS,2019,H,N117N,4723,6
AUS,2019,H,N11ON,19728,6
AUS,2019,I,N112N,64117,6
AUS,2019,I,N1131N,4155,6
AUS,2019,I,N1132N,2470,6
AUS,2019,I,N117N,731,6
AUS,2019,I,N11ON,10361,6
AUS,2019,J,N112N,174224,6
AUS,2019,J,N1131N,1365,6
AUS,2019,J,N1132N,8664,6
AUS,2019,J,N117N,13173,6
AUS,2019,J,N11ON,3598,6
AUS,2019,K,N112N,77691,6
AUS,2019,K,N1131N,10862,6
AUS,2019,K,N1132N,3885,6
AUS,2019,K,N117N,23729,6
AUS,2019,K,N11ON,5435,6
AUS,2019,L,N112N,241626,6
AUS,2019,L,N1131N,28592,6
AUS,2019,L,N1132N,4655,6
AUS,2019,L,N117N,1926,6
AUS,2019,L,N11ON,8878,6
AUS,2019,M,N112N,22919,6
AUS,2019,M,N1131N,9269,6
AUS,2019,M,N1132N,2405,6
AUS,2019,M,N117N,35022,6
AUS,2019,M,N11ON,13221,6
AUS,2019,N,N112N,8542,6
AUS,2019,N,N1131N,2507,6
AUS,2019,N,N1132N,729,6
AUS,2019,N,N117N,2886,6
AUS,2019,N,N11ON,5057,6
AUS,2019,O,N112N,215045,6
AUS,2019,O,N1131N,8222,6
AUS,2019,O,N1132N,4230,6
AUS,2019,O,N117N,11802,6
AUS,2019,O,N11ON,83987,6
AUS,2019,P,N112N,164294,6
AUS,2019,P,N1131N,5607,6
AUS,2019,P,N1132N,2153,6
AUS,2019,P,N117N,8568,6
AUS,2019,P,N11ON,6453,6
AUS,2019,Q,N112N,152376,6
AUS,2019,Q,N1131N,17196,6
AUS,2019,Q,N1132N,4207,6
AUS,2019,Q,N117N,4796,6
AUS,2019,Q,N11ON,10098,6
AUS,2019,R,N112N,65966,6
AUS,2019,R,N1131N,3704,6
AUS,2019,R,N1132N,2893,6
AUS,2019,R,N117N,2330,6
AUS,2019,R,N11ON,2254,6
AUS,2019,S,N112N,12624,6
AUS,2019,S,N1131N,5725,6
AUS,2019,S,N1132N,2622,6
AUS,2019,S,N117N,2027,6
AUS,2019,S,N11ON,2490,6
AUS,2019,_T,N112N,2974744,6
AUS,2019,_T,N1131N,247813,6
AUS,2019,_T,N1132N,96993,6
AUS,2019,_T,N115N,29498,6
AUS,2019,_T,N117N,260192,6
AUS,2019,_T,N11ON,412442,6
AUS,2020,A,N112N,67182,6
AUS,2020,A,N1131N,19261,6
AUS,2020,A,N1132N,1793,6
AUS,2020,A,N115N,36266,6
AUS,2020,A,N117N,1596,6
AUS,2020,A,N11ON,34999,6
AUS,2020,B,N112N,753858,6
AUS,2020,B,N1131N,6362,6
AUS,2020,B,N1132N,1292,6
AUS,2020,B,N117N,109944,6
AUS,2020,B,N11ON,89910,6
AUS,2020,C,N112N,101254,6
AUS,2020,C,N1131N,6752,6
AUS,2020,C,N1132N,1875,6
AUS,2020,C,N117N,24620,6
AUS,2020,C,N11ON,50744,6
AUS,2020,D,N112N,400127,6
AUS,2020,D,N1131N,4404,6
AUS,2020,D,N1132N,42750,6
AUS,2020,D,N117N,5724,6
AUS,2020,D,N11ON,15874,6
AUS,2020,F,N112N,19918,6
AUS,2020,F,N1131N,24880,6
AUS,2020,F,N1132N,4313,6
AUS,2020,F,N117N,3569,6
AUS,2020,F,N11ON,19747,6
AUS,2020,G,N112N,82105,6
AUS,2020,G,N1131N,22465,6
AUS,2020,G,N1132N,7363,6
AUS,2020,G,N117N,9331,6
AUS,2020,G,N11ON,37261,6
AUS,2020,G46,N112N,34699,6
AUS,2020,G46,N1131N,8841,6
AUS,2020,G46,N1132N,2938,6
AUS,2020,G46,N117N,6200,6
AUS,2020,G46,N11ON,19097,6
AUS,2020,G47,N112N,47406,6
AUS,2020,G47,N1131N,13624,6
AUS,2020,G47,N1132N,4425,6
AUS,2020,G47,N117N,3131,6
AUS,2020,G47,N11ON,18164,6
AUS,2020,H,N112N,435325,6
AUS,2020,H,N1131N,72768,6
AUS,2020,H,N1132N,3482,6
AUS,2020,H,N117N,4768,6
AUS,2020,H,N11ON,20296,6
AUS,2020,I,N112N,65283,6
AUS,2020,I,N1131N,4494,6
AUS,2020,I,N1132N,2454,6
AUS,2020,I,N117N,778,6
AUS,2020,I,N11ON,10777,6
AUS,2020,J,N112N,184702,6
AUS,2020,J,N1131N,1421,6
AUS,2020,J,N1132N,8376,6
AUS,2020,J,N117N,13420,6
AUS,2020,J,N11ON,3630,6
AUS,2020,K,N112N,78343,6
AUS,2020,K,N1131N,11667,6
AUS,2020,K,N1132N,3916,6
AUS,2020,K,N117N,24225,6
AUS,2020,K,N11ON,5673,6
AUS,2020,L,N112N,254739,6
AUS,2020,L,N1131N,29369,6
AUS,2020,L,N1132N,4566,6
AUS,2020,L,N117N,2074,6
AUS,2020,L,N11ON,8926,6
AUS,2020,M,N112N,24189,6
AUS,2020,M,N1131N,10021,6
AUS,2020,M,N1132N,2501,6
AUS,2020,M,N117N,38759,6
AUS,2020,M,N11ON,13839,6
AUS,2020,N,N112N,7943,6
AUS,2020,N,N1131N,2703,6
AUS,2020,N,N1132N,784,6
AUS,2020,N,N117N,2959,6
AUS,2020,N,N11ON,5356,6
AUS,2020,O,N112N,231514,6
AUS,2020,O,N1131N,8606,6
AUS,2020,O,N1132N,4248,6
AUS,2020,O,N117N,12311,6
AUS,2020,O,N11ON,86635,6
AUS,2020,P,N112N,171814,6
AUS,2020,P,N1131N,6031,6
AUS,2020,P,N1132N,2178,6
AUS,2020,P,N117N,8950,6
AUS,2020,P,N11ON,6931,6
AUS,2020,Q,N112N,164245,6
AUS,2020,Q,N1131N,18562,6
AUS,2020,Q,N1132N,4223,6
AUS,2020,Q,N117N,5330,6
AUS,2020,Q,N11ON,10622,6
AUS,2020,R,N112N,69841,6
AUS,2020,R,N1131N,3867,6
AUS,2020,R,N1132N,2822,6
AUS,2020,R,N117N,2488,6
AUS,2020,R,N11ON,2367,6
AUS,2020,S,N112N,13745,6
AUS,2020,S,N1131N,6355,6
AUS,2020,S,N1132N,2951,6
AUS,2020,S,N117N,2279,6
AUS,2020,S,N11ON,2692,6
AUS,2020,_T,N112N,3126126,6
AUS,2020,_T,N1131N,259990,6
AUS,2020,_T,N1132N,101885,6
AUS,2020,_T,N115N,36266,6
AUS,2020,_T,N117N,273125,6
AUS,2020,_T,N11ON,426276,6
AUS,2021,A,N112N,71208,6
AUS,2021,A,N1131N,21064,6
AUS,2021,A,N1132N,1983,6
AUS,2021,A,N115N,40746,6
AUS,2021,A,N117N,1783,6
AUS,2021,A,N11ON,38555,6
AUS,2021,B,N112N,809296,6
AUS,2021,B,N1131N,6977,6
AUS,2021,B,N1132N,1419,6
AUS,2021,B,N117N,120080,6
AUS,2021,B,N11ON,99548,6
AUS,2021,C,N112N,107636,6
AUS,2021,C,N1131N,7263,6
AUS,2021,C,N1132N,2107,6
AUS,2021,C,N117N,25676,6
AUS,2021,C,N11ON,55470,6
AUS,2021,D,N112N,438989,6
AUS,2021,D,N1131N,4583,6
AUS,2021,D,N1132N,47694,6
AUS,2021,D,N117N,6288,6
AUS,2021,D,N11ON,17033,6
AUS,2021,F,N112N,21515,6
AUS,2021,F,N1131N,27961,6
AUS,2021,F,N1132N,4878,6
AUS,2021,F,N117N,3547,6
AUS,2021,F,N11ON,22036,6
AUS,2021,G,N112N,89387,6
AUS,2021,G,N1131N,24656,6
AUS,2021,G,N1132N,8270,6
AUS,2021,G,N117N,11001,6
AUS,2021,G,N11ON,41747,6
AUS,2021,G46,N112N,37573,6
AUS,2021,G46,N1131N,9747,6
AUS,2021,G46,N1132N,3297,6
AUS,2021,G46,N117N,6804,6
AUS,2021,G46,N11ON,21301,6
AUS,2021,G47,N112N,51814,6
AUS,2021,G47,N1131N,14909,6
AUS,2021,G47,N1132N,4973,6
AUS,2021,G47,N117N,4197,6
AUS,2021,G47,N11ON,20446,6
AUS,2021,H,N112N,484910,6
AUS,2021,H,N1131N,77437,6
AUS,2021,H,N1132N,3661,6
AUS,2021,H,N117N,5063,6
AUS,2021,H,N11ON,22140,6
AUS,2021,I,N112N,69293,6
AUS,2021,I,N1131N,4819,6
AUS,2021,I,N1132N,2725,6
AUS,2021,I,N117N,930,6
AUS,2021,I,N11ON,12053,6
AUS,2021,J,N112N,202088,6
AUS,2021,J,N1131N,1500,6
AUS,2021,J,N1132N,8730,6
AUS,2021,J,N117N,14682,6
AUS,2021,J,N11ON,3870,6
AUS,2021,K,N112N,81834,6
AUS,2021,K,N1131N,12599,6
AUS,2021,K,N1132N,4310,6
AUS,2021,K,N117N,24330,6
AUS,2021,K,N11ON,6231,6
AUS,2021,L,N112N,278282,6
AUS,2021,L,N1131N,31017,6
AUS,2021,L,N1132N,5124,6
AUS,2021,L,N117N,2354,6
AUS,2021,L,N11ON,9814,6
AUS,2021,M,N112N,26540,6
AUS,2021,M,N1131N,10774,6
AUS,2021,M,N1132N,2784,6
AUS,2021,M,N117N,43991,6
AUS,2021,M,N11ON,15189,6
AUS,2021,N,N112N,7572,6
AUS,2021,N,N1131N,2946,6
AUS,2021,N,N1132N,899,6
AUS,2021,N,N117N,3343,6
AUS,2021,N,N11ON,5958,6
AUS,2021,O,N112N,260745,6
AUS,2021,O,N1131N,9193,6
AUS,2021,O,N1132N,4620,6
AUS,2021,O,N117N,13200,6
AUS,2021,O,N11ON,97292,6
AUS,2021,P,N112N,187347,6
AUS,2021,P,N1131N,6497,6
AUS,2021,P,N1132N,2350,6
AUS,2021,P,N117N,9682,6
AUS,2021,P,N11ON,7775,6
AUS,2021,Q,N112N,184165,6
AUS,2021,Q,N1131N,20256,6
AUS,2021,Q,N1132N,4514,6
AUS,2021,Q,N117N,6124,6
AUS,2021,Q,N11ON,11682,6
AUS,2021,R,N112N,77134,6
AUS,2021,R,N1131N,4128,6
AUS,2021,R,N1132N,3004,6
AUS,2021,R,N117N,2743,6
AUS,2021,R,N11ON,2612,6
AUS,2021,S,N112N,15232,6
AUS,2021,S,N1131N,6880,6
AUS,2021,S,N1132N,3185,6
AUS,2021,S,N117N,2558,6
AUS,2021,S,N11ON,2949,6
AUS,2021,_T,N112N,3413172,6
AUS,2021,_T,N1131N,280554,6
AUS,2021,_T,N1132N,112256,6
AUS,2021,_T,N115N,40746,6
AUS,2021,_T,N117N,297376,6
AUS,2021,_T,N11ON,471955,6
AUS,2022,A,N112N,74971,6
AUS,2022,A,N1131N,23141,6
AUS,2022,A,N1132N,2208,6
AUS,2022,A,N115N,43764,6
AUS,2022,A,N117N,1970,6
AUS,2022,A,N11ON,42627,6
AUS,2022,B,N112N,863140,6
AUS,2022,B,N1131N,7681,6
AUS,2022,B,N1132N,1547,6
AUS,2022,B,N117N,124821,6
AUS,2022,B,N11ON,109790,6
AUS,2022,C,N112N,116426,6
AUS,2022,C,N1131N,7765,6
AUS,2022,C,N1132N,2316,6
AUS,2022,C,N117N,26416,6
AUS,2022,C,N11ON,60503,6
AUS,2022,D,N112N,481240,6
AUS,2022,D,N1131N,4958,6
AUS,2022,D,N1132N,52675,6
AUS,2022,D,N117N,6646,6
AUS,2022,D,N11ON,18330,6
AUS,2022,F,N112N,23246,6
AUS,2022,F,N1131N,30446,6
AUS,2022,F,N1132N,5240,6
AUS,2022,F,N117N,3762,6
AUS,2022,F,N11ON,23845,6
AUS,2022,G,N112N,96161,6
AUS,2022,G,N1131N,26759,6
AUS,2022,G,N1132N,9056,6
AUS,2022,G,N117N,12970,6
AUS,2022,G,N11ON,45756,6
AUS,2022,G46,N112N,40314,6
AUS,2022,G46,N1131N,10523,6
AUS,2022,G46,N1132N,3571,6
AUS,2022,G46,N117N,7541,6
AUS,2022,G46,N11ON,23348,6
AUS,2022,G47,N112N,55847,6
AUS,2022,G47,N1131N,16236,6
AUS,2022,G47,N1132N,5485,6
AUS,2022,G47,N117N,5429,6
AUS,2022,G47,N11ON,22408,6
AUS,2022,H,N112N,541411,6
AUS,2022,H,N1131N,84473,6
AUS,2022,H,N1132N,3892,6
AUS,2022,H,N117N,5302,6
AUS,2022,H,N11ON,23717,6
AUS,2022,I,N112N,73922,6
AUS,2022,I,N1131N,5173,6
AUS,2022,I,N1132N,3058,6
AUS,2022,I,N117N,1109,6
AUS,2022,I,N11ON,13271,6
AUS,2022,J,N112N,219275,6
AUS,2022,J,N1131N,1576,6
AUS,2022,J,N1132N,9235,6
AUS,2022,J,N117N,15576,6
AUS,2022,J,N11ON,4043,6
