iso3,year,measure,sex,value
ARG,2024,pension_age,F,60
ARG,2024,pension_age,M,65
ARG,2024,replacement_rate,F,66.3
ARG,2024,replacement_rate,M,68.7
AUS,2014,occupational_income,_Z,17.5
AUS,2014,public_income,_Z,38.1
AUS,2016,occupational_income,_Z,21.7
AUS,2016,public_income,_Z,38
AUS,2018,occupational_income,_Z,22.8
AUS,2018,public_income,_Z,32.7
AUS,2020,occupational_income,_Z,24.8
AUS,2020,public_income,_Z,32.8
AUS,2022,occupational_income,_Z,24.8
AUS,2022,public_income,_Z,32.8
AUS,2024,pension_age,F,67
AUS,2024,pension_age,M,67
AUS,2024,replacement_rate,F,38.5
AUS,2024,replacement_rate,M,40.8
AUT,2014,occupational_income,_Z,0
AUT,2014,public_income,_Z,81.8
AUT,2016,occupational_income,_Z,0
AUT,2016,public_income,_Z,81.2
AUT,2018,occupational_income,_Z,0
AUT,2018,public_income,_Z,80.8
AUT,2020,occupational_income,_Z,0
AUT,2020,public_income,_Z,82.2
AUT,2022,occupational_income,_Z,0
AUT,2022,public_income,_Z,78.2
AUT,2024,pension_age,F,60.5
AUT,2024,pension_age,M,65
AUT,2024,replacement_rate,F,74.1
AUT,2024,replacement_rate,M,74.1
BEL,2014,occupational_income,_Z,0
BEL,2014,public_income,_Z,84.1
BEL,2016,occupational_income,_Z,0
BEL,2016,public_income,_Z,85
BEL,2018,occupational_income,_Z,0
BEL,2018,public_income,_Z,82.4
BEL,2020,occupational_income,_Z,0
BEL,2020,public_income,_Z,85.8
BEL,2022,occupational_income,_Z,0
BEL,2022,public_income,_Z,85.2
BEL,2024,pension_age,F,65
BEL,2024,pension_age,M,65
BEL,2024,replacement_rate,F,43.5
BEL,2024,replacement_rate,M,43.5
BGR,2024,pension_age,F,62.2
BGR,2024,pension_age,M,64.6
BGR,2024,replacement_rate,F,58.5
BGR,2024,replacement_rate,M,58.5
BRA,2024,pension_age,F,62
BRA,2024,pension_age,M,65
BRA,2024,replacement_rate,F,93.3
BRA,2024,replacement_rate,M,88.4
CAN,2014,occupational_income,_Z,0
CAN,2014,public_income,_Z,35.1
CAN,2016,occupational_income,_Z,0
CAN,2016,public_income,_Z,35.1
CAN,2018,occupational_income,_Z,0
CAN,2018,public_income,_Z,34.4
CAN,2020,occupational_income,_Z,0
CAN,2020,public_income,_Z,37.6
CAN,2022,occupational_income,_Z,0
CAN,2022,public_income,_Z,32.7
CAN,2024,pension_age,F,65
CAN,2024,pension_age,M,65
CAN,2024,replacement_rate,F,37.1
CAN,2024,replacement_rate,M,37.1
CHE,2014,occupational_income,_Z,28.7
CHE,2014,public_income,_Z,41.6
CHE,2016,occupational_income,_Z,30.6
CHE,2016,public_income,_Z,43.2
CHE,2018,occupational_income,_Z,29.1
CHE,2018,public_income,_Z,42.5
CHE,2020,occupational_income,_Z,28.3
CHE,2020,public_income,_Z,41.1
CHE,2022,occupational_income,_Z,29
CHE,2022,public_income,_Z,42.2
CHE,2024,pension_age,F,64
CHE,2024,pension_age,M,65
CHE,2024,replacement_rate,F,42.4
CHE,2024,replacement_rate,M,42.4
CHL,2014,occupational_income,_Z,27.7
CHL,2014,public_income,_Z,19
CHL,2016,occupational_income,_Z,27.2
CHL,2016,public_income,_Z,18.3
CHL,2018,occupational_income,_Z,27.2
CHL,2018,public_income,_Z,18.3
