iso3,year,activity,item,value,unit_mult
ALB,2018,A,B1G,297545.187,6
ALB,2018,B,B1G,33393.409,6
ALB,2018,C,B1G,111409.736,6
ALB,2018,D,B1G,44357.843,6
ALB,2018,E,B1G,10229.51,6
ALB,2018,F,B1G,195113.922,6
ALB,2018,G,B1G,189482.188,6
ALB,2018,H,B1G,45556.221,6
ALB,2018,I,B1G,35948.179,6
ALB,2018,J,B1G,33522.003,6
ALB,2018,K,B1G,30343.625,6
ALB,2018,L,B1G,88650.434,6
ALB,2018,M,B1G,55849.47,6
ALB,2018,N,B1G,50946.691,6
ALB,2018,O,B1G,85350.83,6
ALB,2018,P,B1G,51530.62,6
ALB,2018,Q,B1G,42538.983,6
ALB,2018,R,B1G,27635.61,6
ALB,2018,S,B1G,14054,6
ALB,2018,_T,B1G,1429404.462,6
ALB,2019,A,B1G,310912.812,6
ALB,2019,B,B1G,36265.593,6
ALB,2019,C,B1G,119285.97,6
ALB,2019,D,B1G,33506,6
ALB,2019,E,B1G,11139.231,6
ALB,2019,F,B1G,192981.843,6
ALB,2019,G,B1G,198053.291,6
ALB,2019,H,B1G,48127.489,6
ALB,2019,I,B1G,43097.677,6
ALB,2019,J,B1G,37147.034,6
ALB,2019,K,B1G,29810.353,6
ALB,2019,L,B1G,93144.231,6
ALB,2019,M,B1G,58669.165,6
ALB,2019,N,B1G,57423.934,6
ALB,2019,O,B1G,90109.449,6
ALB,2019,P,B1G,53552.801,6
ALB,2019,Q,B1G,45638.524,6
ALB,2019,R,B1G,23405.49,6
ALB,2019,S,B1G,16240,6
ALB,2019,_T,B1G,1482270.581,6
ALB,2020,A,B1G,311426.727,6
ALB,2020,B,B1G,25333.365,6
ALB,2020,C,B1G,117068.374,6
ALB,2020,D,B1G,33278,6
ALB,2020,E,B1G,11267.876,6
ALB,2020,F,B1G,201691.114,6
ALB,2020,G,B1G,198443.174,6
ALB,2020,H,B1G,42095.721,6
ALB,2020,I,B1G,30870.611,6
ALB,2020,J,B1G,37947.773,6
ALB,2020,K,B1G,26570.079,6
ALB,2020,L,B1G,95961.266,6
ALB,2020,M,B1G,52123.985,6
ALB,2020,N,B1G,53232.18,6
ALB,2020,O,B1G,92035.076,6
ALB,2020,P,B1G,56119.678,6
ALB,2020,Q,B1G,48956.603,6
ALB,2020,R,B1G,22782.316,6
ALB,2020,S,B1G,16103,6
ALB,2020,_T,B1G,1457203.493,6
ALB,2021,A,B1G,332141.07,6
ALB,2021,B,B1G,27896.362,6
ALB,2021,C,B1G,129141.882,6
ALB,2021,D,B1G,35615,6
ALB,2021,E,B1G,12371.763,6
ALB,2021,F,B1G,213746.365,6
ALB,2021,G,B1G,213310.22,6
ALB,2021,H,B1G,50952.701,6
ALB,2021,I,B1G,38926.814,6
ALB,2021,J,B1G,43296.104,6
ALB,2021,K,B1G,30589.807,6
ALB,2021,L,B1G,103485.393,6
ALB,2021,M,B1G,53541.687,6
ALB,2021,N,B1G,60960.533,6
ALB,2021,O,B1G,99094.895,6
ALB,2021,P,B1G,61173.382,6
ALB,2021,Q,B1G,62276.578,6
ALB,2021,R,B1G,27597.814,6
ALB,2021,S,B1G,18066.907,6
ALB,2021,_T,B1G,1596118.731,6
ALB,2022,A,B1G,365122.284,6
ALB,2022,B,B1G,32181.562,6
ALB,2022,C,B1G,161329.837,6
ALB,2022,D,B1G,38208,6
ALB,2022,E,B1G,14544.59,6
ALB,2022,F,B1G,248715.471,6
ALB,2022,G,B1G,262168.153,6
ALB,2022,H,B1G,62367.599,6
ALB,2022,I,B1G,57155.211,6
ALB,2022,J,B1G,52157.671,6
ALB,2022,K,B1G,34055.149,6
ALB,2022,L,B1G,111305.239,6
ALB,2022,M,B1G,69873.768,6
ALB,2022,N,B1G,73514.658,6
ALB,2022,O,B1G,104804.388,6
ALB,2022,P,B1G,64376.313,6
ALB,2022,Q,B1G,67461.692,6
ALB,2022,R,B1G,36071.62,6
ALB,2022,S,B1G,23601.742,6
ALB,2022,_T,B1G,1855412.804,6
AUS,2018,A,B1G,41533,6
AUS,2018,B,B1G,190557,6
AUS,2018,C,B1G,106591,6
AUS,2018,D,B1G,52072,6
AUS,2018,F,B1G,144572,6
AUS,2018,G,B1G,150545,6
AUS,2018,G46,B1G,71164,6
AUS,2018,G47,B1G,79381,6
AUS,2018,H,B1G,89595,6
AUS,2018,I,B1G,47358,6
AUS,2018,J,B1G,44526,6
AUS,2018,K,B1G,146143,6
AUS,2018,L,B1G,229365,6
AUS,2018,L68A,B1G,173350,6
AUS,2018,M,B1G,131972,6
AUS,2018,N,B1G,67837,6
AUS,2018,O,B1G,101855,6
AUS,2018,P,B1G,92219,6
AUS,2018,Q,B1G,139785,6
AUS,2018,R,B1G,15752,6
AUS,2018,S,B1G,34400,6
AUS,2018,_T,B1G,1826677,6
AUS,2019,A,B1G,40081,6
AUS,2019,B,B1G,202484,6
AUS,2019,C,B1G,109491,6
AUS,2019,D,B1G,50955,6
AUS,2019,F,B1G,142334,6
AUS,2019,G,B1G,156535,6
AUS,2019,G46,B1G,74345,6
AUS,2019,G47,B1G,82190,6
AUS,2019,H,B1G,88880,6
AUS,2019,I,B1G,41532,6
AUS,2019,J,B1G,45161,6
AUS,2019,K,B1G,147282,6
AUS,2019,L,B1G,235199,6
AUS,2019,L68A,B1G,179855,6
AUS,2019,M,B1G,139714,6
AUS,2019,N,B1G,68213,6
AUS,2019,O,B1G,106956,6
AUS,2019,P,B1G,96496,6
AUS,2019,Q,B1G,145477,6
AUS,2019,R,B1G,14465,6
AUS,2019,S,B1G,31900,6
AUS,2019,_T,B1G,1863155,6
AUS,2020,A,B1G,48206,6
AUS,2020,B,B1G,222489,6
AUS,2020,C,B1G,113547,6
AUS,2020,D,B1G,50283,6
AUS,2020,F,B1G,145549,6
AUS,2020,G,B1G,172071,6
AUS,2020,G46,B1G,81435,6
AUS,2020,G47,B1G,90636,6
AUS,2020,H,B1G,85907,6
AUS,2020,I,B1G,42579,6
AUS,2020,J,B1G,46354,6
AUS,2020,K,B1G,153970,6
AUS,2020,L,B1G,243468,6
AUS,2020,L68A,B1G,185775,6
AUS,2020,M,B1G,147581,6
AUS,2020,N,B1G,66385,6
AUS,2020,O,B1G,111828,6
AUS,2020,P,B1G,100399,6
AUS,2020,Q,B1G,157579,6
AUS,2020,R,B1G,14095,6
AUS,2020,S,B1G,32134,6
AUS,2020,_T,B1G,1954424,6
AUS,2021,A,B1G,62452,6
AUS,2021,B,B1G,313986,6
AUS,2021,C,B1G,123593,6
AUS,2021,D,B1G,48840,6
AUS,2021,F,B1G,153938,6
AUS,2021,G,B1G,178921,6
AUS,2021,G46,B1G,84629,6
AUS,2021,G47,B1G,94292,6
AUS,2021,H,B1G,94985,6
AUS,2021,I,B1G,47049,6
AUS,2021,J,B1G,50266,6
AUS,2021,K,B1G,161916,6
AUS,2021,L,B1G,256885,6
AUS,2021,L68A,B1G,193309,6
AUS,2021,M,B1G,165302,6
AUS,2021,N,B1G,75692,6
AUS,2021,O,B1G,118408,6
AUS,2021,P,B1G,104907,6
AUS,2021,Q,B1G,176276,6
AUS,2021,R,B1G,15925,6
AUS,2021,S,B1G,34194,6
AUS,2021,_T,B1G,2183535,6
AUS,2022,A,B1G,66273,6
AUS,2022,B,B1G,349236,6
AUS,2022,C,B1G,135792,6
AUS,2022,D,B1G,52261,6
AUS,2022,F,B1G,171822,6
AUS,2022,G,B1G,206694,6
AUS,2022,G46,B1G,99567,6
AUS,2022,G47,B1G,107127,6
AUS,2022,H,B1G,110380,6
AUS,2022,I,B1G,62056,6
AUS,2022,J,B1G,52483,6
AUS,2022,K,B1G,177083,6
AUS,2022,L,B1G,272758,6
AUS,2022,L68A,B1G,207696,6
AUS,2022,M,B1G,183358,6
AUS,2022,N,B1G,85175,6
AUS,2022,O,B1G,126188,6
AUS,2022,P,B1G,114083,6
AUS,2022,Q,B1G,191950,6
AUS,2022,R,B1G,18688,6
AUS,2022,S,B1G,39027,6
AUS,2022,_T,B1G,2415307,6
AUT,2018,A,B1G,4250.506,6
AUT,2018,A01,B1G,3154.333,6
AUT,2018,A02,B1G,1067.092,6
AUT,2018,A03,B1G,29.082,6
AUT,2018,B,B1G,1169.893,6
AUT,2018,C,B1G,66380.461,6
