iso3,year,value
ALB,2015,44.8
ALB,2016,44.5
ALB,2017,44.4
ALB,2018,44.3
ALB,2019,44.7
ALB,2020,46
ALB,2021,44.3
ALB,2022,44
ALB,2023,44.1
ALB,2024,44.1
ALB,2025,44.2
ARG,2015,59.1
ARG,2016,60.6
ARG,2017,58.3
ARG,2018,56.1
ARG,2019,53.6
ARG,2020,52.2
ARG,2021,49.6
ARG,2022,50.1
ARG,2023,51.7
ARG,2024,51.8
ARG,2025,51
ARM,2015,53.3
ARM,2016,54
ARM,2017,53.1
ARM,2018,52
ARM,2019,52.2
ARM,2020,55.2
ARM,2021,53.5
ARM,2022,49.6
ARM,2023,49.9
ARM,2024,50.1
ARM,2025,50.3
AUS,2015,57.4
AUS,2016,55.9
AUS,2017,55.9
AUS,2018,55
AUS,2019,56.8
AUS,2020,55.6
AUS,2021,53.3
AUS,2022,53.3
AUS,2023,55
AUS,2024,54.7
AUS,2025,54.4
AUT,2015,62.3
AUT,2016,64.6
AUT,2017,63.6
AUT,2018,61.6
AUT,2019,60.5
AUT,2020,61.3
AUT,2021,61.9
AUT,2022,63.2
AUT,2023,61.4
AUT,2024,64.8
AUT,2025,64.6
BDI,2015,44.9
BDI,2016,37.2
BDI,2017,40.1
BDI,2018,39.9
BDI,2019,39.7
BDI,2020,39.2
BDI,2021,40.4
BDI,2022,39.6
BDI,2023,39.3
BDI,2024,39.1
BDI,2025,39.5
BEL,2015,63.7
BEL,2016,62.3
BEL,2017,61.6
BEL,2018,62.1
BEL,2019,62.4
BEL,2020,63.6
BEL,2021,61.2
BEL,2022,63.9
BEL,2023,64
BEL,2024,64
BEL,2025,64.1
BEN,2015,48
BEN,2016,47.8
BEN,2017,47.4
BEN,2018,47.3
BEN,2019,46.1
BEN,2020,45.7
BEN,2021,46.8
BEN,2022,45.8
BEN,2023,45.8
BEN,2024,45.7
BEN,2025,45.7
BFA,2015,34.5
BFA,2016,32.8
BFA,2017,33.5
BFA,2018,35.9
BFA,2019,39.3
BFA,2020,37
BFA,2021,37.4
BFA,2022,41.9
BFA,2023,41.2
BFA,2024,40.6
BFA,2025,40.6
BGR,2015,51.9
BGR,2016,52.3
BGR,2017,53.7
BGR,2018,53.9
BGR,2019,53.6
BGR,2020,53.2
BGR,2021,51.8
BGR,2022,49.7
BGR,2023,50.3
BGR,2024,51.1
BGR,2025,51.2
BIH,2015,55.1
BIH,2016,53.6
BIH,2017,53.1
BIH,2018,51.5
BIH,2019,52.8
BIH,2020,54.4
BIH,2021,53.1
BIH,2022,54.6
BIH,2023,54.5
BIH,2024,54.4
BIH,2025,54.4
BOL,2015,52.7
BOL,2016,53.8
BOL,2017,53.7
BOL,2018,54
BOL,2019,54.4
BOL,2020,55
BOL,2021,54.9
BOL,2022,54.2
BOL,2023,54
BOL,2024,54.4
BOL,2025,54.4
BRA,2015,61.4
BRA,2016,61.3
BRA,2017,61.2
BRA,2018,60.5
BRA,2019,60.5
BRA,2020,58.3
BRA,2021,58.2
BRA,2022,59.7
BRA,2023,59.7
BRA,2024,59.7
BRA,2025,60
BRN,2015,30.6
BRN,2016,34.5
BRN,2017,32.4
BRN,2018,30.7
BRN,2019,31.7
BRN,2020,35.8
BRN,2021,32
BRN,2022,27.1
BRN,2023,32.2
BRN,2024,31.5
BRN,2025,31.9
BTN,2015,50
BTN,2016,49.7
BTN,2017,50.6
BTN,2018,50.4
BTN,2019,48.5
BTN,2020,49.4
BTN,2021,49.1
BTN,2022,47.8
BTN,2023,47.8
BTN,2024,47.9
BTN,2025,47.5
BWA,2015,41
BWA,2016,36.7
BWA,2017,38.2
BWA,2018,39.2
BWA,2019,41.6
BWA,2020,46.1
BWA,2021,41.5
BWA,2022,37.5
BWA,2023,37.8
BWA,2024,38.4
BWA,2025,38.2
CAN,2015,62
CAN,2016,60.9
CAN,2017,59.9
CAN,2018,60.5
CAN,2019,60.5
CAN,2020,61.6
CAN,2021,59.2
CAN,2022,57.4
CAN,2023,59.4
CAN,2024,59.6
CAN,2025,59.7
CHE,2015,68.8
CHE,2016,68.2
CHE,2017,69
CHE,2018,67.7
CHE,2019,68
CHE,2020,69
CHE,2021,69.5
CHE,2022,69
CHE,2023,70.3
CHE,2024,70.2
CHE,2025,70.4
CHL,2015,51.8
CHL,2016,52.6
