iso3,year,value
AUS,2015,18.199
AUS,2016,17.483
AUS,2017,17.072
AUS,2018,16.626
AUS,2019,20.43
AUS,2020,22.635
AUS,2021,18.061
AUS,2022,17.067
AUT,2015,28.441
AUT,2016,28.351
AUT,2017,27.981
AUT,2018,27.72
AUT,2019,27.837
AUT,2020,32.691
AUT,2021,31.991
AUT,2022,30.015
AUT,2023,30.312
AUT,2024,31.554
BEL,2015,29.119
BEL,2016,28.517
BEL,2017,28.363
BEL,2018,28.342
BEL,2019,28.053
BEL,2020,31.567
BEL,2021,29.102
BEL,2022,27.833
BEL,2023,28.283
BEL,2024,28.573
BGR,2015,17.583
BGR,2016,17.21
BGR,2017,16.834
BGR,2018,16.84
BGR,2019,16.547
BGR,2020,19.585
BGR,2021,20.496
CAN,2015,18.892
CAN,2016,19.188
CAN,2017,19.092
CAN,2018,19.118
CAN,2019,19.846
CAN,2020,25.894
CAN,2021,21.858
CAN,2022,19.331
CHE,2015,15.893
CHE,2016,16.097
CHE,2017,16.271
CHE,2018,15.785
CHE,2019,15.996
CHE,2020,19.27
CHE,2021,17.468
CHE,2022,15.46
CHE,2023,15.474
CHE,2024,15.997
CHL,2015,10.901
CHL,2016,11.129
CHL,2017,11.416
CHL,2018,11.386
CHL,2019,11.656
CHL,2020,15.501
CHL,2021,19.585
CHL,2022,12.313
CHL,2023,12.882
COL,2015,14.611
COL,2016,14.24
COL,2017,14.253
COL,2018,13.817
COL,2019,13.857
COL,2020,16.83
COL,2021,15.728
COL,2022,13.634
COL,2023,14.063
CRI,2015,12.076
CRI,2016,11.921
CRI,2017,11.893
CRI,2018,12.434
CRI,2019,12.326
CRI,2020,14.372
CRI,2021,12.701
CRI,2022,12.644
CZE,2015,19.432
CZE,2016,19.127
CZE,2017,18.671
CZE,2018,18.868
CZE,2019,19.137
CZE,2020,22.925
CZE,2021,22.208
CZE,2022,21.228
CZE,2023,21.567
CZE,2024,22.096
DEU,2015,25.721
DEU,2016,25.922
DEU,2017,25.938
DEU,2018,26.041
DEU,2019,26.409
DEU,2020,29.471
DEU,2021,28.867
DEU,2022,27.718
DEU,2023,27.293
DEU,2024,27.854
DNK,2015,30.066
DNK,2016,29.517
DNK,2017,29.024
DNK,2018,28.762
DNK,2019,28.741
DNK,2020,29.566
DNK,2021,28.091
DNK,2022,25.475
DNK,2023,26.314
DNK,2024,26.423
ESP,2015,24.493
ESP,2016,24.048
ESP,2017,23.578
ESP,2018,23.721
ESP,2019,24.345
ESP,2020,30.613
ESP,2021,28.415
ESP,2022,25.965
ESP,2023,25.933
ESP,2024,25.871
EST,2015,17.326
EST,2016,17.519
EST,2017,17.014
EST,2018,17.453
EST,2019,17.8
EST,2020,20.291
EST,2021,19.037
EST,2022,17.361
EST,2023,17.204
FIN,2015,30.812
FIN,2016,30.801
FIN,2017,29.884
FIN,2018,29.588
FIN,2019,29.626
FIN,2020,31.569
FIN,2021,31.019
FIN,2022,29.623
FIN,2023,30.898
FIN,2024,31.437
FRA,2015,31.705
FRA,2016,31.842
FRA,2017,31.511
FRA,2018,31.052
FRA,2019,30.759
FRA,2020,34.693
FRA,2021,32.718
FRA,2022,31.363
FRA,2023,30.637
FRA,2024,30.649
GBR,2015,23.698
GBR,2016,22.9
GBR,2017,22.647
GBR,2018,22.223
GBR,2019,22.252
GBR,2020,25.609
GBR,2021,24.404
GBR,2022,22.747
GBR,2023,22.985
GRC,2015,25.864
GRC,2016,26.053
GRC,2017,25.122
GRC,2018,24.881
GRC,2019,24.83
GRC,2020,28.584
GRC,2021,26.37
GRC,2022,24.447
GRC,2023,23.722
GRC,2024,23.744
HRV,2015,20.687
HRV,2016,20.63
HRV,2017,20.345
HRV,2018,20.594
HRV,2019,20.554
HRV,2020,23.499
HRV,2021,22.478
HUN,2015,20.343
HUN,2016,20.116
HUN,2017,19.411
HUN,2018,18.55
HUN,2019,17.492
HUN,2020,18.986
HUN,2021,18.403
HUN,2022,17.721
HUN,2023,18.074
HUN,2024,17.996
IRL,2015,14.659
IRL,2016,14.8
IRL,2017,13.643
IRL,2018,13.163
IRL,2019,12.699
IRL,2020,15.513
IRL,2021,13.566
IRL,2022,12.068
IRL,2023,13.405
IRL,2024,14.359
ISL,2015,16.71
ISL,2016,16.55
ISL,2017,17.559
ISL,2018,17.819
ISL,2019,18.854
ISL,2020,23.071
ISL,2021,22.696
ISL,2022,19.554
ISL,2023,18.63
ISL,2024,19.215
ISR,2015,15.405
ISR,2016,15.453
ISR,2017,16.022
ISR,2018,16.01
ISR,2019,16.068
ISR,2020,20.011
ISR,2021,17.771
ISR,2022,15.608
ISR,2023,16.283
