iso3,year,value
ALB,2019,0
ALB,2020,79213
AUT,2015,0
AUT,2016,865209
AUT,2017,0
AUT,2018,0
AUT,2019,0
AUT,2020,0
AUT,2022,1072389
AUT,2023,1136502
AUT,2024,1134661
BEL,2015,850427
BEL,2016,863715
BEL,2017,904881
BEL,2018,1036965
BEL,2019,1036862
BEL,2020,1014709
BGR,2015,482475
BGR,2016,493848
BGR,2017,506340
BGR,2018,526660
BGR,2019,522392
BGR,2020,498227
BIH,2015,136608
BIH,2019,172762
BIH,2020,164735
CHE,2015,901347
CHE,2019,954267
CHE,2020,945324
CHE,2022,1054984
CYP,2015,34668
CYP,2016,38220
CYP,2017,42891
CYP,2018,47191
CYP,2019,0
CYP,2020,0
CZE,2015,1162623
CZE,2016,1196643
CZE,2017,1234241
CZE,2018,1254557
CZE,2019,1247186
CZE,2020,1204255
CZE,2021,1214783
CZE,2022,1232033
CZE,2024,1205697
DEU,2015,10471499
DEU,2016,10631629
DEU,2017,10955838
DEU,2018,12787037
DEU,2019,13249222
DEU,2020,12670634
DEU,2021,12653532
DEU,2022,12794978
DEU,2023,12956942
DEU,2024,12955696
DNK,2015,595198
DNK,2016,0
DNK,2017,0
DNK,2018,642401
DNK,2019,0
DNK,2020,618961
DNK,2022,686846
DNK,2023,709724
DNK,2024,723703
ESP,2015,3022896
ESP,2016,3248856
ESP,2017,3412672
ESP,2018,3938440
ESP,2019,4110722
ESP,2020,4033228
ESP,2021,4073735
ESP,2022,4341467
ESP,2023,4531472
ESP,2024,4616322
EST,2015,90437
EST,2016,90210
EST,2017,91412
EST,2018,90980
EST,2019,92799
EST,2020,86671
FIN,2015,500179
FIN,2016,497573
FIN,2017,511995
FIN,2018,533133
FIN,2019,558252
FIN,2020,528301
FIN,2021,510731
FIN,2022,542085
FIN,2023,539672
FIN,2024,529544
FRA,2015,5659547
FRA,2016,5725748
FRA,2017,7331573
FRA,2018,7454500
FRA,2019,7747486
FRA,2020,7838180
FRA,2024,8397147
GBR,2015,8936228
GBR,2016,9190814
GBR,2017,9257623
GBR,2018,9390852
GBR,2019,0
GRC,2015,0
GRC,2016,0
GRC,2017,0
GRC,2018,441201
GRC,2019,454385
GRC,2020,417879
GRC,2023,466769
GRC,2024,507237
HRV,2015,302065
HRV,2016,305028
HRV,2017,316868
HRV,2018,324013
HRV,2019,340692
HRV,2020,332173
HRV,2021,320289
HRV,2022,332510
HRV,2023,339210
HRV,2024,341669
HUN,2015,785076
HUN,2016,812072
HUN,2017,845206
HUN,2018,913490
HUN,2019,922395
HUN,2020,902986
IRL,2015,0
IRL,2016,0
IRL,2017,424577
IRL,2018,453540
IRL,2019,514904
IRL,2020,493640
ISL,2019,31132
ISL,2020,27255
ISL,2021,25726
ISL,2022,30876
ISL,2023,34532
ISL,2024,36365
ITA,2015,3029622
ITA,2016,3108862
ITA,2017,0
ITA,2018,0
ITA,2019,3633309
ITA,2020,3608110
ITA,2021,3769746
ITA,2022,3912200
ITA,2023,4079908
ITA,2024,4210861
LTU,2015,225637
LTU,2016,233385
LTU,2017,240695
LTU,2018,264267
LTU,2019,274888
LTU,2020,272156
LUX,2015,81097
LUX,2016,86543
LUX,2017,90897
LUX,2018,97320
LUX,2019,102821
LUX,2020,100245
LVA,2015,130230
LVA,2016,132966
LVA,2017,133097
LVA,2018,141621
LVA,2019,145057
LVA,2020,132130
LVA,2021,131990
LVA,2022,138673
LVA,2023,139443
MKD,2016,93055
MKD,2019,105366
MKD,2021,100433
MKD,2022,100820
MKD,2023,108882
MKD,2024,109645
MLT,2015,27303
MLT,2016,30962
MLT,2017,33550
MLT,2018,36710
MLT,2019,36658
MLT,2020,37045
MLT,2022,44120
MLT,2023,49996
MLT,2024,51162
NLD,2015,1875814
NLD,2016,1935584
NLD,2017,2021325
NLD,2018,2145918
NLD,2019,2192164
NLD,2020,2097801
NLD,2022,2170187
NLD,2023,2211530
NLD,2024,2107735
NOR,2015,514953
NOR,2019,535491
NOR,2020,497325
NOR,2022,527013
NOR,2023,565002
NOR,2024,580376
POL,2015,2745221
POL,2016,2865583
POL,2017,2994835
POL,2018,3235909
POL,2019,3392078
POL,2020,3334374
POL,2021,3348801
POL,2022,3451303
POL,2023,3503242
PRT,2015,0
PRT,2016,0
PRT,2017,0
PRT,2018,0
PRT,2019,0
PRT,2020,0
PRT,2022,880346
PRT,2023,954094
ROU,2015,1346599
ROU,2016,1378040
ROU,2017,1410818
ROU,2018,1443732
ROU,2019,1440734
ROU,2020,1398351
ROU,2021,1424155
ROU,2022,1444869
ROU,2023,1455637
ROU,2024,1432177
SRB,2017,0
SRB,2018,0
SRB,2019,501356
SRB,2020,515709
SRB,2021,548740
SRB,2022,562486
SRB,2023,581000
SRB,2024,595276
SVK,2015,424162
SVK,2016,431905
SVK,2017,450861
SVK,2018,466196
SVK,2019,455938
SVK,2020,439771
SVN,2015,155622
SVN,2016,163575
SVN,2017,172556
SVN,2018,182304
SVN,2019,186241
SVN,2020,180558
SWE,2015,0
SWE,2016,1120662
SWE,2017,1155531
SWE,2018,1500781
SWE,2019,1529727
SWE,2020,1428244
SWE,2021,1514855
SWE,2022,1384258
SWE,2023,1466214
SWE,2024,1456749
