iso3,year,value
ALB,2019,0
ALB,2020,418597
ALB,2021,483195
ALB,2022,505572
ALB,2023,514674
ALB,2024,501708
AUT,2015,2742655
AUT,2016,2778445
AUT,2017,2850280
AUT,2018,2926446
AUT,2019,2983138
AUT,2020,2906994
AUT,2021,3049514
AUT,2022,3168688
AUT,2023,3206634
AUT,2024,3183254
BEL,2015,2769085
BEL,2016,2802427
BEL,2017,2871948
BEL,2018,2961184
BEL,2019,2965107
BEL,2020,2949203
BEL,2021,2989482
BEL,2022,3053709
BEL,2023,3100097
BEL,2024,3140284
BGR,2015,1911916
BGR,2016,1961520
BGR,2017,1997640
BGR,2018,2014979
BGR,2019,2017893
BGR,2020,1917171
BGR,2021,1926446
BGR,2022,1956188
BGR,2023,1981057
BGR,2024,1999975
BIH,2015,479870
BIH,2016,501651
BIH,2017,527378
BIH,2018,543090
BIH,2019,559789
BIH,2020,542475
BIH,2021,555012
BIH,2022,568770
BIH,2023,575837
BIH,2024,578134
CHE,2015,2737720
CHE,2016,2737688
CHE,2017,2779372
CHE,2018,2789331
CHE,2019,2804437
CHE,2020,2800136
CHE,2021,2971020
CHE,2022,2950905
CHE,2023,3034674
CHE,2024,3090864
CYP,2015,215718
CYP,2016,229295
CYP,2017,248711
CYP,2018,270335
CYP,2019,285294
CYP,2020,275011
CYP,2021,289386
CYP,2022,311956
CYP,2023,332275
CYP,2024,339588
CZE,2015,3591896
CZE,2016,3661872
CZE,2017,3722789
CZE,2018,3778328
CZE,2019,3789469
CZE,2020,3710274
CZE,2021,3811044
CZE,2022,3871464
CZE,2023,3894593
CZE,2024,3834175
DEU,2015,28258410
DEU,2016,29086416
DEU,2017,29768330
DEU,2018,31120840
DEU,2019,31564200
DEU,2020,29430780
DEU,2021,30166956
DEU,2022,30530486
DEU,2023,30104438
DEU,2024,30228474
DNK,2015,1666048
DNK,2016,1714856
DNK,2017,1749593
DNK,2018,1808887
DNK,2019,1789857
DNK,2020,1769373
DNK,2021,1823866
DNK,2022,1921418
DNK,2023,1939423
DNK,2024,1953560
ESP,2015,11109702
ESP,2016,11713717
ESP,2017,12104938
ESP,2018,12574610
ESP,2019,13010370
ESP,2020,12510252
ESP,2021,12569941
ESP,2022,13038622
ESP,2023,13247994
ESP,2024,13824727
EST,2015,414763
EST,2016,421502
EST,2017,432815
EST,2018,437200
EST,2019,443392
EST,2020,436161
EST,2021,465205
