iso3,year,value
ALB,2019,0
ALB,2020,141
AUT,2015,1082
AUT,2016,1090
AUT,2017,1127
AUT,2018,1184
AUT,2019,1208
AUT,2020,1201
AUT,2021,1209
AUT,2022,1256
AUT,2023,1296
AUT,2024,1287
BEL,2015,901
BEL,2016,912
BEL,2017,960
BEL,2018,986
BEL,2019,1012
BEL,2020,1012
BGR,2015,669
BGR,2016,662
BGR,2017,675
BGR,2018,690
BGR,2019,696
BGR,2020,650
BIH,2015,193
BIH,2019,258
BIH,2020,248
CHE,2015,1146
CHE,2019,1203
CHE,2020,1211
CHE,2022,1200
CYP,2015,64
CYP,2016,69
CYP,2017,80
CYP,2018,82
CYP,2019,0
CYP,2020,0
CZE,2015,1558
CZE,2016,1577
CZE,2017,1619
CZE,2018,1654
CZE,2019,1663
CZE,2020,1614
CZE,2021,1618
CZE,2022,1667
CZE,2023,1652
CZE,2024,1611
DEU,2015,11354
DEU,2016,11762
DEU,2017,12139
DEU,2018,11317
DEU,2019,11822
DEU,2020,10870
DEU,2021,10860
DEU,2022,10892
DEU,2023,11504
DEU,2024,11540
DNK,2015,678
DNK,2016,652
DNK,2017,693
DNK,2018,733
DNK,2019,713
DNK,2020,698
DNK,2021,726
DNK,2022,796
DNK,2023,805
DNK,2024,809
ESP,2015,2919
ESP,2016,3185
ESP,2017,3362
ESP,2018,3463
ESP,2019,3665
ESP,2020,3584
ESP,2021,3625
ESP,2022,3908
ESP,2023,4077
ESP,2024,4127
EST,2015,172
EST,2016,169
EST,2017,169
EST,2018,165
EST,2019,163
EST,2020,150
EST,2021,151
EST,2022,162
EST,2023,155
EST,2024,157
FIN,2015,581
FIN,2016,589
FIN,2017,596
FIN,2018,618
FIN,2019,650
FIN,2020,628
FIN,2021,610
FIN,2022,651
FIN,2023,645
FIN,2024,630
FRA,2015,4196
FRA,2016,4199
FRA,2017,4059
FRA,2018,3891
FRA,2019,4766
FRA,2020,4897
FRA,2022,4838
FRA,2023,4992
FRA,2024,5433
GRC,2015,0
GRC,2016,0
GRC,2017,0
GRC,2018,523
GRC,2019,526
GRC,2020,461
GRC,2023,590
GRC,2024,633
HRV,2015,381
HRV,2016,390
HRV,2017,416
HRV,2018,429
HRV,2019,405
HRV,2020,388
HRV,2021,380
HRV,2022,396
HRV,2023,402
HRV,2024,398
HUN,2015,854
HUN,2016,881
HUN,2017,935
HUN,2018,941
HUN,2019,961
HUN,2020,929
IRL,2015,0
IRL,2016,0
IRL,2017,546
IRL,2018,592
IRL,2019,666
IRL,2020,602
ISL,2019,56
ISL,2020,54
ISL,2021,51
ISL,2022,60
ISL,2023,66
ISL,2024,74
ITA,2015,3162
ITA,2016,3249
ITA,2017,0
ITA,2018,0
ITA,2019,3641
ITA,2020,3647
ITA,2021,3785
ITA,2022,3899
ITA,2023,4102
ITA,2024,4245
LTU,2015,337
LTU,2016,345
LTU,2017,354
LTU,2018,367
LTU,2019,376
LTU,2020,372
LTU,2021,391
LTU,2022,416
LTU,2023,450
LTU,2024,438
LUX,2015,146
LUX,2016,153
LUX,2017,156
LUX,2018,168
LUX,2019,174
LUX,2020,168
LUX,2021,174
LUX,2022,180
LUX,2023,181
LUX,2024,155
LVA,2015,200
LVA,2016,198
LVA,2017,194
LVA,2018,209
LVA,2019,212
LVA,2020,192
LVA,2021,190
LVA,2022,205
LVA,2023,211
MKD,2015,157
MKD,2016,150
MKD,2019,152
MKD,2021,143
MKD,2022,145
MKD,2023,146
MKD,2024,148
MLT,2015,51
MLT,2016,60
MLT,2017,62
MLT,2018,69
MLT,2019,68
MLT,2020,73
MLT,2021,77
MLT,2022,85
MLT,2023,95
MLT,2024,93
NLD,2015,1540
NLD,2016,1614
NLD,2017,1639
NLD,2018,1756
NLD,2019,1802
NLD,2020,1853
NLD,2021,1830
NLD,2022,1929
NLD,2023,2028
NLD,2024,2057
NOR,2015,622
NOR,2019,636
NOR,2020,603
NOR,2022,688
NOR,2023,717
NOR,2024,727
POL,2015,3191
POL,2016,3315
POL,2017,3464
POL,2018,3364
POL,2019,3290
POL,2020,3251
POL,2021,3300
POL,2022,3375
POL,2023,3321
POL,2024,3340
PRT,2015,787
PRT,2016,808
PRT,2017,883
PRT,2018,920
PRT,2019,986
PRT,2020,958
PRT,2021,976
PRT,2022,1028
PRT,2023,1118
PRT,2024,1184
ROU,2015,1642
ROU,2016,1656
ROU,2017,1663
ROU,2018,1662
ROU,2019,1652
ROU,2020,1574
ROU,2021,1570
ROU,2022,1590
ROU,2023,1574
ROU,2024,1654
SRB,2017,0
SRB,2018,0
SRB,2019,569
SRB,2020,586
SRB,2021,621
SRB,2022,629
SRB,2023,652
SRB,2024,675
SVK,2015,531
SVK,2016,555
SVK,2017,581
SVK,2018,599
SVK,2019,594
SVK,2020,573
SVN,2015,212
SVN,2016,224
SVN,2017,233
SVN,2018,246
SVN,2019,242
SVN,2020,236
SVN,2021,243
SVN,2022,254
SVN,2023,256
SVN,2024,255
SWE,2015,974
SWE,2016,1025
SWE,2017,1031
SWE,2018,1385
SWE,2019,1417
SWE,2020,1347
SWE,2021,1433
SWE,2022,1360
SWE,2023,1439
SWE,2024,1438
