iso3,year,value
ALB,2019,0
ALB,2020,87714
ALB,2021,93345
ALB,2022,101450
ALB,2023,104896
AUT,2015,322325
AUT,2016,323912
AUT,2017,332755
AUT,2018,316562
AUT,2019,331145
AUT,2020,330625
AUT,2021,404370
AUT,2022,407709
AUT,2023,418391
AUT,2024,423316
BEL,2015,602153
BEL,2016,611708
BEL,2017,631819
BEL,2018,633982
BEL,2019,673629
BEL,2020,685540
BEL,2021,721040
BEL,2022,750788
BEL,2023,768395
BEL,2024,766418
BGR,2015,326219
BGR,2016,336041
BGR,2017,340487
BGR,2018,343769
BGR,2019,348667
BGR,2020,341227
BGR,2021,333139
BGR,2022,343032
BGR,2023,349990
BGR,2024,358928
BIH,2015,65800
BIH,2016,67205
BIH,2017,68761
BIH,2018,68085
BIH,2019,67981
BIH,2020,66873
BIH,2021,70793
BIH,2022,72840
BIH,2023,75063
BIH,2024,77299
CHE,2015,142775
CHE,2016,141383
CHE,2017,141821
CHE,2018,140989
CHE,2019,142016
CHE,2020,144048
CHE,2021,144777
CHE,2022,143286
CHE,2023,146054
CHE,2024,146794
CYP,2015,48331
CYP,2016,50017
CYP,2017,52657
CYP,2018,55271
CYP,2019,57848
CYP,2020,59076
CYP,2021,61840
CYP,2022,65196
CYP,2023,67748
CYP,2024,71096
CZE,2015,1001048
CZE,2016,1018473
CZE,2017,1019773
CZE,2018,1043330
CZE,2019,1058776
CZE,2020,1068446
CZE,2021,1098851
CZE,2022,1124406
CZE,2023,1147007
CZE,2024,1164214
DEU,2015,2408352
DEU,2016,2467686
DEU,2017,2504371
DEU,2018,2600926
DEU,2019,2592680
DEU,2020,2485804
DEU,2021,2551774
DEU,2022,2552507
DEU,2023,2568257
DEU,2024,2607224
DNK,2015,210726
DNK,2016,218549
DNK,2017,223360
DNK,2018,225618
DNK,2019,228443
DNK,2020,229246
DNK,2021,234191
DNK,2022,248420
DNK,2023,248444
DNK,2024,251310
ESP,2015,2465540
ESP,2016,2682905
ESP,2017,2661427
ESP,2018,2650529
ESP,2019,2692956
ESP,2020,2683786
ESP,2021,2768529
ESP,2022,2826812
ESP,2023,2835078
ESP,2024,2864855
EST,2015,68124
EST,2016,70617
EST,2017,75788
EST,2018,77499
EST,2019,82263
EST,2020,85480
EST,2021,106817
EST,2022,119961
EST,2023,129026
EST,2024,128954
FIN,2015,229096
FIN,2016,228616
FIN,2017,230879
FIN,2018,229601
FIN,2019,232791
FIN,2020,236038
FIN,2021,336166
FIN,2022,343060
FIN,2023,348671
FIN,2024,360303
FRA,2015,2908814
FRA,2016,3058220
FRA,2017,2783993
FRA,2018,2860378
FRA,2019,2968182
FRA,2020,3084048
FRA,2021,3278596
FRA,2022,3543829
FRA,2023,3717948
FRA,2024,3634210
GBR,2015,1940949
GBR,2016,2116132
GBR,2017,2144122
GBR,2018,2190175
GRC,2015,789975
GRC,2016,793946
GRC,2017,719492
GRC,2018,708699
GRC,2019,717680
GRC,2020,711171
GRC,2021,738060
GRC,2022,769182
GRC,2023,778871
GRC,2024,803286
HRV,2015,146637
HRV,2016,147481
HRV,2017,149324
HRV,2018,153359
HRV,2019,182394
HRV,2020,180537
HRV,2021,190280
HRV,2022,198468
HRV,2023,209019
HRV,2024,217511
HUN,2015,536610
HUN,2016,551173
HUN,2017,570005
HUN,2018,599547
HUN,2019,647091
HUN,2020,668796
HUN,2021,747522
HUN,2022,768946
HUN,2023,707377
HUN,2024,701599
IRL,2015,243433
IRL,2016,245059
IRL,2017,264734
IRL,2018,263309
IRL,2019,265963
IRL,2020,271692
IRL,2021,289495
IRL,2022,305382
IRL,2023,313807
IRL,2024,316563
ISL,2016,27425
ISL,2017,28563
ISL,2018,28820
ISL,2019,24090
ISL,2020,30023
ISL,2021,33495
ISL,2022,34333
ISL,2023,35073
ISL,2024,36141
ITA,2015,3683127
ITA,2016,3719596
ITA,2017,3712043
ITA,2018,3697955
ITA,2019,3616916
ITA,2020,3640489
ITA,2021,3719064
ITA,2022,3804883
ITA,2023,3812999
ITA,2024,3744688
LTU,2015,186468
LTU,2016,192557
LTU,2017,202522
LTU,2018,211111
LTU,2019,219906
LTU,2020,228299
LTU,2021,245845
LTU,2022,269320
LTU,2023,289077
LTU,2024,296640
LUX,2015,31926
LUX,2016,32278
LUX,2017,33741
LUX,2018,34347
LUX,2019,36261
LUX,2020,35855
LUX,2021,39239
LUX,2022,39245
LUX,2023,39523
LUX,2024,35634
LVA,2015,109642
LVA,2016,115476
LVA,2017,112867
LVA,2018,112728
LVA,2019,111646
LVA,2020,111153
LVA,2021,106950
LVA,2022,108890
LVA,2023,108634
LVA,2024,110214
MKD,2015,54738
MKD,2016,55469
MKD,2017,55359
MKD,2018,58231
MKD,2019,58765
MKD,2021,59769
MKD,2022,60598
MKD,2023,61361
MKD,2024,61943
MLT,2015,26059
MLT,2016,29307
MLT,2017,29778
MLT,2018,30735
MLT,2019,31615
MLT,2020,30950
MLT,2021,40777
MLT,2022,42169
MLT,2023,45902
MLT,2024,47530
NLD,2015,1092243
