iso3,year,source,catalog,mean_size,size_1,size_2_3,size_4_5,size_6_plus,one_person,couple_only,couple_children,single_parent,extended,non_relatives,unknown,multi_generation,three_generation
ABW,2010,DYB,4733,2.89,21.37,46.77,25.59,6.28,21.37,11.48,22.16,11.48,,,33.51,,
AFG,2011,MICS,4983,7.75,0.15,7.41,18.59,73.85,0.15,2.58,54.25,0.77,42.05,0.16,0.04,47.71,27.28
AFG,2015,DHS,5689,8.04,0.19,6.45,16.84,76.52,0.19,1.97,49.80,0.99,46.86,0.19,0.00,50.39,32.18
AFG,2023,MICS,9218,8.26,0.14,5.42,18.20,76.25,0.14,1.24,47.93,3.26,47.12,0.32,0.00,52.17,32.76
AGO,2001,MICS,1937,4.75,7.91,26.39,31.19,34.50,7.91,,,,,,,,
AGO,2007,DHS,2272,5.69,4.08,19.10,30.13,46.69,4.08,4.33,36.35,6.58,47.85,0.72,0.10,27.86,20.52
AGO,2011,DHS,5077,4.98,6.60,22.84,32.79,37.77,6.60,5.35,45.01,7.43,35.03,0.55,0.03,20.83,16.02
AGO,2016,DHS,5805,4.82,10.81,23.90,28.46,36.83,10.81,5.34,36.08,13.39,32.80,1.57,0.01,17.54,13.34
AGO,2023,DHS,9204,4.58,13.45,24.94,27.72,33.89,13.45,4.75,33.84,14.85,31.65,1.46,0.00,21.44,13.66
ALB,2000,MICS,1943,4.35,4.42,25.59,47.28,22.71,4.42,,,,,,,,
ALB,2005,MICS,1906,4.00,5.04,32.37,45.37,17.22,5.04,13.45,51.82,4.86,24.70,0.13,0.00,45.96,8.60
ALB,2009,DHS,4483,3.82,6.15,38.23,39.97,15.65,6.15,16.72,42.25,6.70,27.86,0.32,0.00,45.90,23.07
ALB,2011,DYB,4808,3.86,8.27,,,,8.27,14.51,45.40,5.16,,,26.65,,
ALB,2017,DHS,7474,3.30,9.95,48.08,32.51,9.45,9.95,22.57,35.86,6.53,24.40,0.68,0.00,44.65,18.01
ALB,2023,DYB,7119,3.16,13.66,48.78,37.56,,13.66,22.21,30.98,6.20,,,26.94,,
ARG,1970,IPUMS,1481,3.78,10.26,38.97,34.16,16.61,10.26,11.44,39.64,7.11,21.49,9.86,0.19,29.09,9.75
