iso3,year,source,catalog,ages,sex,one_person,couple_only,with_partner,with_children_under_20,with_children_20_plus
AFG,2011,MICS,4983,60 or over,Both sexes,0.15,2.80,74.54,10.63,83.86
AFG,2011,MICS,4983,60 or over,Females,0.09,2.86,49.48,3.05,90.47
AFG,2011,MICS,4983,60 or over,Males,0.18,2.77,87.49,14.55,80.45
AFG,2011,MICS,4983,65 or over,Both sexes,0.14,3.06,70.57,8.54,85.62
AFG,2011,MICS,4983,65 or over,Females,0.17,2.20,41.75,1.12,92.21
AFG,2011,MICS,4983,65 or over,Males,0.13,3.47,84.44,12.10,82.44
AFG,2011,MICS,4983,80 or over,Both sexes,0.36,5.30,58.26,4.20,86.77
AFG,2011,MICS,4983,80 or over,Females,0.17,1.84,21.89,0.00,92.40
AFG,2011,MICS,4983,80 or over,Males,0.43,6.75,73.47,5.96,84.42
AFG,2015,DHS,5689,60 or over,Both sexes,0.17,2.14,74.15,7.08,87.71
AFG,2015,DHS,5689,60 or over,Females,0.08,1.99,52.19,2.62,90.90
AFG,2015,DHS,5689,60 or over,Males,0.22,2.22,87.27,9.74,85.81
AFG,2015,DHS,5689,65 or over,Both sexes,0.26,2.60,70.74,5.57,88.24
AFG,2015,DHS,5689,65 or over,Females,0.09,2.02,45.22,1.64,90.54
AFG,2015,DHS,5689,65 or over,Males,0.35,2.91,84.10,7.62,87.04
AFG,2015,DHS,5689,80 or over,Both sexes,0.36,3.23,51.83,2.01,88.45
AFG,2015,DHS,5689,80 or over,Females,0.13,0.86,14.96,0.00,87.92
AFG,2015,DHS,5689,80 or over,Males,0.47,4.40,70.15,3.00,88.71
AFG,2023,MICS,9218,60 or over,Both sexes,0.12,1.57,69.46,8.17,85.26
AFG,2023,MICS,9218,60 or over,Females,0.21,1.21,42.91,2.67,88.95
AFG,2023,MICS,9218,60 or over,Males,0.06,1.84,88.85,12.19,82.57
AFG,2023,MICS,9218,65 or over,Both sexes,0.15,1.80,66.44,7.39,85.54
AFG,2023,MICS,9218,65 or over,Females,0.23,0.92,34.27,1.85,89.63
AFG,2023,MICS,9218,65 or over,Males,0.09,2.36,87.00,10.93,82.93
AFG,2023,MICS,9218,80 or over,Both sexes,0.14,1.48,55.10,6.22,83.28
AFG,2023,MICS,9218,80 or over,Females,0.30,0.10,17.18,1.20,84.44
AFG,2023,MICS,9218,80 or over,Males,0.04,2.28,76.98,9.11,82.61
AGO,2001,MICS,1937,60 or over,Both sexes,13.90,,,,
AGO,2001,MICS,1937,60 or over,Females,19.76,,,,
AGO,2001,MICS,1937,60 or over,Males,8.04,,,,
AGO,2001,MICS,1937,65 or over,Both sexes,14.58,,,,
AGO,2001,MICS,1937,65 or over,Females,20.63,,,,
AGO,2001,MICS,1937,65 or over,Males,8.67,,,,
AGO,2001,MICS,1937,80 or over,Both sexes,15.86,,,,
AGO,2001,MICS,1937,80 or over,Females,24.81,,,,
AGO,2001,MICS,1937,80 or over,Males,6.54,,,,
AGO,2007,DHS,2272,60 or over,Both sexes,8.17,9.82,50.65,10.93,51.62
AGO,2007,DHS,2272,60 or over,Females,12.55,6.27,25.27,2.05,58.98
