iso3,year,value
ABW,2018,20
ABW,2019,20
ABW,2020,20
ABW,2021,20
ABW,2022,20
AFG,2018,380100
AFG,2019,380100
AFG,2020,383130
AFG,2021,383130
AFG,2022,383130
AGO,2018,457780
AGO,2019,458560
AGO,2020,458640
AGO,2021,459170
AGO,2022,460620
ALB,2018,11740.81
ALB,2019,11740
ALB,2020,11655.55
ALB,2021,11363.3
ALB,2022,11356
AND,2018,188.34
AND,2019,188.001
AND,2020,187.773
AND,2021,187.562
AND,2022,187.562
ARE,2018,3817.5
ARE,2019,3904
ARE,2020,3898
ARE,2021,3915.615
ARE,2022,3915.615
ARG,2018,1159300
ARG,2019,1165990
ARG,2020,1176790
ARG,2021,1179780
ARG,2022,1188480
ARM,2018,16773
ARM,2019,16770
ARM,2020,16760
ARM,2021,16748.2
ARM,2022,16528
ASM,2018,28.1
ASM,2019,28.4
ASM,2020,28.7
ASM,2021,29
ASM,2022,29
ATG,2018,90
ATG,2019,90
ATG,2020,90
ATG,2021,90
ATG,2022,90
AUS,2018,3588950
AUS,2019,3624770
AUS,2020,3557750
AUS,2021,3635190
AUS,2022,3635190
AUT,2018,26528.3
AUT,2019,26512.1
AUT,2020,26026.653
AUT,2021,26024.884
AUT,2022,25974.477
AZE,2018,47795
AZE,2019,47797
AZE,2020,47801
AZE,2021,47806
AZE,2022,47805
BDI,2018,20220
BDI,2019,20490
BDI,2020,20760
BDI,2021,21030
BDI,2022,21265.085
BEL,2018,13540
BEL,2019,13560
BEL,2020,13646.093
BEL,2021,13656.7
BEL,2022,13590
BEN,2018,44608.086
BEN,2019,46312.094
BEN,2020,44330.486
BEN,2021,46234.245
BEN,2022,48557.123
BFA,2018,140072.668
BFA,2019,141387.972
BFA,2020,142708.277
BFA,2021,144107.582
BFA,2022,145964.887
BGD,2018,92023
BGD,2019,93970
BGD,2020,94300
BGD,2021,94180
BGD,2022,94270
BGR,2018,50300
BGR,2019,50370
BGR,2020,50470
BGR,2021,50470
BGR,2022,50220
BHR,2018,81
BHR,2019,81
BHR,2020,81
BHR,2021,81
BHR,2022,81
BHS,2018,130
BHS,2019,130
BHS,2020,130
BHS,2021,130
BHS,2022,130
BIH,2018,22110
BIH,2019,22160
BIH,2020,22420
BIH,2021,22630
BIH,2022,11170
BLR,2018,84530
BLR,2019,83870
BLR,2020,82810
BLR,2021,81740
BLR,2022,80940
BLZ,2018,1720
BLZ,2019,1740
BLZ,2020,1800
BLZ,2021,1820
BLZ,2022,1820
BMU,2018,3
BMU,2019,3
BMU,2020,3
BMU,2021,3
BMU,2022,3
BOL,2018,382005.49
BOL,2019,385052.649
BOL,2020,385271.214
BOL,2021,386551.642
BOL,2022,388153.989
BRA,2018,2368548
BRA,2019,2368308
BRA,2020,2368068
BRA,2021,2367828
BRA,2022,2367588
BRB,2018,100
BRB,2019,100
BRB,2020,100
BRB,2021,100
BRB,2022,100
BRN,2018,134
BRN,2019,134
BRN,2020,134
BRN,2021,134
BRN,2022,134
BTN,2018,5130
BTN,2019,5130
BTN,2020,5165
BTN,2021,5200
BTN,2022,5235
BWA,2018,258616
BWA,2019,258620
BWA,2020,258620
BWA,2021,258620
BWA,2022,258620
CAF,2018,51720
CAF,2019,54940
CAF,2020,55873
CAF,2021,56101
CAF,2022,56331
CAN,2018,578892
CAN,2019,576878
CAN,2020,571174
CAN,2021,569910
CAN,2022,570770
CHE,2018,15085.727
CHE,2019,15055.158
CHE,2020,15024.369
CHE,2021,14993.783
CHE,2022,14962.808
CHI,2018,85.7
CHI,2019,85.7
CHI,2020,85.7
CHI,2021,85.7
CHL,2018,118885.217
CHL,2019,114658.641
CHL,2020,110701.443
CHL,2021,108179.961
CHL,2022,106372.991
CHN,2018,5214470
CHN,2019,5206950
CHN,2020,5206010
CHN,2021,5205070
CHN,2022,5204130
CIV,2018,258667.795
CIV,2019,259248.864
CIV,2020,262750.117
CIV,2021,268369.318
CIV,2022,267618.664
CMR,2018,97919.714
CMR,2019,98129.571
CMR,2020,98339.429
CMR,2021,98549.286
CMR,2022,98759.143
COD,2018,336148
COD,2019,338369
COD,2020,338775
COD,2021,338811.833
COD,2022,346940.85
COG,2018,106314.97
COG,2019,106578
COG,2020,106427
COG,2021,106726
COG,2022,106513
COL,2018,440480
COL,2019,443540
COL,2020,442099.446
COL,2021,430143.333
COL,2022,417630
COM,2018,1330
COM,2019,1330
COM,2020,1330
COM,2021,1330
COM,2022,1330
CPV,2018,790
CPV,2019,790
CPV,2020,790
CPV,2021,790
CPV,2022,790
CRI,2018,17217.253
CRI,2019,17171.74
CRI,2020,17126.226
CRI,2021,17024.776
CRI,2022,16923.326
CUB,2018,63000
CUB,2019,64010
CUB,2020,64010
CUB,2021,64010
CUB,2022,64010
CYM,2018,27
CYM,2019,27
CYM,2020,27
CYM,2021,27
CYM,2022,27
CYP,2018,1324.469
CYP,2019,1253.284
CYP,2020,1276.48
CYP,2021,1216.063
CYP,2022,1230.403
CZE,2018,35230
CZE,2019,35236.59
CZE,2020,35238.71
CZE,2021,35297.97
CZE,2022,35304.23
DEU,2018,166450
DEU,2019,166660
DEU,2020,165950
DEU,2021,165910
DEU,2022,165950
DJI,2018,17028
DJI,2019,17028
DJI,2020,17038
DJI,2021,17038
DJI,2022,17038
DMA,2018,250
DMA,2019,250
DMA,2020,250
DMA,2021,250
DMA,2022,250
DNK,2018,26325
DNK,2019,26259.65
DNK,2020,26199.87
DNK,2021,26180
DNK,2022,26240
DOM,2018,25781.129
DOM,2019,25882.924
DOM,2020,25219.321
DOM,2021,25260.934
DOM,2022,26361.485
DZA,2018,413388.496
DZA,2019,413160
DZA,2020,412880
DZA,2021,412770
DZA,2022,413264
ECU,2018,54480
ECU,2019,53300
ECU,2020,54200
ECU,2021,54700
ECU,2022,53480
EGY,2018,38630
EGY,2019,39220
EGY,2020,39710
EGY,2021,40310
EGY,2022,40580
ERI,2018,75920
ERI,2019,75920
ERI,2020,75920
ERI,2021,75920
ERI,2022,75920
ESP,2018,261833.239
ESP,2019,262066.906
ESP,2020,261426.381
ESP,2021,262284.464
ESP,2022,266633.633
EST,2018,9850
EST,2019,9884
EST,2020,9850
EST,2021,9870
EST,2022,9860
ETH,2018,379030
ETH,2019,381900
ETH,2020,384761
ETH,2021,387703.41
ETH,2022,384569.33
FIN,2018,22720
FIN,2019,22740
FIN,2020,22700
FIN,2021,22680
FIN,2022,22660
FJI,2018,3135
FJI,2019,3128
FJI,2020,3116
FJI,2021,3116
FJI,2022,3116
FRA,2018,286601
FRA,2019,285188.491
FRA,2020,284186.56
FRA,2021,284251.539
FRA,2022,283885.926
FRO,2018,963.35
