iso3,year,value
AFG,2015,70.7065553980921
AFG,2016,83.0798576558264
AFG,2017,97.8489355243562
AFG,2018,70.7626396343786
AFG,2019,69.5786264163716
AFG,2020,86.8874671818995
AGO,2015,34.2831586004862
AGO,2016,31.2028619309189
AGO,2017,32.1395553943672
AGO,2018,28.206366031525
AGO,2019,32.0452547863355
AGO,2020,35.0711926202229
AGO,2021,55.626743035886
AGO,2022,72.6458459410328
AGO,2023,61.0060684949815
AGO,2024,52.38349785576
AGO,2025,36.5275569894296
ALB,2015,18.0836084389384
ALB,2016,18.0510824834496
ALB,2017,17.3672455748525
ALB,2018,17.8285791965924
ALB,2019,15.2155347268185
ALB,2020,19.6803723816912
ALB,2021,18.4299075816424
ALB,2022,20.3175399612931
ALB,2023,20.1846909814885
ALB,2024,14.2531886541024
ARE,2015,16.9874068075838
ARE,2016,14.4293868981817
ARE,2017,15.9393404721659
ARE,2018,14.815447355687
ARE,2019,15.22725030911
ARE,2020,14.6088465975846
ARE,2021,16.0219209623608
ARE,2022,15.147174187387
ARE,2023,18.2268812375402
ARE,2024,19.3356351226347
ARE,2025,18.6360784769464
ARG,2015,61.3477780713524
ARG,2016,66.2288645208017
ARG,2017,50.2817382851133
ARG,2018,68.3339359683885
ARG,2019,71.1342740484745
ARG,2020,100.440665352195
ARG,2021,113.169644263274
ARG,2022,122.356829067893
ARG,2023,114.601250853291
ARG,2024,23.9686598013467
ARG,2025,23.763825630967
ARM,2015,22.0048017482822
ARM,2016,22.3179019257377
ARM,2017,19.7189469074122
ARM,2018,19.5642684788095
ARM,2019,18.8138257979365
ARM,2020,18.2787559703546
ARM,2021,24.4782598558058
ARM,2022,21.5250786430476
ARM,2023,15.6198270514165
ARM,2024,15.6373123230989
ARM,2025,14.120314081767
ATG,2015,17.7140684800775
ATG,2016,17.3747603432188
ATG,2017,13.4115155146706
ATG,2018,13.630147365931
ATG,2019,14.4113666654104
ATG,2020,13.2075170796646
ATG,2021,19.4871047697869
ATG,2022,19.4923581279067
ATG,2023,15.2770940766627
ATG,2024,12.4191721313008
ATG,2025,11.5784862211915
AUS,2015,1.00290558493434
AUS,2016,0.952285065168958
AUS,2017,1.01550120564958
AUS,2018,1.02149048044685
AUS,2019,1.49022465606826
AUS,2020,4.25364349317162
AUS,2021,16.4728487465301
AUS,2022,15.5102345418524
AUS,2023,11.9363997006038
AUS,2024,8.34469735882224
AUS,2025,6.67850107399635
AZE,2015,12.8222476938676
AZE,2016,37.9371564937739
AZE,2017,30.5296015154605
AZE,2018,26.577829127815
AZE,2019,23.4082346879653
AZE,2020,26.1986101986298
AZE,2021,28.1526460015496
AZE,2022,27.7600160924064
AZE,2023,29.3230268047255
AZE,2024,22.4302104758747
AZE,2025,23.6256024523695
BDI,2015,11.3356201655463
BDI,2016,18.4202787997936
BDI,2017,26.9099724935499
BDI,2018,19.173431693381
BDI,2019,21.8313954717587
BDI,2020,18.6649866656976
BDI,2021,11.5602285351845
BDI,2022,15.9752895006373
BDI,2023,13.3131943085226
BDI,2024,15.115552559707
BDI,2025,13.9615598924403
BEN,2015,6.00756079137736
BEN,2016,5.33194922206956
BEN,2017,6.99523482499891
BEN,2018,4.49027867677588
BEN,2019,4.60683643096914
BEN,2020,9.00321424430724
BEN,2021,9.52659757914162
BEN,2022,4.91450181616586
BEN,2023,4.50903316429009
BEN,2024,4.39844844643604
BEN,2025,6.50536704702871
BFA,2015,5.78429185738668
BFA,2016,4.91787775243263
BFA,2017,4.96878025877494
BFA,2018,5.75131117312552
BFA,2019,5.40678407077115
BFA,2020,8.5729171923958
BFA,2021,10.8277141259152
BFA,2022,6.08437375638727
BFA,2023,6.25110826306525
BFA,2024,6.94768206039986
BFA,2025,10.6976958421218
BGD,2015,13.7492937614253
BGD,2016,14.7281749980364
BGD,2017,11.4701873653853
BGD,2018,9.00774847807946
BGD,2019,8.87249782777772
BGD,2020,10.1138083188545
BGD,2021,8.48964467051522
BGD,2022,7.49384949143267
BGD,2023,7.51273274180019
BGD,2024,7.45757813337481
BGD,2025,7.81707247363725
BGR,2015,26.0694634659527
BGR,2016,24.5837625945473
BGR,2017,22.4247291584596
BGR,2018,22.3865386128316
BGR,2019,18.1108942342993
BGR,2020,29.2262528947019
BGR,2021,27.8752350361345
BGR,2022,26.0977121037177
BGR,2023,27.2020106903205
BGR,2024,21.6530600484406
BHS,2015,3.2298311387821
BHS,2016,6.72346405224422
BHS,2017,7.57487229359141
BHS,2018,6.76343517299464
BHS,2019,9.79407051989906
BHS,2020,11.693801704038
BHS,2021,11.4292803033876
BHS,2022,14.8077619642003
BHS,2023,16.6562881357374
BHS,2024,16.5788126955215
BIH,2015,23.9816691923247
BIH,2016,25.3163383952229
BIH,2017,27.3999999328393
BIH,2018,27.5275524969916
BIH,2019,26.8207341069892
BIH,2020,29.2960307548987
BIH,2021,34.0875120263213
BIH,2022,32.0623882722372
BIH,2023,28.0771964887025
BIH,2024,26.2562374987391
BIH,2025,24.3402818942979
BLR,2015,18.321395125352
BLR,2016,19.2249804347381
BLR,2017,17.1462661791106
BLR,2018,12.419320154541
BLR,2019,14.7109027905864
BLR,2020,11.0089245933842
BLR,2021,12.6096157769547
BLZ,2015,32.0934863379861
BLZ,2016,31.1551563951688
BLZ,2017,24.5781250982227
BLZ,2018,19.4646275546063
BLZ,2019,19.6998552323874
BLZ,2020,24.1066949181238
BLZ,2021,23.4079850767678
BLZ,2022,26.2378925214258
BLZ,2023,24.6926833331906
BLZ,2024,21.8707428942231
BLZ,2025,24.0313769697423
BOL,2015,27.0973652906925
BOL,2016,17.2231820120017
BOL,2017,17.7957981617809
BOL,2018,16.1381064911292
BOL,2019,16.6701938646442
BOL,2020,22.0993410663284
BOL,2021,23.6421029164946
BOL,2022,23.1873908217534
BOL,2023,25.373164498674
BOL,2024,28.4160834277948
BOL,2025,30.0530915965174
BRA,2015,25.0914475090412
BRA,2016,29.5519962545369
BRA,2017,32.4167709998217
BRA,2018,30.7961591280424
BRA,2019,26.0913622534165
BRA,2020,27.3085734413854
BRA,2021,20.7801530955049
BRA,2022,20.0457895134932
BRA,2023,23.2808234117682
BRA,2024,21.6891907436001
BRA,2025,18.7371778390686
BRB,2015,14.163544573424
BRB,2016,18.2100721223712
BRB,2017,16.756696688164
BRB,2018,21.8126405194031
BRB,2019,25.9584451860193
BRB,2020,32.9989342692143
BRB,2021,38.1900833317357
BRB,2022,38.4049771276681
BRB,2023,37.5905189264177
BRN,2015,13.0844114071556
BRN,2016,12.8896109516607
BRN,2017,10.739632445339
BRN,2018,9.87598328091785
BRN,2019,14.2798923142415
BRN,2020,10.6285984186433
BRN,2021,16.4080517058138
BRN,2022,15.7605430693882
BRN,2023,9.81451241824311
BRN,2024,7.20614598680444
BRN,2025,9.58176473385372
BTN,2015,26.1842497929548
BTN,2016,32.074291317834
BTN,2017,26.238574423808
BTN,2018,18.8191265009846
BTN,2019,19.8778887135406
BTN,2020,37.9655797524156
BTN,2021,39.7402834094285
BTN,2022,24.6092470258676
BTN,2023,16.8173555839128
BTN,2024,23.2005711161792
BTN,2025,27.7014356212685
BWA,2015,21.9736319714991
BWA,2016,20.9825708281479
BWA,2017,14.8862430271011
BWA,2018,17.7922425515914
BWA,2019,18.8312792609576
BWA,2020,16.5503725476161
BWA,2021,7.9349057371504
BWA,2022,6.58890177648789
BWA,2023,12.7388390576132
BWA,2024,4.84657897775719
BWA,2025,5.18184778806526
CAF,2015,18.2389080357994
CAF,2016,13.7650907617035
CAF,2017,21.8894135433899
CAF,2018,24.4546854120409
CAF,2019,19.7805652631531
CAF,2020,30.2849342356844
CAF,2021,14.5931280475079
CAF,2022,12.2166965854525
CHL,2015,10.4249538466304
CHL,2016,10.770985145317
CHL,2017,10.4657478279834
CHL,2018,9.78846585544503
CHL,2019,10.9763221841152
CHL,2020,18.1256385908528
CHL,2021,17.7509037212944
