iso3,year,value
ABW,2015,62.95782
ABW,2016,63.92509
ABW,2017,65.86773
ABW,2018,66.35703
ABW,2019,75.41827
ABW,2020,99.78976
AFG,2015,3.787812
AFG,2016,3.785753
AFG,2017,3.718773
AFG,2018,3.450272
AFG,2019,3.206965
AFG,2020,2.98141
AGO,2015,41.35875
AGO,2016,40.07643
AGO,2017,34.79965
AGO,2018,32.48656
AGO,2019,31.9317
AGO,2020,33.76452
AGO,2021,20.86753
ALB,2015,59.27171
ALB,2016,59.22118
ALB,2017,57.09734
ALB,2018,54.07978
ALB,2019,55.34961
ALB,2020,61.48849
ALB,2021,59.77528
ARE,2015,109.406
ARE,2016,117.2657
ARE,2017,109.1155
ARE,2018,103.1897
ARE,2019,110.5003
ARE,2020,130.693
ARG,2015,22.71855
ARG,2016,22.02309
ARG,2017,24.17418
ARM,2015,49.24774
ARM,2016,55.29293
ARM,2017,58.04486
ARM,2018,62.1867
ARM,2019,67.1177
ARM,2020,83.83363
ARM,2021,76.89648
ATG,2015,69.13285
ATG,2016,63.72246
ATG,2017,61.82968
ATG,2018,57.86443
ATG,2019,55.68829
ATG,2020,71.69872
ATG,2021,67.10177
AUS,2015,140.2154
AUS,2016,145.5654
AUS,2017,144.1559
AUS,2018,143.2906
AUS,2019,148.9929
AUS,2020,163.7002
AUS,2021,148.1807
AUT,2015,103.3462
AUT,2016,99.92002
AUT,2017,98.18497
AUT,2018,97.05
AUT,2019,96.86129
AUT,2020,104.3544
AUT,2021,104.1206
AZE,2015,40.99189
AZE,2016,34.69883
AZE,2017,25.39112
AZE,2018,22.3446
AZE,2019,23.94395
AZE,2020,28.58456
AZE,2021,25.14992
BDI,2015,22.16154
BDI,2016,26.39862
BDI,2017,27.67137
BDI,2018,36.48008
BDI,2019,46.13505
BDI,2020,53.67175
BEL,2015,81.36241
BEL,2016,81.55573
BEL,2017,80.19504
BEL,2018,81.53348
BEL,2019,81.50674
BEL,2020,88.19199
BEL,2021,82.97705
BEN,2015,23.70521
BEN,2016,24.94206
BEN,2017,26.27189
BEN,2018,26.68971
BEN,2019,25.76768
BEN,2020,25.08494
BEN,2021,23.65735
BFA,2015,34.55529
BFA,2016,32.39673
BFA,2017,34.14493
BFA,2018,34.86296
BFA,2019,36.80124
BFA,2020,39.08879
BFA,2021,40.00778
BGD,2015,63.27142
BGD,2016,63.96235
BGD,2017,66.39436
BGD,2018,66.15947
BGD,2019,65.75465
BGD,2020,68.06818
BGD,2021,59.20233
BGR,2015,65.28822
BGR,2016,63.50459
BGR,2017,60.68456
BGR,2018,59.56664
BGR,2019,58.23187
BGR,2020,61.80431
BGR,2021,61.91204
BHR,2015,107.317
BHS,2015,73.3399
BHS,2016,69.91072
BHS,2017,69.54178
BHS,2018,70.84889
BHS,2019,69.00761
BHS,2020,93.24281
BIH,2015,62.57116
BIH,2016,61.70963
BIH,2017,62.61603
BIH,2018,61.80295
BIH,2019,62.77414
BIH,2020,64.55087
BIH,2021,61.42378
BLR,2015,52.29988
BLR,2016,49.6319
BLR,2017,46.75071
BLR,2018,45.67569
BLR,2019,44.33617
BLR,2020,48.13051
BLR,2021,43.33489
BLZ,2015,63.00156
BLZ,2016,62.42212
BLZ,2017,62.41003
BLZ,2018,64.01731
BLZ,2019,64.17491
BLZ,2020,77.79403
BLZ,2021,74.31598
BOL,2015,52.29422
BOL,2016,58.2962
BOL,2017,59.39368
BOL,2018,63.21967
BOL,2019,67.19347
BOL,2020,82.10617
BOL,2021,77.34501
BRA,2015,106.8613
BRA,2016,106.5677
BRA,2017,108.2277
BRA,2018,109.3656
BRA,2019,115.0537
BRA,2020,131.7162
