iso3,year,value
ABW,2015,67.19653
ABW,2016,73.38168
ABW,2017,71.77642
ABW,2018,71.7943
ABW,2019,80.60335
ABW,2020,111.0538
AFG,2015,17.11684
AFG,2016,18.96479
AFG,2017,19.07627
AFG,2018,18.88173
AFG,2019,16.91687
AFG,2020,17.64849
AGO,2015,38.15775
AGO,2016,36.74832
AGO,2017,30.10038
AGO,2018,29.15427
AGO,2019,31.76875
AGO,2020,36.41713
AGO,2021,22.58882
ALB,2015,68.59187
ALB,2016,68.64949
ALB,2017,64.34592
ALB,2018,60.41314
ALB,2019,60.71103
ALB,2020,67.65973
ALB,2021,64.32858
ARE,2015,87.2219
ARE,2016,88.67218
ARE,2017,85.29311
ARE,2018,79.80027
ARE,2019,87.08417
ARE,2020,104.9666
ARG,2015,20.49133
ARG,2016,21.89971
ARG,2017,21.84118
ARM,2015,29.89857
ARM,2016,34.99961
ARM,2017,37.92698
ARM,2018,37.32541
ARM,2019,38.85471
ARM,2020,43.03131
ARM,2021,44.77929
ATG,2015,90.23624
ATG,2016,82.66156
ATG,2017,86.84058
ATG,2018,85.12023
ATG,2019,80.45354
ATG,2020,89.53429
ATG,2021,95.10706
AUS,2015,114.2654
AUS,2016,99.57438
AUS,2017,98.81499
AUS,2018,96.86491
AUS,2019,99.6646
AUS,2020,119.3671
AUS,2021,112.089
AUT,2015,80.6018
AUT,2016,82.47103
AUT,2017,83.49722
AUT,2018,85.72352
AUT,2019,86.65724
AUT,2020,99.77829
AUT,2021,98.20541
AZE,2015,30.1953
AZE,2016,23.9799
AZE,2017,21.29025
AZE,2018,20.24986
AZE,2019,23.34538
AZE,2020,25.40542
AZE,2021,25.51517
BDI,2015,18.05502
BDI,2016,18.98583
BDI,2017,21.35612
BDI,2018,26.63407
BDI,2019,31.91842
BDI,2020,38.35304
BEL,2015,110.0686
BEL,2016,110.0422
BEL,2017,109.0978
BEL,2018,111.9504
BEL,2019,112.8722
BEL,2020,126.7877
BEL,2021,120.6499
BEN,2015,23.09321
BEN,2016,22.157
BEN,2017,21.33444
BEN,2018,21.30742
BEN,2019,21.01539
BEN,2020,22.57111
BEN,2021,24.753
BFA,2015,30.06431
BFA,2016,30.50852
BFA,2017,33.18142
BFA,2018,32.68209
BFA,2019,33.59735
BFA,2020,37.89609
BFA,2021,40.63704
BGD,2015,51.11006
BGD,2016,50.47702
BGD,2017,48.79554
BGD,2018,46.7331
BGD,2019,46.53048
BGD,2020,48.76784
BGD,2021,41.05363
BGR,2015,69.13238
BGR,2016,69.1833
BGR,2017,68.93932
BGR,2018,69.66728
BGR,2019,70.24484
BGR,2020,77.72247
BGR,2021,76.51083
BHR,2015,81.52178
BHS,2015,51.04531
BHS,2016,53.66023
BHS,2017,53.71826
BHS,2018,56.56495
BHS,2019,60.85236
BHS,2020,81.92503
BIH,2015,54.35708
BIH,2016,55.99293
BIH,2017,58.61788
BIH,2018,60.06128
BIH,2019,61.8373
BIH,2020,67.06705
BIH,2021,68.7674
BLR,2015,32.74408
BLR,2016,31.36436
BLR,2017,32.70935
BLR,2018,30.45471
BLR,2019,31.08832
BLR,2020,29.19949
BLR,2021,26.90423
BLZ,2015,75.01041
BLZ,2016,73.74876
BLZ,2017,70.32964
BLZ,2018,69.99001
BLZ,2019,71.22198
BLZ,2020,90.88321
BLZ,2021,98.18211
BOL,2015,65.15614
BOL,2016,65.48407
BOL,2017,65.9612
BOL,2018,65.63573
BOL,2019,65.00511
BOL,2020,80.59243
BOL,2021,77.90516
BRA,2015,56.98655
BRA,2016,62.6458
BRA,2017,64.4621
BRA,2018,66.60847
BRA,2019,68.66895
BRA,2020,76.00596
BRA,2021,71.39072
BRB,2015,108.9389
BRB,2016,108.7425
BRB,2017,109.9578
BRB,2018,111.7019
BRB,2019,111.1238
BRN,2015,74.76925
BRN,2016,85.38962
BRN,2017,80.16944
BRN,2018,75.65695
BRN,2019,78.98933
BRN,2020,86.43212
BTN,2015,55.46214
BTN,2016,60.57853
BTN,2017,65.23962
BTN,2018,66.3863
BTN,2019,69.59005
BTN,2020,94.09809
BWA,2015,47.38616
BWA,2016,41.76079
BWA,2017,42.32844
BWA,2018,44.34291
BWA,2019,46.38947
BWA,2020,50.57888
BWA,2021,47.01832
CAF,2015,12.26753
CAF,2016,11.92081
CAF,2017,11.50251
CAF,2018,12.90993
CAF,2019,13.90412
CHE,2015,164.3278
CHE,2016,167.3852
CHL,2015,55.29425
CHL,2016,54.52404
CHL,2017,50.26846
CHL,2018,52.29836
CHL,2019,57.0317
CHL,2020,65.87315
CHL,2021,62.60093
CHN,2015,49.02853
CHN,2016,56.03642
CHN,2017,56.86593
CHN,2018,52.04916
CHN,2019,50.56386
CHN,2020,53.40194
CHN,2021,48.66946
CIV,2015,19.68866
CIV,2016,19.61902
CIV,2017,20.92923
CIV,2018,22.59575
CIV,2019,23.53886
CIV,2020,27.70216
CIV,2021,30.40386
CMR,2015,15.4436
CMR,2016,15.12112
CMR,2017,15.1638
CMR,2018,16.53209
CMR,2019,16.80967
COG,2015,22.87346
COG,2016,22.87646
COG,2017,18.7823
COG,2018,14.9619
COG,2019,15.82234
COL,2015,25.22206
COL,2016,22.86373
COL,2017,22.88914
COL,2018,22.80209
COL,2019,23.19053
COL,2020,30.46985
COL,2021,31.00632
COM,2015,18.98779
COM,2016,21.00926
COM,2017,19.55628
COM,2018,20.20429
COM,2019,20.52533
COM,2020,22.92402
COM,2021,26.61887
CPV,2015,93.22852
CPV,2016,96.97839
CPV,2017,99.21488
CPV,2018,94.74351
CPV,2019,96.87713
CPV,2020,116.3371
CPV,2021,109.7969
CRI,2015,26.24996
CRI,2016,26.88132
CRI,2017,25.83607
CRI,2018,26.59702
CRI,2019,27.3827
CRI,2020,37.64637
CRI,2021,41.08471
CZE,2015,67.61345
CZE,2016,69.06567
CZE,2017,71.94994
CZE,2018,72.37445
CZE,2019,72.14381
CZE,2020,80.49432
CZE,2021,80.36269
DEU,2015,82.58025
DEU,2016,83.75291
DEU,2017,84.31528
DEU,2018,85.68807
DEU,2019,87.36482
DEU,2020,97.11584
DEU,2021,95.02325
DJI,2015,57.20819
DJI,2016,58.22241
DJI,2017,68.13545
DJI,2018,58.50815
DJI,2019,57.66521
DJI,2020,67.15524
DJI,2021,72.49702
DMA,2015,93.56441
DMA,2016,92.96866
DMA,2017,119.578
DMA,2018,113.046
DMA,2019,89.94616
DMA,2020,95.71721
DMA,2021,90.13515
DNK,2015,54.19263
DNK,2016,56.06312
DNK,2017,57.24577
DNK,2018,56.59733
DNK,2019,58.51832
DNK,2020,64.05716
DNK,2021,60.02859
DOM,2015,21.47626
DOM,2016,21.7035
DOM,2017,21.86977
DOM,2018,21.36171
DOM,2019,23.0601
DOM,2020,30.41332
DOM,2021,29.32611
DZA,2015,49.87261
DZA,2016,46.48419
DZA,2017,48.7765
DZA,2018,49.58972
DZA,2019,48.01913
DZA,2020,53.93711
DZA,2021,51.51547
ECU,2015,28.00867
ECU,2016,32.85527
ECU,2017,34.36172
ECU,2018,35.01731
ECU,2019,37.85196
ECU,2020,46.1083
ECU,2021,48.32725
EGY,2015,65.48553
EGY,2016,84.04134
EGY,2017,80.54346
EGY,2018,71.8155
EGY,2019,67.70634
EGY,2020,73.75814
EGY,2021,80.75649
ESP,2015,98.88009
ESP,2016,101.3264
ESP,2017,98.48976
ESP,2018,98.81863
ESP,2019,99.93378
ESP,2020,121.6606
ESP,2021,119.7247
EST,2015,59.54042
EST,2016,62.07493
EST,2017,59.5881
EST,2018,60.65999
EST,2019,60.56117
EST,2020,73.46507
EST,2021,74.5138
FIN,2015,67.17458
FIN,2016,67.21742
FIN,2017,68.03593
FIN,2018,67.15054
FIN,2019,67.08887
FIN,2020,77.40709
FIN,2021,77.28222
FJI,2015,66.4376
FJI,2016,66.09325
FJI,2017,66.93884
FJI,2018,65.5748
FJI,2019,65.95886
FJI,2020,81.1143
FJI,2021,92.86383
FRA,2015,78.21719
FRA,2016,80.93669
FRA,2017,84.08621
FRA,2018,85.38626
FRA,2019,87.96909
FRA,2021,106.6573
FSM,2015,56.32638
FSM,2016,65.47186
FSM,2017,65.70193
FSM,2018,61.34461
FSM,2019,59.90834
FSM,2020,69.90993
GAB,2015,20.04554
GAB,2016,19.6378
GAB,2017,14.85432
GAB,2018,19.28909
GAB,2019,18.66837
GEO,2015,32.82736
GEO,2016,37.71312
GEO,2017,38.06121
GEO,2018,40.15095
GEO,2019,42.37172
GEO,2020,54.08721
GEO,2021,50.31234
GHA,2015,24.32533
GHA,2016,25.26495
GHA,2017,24.89446
GHA,2018,24.33982
GHA,2019,24.33401
GHA,2020,27.2572
GHA,2021,23.92728
GIN,2015,18.23103
GIN,2016,16.99413
GIN,2017,15.92402
GIN,2018,17.38563
GIN,2019,18.63651
GIN,2020,18.88813
GIN,2021,17.96657
GMB,2017,30.1973
GMB,2018,31.30602
GMB,2019,35.7788
GMB,2020,41.72429
GMB,2021,45.4811
GNB,2015,16.86433
GNB,2016,14.96157
GNB,2017,13.6939
GNB,2018,15.54127
GNB,2019,15.47574
GNB,2020,18.5034
GNB,2021,19.60174
GNQ,2015,12.51694
GNQ,2016,11.56839
GNQ,2017,10.23848
GNQ,2018,9.932877
GNQ,2019,9.662605
GRC,2015,72.33491
GRC,2016,71.83857
GRC,2017,73.64771
GRC,2018,77.45687
GRC,2019,80.6794
GRC,2020,100.7277
GRC,2021,99.36717
GRD,2015,81.83498
GRD,2016,80.36039
GRD,2017,77.66853
GRD,2018,82.54256
GRD,2019,79.47792
GRD,2020,89.94455
GRD,2021,89.007
GTM,2015,41.9382
GTM,2016,42.17865
GTM,2017,42.79897
GTM,2018,44.88989
GTM,2019,44.94372
GTM,2020,51.92645
GTM,2021,50.14574
GUY,2015,41.5823
GUY,2016,41.51966
GUY,2017,37.94367
GUY,2018,39.12623
GUY,2019,41.31914
GUY,2020,43.10662
GUY,2021,36.32243
HKG,2015,348.3264
HKG,2016,360.8833
HKG,2017,371.0277
HKG,2018,353.0639
HKG,2019,370.4936
HKG,2020,415.7495
HKG,2021,402.941
HND,2015,47.60007
HND,2016,52.52943
HND,2017,52.80378
HND,2018,54.08372
HND,2019,55.92024
HND,2020,68.76589
HND,2021,64.50345
HRV,2015,63.9245
HRV,2016,64.15093
HRV,2017,63.09194
HRV,2018,64.97176
HRV,2019,63.58835
HRV,2020,77.28134
HRV,2021,77.2496
HTI,2015,25.07632
HTI,2016,25.45016
HTI,2017,23.5071
HTI,2018,24.90975
HTI,2019,24.23067
HTI,2020,20.70943
HTI,2021,24.16631
HUN,2015,44.70366
HUN,2016,46.46088
HUN,2017,45.85539
HUN,2018,45.82058
HUN,2019,45.19668
HUN,2020,55.01208
HUN,2021,56.83633
IDN,2015,35.3913
IDN,2016,36.12903
IDN,2017,35.44118
IDN,2018,34.5946
IDN,2019,34.55696
IDN,2020,39.74026
IDN,2021,41.23529
IND,2015,68.92553
IND,2016,71.32292
IND,2017,66.48294
IND,2018,64.37984
IND,2019,67.1951
IND,2020,76.54307
IND,2021,72.09265
IRL,2015,71.55974
IRL,2016,75.21125
IRL,2017,71.71946
IRL,2018,66.43479
IRL,2019,69.70039
IRL,2020,75.6523
IRL,2021,73.25712
IRN,2015,74.5575
IRN,2016,85.25926
IRQ,2015,23.84146
IRQ,2016,24.37699
IRQ,2017,23.03335
IRQ,2018,20.41497
IRQ,2019,20.12508
IRQ,2020,29.62305
IRQ,2021,22.62835
ISL,2015,72.43608
ISL,2016,63.20869
ISL,2017,63.03479
ISL,2018,62.6474
ISL,2019,62.48023
ISL,2020,69.6366
ISL,2021,70.16038
ISR,2015,72.77036
ISR,2016,74.92051
ISR,2017,75.8693
ISR,2018,73.96048
ISR,2019,74.90937
ISR,2020,93.53629
ISR,2021,99.30497
ITA,2015,79.22766
ITA,2016,80.86927
ITA,2017,82.14697
ITA,2018,82.53496
ITA,2019,85.3179
ITA,2020,102.9492
ITA,2021,102.9661
JAM,2015,42.86073
JAM,2016,45.6677
JAM,2017,47.33302
JAM,2018,48.3191
JAM,2019,50.73663
JAM,2020,63.7403
JAM,2021,68.71378
JOR,2015,97.27351
JOR,2016,97.88265
JOR,2017,93.72793
JOR,2018,90.7304
JOR,2019,91.6461
JOR,2020,95.25914
JOR,2021,98.75117
JPN,2015,214.4757
JPN,2016,218.6006
JPN,2017,221.335
