iso3,year,value
ABW,2015,3.61147906591042
ABW,2016,1.23433537363427
ABW,2017,3.49342985290626
ABW,2018,3.21247111920076
ABW,2019,1.22914408896015
ABW,2020,-23.9400592677491
ABW,2021,14.833691976226
ABW,2022,10.6079607621246
ABW,2023,9.51636022347185
ABW,2024,6.81077669324554
AFG,2015,1.45131466066431
AFG,2016,2.26031420279821
AFG,2017,2.6470032027451
AFG,2018,1.18922812944517
AFG,2019,3.91160341625552
AFG,2020,-2.35110067203466
AFG,2021,-20.7388393676343
AFG,2022,-6.24017199240269
AFG,2023,2.26694373649188
AFG,2024,1.87319280045979
AGO,2015,0.763177710914789
AGO,2016,-0.233076954805284
AGO,2017,-0.164688656961076
AGO,2018,-0.506697543616156
AGO,2019,-1.05523414494337
AGO,2020,-5.27349128300007
AGO,2021,1.09058369944815
AGO,2022,3.55749206675667
AGO,2023,1.32016587081031
AGO,2024,4.95267860425956
AGO,2025,3.13353542450008
ALB,2015,2.2277040745779
ALB,2016,3.90893551362245
ALB,2017,3.28317593330073
ALB,2018,3.67141928098908
ALB,2019,2.06257790176122
ALB,2020,-3.31375636888916
ALB,2021,8.96957619074095
ALB,2022,4.8268006234359
ALB,2023,4.01541716935742
ALB,2024,4.04592845095348
ALB,2025,3.78893836241024
AND,2015,1.43414039522716
AND,2016,3.70967806978986
AND,2017,0.346071889630295
AND,2018,1.58876549046354
AND,2019,2.01554763848308
AND,2020,-11.1839399355384
AND,2021,8.28677879049404
AND,2022,9.56461225648184
AND,2023,2.58355480961319
AND,2024,3.8491605039052
AND,2025,3.86803450687808
ARE,2015,7.08766622657654
ARE,2016,5.65790147196586
ARE,2017,-1.06137114472548
ARE,2018,1.53720634021511
ARE,2019,1.27129120536284
ARE,2020,-8.69343363776639
ARE,2021,4.55280140106356
ARE,2022,7.51452414254605
ARE,2023,4.30113648499413
ARE,2024,3.99181200361831
ARG,2015,2.73115982828944
ARG,2016,-2.08032784377811
ARG,2017,2.81850297775918
ARG,2018,-2.61739646282038
ARG,2019,-2.00086100285785
ARG,2020,-9.9004848136464
ARG,2021,10.4418119882506
ARG,2022,6.02074537534855
ARG,2023,-1.85578803046339
ARG,2024,-1.34293072157739
ARG,2025,4.36733330217022
ARM,2015,3.19999999896625
ARM,2016,0.199999999825991
ARM,2017,7.50000000164144
ARM,2018,5.19999999965324
ARM,2019,7.59999999853918
ARM,2020,-7.19999999920631
ARM,2021,5.80000000065645
ARM,2022,12.5999999997766
