iso3,name,income_level,region
ABW,Aruba,HIC,Latin America & Caribbean 
AFG,Afghanistan,LIC,"Middle East, North Africa, Afghanistan & Pakistan"
AGO,Angola,LMC,Sub-Saharan Africa 
ALB,Albania,UMC,Europe & Central Asia
AND,Andorra,HIC,Europe & Central Asia
ARE,United Arab Emirates,HIC,"Middle East, North Africa, Afghanistan & Pakistan"
ARG,Argentina,UMC,Latin America & Caribbean 
ARM,Armenia,UMC,Europe & Central Asia
ASM,American Samoa,HIC,East Asia & Pacific
ATG,Antigua and Barbuda,HIC,Latin America & Caribbean 
AUS,Australia,HIC,East Asia & Pacific
AUT,Austria,HIC,Europe & Central Asia
AZE,Azerbaijan,UMC,Europe & Central Asia
BDI,Burundi,LIC,Sub-Saharan Africa 
BEL,Belgium,HIC,Europe & Central Asia
BEN,Benin,LMC,Sub-Saharan Africa 
BFA,Burkina Faso,LIC,Sub-Saharan Africa 
BGD,Bangladesh,LMC,South Asia
BGR,Bulgaria,HIC,Europe & Central Asia
BHR,Bahrain,HIC,"Middle East, North Africa, Afghanistan & Pakistan"
BHS,"Bahamas, The",HIC,Latin America & Caribbean 
BIH,Bosnia and Herzegovina,UMC,Europe & Central Asia
BLR,Belarus,UMC,Europe & Central Asia
BLZ,Belize,UMC,Latin America & Caribbean 
BMU,Bermuda,HIC,North America
BOL,Bolivia,LMC,Latin America & Caribbean 
BRA,Brazil,UMC,Latin America & Caribbean 
BRB,Barbados,HIC,Latin America & Caribbean 
BRN,Brunei Darussalam,HIC,East Asia & Pacific
BTN,Bhutan,LMC,South Asia
BWA,Botswana,UMC,Sub-Saharan Africa 
CAF,Central African Republic,LIC,Sub-Saharan Africa 
CAN,Canada,HIC,North America
CHE,Switzerland,HIC,Europe & Central Asia
CHI,Channel Islands,HIC,Europe & Central Asia
CHL,Chile,HIC,Latin America & Caribbean 
CHN,China,UMC,East Asia & Pacific
CIV,Cote d'Ivoire,LMC,Sub-Saharan Africa 
CMR,Cameroon,LMC,Sub-Saharan Africa 
COD,"Congo, Dem. Rep.",LIC,Sub-Saharan Africa 
COG,"Congo, Rep.",LMC,Sub-Saharan Africa 
COL,Colombia,UMC,Latin America & Caribbean 
