iso3,sex,age,level,percent
ABW,F,15,0,0.67
ABW,F,15,1,0.13
ABW,F,15,2,13.60
ABW,F,15,3,62.26
ABW,F,15,4,23.06
ABW,F,15,5,0.00
ABW,F,15,6,0.00
ABW,F,15,7,0.00
ABW,F,20,0,0.90
ABW,F,20,1,0.16
ABW,F,20,2,12.64
ABW,F,20,3,25.48
ABW,F,20,4,49.11
ABW,F,20,5,0.00
ABW,F,20,6,0.00
ABW,F,20,7,0.00
ABW,F,25,0,1.08
ABW,F,25,1,0.21
ABW,F,25,2,14.69
ABW,F,25,3,20.96
ABW,F,25,4,21.36
ABW,F,25,5,0.00
ABW,F,25,6,0.00
ABW,F,25,7,0.00
ABW,F,30,0,2.02
ABW,F,30,1,1.29
ABW,F,30,2,16.14
ABW,F,30,3,26.03
ABW,F,30,4,17.58
ABW,F,30,5,0.00
ABW,F,30,6,0.00
ABW,F,30,7,0.00
ABW,F,35,0,2.13
ABW,F,35,1,2.21
ABW,F,35,2,20.76
ABW,F,35,3,30.23
ABW,F,35,4,13.55
ABW,F,35,5,0.00
ABW,F,35,6,0.00
ABW,F,35,7,0.00
ABW,F,40,0,3.01
ABW,F,40,1,2.67
ABW,F,40,2,18.60
ABW,F,40,3,26.81
ABW,F,40,4,13.63
ABW,F,40,5,0.00
ABW,F,40,6,0.00
ABW,F,40,7,0.00
ABW,F,45,0,4.02
ABW,F,45,1,3.42
ABW,F,45,2,20.37
ABW,F,45,3,27.37
ABW,F,45,4,13.10
ABW,F,45,5,0.00
ABW,F,45,6,0.00
ABW,F,45,7,0.00
ABW,F,50,0,5.02
ABW,F,50,1,4.51
ABW,F,50,2,19.33
ABW,F,50,3,27.90
ABW,F,50,4,14.32
ABW,F,50,5,0.00
ABW,F,50,6,0.00
ABW,F,50,7,0.00
ABW,F,55,0,5.54
ABW,F,55,1,5.67
ABW,F,55,2,22.08
ABW,F,55,3,30.15
ABW,F,55,4,12.08
ABW,F,55,5,0.00
ABW,F,55,6,0.00
ABW,F,55,7,0.00
ABW,F,60,0,8.55
ABW,F,60,1,6.75
ABW,F,60,2,23.62
ABW,F,60,3,32.69
ABW,F,60,4,9.66
ABW,F,60,5,0.00
ABW,F,60,6,0.00
ABW,F,60,7,0.00
ABW,F,65,0,12.68
ABW,F,65,1,8.58
ABW,F,65,2,26.67
ABW,F,65,3,29.89
ABW,F,65,4,6.39
ABW,F,65,5,0.00
ABW,F,65,6,0.00
ABW,F,65,7,0.00
ABW,F,70,0,13.71
ABW,F,70,1,14.16
ABW,F,70,2,28.16
ABW,F,70,3,27.58
ABW,F,70,4,3.89
ABW,F,70,5,0.00
ABW,F,70,6,0.00
ABW,F,70,7,0.00
ABW,F,75,0,16.25
ABW,F,75,1,15.93
ABW,F,75,2,32.01
ABW,F,75,3,20.37
ABW,F,75,4,3.52
ABW,F,75,5,0.00
ABW,F,75,6,0.00
ABW,F,75,7,0.00
ABW,F,80,0,21.58
ABW,F,80,1,22.66
ABW,F,80,2,33.06
ABW,F,80,3,12.69
ABW,F,80,4,2.55
ABW,F,80,5,0.00
ABW,F,80,6,0.00
ABW,F,80,7,0.00
ABW,F,85,0,27.87
ABW,F,85,1,23.73
ABW,F,85,2,32.58
ABW,F,85,3,10.13
ABW,F,85,4,1.54
ABW,F,85,5,0.00
ABW,F,85,6,0.00
ABW,F,85,7,0.00
ABW,F,90,0,32.42
ABW,F,90,1,24.32
ABW,F,90,2,29.10
ABW,F,90,3,7.68
ABW,F,90,4,1.71
ABW,F,90,5,0.00
ABW,F,90,6,0.00
ABW,F,90,7,0.00
ABW,F,95,0,32.23
ABW,F,95,1,27.27
ABW,F,95,2,31.34
ABW,F,95,3,6.23
ABW,F,95,4,0.73
ABW,F,95,5,0.00
ABW,F,95,6,0.00
ABW,F,95,7,0.00
ABW,F,100,0,40.93
ABW,F,100,1,28.39
ABW,F,100,2,25.06
ABW,F,100,3,3.71
ABW,F,100,4,0.51
ABW,F,100,5,0.00
ABW,F,100,6,0.00
ABW,F,100,7,0.00
ABW,M,15,0,1.25
ABW,M,15,1,0.40
ABW,M,15,2,18.58
ABW,M,15,3,60.74
ABW,M,15,4,18.90
ABW,M,15,5,0.00
ABW,M,15,6,0.00
ABW,M,15,7,0.00
ABW,M,20,0,1.61
ABW,M,20,1,0.50
ABW,M,20,2,18.26
ABW,M,20,3,37.51
ABW,M,20,4,35.00
ABW,M,20,5,0.00
ABW,M,20,6,0.00
ABW,M,20,7,0.00
ABW,M,25,0,2.07
ABW,M,25,1,0.64
ABW,M,25,2,20.36
ABW,M,25,3,33.77
ABW,M,25,4,14.23
ABW,M,25,5,0.00
ABW,M,25,6,0.00
ABW,M,25,7,0.00
ABW,M,30,0,3.18
ABW,M,30,1,1.88
ABW,M,30,2,22.20
ABW,M,30,3,36.16
ABW,M,30,4,11.39
ABW,M,30,5,0.00
ABW,M,30,6,0.00
ABW,M,30,7,0.00
ABW,M,35,0,3.35
ABW,M,35,1,3.25
ABW,M,35,2,22.52
ABW,M,35,3,39.36
ABW,M,35,4,9.03
ABW,M,35,5,0.00
ABW,M,35,6,0.00
ABW,M,35,7,0.00
ABW,M,40,0,3.73
ABW,M,40,1,3.58
ABW,M,40,2,21.41
ABW,M,40,3,33.55
ABW,M,40,4,9.61
ABW,M,40,5,0.00
ABW,M,40,6,0.00
ABW,M,40,7,0.00
ABW,M,45,0,5.00
ABW,M,45,1,5.02
ABW,M,45,2,20.94
ABW,M,45,3,29.97
ABW,M,45,4,10.24
ABW,M,45,5,0.00
ABW,M,45,6,0.00
ABW,M,45,7,0.00
ABW,M,50,0,4.35
ABW,M,50,1,5.51
ABW,M,50,2,20.40
ABW,M,50,3,30.55
ABW,M,50,4,11.61
ABW,M,50,5,0.00
ABW,M,50,6,0.00
ABW,M,50,7,0.00
ABW,M,55,0,6.34
ABW,M,55,1,5.35
ABW,M,55,2,19.49
ABW,M,55,3,32.31
ABW,M,55,4,8.91
ABW,M,55,5,0.00
ABW,M,55,6,0.00
ABW,M,55,7,0.00
ABW,M,60,0,7.74
ABW,M,60,1,7.10
ABW,M,60,2,20.79
ABW,M,60,3,33.20
ABW,M,60,4,7.26
ABW,M,60,5,0.00
ABW,M,60,6,0.00
ABW,M,60,7,0.00
ABW,M,65,0,8.74
ABW,M,65,1,6.89
ABW,M,65,2,22.34
ABW,M,65,3,33.27
ABW,M,65,4,5.50
ABW,M,65,5,0.00
ABW,M,65,6,0.00
ABW,M,65,7,0.00
ABW,M,70,0,11.54
ABW,M,70,1,10.32
ABW,M,70,2,23.23
ABW,M,70,3,28.08
ABW,M,70,4,4.16
ABW,M,70,5,0.00
ABW,M,70,6,0.00
ABW,M,70,7,0.00
ABW,M,75,0,13.40
ABW,M,75,1,13.95
ABW,M,75,2,25.81
ABW,M,75,3,25.72
ABW,M,75,4,3.32
ABW,M,75,5,0.00
ABW,M,75,6,0.00
ABW,M,75,7,0.00
ABW,M,80,0,15.21
ABW,M,80,1,14.82
ABW,M,80,2,24.72
ABW,M,80,3,27.19
ABW,M,80,4,2.59
ABW,M,80,5,0.00
ABW,M,80,6,0.00
ABW,M,80,7,0.00
ABW,M,85,0,17.75
ABW,M,85,1,18.93
ABW,M,85,2,28.11
ABW,M,85,3,22.54
ABW,M,85,4,2.96
ABW,M,85,5,0.00
ABW,M,85,6,0.00
ABW,M,85,7,0.00
ABW,M,90,0,23.53
ABW,M,90,1,20.89
ABW,M,90,2,26.45
ABW,M,90,3,16.25
ABW,M,90,4,1.68
ABW,M,90,5,0.00
ABW,M,90,6,0.00
ABW,M,90,7,0.00
ABW,M,95,0,25.69
ABW,M,95,1,29.03
ABW,M,95,2,26.52
ABW,M,95,3,12.50
ABW,M,95,4,0.69
ABW,M,95,5,0.00
ABW,M,95,6,0.00
ABW,M,95,7,0.00
AFG,F,15,0,50.52
AFG,F,15,1,0.00
AFG,F,15,2,42.01
AFG,F,15,3,0.00
AFG,F,15,4,7.19
AFG,F,15,5,0.00
AFG,F,15,6,0.00
AFG,F,15,7,0.00
AFG,F,20,0,58.41
AFG,F,20,1,0.00
AFG,F,20,2,20.28
AFG,F,20,3,1.04
AFG,F,20,4,16.72
AFG,F,20,5,0.00
AFG,F,20,6,0.00
AFG,F,20,7,0.00
AFG,F,25,0,69.61
AFG,F,25,1,0.00
AFG,F,25,2,16.03
AFG,F,25,3,0.00
AFG,F,25,4,10.45
AFG,F,25,5,0.00
AFG,F,25,6,0.00
AFG,F,25,7,0.00
AFG,F,30,0,84.76
AFG,F,30,1,0.00
AFG,F,30,2,8.53
AFG,F,30,3,0.00
AFG,F,30,4,4.91
AFG,F,30,5,0.00
AFG,F,30,6,0.00
AFG,F,30,7,0.00
AFG,F,35,0,91.48
AFG,F,35,1,0.00
AFG,F,35,2,5.38
AFG,F,35,3,0.00
AFG,F,35,4,2.26
AFG,F,35,5,0.00
AFG,F,35,6,0.00
AFG,F,35,7,0.00
AFG,F,40,0,92.22
AFG,F,40,1,0.00
AFG,F,40,2,4.54
AFG,F,40,3,0.00
AFG,F,40,4,1.85
AFG,F,40,5,0.00
AFG,F,40,6,0.00
AFG,F,40,7,0.00
AFG,F,45,0,91.33
AFG,F,45,1,0.00
AFG,F,45,2,4.04
AFG,F,45,3,0.00
AFG,F,45,4,2.25
AFG,F,45,5,0.00
AFG,F,45,6,0.00
AFG,F,45,7,0.00
AFG,F,50,0,92.62
AFG,F,50,1,0.00
AFG,F,50,2,3.43
AFG,F,50,3,0.00
AFG,F,50,4,2.03
AFG,F,50,5,0.00
AFG,F,50,6,0.00
AFG,F,50,7,0.00
AFG,F,55,0,94.19
AFG,F,55,1,0.00
AFG,F,55,2,2.18
AFG,F,55,3,0.00
AFG,F,55,4,2.17
AFG,F,55,5,0.00
AFG,F,55,6,0.00
AFG,F,55,7,0.00
AFG,F,60,0,94.51
AFG,F,60,1,0.00
AFG,F,60,2,1.95
AFG,F,60,3,0.00
AFG,F,60,4,2.12
AFG,F,60,5,0.00
AFG,F,60,6,0.00
AFG,F,60,7,0.00
AFG,F,65,0,97.12
AFG,F,65,1,0.00
AFG,F,65,2,1.86
AFG,F,65,3,0.00
AFG,F,65,4,0.97
AFG,F,65,5,0.00
AFG,F,65,6,0.00
AFG,F,65,7,0.00
AFG,F,70,0,97.84
AFG,F,70,1,0.00
AFG,F,70,2,1.81
AFG,F,70,3,0.00
AFG,F,70,4,0.35
AFG,F,70,5,0.00
AFG,F,70,6,0.00
AFG,F,70,7,0.00
AFG,F,75,0,98.04
AFG,F,75,1,0.00
AFG,F,75,2,1.32
AFG,F,75,3,0.00
AFG,F,75,4,0.64
AFG,F,75,5,0.00
AFG,F,75,6,0.00
AFG,F,75,7,0.00
AFG,F,80,0,99.22
AFG,F,80,1,0.00
AFG,F,80,2,0.48
AFG,F,80,3,0.00
AFG,F,80,4,0.31
AFG,F,80,5,0.00
AFG,F,80,6,0.00
AFG,F,80,7,0.00
AFG,F,85,0,99.32
AFG,F,85,1,0.00
AFG,F,85,2,0.57
AFG,F,85,3,0.00
AFG,F,85,4,0.11
AFG,F,85,5,0.00
AFG,F,85,6,0.00
AFG,F,85,7,0.00
AFG,F,90,0,99.58
AFG,F,90,1,0.00
AFG,F,90,2,0.36
AFG,F,90,3,0.00
AFG,F,90,4,0.06
AFG,F,90,5,0.00
AFG,F,90,6,0.00
AFG,F,90,7,0.00
AFG,F,95,0,99.71
AFG,F,95,1,0.00
AFG,F,95,2,0.25
AFG,F,95,3,0.00
AFG,F,95,4,0.03
AFG,F,95,5,0.00
AFG,F,95,6,0.00
AFG,F,95,7,0.00
AFG,F,100,0,99.81
AFG,F,100,1,0.00
AFG,F,100,2,0.17
AFG,F,100,3,0.00
AFG,F,100,4,0.02
AFG,F,100,5,0.00
AFG,F,100,6,0.00
AFG,F,100,7,0.00
AFG,M,15,0,22.06
AFG,M,15,1,0.00
AFG,M,15,2,67.49
AFG,M,15,3,0.00
AFG,M,15,4,10.24
AFG,M,15,5,0.00
AFG,M,15,6,0.00
AFG,M,15,7,0.00
AFG,M,20,0,29.84
AFG,M,20,1,0.00
AFG,M,20,2,30.62
AFG,M,20,3,1.88
AFG,M,20,4,31.01
AFG,M,20,5,0.00
AFG,M,20,6,0.00
AFG,M,20,7,0.00
AFG,M,25,0,38.60
AFG,M,25,1,0.01
AFG,M,25,2,28.80
AFG,M,25,3,0.00
AFG,M,25,4,22.23
AFG,M,25,5,0.00
AFG,M,25,6,0.00
AFG,M,25,7,0.00
AFG,M,30,0,53.23
AFG,M,30,1,0.00
AFG,M,30,2,22.67
AFG,M,30,3,0.00
AFG,M,30,4,16.74
AFG,M,30,5,0.00
AFG,M,30,6,0.00
AFG,M,30,7,0.00
AFG,M,35,0,63.40
AFG,M,35,1,0.00
AFG,M,35,2,19.08
AFG,M,35,3,0.00
AFG,M,35,4,12.49
AFG,M,35,5,0.00
AFG,M,35,6,0.00
AFG,M,35,7,0.00
AFG,M,40,0,67.64
AFG,M,40,1,0.00
AFG,M,40,2,18.34
AFG,M,40,3,0.00
AFG,M,40,4,9.35
AFG,M,40,5,0.00
AFG,M,40,6,0.00
AFG,M,40,7,0.00
AFG,M,45,0,71.16
AFG,M,45,1,0.00
AFG,M,45,2,16.09
AFG,M,45,3,0.00
AFG,M,45,4,9.34
AFG,M,45,5,0.00
AFG,M,45,6,0.00
AFG,M,45,7,0.00
AFG,M,50,0,69.38
AFG,M,50,1,0.00
AFG,M,50,2,15.34
AFG,M,50,3,0.00
AFG,M,50,4,11.66
AFG,M,50,5,0.00
AFG,M,50,6,0.00
AFG,M,50,7,0.00
AFG,M,55,0,69.32
AFG,M,55,1,0.00
AFG,M,55,2,13.36
AFG,M,55,3,0.00
AFG,M,55,4,11.77
AFG,M,55,5,0.00
AFG,M,55,6,0.00
AFG,M,55,7,0.00
AFG,M,60,0,70.48
AFG,M,60,1,0.00
AFG,M,60,2,13.64
AFG,M,60,3,0.00
AFG,M,60,4,9.88
AFG,M,60,5,0.00
AFG,M,60,6,0.00
AFG,M,60,7,0.00
AFG,M,65,0,77.77
AFG,M,65,1,0.00
AFG,M,65,2,10.61
AFG,M,65,3,0.00
AFG,M,65,4,8.19
AFG,M,65,5,0.00
AFG,M,65,6,0.00
AFG,M,65,7,0.00
AFG,M,70,0,82.89
AFG,M,70,1,0.00
AFG,M,70,2,6.13
AFG,M,70,3,0.00
AFG,M,70,4,8.60
AFG,M,70,5,0.00
AFG,M,70,6,0.00
AFG,M,70,7,0.00
AFG,M,75,0,83.78
AFG,M,75,1,0.00
AFG,M,75,2,8.36
AFG,M,75,3,0.00
AFG,M,75,4,5.79
AFG,M,75,5,0.00
AFG,M,75,6,0.00
AFG,M,75,7,0.00
AFG,M,80,0,89.57
AFG,M,80,1,0.00
AFG,M,80,2,7.54
AFG,M,80,3,0.00
AFG,M,80,4,1.83
AFG,M,80,5,0.00
AFG,M,80,6,0.00
AFG,M,80,7,0.00
AFG,M,85,0,91.07
AFG,M,85,1,0.00
AFG,M,85,2,5.58
AFG,M,85,3,0.00
AFG,M,85,4,2.54
AFG,M,85,5,0.00
AFG,M,85,6,0.00
AFG,M,85,7,0.00
AFG,M,90,0,93.25
AFG,M,90,1,0.00
AFG,M,90,2,4.71
AFG,M,90,3,0.00
AFG,M,90,4,1.53
AFG,M,90,5,0.00
AFG,M,90,6,0.00
AFG,M,90,7,0.00
AFG,M,95,0,94.77
AFG,M,95,1,0.00
AFG,M,95,2,3.81
AFG,M,95,3,0.00
AFG,M,95,4,1.08
AFG,M,95,5,0.00
AFG,M,95,6,0.00
AFG,M,95,7,0.00
AFG,M,100,0,96.00
AFG,M,100,1,0.00
AFG,M,100,2,3.07
AFG,M,100,3,0.00
AFG,M,100,4,0.72
AFG,M,100,5,0.00
AFG,M,100,6,0.00
AFG,M,100,7,0.00
AGO,F,15,0,19.56
AGO,F,15,1,4.65
AGO,F,15,2,66.81
AGO,F,15,3,8.48
AGO,F,15,4,0.50
AGO,F,15,5,0.00
AGO,F,15,6,0.00
AGO,F,15,7,0.00
AGO,F,20,0,27.08
AGO,F,20,1,7.04
AGO,F,20,2,31.70
AGO,F,20,3,28.75
AGO,F,20,4,5.43
AGO,F,20,5,0.00
AGO,F,20,6,0.00
AGO,F,20,7,0.00
AGO,F,25,0,41.40
AGO,F,25,1,2.24
AGO,F,25,2,29.96
AGO,F,25,3,12.20
AGO,F,25,4,13.71
AGO,F,25,5,0.00
AGO,F,25,6,0.00
AGO,F,25,7,0.00
AGO,F,30,0,57.58
AGO,F,30,1,12.81
AGO,F,30,2,15.49
AGO,F,30,3,6.74
AGO,F,30,4,6.79
AGO,F,30,5,0.00
AGO,F,30,6,0.00
AGO,F,30,7,0.00
AGO,F,35,0,64.99
AGO,F,35,1,16.33
AGO,F,35,2,9.80
AGO,F,35,3,3.85
AGO,F,35,4,4.63
AGO,F,35,5,0.00
AGO,F,35,6,0.00
AGO,F,35,7,0.00
AGO,F,40,0,64.65
AGO,F,40,1,16.72
AGO,F,40,2,10.78
AGO,F,40,3,3.46
AGO,F,40,4,4.06
AGO,F,40,5,0.00
AGO,F,40,6,0.00
AGO,F,40,7,0.00
AGO,F,45,0,62.87
AGO,F,45,1,18.17
AGO,F,45,2,11.93
AGO,F,45,3,3.33
AGO,F,45,4,3.44
AGO,F,45,5,0.00
AGO,F,45,6,0.00
AGO,F,45,7,0.00
AGO,F,50,0,60.51
AGO,F,50,1,19.00
AGO,F,50,2,13.89
AGO,F,50,3,3.19
AGO,F,50,4,3.18
AGO,F,50,5,0.00
AGO,F,50,6,0.00
AGO,F,50,7,0.00
AGO,F,55,0,69.98
AGO,F,55,1,15.33
AGO,F,55,2,9.40
AGO,F,55,3,2.51
AGO,F,55,4,2.57
AGO,F,55,5,0.00
AGO,F,55,6,0.00
AGO,F,55,7,0.00
AGO,F,60,0,80.14
AGO,F,60,1,10.87
AGO,F,60,2,5.44
AGO,F,60,3,1.72
AGO,F,60,4,1.68
AGO,F,60,5,0.00
AGO,F,60,6,0.00
