iso3,year,value
AGO,2015,9.44007218414204
AGO,2016,10.8283059553168
AGO,2017,12.3645924301501
AGO,2018,14.1831450300623
AGO,2019,9.87031380207947
AGO,2020,8.96927105568948
AGO,2021,10.0259673385745
AGO,2023,11.6873689644457
AGO,2024,11.9500523511903
ALB,2015,8.43098711693538
ALB,2016,8.74722800678583
ALB,2017,9.01864922404763
ALB,2018,9.15081252889814
ALB,2019,9.07841434175282
ALB,2020,9.06900760368606
ALB,2021,8.84649373877203
ALB,2022,8.59552115400606
ALB,2023,8.69208970717289
ALB,2024,9.08599039902296
ALB,2025,9.19407652195526
ARE,2015,12.8540035694888
ARE,2016,13.1515333766195
ARE,2017,12.8711750271919
ARE,2018,12.1610965391163
ARE,2019,12.4301031322424
ARE,2020,12.3081785895039
ARE,2021,11.8260714068531
ARE,2022,11.3306733704729
ARE,2023,11.4667098832759
ARE,2024,11.2780232919953
ARG,2015,9.43509134768432
ARG,2016,8.86871247168992
ARG,2017,10.1924279555023
ARG,2018,8.64866000515037
ARG,2019,9.72634066738098
ARG,2020,12.4102181705815
ARG,2021,12.983902466712
ARG,2022,14.735191549397
ARG,2023,18.3130321618414
ARG,2024,20.6030092466593
ARG,2025,19.7111557567288
ARM,2015,11.8584501648748
ARM,2016,12.9515014151531
ARM,2017,12.7606199307314
ARM,2018,12.5027652041209
ARM,2019,11.8586401367831
ARM,2020,11.503927534806
ARM,2021,11.2409946225879
ARM,2022,13.7010929968287
ARM,2023,14.287291783617
ARM,2024,14.0898349963827
ATG,2015,5.616553
ATG,2016,6.322445
ATG,2017,6.81954
ATG,2018,6.998994
ATG,2019,8.274135
ATG,2020,9.85102736768965
ATG,2021,8.82804934510235
ATG,2022,9.35630758911882
ATG,2023,10.118339
ATG,2024,11.236958
ATG,2025,12.776453
AUS,2015,5.31731759650771
AUS,2016,5.44397257111967
AUS,2017,5.91271906081673
AUS,2018,5.91854176977054
AUS,2019,6.19862631822146
AUS,2020,6.37432250408068
AUS,2021,6.16933763669525
AUS,2022,5.8647335037465
AUS,2023,6.08771792645627
AUS,2024,5.65810937028656
AUS,2025,5.5709088681729
AUT,2015,7.44689127902493
AUT,2016,7.334234175495
AUT,2017,7.54199227528387
AUT,2018,7.54886985856162
AUT,2019,7.6242066761855
AUT,2020,7.42452431594542
AUT,2021,7.74457524598176
AUT,2022,7.98832020673747
AUT,2023,8.44201347808532
AUT,2024,8.53540044679741
AZE,2022,8.06866792160327
AZE,2023,8.17683520851657
AZE,2024,2.07436031527928
AZE,2025,8.65564600004157
BDI,2023,10.3412425904177
BDI,2024,10.5869461748325
BDI,2025,10.0337625878036
BEL,2015,5.68502314992685
BEL,2016,5.87334161221032
BEL,2017,6.34337174411596
BEL,2018,6.33769140020728
BEL,2019,6.23056877770938
BEL,2020,6.25219150044764
BEL,2021,6.17390054662305
BEL,2022,5.96857033506728
BEL,2023,5.72326206469976
BEL,2024,5.83474111496001
BEL,2025,5.9211545290661
BGD,2015,5.7247265660517
BGD,2016,5.71072482772313
BGD,2017,5.24619092380408
BGD,2018,4.74201086025218
BGD,2019,5.16828540729108
BGD,2020,4.77446925869926
BGD,2021,4.76216005308376
BGD,2022,6.70479501831446
BGD,2023,6.54705834991272
BGD,2024,2.29413315478589
BGR,2015,12.0159015689814
BGR,2016,11.6296074357591
BGR,2017,11.3934047974268
BGR,2018,10.8232721834834
BGR,2019,11.5943178543719
BGR,2020,11.8822023363104
BGR,2021,11.0928039654857
BGR,2022,9.91719665033825
BGR,2023,10.072975899116
BGR,2024,10.4417990806606
BGR,2025,11.4218680217742
BIH,2015,10.0775141088993
BIH,2016,10.8611634364822
BIH,2017,10.6759898126583
BIH,2018,10.4304601098
BIH,2019,10.5108363786231
BIH,2020,10.1870293872041
BIH,2021,9.97461686926733
BIH,2022,9.89092724347392
BIH,2023,10.103196877953
BIH,2024,10.6451086481249
BLR,2015,9.93939163995331
BLR,2016,10.585978235903
BLR,2017,11.4954417188884
BLR,2018,11.4812432073764
BLR,2019,11.5463919967068
BLR,2020,11.3681558222766
BLR,2021,12.1401371939043
BLR,2022,14.5050414379472
BLR,2023,12.7499596210161
BLR,2024,12.8893659102217
BLR,2025,12.7392328292616
BLZ,2017,12.574223510738
BLZ,2018,13.8630033376988
BLZ,2019,13.025287288606
BLZ,2020,11.2874378395637
BLZ,2021,10.5471127414873
BLZ,2022,9.04597169366296
BLZ,2023,9.75944278848482
BLZ,2024,9.61941289736902
BOL,2015,7.03798113217368
BOL,2016,7.32457471338062
BOL,2017,6.6394223027762
BOL,2018,6.72878985226709
BOL,2019,6.87991830877405
BOL,2020,6.81023539088295
BOL,2021,6.73751772733858
BOL,2022,6.79552562924604
BOL,2023,6.83256040480552
BOL,2024,7.04239653639851
BRA,2015,7.68972560551195
BRA,2016,8.38895653975314
BRA,2017,8.78183018265544
BRA,2018,9.10768394993378
BRA,2019,9.55200184714006
BRA,2020,8.663816526097
BRA,2021,8.76978986838746
BRA,2022,8.76297902031543
BRA,2023,8.86864344107373
BRA,2024,8.21792676411038
BRA,2025,8.34632699705756
BRB,2016,10.2893273004235
BRB,2017,10.5027849530793
BRB,2018,8.23473616215785
BRB,2019,7.63757386970654
BRB,2020,10.3496645683949
BRB,2021,10.3731748765441
BRB,2022,11.2318558867574
BRN,2015,10.9511111160458
BRN,2016,11.0715627692031
BRN,2017,9.50249159764372
BRN,2018,11.0849494759084
BRN,2019,11.1564894767294
BRN,2020,11.9468105119918
BRN,2021,10.0806410214118
BRN,2022,9.73541207560586
BTN,2015,14.1118020735559
BTN,2016,12.6232850801241
BTN,2017,10.7585073591685
BTN,2018,10.8056964434926
BTN,2019,10.0141832820147
BTN,2020,8.4661670215109
BTN,2021,8.19781276935229
BTN,2022,7.78394985760908
BTN,2023,8.41541012018838
BTN,2024,7.89731959636914
BWA,2015,8.52432101821958
BWA,2016,8.44034922621483
BWA,2017,8.76612972477975
BWA,2018,8.91952686381325
BWA,2019,8.91081304800063
BWA,2020,9.19113083750987
BWA,2021,8.62583670401558
BWA,2022,8.9313721362495
BWA,2023,8.68515299207404
BWA,2024,8.30083268005664
BWA,2025,9.47724860394496
CAF,2015,18.0602311442297
CAF,2016,16.0897752358952
CAF,2017,17.6941228680302
CAF,2018,15.0788751459618
CAF,2019,15.9197308599107
CAF,2020,13.8170337238636
CAF,2021,13.8533955288267
CAF,2022,14.0259134925082
CAF,2023,11.1229153798641
CAN,2015,4.55248540735643
CAN,2016,4.65117202502205
CAN,2017,4.79472477595189
CAN,2018,4.78625179421219
CAN,2019,4.70198129157196
CAN,2020,4.54015839419281
CAN,2021,4.75220487772973
CAN,2022,4.7985511038513
CAN,2023,4.71611106024049
CAN,2024,4.66820127700703
CAN,2025,4.85847750201986
CHE,2015,7.47018964486453
CHE,2016,7.29930969713217
CHE,2017,8.25415704845272
CHE,2018,8.54137497749428
CHE,2019,8.84981444250712
CHE,2020,8.74861148100382
CHE,2021,7.36214626386728
CHE,2022,7.8835389255372
CHE,2023,7.78411924640418
CHE,2024,7.64983580169753
CHE,2025,7.55866565327746
CHL,2015,7.36574053509472
CHL,2016,8.24902967023809
CHL,2017,8.28941482443366
