iso3,year,value
AFG,2015,7.585382331297979
AFG,2016,9.502652782880944
AFG,2017,9.898450896884214
AGO,2015,9.709513869955142
AGO,2016,8.44993710614083
AGO,2017,7.937694493644519
AGO,2018,9.819914764417037
AGO,2019,11.224981120574105
AGO,2020,20.63697890548066
AGO,2021,10.877738611543313
AGO,2022,13.027509429551449
AGO,2023,8.963254446698118
AGO,2024,7.587973095256123
ALB,2015,18.38129214929685
ALB,2016,17.403202523244584
ALB,2017,18.547663183355592
ALB,2018,18.276952732711592
ALB,2019,17.93099398928514
ALB,2020,16.895541066372907
ALB,2021,18.096227913357325
ALB,2022,18.060775928780238
ALB,2023,17.802158794993332
ALB,2024,18.015293411321245
AND,2018,14.300174680673841
AND,2019,13.934349362053918
AND,2020,12.171524380404925
AND,2021,12.852984010145748
AND,2022,13.619620327633065
AND,2023,14.096334638259975
AND,2024,15.569333850402895
ARE,2015,0.05413097459514621
ARE,2016,0.04068343740009605
ARE,2017,0.06353118177051083
ARE,2018,0.05684059568971204
ARE,2019,0.936531687616157
ARE,2020,0.6674046940074981
ARE,2021,0.5260419126658437
ARE,2022,0.5686984313851934
ARE,2023,0.6166705197525568
ARE,2024,0.6475160884664247
ARG,2015,12.33650694182909
ARG,2016,12.097283641196245
ARG,2017,10.939623860490986
ARG,2018,9.791447120370886
ARG,2019,10.391997337512068
ARG,2020,10.708121144490008
ARG,2021,11.34107403309267
ARG,2022,11.064770809018196
ARG,2023,9.928894077574876
ARG,2024,10.42931488177263
ARM,2015,20.931220827141036
ARM,2016,21.277375275637773
ARM,2017,20.78065335875236
ARM,2018,20.87010390318142
ARM,2019,22.28517099007724
ARM,2020,21.86041927616265
ARM,2021,22.001004742313178
ARM,2022,21.827155237830386
ARM,2023,22.388692247490212
ARM,2024,22.36603567678833
AUS,2015,21.785248472056743
AUS,2016,22.18817008232794
AUS,2017,22.022187428634897
AUS,2018,23.122034431825128
AUS,2019,23.314264379074103
AUS,2020,22.507523858651005
AUS,2021,23.003907656682877
AUS,2022,23.561492950923917
