iso3,year,value
ABW,2015,140.49300113349602
ABW,2016,136.88726332082655
ABW,2017,138.71662009523604
ABW,2018,138.82497224565734
ABW,2019,137.92324927341127
ABW,2020,123.24050373077972
ABW,2021,139.51090258407294
ABW,2022,160.55814099789657
ABW,2023,153.71915834395907
ABW,2024,164.1386451489176
AFG,2020,46.70989455141026
AFG,2021,51.41171637472706
AFG,2022,72.88546960865361
AFG,2023,66.99957806219511
AFG,2024,83.76302508776796
AGO,2015,54.97938087809955
AGO,2016,46.32561305715209
AGO,2017,44.99632532031887
AGO,2018,58.26989538906334
AGO,2019,60.37130687396027
AGO,2020,54.66040306837488
AGO,2021,62.52877053206743
AGO,2022,56.538072228074334
AGO,2023,53.607012649868594
AGO,2024,49.8489506740963
AGO,2025,34.646640370451685
ALB,2015,71.27944766060136
ALB,2016,74.01445045468154
ALB,2017,76.78738178989887
ALB,2018,75.6940783717425
ALB,2019,75.38212893268896
ALB,2020,59.52069943918749
ALB,2021,75.59040409050093
ALB,2022,84.69804359448655
ALB,2023,82.3524933990723
ALB,2024,79.45463607522235
ALB,2025,79.53281462391611
ARE,2015,164.28614289925162
ARE,2016,165.39496624033666
ARE,2017,165.47652365299433
ARE,2018,154.74704216629945
ARE,2019,163.82214902561427
ARE,2020,181.29194022799814
ARE,2021,182.90940107677625
ARE,2022,185.74166063189378
ARE,2023,199.0449501271066
ARG,2015,22.48622608897916
ARG,2016,26.093887848879856
ARG,2017,25.28960113767786
ARG,2018,30.762535954992597
ARG,2019,32.630615045849886
ARG,2020,30.203698807415957
ARG,2021,33.07868956746599
ARG,2022,31.580179260625613
ARG,2023,26.67695124822146
ARG,2024,27.929760849367003
ARG,2025,30.364633685192
ARM,2015,71.68207434275752
ARM,2016,76.07796745935478
ARM,2017,87.20237653983696
ARM,2018,92.47310702121204
ARM,2019,97.84700486532697
ARM,2020,70.12135713687886
ARM,2021,79.24890576471122
ARM,2022,103.87862921350799
ARM,2023,123.41875007762695
ARM,2024,150.06472658874205
ARM,2025,101.70593639570164
ASM,2015,162.407132243685
ASM,2016,159.16542473919523
ASM,2017,161.43790849673204
ASM,2018,171.83098591549296
ASM,2019,156.56877897990725
ASM,2020,154.36893203883494
ASM,2021,136.8
ASM,2022,124.68427095292766
ATG,2015,130.0715498517215
ATG,2016,132.02591790508538
ATG,2017,127.6643235821443
ATG,2018,130.65515265941914
ATG,2019,137.53778363199118
ATG,2020,94.289529886499
ATG,2021,101.07496058477857
ATG,2022,118.30258405611254
AUS,2015,41.49475069399008
AUS,2016,40.81340221732101
AUS,2017,42.0354135251854
AUS,2018,43.57322536452184
AUS,2019,46.00168270521715
AUS,2020,44.499564103879024
AUS,2021,40.20223593905949
AUS,2022,45.69464188057522
AUS,2023,49.044339318427966
AUS,2024,47.14538110651953
AUS,2025,45.90144938801258
AUT,2015,103.11758174626
AUT,2016,101.57349459717217
AUT,2017,105.55606675543766
AUT,2018,108.37796997182795
AUT,2019,108.20728490442558
AUT,2020,99.94821410959752
AUT,2021,111.03293212416465
AUT,2022,123.57957865290192
AUT,2023,115.15291482273196
AUT,2024,108.82577783440472
AUT,2025,107.01983926573028
AZE,2015,72.60150790731886
AZE,2016,90.0773187345677
AZE,2017,90.4023156823216
AZE,2018,91.67257653698248
AZE,2019,85.81814540845608
AZE,2020,72.0178676487811
AZE,2021,76.28686568701504
AZE,2022,86.98227325417788
AZE,2023,83.53588611563214
AZE,2024,82.5675246316515
AZE,2025,79.82958154523061
BEL,2015,155.068682045926
BEL,2016,159.05769661194523
BEL,2017,166.90407823779137
BEL,2018,168.27769287721785
BEL,2019,165.46547893198988
BEL,2020,156.9501212827835
BEL,2021,177.3819122010753
BEL,2022,191.05341813159205
BEL,2023,165.98744073644238
BEL,2024,159.02348114892655
BEL,2025,152.9177887193654
BEN,2015,56.75631318494763
BEN,2016,58.98692833782759
BEN,2017,61.47659695884744
BEN,2018,61.79519449034482
BEN,2019,63.68133231422999
BEN,2020,44.83323337687261
BEN,2021,48.05486083244088
BEN,2022,44.38159288774241
BEN,2023,44.663130818021095
BEN,2024,40.639802240152314
BEN,2025,37.11693562489945
BFA,2015,59.0891813101662
BFA,2016,57.893172799440585
BFA,2017,59.2687802020168
BFA,2018,60.59562562364882
BFA,2019,60.408692875322615
BFA,2020,60.73977864032392
BFA,2021,62.42035866077954
BFA,2022,67.52029013316555
BFA,2023,63.153043587396354
BFA,2024,60.492898852298026
BFA,2025,65.00295069694268
BGD,2015,42.085996307038194
BGD,2016,31.3341501346142
BGD,2017,29.99973067243435
BGD,2018,32.51463172408839
BGD,2019,31.578054491240426
BGD,2020,26.27144737621502
BGD,2021,27.72400470366311
BGD,2022,33.77996727057349
BGD,2023,30.982971410459648
BGD,2024,26.778075804047756
BGD,2025,27.950584042556315
BGR,2015,126.73665228868862
BGR,2016,122.80551907112725
BGR,2017,129.6344337740376
BGR,2018,129.16650223124432
BGR,2019,125.26041507508643
BGR,2020,110.42390308233274
BGR,2021,121.21409101260355
BGR,2022,138.84487277026705
BGR,2023,119.8995058519162
BGR,2024,110.2263177313225
BGR,2025,102.5142635079308
BHR,2015,147.91606017290388
BHR,2016,132.82299790277412
BHR,2017,136.42923981039402
BHR,2018,144.07537257453507
BHR,2019,135.41754339821145
BHR,2020,135.4609850129314
BHR,2021,153.79931648510802
BHR,2022,167.14124115253477
BHR,2023,157.44785468229745
BHR,2024,157.48086943018697
BHS,2015,69.67797526525648
BHS,2016,67.21292158001498
BHS,2017,68.33428403859597
BHS,2018,72.15426859710435
BHS,2019,68.78662348422083
BHS,2020,53.42075806700633
BHS,2021,65.9325413308964
BHS,2022,75.98296010592367
BHS,2023,76.54947515928572
BHS,2024,79.24245869334547
BIH,2015,88.29199258758803
BIH,2016,88.24403400227379
BIH,2017,96.64588035668615
BIH,2018,98.43206941826314
BIH,2019,94.51612515424601
BIH,2020,82.52164679940071
BIH,2021,96.73911444087437
BIH,2022,110.20528371975078
BIH,2023,99.63303179544421
BIH,2024,94.76017785099609
BIH,2025,95.12157172000633
BLR,2015,115.91482620194616
BLR,2016,125.20932289966194
BLR,2017,133.36775472301184
BLR,2018,139.39373625017066
BLR,2019,130.8504061021835
BLR,2020,118.93417614653407
BLR,2021,136.01416787747556
BLR,2022,120.02420757609387
BLR,2023,131.58467488496072
