iso3,year,value
ABW,2015,0.012519790791279062
ABW,2016,0.018611754127867995
ABW,2017,0.023918578557174976
ABW,2018,0.02225300696953947
ABW,2019,0.018419333267053407
ABW,2020,0.0215538601290844
ABW,2021,0.029903187516918023
ABW,2022,0.03417493819052279
ABW,2023,0.03952946072962205
AFG,2015,20.6343227166798
AFG,2016,25.74031403645819
AFG,2017,26.420199083444835
AFG,2018,22.042896752757535
AFG,2019,25.773970739410473
AFG,2020,29.975582521046068
AFG,2021,33.597618872545105
AFG,2022,33.701432321392254
AFG,2023,34.7432471445174
AFG,2024,34.29310049929054
AGO,2015,13.66377232796801
AGO,2016,14.45584243710219
AGO,2017,14.709941688499011
AGO,2018,13.193391728399689
AGO,2019,12.321050824104816
AGO,2020,15.109767466923103
AGO,2021,16.831796799702857
AGO,2022,19.430117017876753
AGO,2023,20.909336942755917
AGO,2024,21.552670988283207
AGO,2025,25.24098538881427
ALB,2015,18.74716027734116
ALB,2016,19.167190753496964
ALB,2017,18.079078214295993
ALB,2018,17.91555581795494
ALB,2019,18.160397370671323
ALB,2020,18.806137864916863
ALB,2021,17.793224984540966
ALB,2022,16.984475447657445
ALB,2023,16.274238831300625
ALB,2024,15.451903129433084
ALB,2025,14.797260748189423
AND,2015,0.5134201096833976
AND,2016,0.5219996484336189
AND,2017,0.5595385125161912
AND,2018,0.5463678828152807
AND,2019,0.5226332484157791
AND,2020,0.5594427697158141
AND,2021,0.5318448791698239
AND,2022,0.4874918621566141
AND,2023,0.4784921355889596
AND,2024,0.49084154971041954
AND,2025,0.4840292928101063
ARE,2015,0.7162836764412378
ARE,2016,0.740828105142589
ARE,2017,0.7537117149518033
ARE,2018,0.7056211938567895
ARE,2019,0.7346004797585739
ARE,2020,0.9629729125711103
ARE,2021,0.8903661373044787
ARE,2022,0.7409073786020232
ARE,2023,0.7640714179129808
ARE,2024,0.7694437525809202
ARG,2015,5.156685902747856
ARG,2016,6.2645658204639005
ARG,2017,5.231622376795088
ARG,2018,4.537878896968346
ARG,2019,5.318555996613923
ARG,2020,6.357033675904917
ARG,2021,7.2912824961905125
ARG,2022,6.541569404902696
ARG,2023,5.846778603904198
ARG,2024,5.806017109162487
ARG,2025,5.532653880712986
ARM,2015,17.223120031805646
ARM,2016,16.390473533849974
ARM,2017,14.994260124277622
ARM,2018,13.942311655414613
ARM,2019,11.525610737958814
ARM,2020,11.349805155454892
ARM,2021,11.3435484176857
ARM,2022,10.146703925568268
ARM,2023,8.102237991887987
ARM,2024,7.805886217546733
ARM,2025,7.934681773206854
ATG,2015,1.44568317612291
ATG,2016,1.458503753173228
ATG,2017,1.6609115105535328
ATG,2018,1.6267919119597514
ATG,2019,1.6467120463550726
ATG,2020,2.2789406572878352
ATG,2021,2.0808000480842583
ATG,2022,1.9656137257913011
ATG,2023,2.215086025033988
ATG,2024,1.6110605834827751
ATG,2025,1.4857923090448004
AUS,2015,2.3766439148705505
AUS,2016,2.413002323302538
AUS,2017,2.7209831965106677
AUS,2018,2.4719175263084736
AUS,2019,2.1242491119766163
AUS,2020,2.0151271539653477
AUS,2021,2.3053787548008797
AUS,2022,2.672426999506184
AUS,2023,2.5716983189452285
AUS,2024,2.0356526524939134
AUS,2025,2.266582748478983
AUT,2015,1.1436285417298944
AUT,2016,1.1492826407726808
AUT,2017,1.1999020307668142
AUT,2018,1.1091141402141187
AUT,2019,1.0446341365349903
AUT,2020,1.0713811327287088
AUT,2021,1.215238865748799
AUT,2022,1.3464959645730148
AUT,2023,1.2417617203893359
AUT,2024,1.2166337579244761
AUT,2025,1.2569480958595314
AZE,2015,6.177638837808018
AZE,2016,5.605111774557635
AZE,2017,5.60736901068842
AZE,2018,5.212380762123558
AZE,2019,5.6953802496330725
AZE,2020,6.738947423534096
AZE,2021,5.725983657213487
AZE,2022,4.6122083081105325
AZE,2023,5.510588946173263
AZE,2024,5.582647430293967
AZE,2025,5.925217283529831
BDI,2015,35.247739183027484
BDI,2016,35.555315834275774
BDI,2017,37.40343500432646
BDI,2018,35.35390254872057
BDI,2019,34.24835459981767
BDI,2020,31.105389397977707
BDI,2021,33.993784619941735
BDI,2022,35.33120845264195
BDI,2023,34.037239925420565
BDI,2024,35.051222340227014
BDI,2025,34.28972310636304
BEL,2015,0.7506172720665739
BEL,2016,0.6731905436846843
BEL,2017,0.7295325831425381
BEL,2018,0.6646255711200939
BEL,2019,0.7187895835371281
BEL,2020,0.7128180236415714
BEL,2021,0.6548993848795132
BEL,2022,0.670989189183415
BEL,2023,0.7752217476799257
BEL,2024,0.7920933587110348
BEL,2025,0.7301695146517536
BEN,2015,26.39208509250367
BEN,2016,27.753635498049317
BEN,2017,28.489016527326427
BEN,2018,28.064773912707718
