iso3,year,value
ABW,2015,12.468825438103117
ABW,2016,12.713812823798179
ABW,2017,12.394827806106319
ABW,2018,11.35815643471701
ABW,2019,11.625866550101405
ABW,2020,12.525486514239825
ABW,2021,10.977494925807086
ABW,2022,9.728797509906045
ABW,2023,10.837942033855324
AFG,2015,22.124042490692624
AFG,2016,10.466807693820131
AFG,2017,10.051873996906274
AFG,2018,13.387246959797562
AFG,2019,14.05811236977681
AFG,2020,12.952599601554693
AFG,2021,14.273657019178817
AFG,2022,16.050367722396278
AFG,2023,13.44982271209777
AFG,2024,14.520350663516671
AGO,2015,36.894966286957946
AGO,2016,37.01976375866448
AGO,2017,36.69692991453895
AGO,2018,40.90235311400422
AGO,2019,42.17023388021776
AGO,2020,37.138063442686736
AGO,2021,38.994568767004836
AGO,2022,35.94732117590909
AGO,2023,35.70124700462542
AGO,2024,33.884228428798295
AGO,2025,27.06792587714923
ALB,2015,24.48140914733132
ALB,2016,23.867017886435875
ALB,2017,22.95333271065067
ALB,2018,23.753588625315867
ALB,2019,22.965521085937397
ALB,2020,23.468716418341177
ALB,2021,22.43414123507593
ALB,2022,23.025052215954904
ALB,2023,23.160711973189045
ALB,2024,22.40110310824032
ALB,2025,21.830344931388776
AND,2015,9.981268716370186
AND,2016,10.140779407381366
AND,2017,10.395517667259089
AND,2018,11.0763337210625
AND,2019,11.699817628316575
AND,2020,12.660158271732733
AND,2021,12.362636385304716
AND,2022,11.14534110413013
AND,2023,12.428226179661655
AND,2024,12.798546209761163
AND,2025,12.786356800887722
ARE,2015,42.15873501738982
ARE,2016,39.87498695653963
ARE,2017,41.41223265853651
ARE,2018,45.7440553690851
ARE,2019,43.46695193807361
ARE,2020,40.32159937540539
ARE,2021,45.38112587933314
ARE,2022,49.33328718824727
ARE,2023,45.40070420211039
ARE,2024,44.32927120819477
ARG,2015,23.15305613590499
ARG,2016,22.054107211210834
ARG,2017,21.78212321933503
ARG,2018,23.719592332130432
ARG,2019,23.157847739143378
ARG,2020,22.40887637118019
ARG,2021,23.499464426376075
ARG,2022,24.11186362729105
ARG,2023,25.172210525273535
ARG,2024,23.996597560424902
ARG,2025,22.873989187173215
ARM,2015,25.708699435161147
ARM,2016,25.57713303956047
ARM,2017,25.809532379165596
ARM,2018,24.756557847625686
ARM,2019,24.971608457343486
ARM,2020,26.817295697929634
ARM,2021,26.364340411390074
ARM,2022,25.437096643779356
ARM,2023,22.880096161667094
ARM,2024,22.85706636518577
ARM,2025,23.066952888668865
ATG,2015,15.928022446608145
ATG,2016,17.764108276374778
ATG,2017,18.80452015028559
ATG,2018,20.65209880230845
ATG,2019,21.080745954550235
ATG,2020,21.120999522487683
ATG,2021,20.483200562215945
ATG,2022,19.75824706185022
ATG,2023,19.214180877956604
ATG,2024,17.205256928708085
ATG,2025,18.171810179736518
AUS,2015,23.686109835312642
AUS,2016,22.313016802638245
AUS,2017,23.44793116989754
AUS,2018,24.108335149700178
AUS,2019,25.255512905428386
AUS,2020,25.402839408227024
AUS,2021,25.435779520359176
AUS,2022,27.401962084845664
AUS,2023,27.51678008609192
AUS,2024,25.530731989440397
AUS,2025,23.886311727278844
AUT,2015,25.515240224653894
AUT,2016,25.912469184537386
AUT,2017,25.802321302563787
AUT,2018,25.71909263543327
AUT,2019,25.536377100649553
AUT,2020,25.65448678262112
AUT,2021,25.725345657222725
AUT,2022,25.844468387538623
AUT,2023,26.090494864354735
AUT,2024,24.58342019040852
AUT,2025,23.982823281924684
AZE,2015,44.89132033835969
AZE,2016,47.557807007672295
AZE,2017,49.7017251037138
AZE,2018,52.2509114518304
AZE,2019,48.82326652518676
AZE,2020,41.956320157182404
AZE,2021,48.81817362493992
AZE,2022,56.14673735768555
AZE,2023,45.840845816237355
AZE,2024,42.457332273193586
AZE,2025,39.514927107379116
BDI,2015,15.418033840726938
BDI,2016,16.906359299066896
BDI,2017,16.979094434734602
BDI,2018,17.919125380008587
BDI,2019,17.545087620454623
BDI,2020,15.096000150338654
BDI,2021,16.13794365409089
BDI,2022,16.07481316129915
BDI,2023,17.368597150071167
BDI,2024,17.262974772170587
BDI,2025,18.22850997933406
BEL,2015,19.476774687272886
BEL,2016,19.098105782217583
BEL,2017,19.154560413092074
BEL,2018,18.964125148696887
BEL,2019,19.241710569869447
BEL,2020,19.08117051632676
BEL,2021,17.996522853994648
BEL,2022,19.98904354842328
BEL,2023,19.483008275090903
BEL,2024,18.746623525219537
BEL,2025,18.607531627361528
BEN,2015,16.385095444490226
BEN,2016,15.702068311818456
BEN,2017,15.10758585075008
BEN,2018,14.641956750916338
BEN,2019,16.312561201590185
BEN,2020,16.290549052865828
BEN,2021,16.467400377576084
BEN,2022,17.017826707817036
BEN,2023,17.302197756160503
BEN,2024,17.38382760500234
BEN,2025,17.50431942025336
BFA,2015,24.361375784436174
BFA,2016,24.88151736664877
BFA,2017,25.140237220006252
BFA,2018,25.589443378097254
BFA,2019,27.42591338124586
BFA,2020,29.469476784037678
BFA,2021,28.53062430085676
BFA,2022,26.043961448581072
BFA,2023,25.757413780510735
BFA,2024,26.512827606060867
BFA,2025,30.063227210439656
BGD,2015,26.831394832954143
BGD,2016,31.069151383035848
BGD,2017,31.24829196416033
BGD,2018,31.982813589976626
BGD,2019,32.852549197786765
BGD,2020,32.91156508244489
BGD,2021,33.31609438690008
BGD,2022,33.92008049718756
BGD,2023,34.59427216060632
BGD,2024,34.097174345887666
BGD,2025,34.02755417553592
BGR,2015,24.03014154536046
BGR,2016,24.459773374265907
BGR,2017,23.989293835088674
BGR,2018,22.238960805750114
BGR,2019,21.562453845875037
BGR,2020,21.843325499921963
BGR,2021,20.7501959907094
BGR,2022,25.303720086397263
BGR,2023,22.70298855840479
BGR,2024,21.131695178478626
