iso3,year,value
ABW,2015,36753.40417261785
ABW,2016,36926.11306857286
ABW,2017,38213.289238830905
ABW,2018,39378.22841090465
ABW,2019,39754.56007221495
ABW,2020,30408.82709019835
ABW,2021,35207.170908863925
ABW,2022,39083.461639850706
ABW,2023,42783.24890720672
ABW,2024,45428.00272835179
AFG,2015,2967.6920671530033
AFG,2016,2958.785399230795
AFG,2017,2952.998915989087
AFG,2018,2902.3921128554607
AFG,2019,2927.245143535302
AFG,2020,2769.68574507111
AFG,2021,2144.166570028188
AFG,2022,1981.7101681056113
AFG,2023,1983.8126199290873
AFG,2024,1964.4522889545608
AGO,2015,11389.760954948071
AGO,2016,10963.996788717306
AGO,2017,10565.167648360717
AGO,2018,10154.838922800502
AGO,2019,9712.97944927269
AGO,2020,8904.949005801678
AGO,2021,8720.187687421234
AGO,2022,8750.99363032299
AGO,2023,8597.538787875537
AGO,2024,8752.797470983303
AGO,2025,8760.190819631507
ALB,2015,13876.761629659793
ALB,2016,14643.428561471615
ALB,2017,15359.397457702478
ALB,2018,16170.923432528702
ALB,2019,16761.12301786816
ALB,2020,16457.71897449906
ALB,2021,18212.794718287976
ALB,2022,19388.792727935066
ALB,2023,20501.64707267415
ALB,2024,21640.98357732714
ALB,2025,22724.293819494895
AND,2015,62105.15423896749
AND,2016,64402.809236946756
AND,2017,63239.65777119108
AND,2018,63048.598557283374
AND,2019,63215.89979191298
AND,2020,55488.49029910951
AND,2021,59332.20291001272
AND,2022,63913.38350791049
AND,2023,64631.29639092712
AND,2024,66232.74441955978
AND,2025,67993.05241788825
ARE,2015,75238.55718584538
ARE,2016,75671.03686138502
ARE,2017,72529.0423512365
ARE,2018,72671.07872887644
ARE,2019,72822.94664389215
ARE,2020,66808.62092560282
ARE,2021,68580.13129126764
ARE,2022,70075.63837394999
ARE,2023,70239.83283372284
ARE,2024,69701.78583552502
ARG,2015,28669.206133679614
ARG,2016,27802.105720149757
ARG,2017,28334.904184742005
ARG,2018,27367.115094107976
ARG,2019,26629.552941950053
ARG,2020,23877.093140485536
ARG,2021,26300.274261175044
ARG,2022,27825.0273492567
ARG,2023,27230.396849668192
ARG,2024,26771.96576505708
ARG,2025,27846.598459723915
ARM,2015,13112.760090291533
ARM,2016,13192.994073173128
ARM,2017,14243.87490037949
ARM,2018,15037.045242071204
ARM,2019,16215.360796509412
ARM,2020,15052.93597911361
ARM,2021,15921.705281964018
ARM,2022,17886.178387716784
ARM,2023,19402.75109155784
ARM,2024,20078.784898484384
ARM,2025,21153.478328571015
ATG,2015,25734.151644417117
ATG,2016,26627.714538940043
ATG,2017,27199.19524022618
ATG,2018,28878.606767547084
ATG,2019,29651.86415267051
ATG,2020,23930.671499511478
ATG,2021,25745.495806774616
ATG,2022,27785.55723168384
ATG,2023,28712.397049219224
ATG,2024,29298.64741647266
ATG,2025,30620.307555385883
AUS,2015,55879.995881710274
AUS,2016,56529.95182468703
AUS,2017,56881.85698591039
AUS,2018,57647.845506810496
AUS,2019,58048.61884208314
AUS,2020,57260.46505301084
AUS,2021,58327.414684232484
AUS,2022,60029.13291907325
AUS,2023,60684.95962048829
AUS,2024,60309.583177233944
AUS,2025,60194.06335479612
AUT,2015,60951.60372736618
AUT,2016,61572.625740240415
AUT,2017,62535.81057113446
AUT,2018,63777.9362157476
AUT,2019,64609.283639689456
AUT,2020,60276.33076973262
AUT,2021,62968.85387701863
AUT,2022,65694.45915014677
AUT,2023,64536.2076307547
AUT,2024,63787.9891749462
AUT,2025,63970.40085348593
AZE,2015,20678.75395723748
AZE,2016,19822.41059439413
AZE,2017,19659.00485627677
AZE,2018,19781.850905843694
AZE,2019,20101.491875147043
AZE,2020,19126.096851125993
AZE,2021,20111.375695210878
AZE,2022,21051.24422916121
AZE,2023,21310.738691502233
AZE,2024,22090.529802692923
AZE,2025,22314.216895733265
BDI,2015,992.2858055202895
BDI,2016,1006.5590738599913
BDI,2017,1020.8498275718991
BDI,2018,1043.4055843403587
BDI,2019,1054.7259273489824
BDI,2020,1027.6289627674355
BDI,2021,1032.3827408199938
BDI,2022,1028.1113464017922
BDI,2023,1033.0093734177578
BDI,2024,1048.05557098193
BDI,2025,1066.5129924058615
BEL,2015,57509.02457287043
BEL,2016,57901.497690315045
BEL,2017,58529.330295753665
BEL,2018,59357.68968843961
BEL,2019,60479.97699554686
BEL,2020,57333.542413792406
BEL,2021,60669.21377465336
BEL,2022,62602.92704697653
BEL,2023,63042.00998763087
BEL,2024,63311.27669171783
BEL,2025,63488.421762252314
BEN,2015,2952.002183387052
BEN,2016,2962.6638157226457
BEN,2017,3041.7792998498926
BEN,2018,3155.451065062702
BEN,2019,3281.1047005146465
BEN,2020,3317.8597222556973
BEN,2021,3464.2886286745
BEN,2022,3588.3251993814706
BEN,2023,3721.2125481480793
BEN,2024,3901.3258849439226
BEN,2025,4116.215155948796
BFA,2015,2101.7026619202743
BFA,2016,2162.725789778139
BFA,2017,2232.287814909443
BFA,2018,2316.3943207904454
BFA,2019,2391.5362684448355
BFA,2020,2380.931718265739
BFA,2021,2486.4309314776174
BFA,2022,2469.199569412594
BFA,2023,2486.2066981287094
BFA,2024,2548.5024770250375
BFA,2025,2624.8285827080326
BGD,2015,5352.711332995656
BGD,2016,5682.535534943063
BGD,2017,6005.707187810483
BGD,2018,6392.5933402409055
BGD,2019,6838.326116082433
BGD,2020,7015.197927970561
BGD,2021,7441.069139612541
BGD,2022,7888.1638909830435
BGD,2023,8242.397989772422
BGD,2024,8486.784956605168
BGD,2025,8676.755762250801
BGR,2015,24562.648880928973
BGR,2016,25636.74439034785
BGR,2017,26691.758001901977
BGR,2018,27690.89365500499
BGR,2019,29149.921509976022
BGR,2020,28521.20624825962
BGR,2021,30958.983023833225
BGR,2022,32433.658756962646
BGR,2023,33073.68030934533
BGR,2024,34221.38669403625
BGR,2025,35325.531788347434
BHR,2015,54149.91315247206
BHR,2016,54107.07522364232
BHR,2017,53859.77495896006
BHR,2018,54893.072441136785
BHR,2019,56749.96283706122
BHR,2020,53814.24525923582
BHR,2021,54954.67578955323
BHR,2022,57572.997981017965
BHR,2023,57819.905183124225
BHR,2024,59060.18183631831
BHR,2025,60669.63077957724
BHS,2015,32777.584941074165
BHS,2016,32172.336515297575
BHS,2017,33050.03501286112
BHS,2018,33650.21643509353
BHS,2019,33202.49021050685
BHS,2020,26452.69576092903
BHS,2021,31064.682216619418
BHS,2022,34342.92853165692
BHS,2023,35221.26969323129
BHS,2024,36244.05001232444
BIH,2015,14220.090003803703
BIH,2016,14873.641110787948
BIH,2017,15554.658743076558
BIH,2018,16348.999714535274
BIH,2019,17029.29719803434
BIH,2020,16747.035391869464
BIH,2021,18286.661497717454
BIH,2022,19298.117076437047
BIH,2023,19804.91814656348
BIH,2024,20578.499544681647
BIH,2025,21178.22600594972
BLR,2015,25513.213295831654
BLR,2016,24846.83015293586
BLR,2017,25503.980984520666
BLR,2018,26363.46297785364
BLR,2019,26798.820639807636
BLR,2020,26731.495386992214
BLR,2021,27611.180113515707
BLR,2022,26537.50830816744
BLR,2023,27782.43801399673
BLR,2024,29135.946513923205
BLR,2025,29666.211571911696
BLZ,2015,12348.794497831106
BLZ,2016,12063.060037409297
BLZ,2017,11572.300793146118
BLZ,2018,11451.897941387726
BLZ,2019,11765.974866117622
BLZ,2020,10045.140416374554
BLZ,2021,11716.326781865551
BLZ,2022,12565.364582957618
BLZ,2023,12371.008654534773
BLZ,2024,12621.408196189694
BLZ,2025,12788.842371382603
BMU,2015,93863.8483363419
BMU,2016,93269.0137558453
BMU,2017,96441.27187672562
BMU,2018,95643.27340555425
BMU,2019,95523.96231260263
BMU,2020,88484.81559979214
BMU,2021,92319.67148612224
BMU,2022,97943.05489773222
BMU,2023,102268.9228032722
BMU,2024,104299.94435881494
BOL,2015,11144.64157206405
BOL,2016,11448.021803219963
BOL,2017,11755.255619588523
BOL,2018,11920.313507964513
BOL,2019,11930.915914591844
BOL,2020,10285.659075022226
BOL,2021,11202.440983670711
BOL,2022,11487.714879919436
BOL,2023,11616.157559515917
BOL,2024,11329.151806153595
BOL,2025,11000.534522072765
BRA,2015,18357.0690617991
BRA,2016,17620.927243413644
BRA,2017,17724.47995777842
BRA,2018,17917.749212335882
BRA,2019,18018.62091515179
BRA,2020,17327.51572494663
BRA,2021,18075.706004906784
BRA,2022,18554.04618285662
BRA,2023,19079.81221340277
BRA,2024,19652.365499171046
BRA,2025,20024.69682569025
BRB,2015,19642.232250021865
BRB,2016,19877.11200839683
BRB,2017,19966.320240515426
BRB,2018,19877.675956923464
BRB,2019,19890.45571409404
BRB,2020,16399.70201114048
BRB,2021,17686.74693862888
BRB,2022,20494.53438369361
BRB,2023,20865.015543714722
BRB,2024,21557.527635038492
BRB,2025,22127.36049797184
BRN,2015,81910.18829594927
BRN,2016,78880.62285017676
