iso3,year,value
AGO,2018,51.3
ALB,2015,32.8
ALB,2016,33.7
ALB,2017,33.1
ALB,2018,30.1
ALB,2019,30.1
ALB,2020,29.4
ARE,2018,26.4
ARG,2016,42.3
ARG,2017,41.4
ARG,2018,41.7
ARG,2019,43.3
ARG,2020,42.7
ARG,2021,42.4
ARG,2022,40.7
ARG,2023,42.4
ARG,2024,42.4
ARM,2015,32.4
ARM,2016,32.5
ARM,2017,33.6
ARM,2018,34.4
ARM,2019,30
ARM,2020,25.1
ARM,2021,27.9
ARM,2022,27.9
ARM,2023,27.2
ARM,2024,27.4
AUS,2016,33.7
AUS,2018,34.3
AUS,2020,33.8
AUT,2015,30.5
AUT,2016,30.8
AUT,2017,29.7
AUT,2018,30.8
AUT,2019,30.2
AUT,2020,29.8
AUT,2021,30.7
AUT,2022,30.9
AUT,2023,31.2
BDI,2020,37.5
BEL,2015,27.7
BEL,2016,27.6
BEL,2017,27.4
BEL,2018,27.2
BEL,2019,27.2
BEL,2020,26
BEL,2021,26.6
BEL,2022,26.4
BEL,2023,26.8
BEN,2015,47.6
BEN,2018,37.9
BEN,2021,34.4
BFA,2018,43
BFA,2021,37.4
BGD,2016,32.4
BGD,2022,30.9
BGR,2015,38.6
BGR,2016,40.6
BGR,2017,40.4
BGR,2018,41.3
BGR,2019,40.3
BGR,2020,40.5
BGR,2021,39
BGR,2022,38.2
BGR,2023,39.5
BIH,2015,32.9
BIH,2021,30.3
BLR,2015,25.6
BLR,2016,25.3
BLR,2017,25.4
BLR,2018,25.2
BLR,2019,25.3
BLR,2020,24.4
BLZ,2018,39.9
BOL,2015,46.7
BOL,2016,45.2
BOL,2017,44.6
BOL,2018,42.6
BOL,2019,41.6
BOL,2020,43.6
BOL,2021,40.9
BOL,2022,41.2
BOL,2023,42.1
BOL,2024,40.9
BRA,2015,51.9
BRA,2016,53.4
BRA,2017,53.3
BRA,2018,53.9
BRA,2019,53.5
BRA,2020,48.8
BRA,2021,52.9
BRA,2022,51.9
BRA,2023,51.5
BRA,2024,50.3
BRB,2016,34.1
BTN,2017,37.4
BTN,2022,28.5
BWA,2015,54.9
CAF,2021,43
CAN,2015,33.7
CAN,2016,32.7
CAN,2017,33.3
CAN,2018,32.5
CAN,2019,31.8
CAN,2020,29.9
CAN,2021,31.1
CAN,2022,31.5
CHE,2015,32.3
CHE,2016,33
CHE,2017,32.7
CHE,2018,33.1
CHE,2019,34
CHE,2020,33.7
CHE,2021,33.8
CHE,2022,33.8
CHL,2015,45.3
CHL,2017,45.3
CHL,2020,47
CHL,2022,43.2
CHL,2024,43
CHN,2015,38.6
CHN,2016,38.5
CHN,2017,39.1
CHN,2018,38.5
CHN,2019,38.2
CHN,2020,37.1
CHN,2021,35.7
CHN,2022,36
CIV,2015,41.5
CIV,2018,37.2
CIV,2021,35.3
CMR,2021,42.2
COD,2020,44.7
COL,2015,52
COL,2016,51.7
COL,2017,50.9
COL,2018,51.6
COL,2019,52.5
COL,2020,54.4
COL,2021,55.1
COL,2022,54.8
COL,2023,54.6
COL,2024,54.4
COM,2020,34.2
COM,2024,30.3
CPV,2015,42.4
CRI,2015,48.4
CRI,2016,48.7
CRI,2017,48.3
CRI,2018,48
CRI,2019,48.2
CRI,2020,49.2
CRI,2021,48.7
CRI,2022,47.2
CRI,2023,46.7
CRI,2024,45.8
CRI,2025,45.5
CYP,2015,34
CYP,2016,32.9
CYP,2017,31.4
CYP,2018,32.7
CYP,2019,31.2
CYP,2020,31.7
CYP,2021,31.3
CYP,2022,31.5
CYP,2023,31.8
CZE,2015,25.9
CZE,2016,25.4
CZE,2017,24.9
CZE,2018,25
CZE,2019,25.3
CZE,2020,26.2
CZE,2021,26.2
CZE,2022,25.9
CZE,2023,25.7
DEU,2015,31.4
DEU,2016,31.3
DEU,2017,31.3
DEU,2018,31.9
DEU,2019,32.2
DEU,2020,32.5
DEU,2021,33.6
DEU,2022,33.7
DJI,2017,41.6
DNK,2015,28.2
DNK,2016,28.2
DNK,2017,28.7
DNK,2018,28.2
DNK,2019,27.7
DNK,2020,27.5
DNK,2021,28.3
DNK,2022,29.3
DNK,2023,29.9
DOM,2015,45.2
DOM,2016,45.7
DOM,2017,42.2
DOM,2018,43.7
DOM,2019,41.9
DOM,2020,39.6
DOM,2021,38.5
DOM,2022,37
DOM,2023,38.4
DOM,2024,39
ECU,2015,46
ECU,2016,45
ECU,2017,44.7
ECU,2018,45.4
ECU,2019,45.7
ECU,2020,47.3
ECU,2021,45.8
ECU,2022,45.5
ECU,2023,44.6
ECU,2024,45.2
ECU,2025,45.9
EGY,2015,31.8
EGY,2017,31.5
EGY,2019,31.9
EGY,2021,28.5
ESP,2015,36.2
ESP,2016,35.8
ESP,2017,34.7
ESP,2018,34.7
ESP,2019,34.3
ESP,2020,34.9
ESP,2021,33.9
ESP,2022,33.6
ESP,2023,33.4
EST,2015,32.7
EST,2016,31.2
EST,2017,30.4
EST,2018,30.3
EST,2019,30.8
EST,2020,30.7
EST,2021,31.8
EST,2022,32.3
EST,2023,30.7
ETH,2015,35
ETH,2021,31.1
FIN,2015,27.1
FIN,2016,27.1
FIN,2017,27.4
FIN,2018,27.3
FIN,2019,27.7
FIN,2020,27.1
FIN,2021,27.7
FIN,2022,27.9
FIN,2023,27.4
FJI,2019,30.7
FRA,2015,32.7
FRA,2016,31.9
FRA,2017,31.6
FRA,2018,32.4
FRA,2019,31.2
FRA,2020,30.7
FRA,2021,31.5
FRA,2022,31.2
FRA,2023,31.8
GAB,2017,38
GBR,2015,33.3
GBR,2016,33.1
GBR,2017,32.6
GBR,2018,33.7
