iso3,year,value
AFG,2015,42.906
AFG,2016,42.457
AFG,2017,42.014
AFG,2018,40.466
AFG,2019,38.913
AFG,2020,36.71
AFG,2021,35.8
AFG,2022,32.333
AFG,2023,32.323
AFG,2024,32.408
AFG,2025,32.457
AGO,2015,63.638
AGO,2016,63.321
AGO,2017,63.045
AGO,2018,62.812
AGO,2019,62.644
AGO,2020,61.078
AGO,2021,64.306
AGO,2022,64.619
AGO,2023,64.369
AGO,2024,64.383
AGO,2025,64.236
ALB,2015,45.955
ALB,2016,48.477
ALB,2017,50.152
ALB,2018,52
ALB,2019,53.392
ALB,2020,52.458
ALB,2021,52.836
ALB,2022,55.457
ALB,2023,57.066
ALB,2024,57.164
ALB,2025,57.242
ARE,2015,76.599
ARE,2016,77.16
ARE,2017,76.82
ARE,2018,77.339
ARE,2019,77.614
ARE,2020,75.398
ARE,2021,74.661
ARE,2022,75.023
ARE,2023,76.681
ARE,2024,76.789
ARE,2025,76.885
ARG,2015,54.744
ARG,2016,54.247
ARG,2017,53.899
ARG,2018,54.101
ARG,2019,54.355
ARG,2020,49.602
ARG,2021,55.085
ARG,2022,57.3
ARG,2023,58.463
ARG,2024,57.439
ARG,2025,57.489
ARM,2015,50.3
ARM,2016,50.783
ARM,2017,50.581
ARM,2018,49.697
ARM,2019,48.002
ARM,2020,50.125
ARM,2021,52.364
ARM,2022,50.905
ARM,2023,52.546
ARM,2024,52.485
ARM,2025,51.744
AUS,2015,61.135
AUS,2016,61.242
AUS,2017,61.599
AUS,2018,62.286
AUS,2019,62.689
AUS,2020,60.87
AUS,2021,62.825
AUS,2022,64.396
AUS,2023,64.565
AUS,2024,64.089
AUS,2025,63.816
AUT,2015,56.73
AUT,2016,57.015
AUT,2017,57.292
AUT,2018,57.914
AUT,2019,58.121
AUT,2020,57.224
AUT,2021,56.715
AUT,2022,57.843
AUT,2023,57.649
AUT,2024,57.361
AUT,2025,56.767
AZE,2015,60.386
AZE,2016,61.419
AZE,2017,61.787
AZE,2018,62.195
AZE,2019,61.966
AZE,2020,62.356
AZE,2021,59.853
AZE,2022,61.116
AZE,2023,60.716
AZE,2024,60.292
AZE,2025,59.834
BDI,2015,78.337
BDI,2016,78.843
BDI,2017,79.093
BDI,2018,79.126
BDI,2019,78.909
BDI,2020,77.737
BDI,2021,78.21
BDI,2022,78.385
BDI,2023,78.082
BDI,2024,77.774
BDI,2025,77.533
BEL,2015,48.842
BEL,2016,49.001
BEL,2017,49.554
BEL,2018,50.48
BEL,2019,51.005
BEL,2020,50.422
BEL,2021,50.671
BEL,2022,51.536
BEL,2023,51.39
BEL,2024,51.429
BEL,2025,51.068
BEN,2015,72.132
BEN,2016,72.563
BEN,2017,73.058
BEN,2018,73.642
BEN,2019,74.183
BEN,2020,73.645
BEN,2021,74.681
BEN,2022,74.995
BEN,2023,75.023
BEN,2024,75.022
BEN,2025,75.143
BFA,2015,75.102
BFA,2016,74.767
BFA,2017,74.479
BFA,2018,74.215
BFA,2019,74.13
BFA,2020,71.738
BFA,2021,70.646
BFA,2022,69.567
BFA,2023,68.631
BFA,2024,67.651
BFA,2025,67.57
BGD,2015,53.972
BGD,2016,53.65
BGD,2017,55.778
BGD,2018,56.3
BGD,2019,56.791
BGD,2020,56.459
BGD,2021,57.751
BGD,2022,59.031
BGD,2023,58.845
BGD,2024,56.762
BGD,2025,56.574
BGR,2015,49.252
BGR,2016,49.272
BGR,2017,51.99
BGR,2018,52.434
BGR,2019,54.309
BGR,2020,53.063
BGR,2021,52.53
BGR,2022,54.382
BGR,2023,54.438
BGR,2024,53.911
BGR,2025,54.131
BHR,2015,70.528
BHR,2016,71.12
BHR,2017,71.534
BHR,2018,71.214
BHR,2019,70.545
BHR,2020,68.004
BHR,2021,67.873
BHR,2022,69.395
BHR,2023,69.958
BHR,2024,69.804
BHR,2025,69.652
BHS,2015,65.065
BHS,2016,64.63
BHS,2017,66.891
BHS,2018,66.868
BHS,2019,67.455
BHS,2020,59.901
BHS,2021,61.941
BHS,2022,67.291
BHS,2023,67.722
BHS,2024,67.303
BHS,2025,66.983
BIH,2015,36.054
BIH,2016,37.015
BIH,2017,39.266
BIH,2018,40.089
BIH,2019,41.139
BIH,2020,39.936
BIH,2021,40.608
BIH,2022,42.656
BIH,2023,44.155
BIH,2024,43.977
BIH,2025,43.584
BLR,2015,60.49
BLR,2016,60.62
BLR,2017,60.838
BLR,2018,61.344
BLR,2019,61.575
BLR,2020,61.437
BLR,2021,61.524
BLR,2022,61.754
BLR,2023,61.372
BLR,2024,61.069
BLR,2025,60.626
BLZ,2015,59.031
BLZ,2016,59.752
BLZ,2017,59.81
BLZ,2018,61.005
BLZ,2019,63.413
BLZ,2020,48.795
BLZ,2021,54.142
BLZ,2022,53.257
BLZ,2023,52.85
BLZ,2024,51.905
BLZ,2025,53.866
BOL,2015,65.437
BOL,2016,65.003
BOL,2017,66.125
BOL,2018,69.272
BOL,2019,71.428
BOL,2020,66.553
BOL,2021,73.831
BOL,2022,75.487
BOL,2023,76.01
BOL,2024,75.766
BOL,2025,76.294
BRA,2015,58.787
BRA,2016,56.845
BRA,2017,56.271
BRA,2018,56.549
BRA,2019,57.142
BRA,2020,52.195
BRA,2021,54.238
BRA,2022,57.663
BRA,2023,57.915
BRA,2024,59.031
BRA,2025,59.37
BRB,2015,59.018
BRB,2016,60.616
BRB,2017,60.463
BRB,2018,60.246
BRB,2019,59.465
BRB,2020,56.424
BRB,2021,55.515
BRB,2022,60.601
BRB,2023,60.766
BRB,2024,60.786
BRB,2025,60.465
BRN,2015,60.623
BRN,2016,59.836
BRN,2017,59.117
BRN,2018,60.653
BRN,2019,60.517
BRN,2020,59.215
BRN,2021,60.761
BRN,2022,60.756
BRN,2023,61.305
BRN,2024,61.167
BRN,2025,60.846
BTN,2015,61.593
BTN,2016,61.257
BTN,2017,60.882
BTN,2018,60.506
BTN,2019,64.559
BTN,2020,64.415
BTN,2021,65.776
BTN,2022,59.342
BTN,2023,62.962
BTN,2024,62.77
BTN,2025,62.729
BWA,2015,50.428
BWA,2016,50.389
BWA,2017,50.419
BWA,2018,50.697
BWA,2019,50.724
BWA,2020,48.415
BWA,2021,49.208
BWA,2022,49.361
BWA,2023,52.313
BWA,2024,52.243
BWA,2025,51.958
CAF,2015,69.181
CAF,2016,69.166
CAF,2017,69.14
CAF,2018,69.153
CAF,2019,69.08
CAF,2020,67.986
CAF,2021,67.76
CAF,2022,68.81
CAF,2023,68.886
CAF,2024,68.83
CAF,2025,68.802
CAN,2015,61.311
CAN,2016,61.018
CAN,2017,61.564
CAN,2018,61.721
CAN,2019,62.065
CAN,2020,57.907
CAN,2021,60.288
CAN,2022,61.802
CAN,2023,61.822
CAN,2024,60.627
CAN,2025,60.061
CHE,2015,64.942
CHE,2016,65.286
CHE,2017,65.25
CHE,2018,65.343
CHE,2019,65.321
CHE,2020,64.709
CHE,2021,64.341
CHE,2022,64.313
CHE,2023,64.727
CHE,2024,64.189
CHE,2025,63.494
CHI,2015,54.314
CHI,2016,54.509
CHI,2017,54.696
CHI,2018,54.836
CHI,2019,54.767
CHI,2020,53.719
CHI,2021,53.978
CHI,2022,54.309
CHI,2023,53.7
CHI,2024,53.307
CHI,2025,52.88
CHL,2015,58.149
CHL,2016,58.008
CHL,2017,58.383
CHL,2018,58.389
CHL,2019,58.346
CHL,2020,50.196
CHL,2021,52.211
CHL,2022,55.177
CHL,2023,55.976
CHL,2024,56.864
CHL,2025,56.713
CHN,2015,66.078
CHN,2016,65.739
CHN,2017,65.295
CHN,2018,64.887
CHN,2019,64.307
CHN,2020,62.435
CHN,2021,64.056
CHN,2022,62.523
CHN,2023,62.756
CHN,2024,61.931
CHN,2025,61.572
CIV,2015,65.217
CIV,2016,65.562
CIV,2017,63.958
CIV,2018,63.541
CIV,2019,63.131
CIV,2020,63.214
CIV,2021,64.496
CIV,2022,65.598
CIV,2023,65.61
CIV,2024,65.583
CIV,2025,65.532
CMR,2015,68.65
CMR,2016,67.747
CMR,2017,66.832
CMR,2018,65.919
CMR,2019,65.003
CMR,2020,63.358
CMR,2021,62.718
CMR,2022,63.185
CMR,2023,63.188
CMR,2024,63.168
CMR,2025,62.823
COD,2015,62.391
COD,2016,62.081
COD,2017,61.769
COD,2018,61.53
COD,2019,61.335
COD,2020,60.043
COD,2021,60.257
COD,2022,61.441
COD,2023,61.519
COD,2024,61.564
COD,2025,61.454
COG,2015,54.475
COG,2016,54.314
COG,2017,54.022
COG,2018,53.945
COG,2019,54.159
COG,2020,50.469
COG,2021,51.124
COG,2022,54.267
COG,2023,54.373
COG,2024,54.349
COG,2025,54.344
COL,2015,61.275
COL,2016,60.492
COL,2017,60.015
COL,2018,59.131
COL,2019,57.709
COL,2020,53.279
COL,2021,55.389
COL,2022,56.498
COL,2023,57.623
COL,2024,57.418
COL,2025,58.142
COM,2015,44.226
COM,2016,45.726
COM,2017,47.259
COM,2018,48.769
COM,2019,50.274
COM,2020,51.082
