iso3,year,value
AFG,2015,9.032
AFG,2016,10.116
AFG,2017,11.184
AFG,2018,11.192
AFG,2019,11.187
AFG,2020,11.71
AFG,2021,12.006
AFG,2022,14.1
AFG,2023,14.008
AFG,2024,13.687
AFG,2025,13.351
AGO,2015,16.472
AGO,2016,16.572
AGO,2017,16.617
AGO,2018,16.602
AGO,2019,16.497
AGO,2020,16.696
AGO,2021,15.799
AGO,2022,14.124
AGO,2023,14.051
AGO,2024,14.02
AGO,2025,14.108
ALB,2015,17.193
ALB,2016,15.418
ALB,2017,13.616
ALB,2018,12.304
ALB,2019,11.466
ALB,2020,11.639
ALB,2021,11.474
ALB,2022,10.785
ALB,2023,10.669
ALB,2024,10.689
ALB,2025,10.926
ARE,2015,1.793
ARE,2016,1.64
ARE,2017,2.462
ARE,2018,2.236
ARE,2019,2.331
ARE,2020,4.294
ARE,2021,3.105
ARE,2022,2.872
ARE,2023,2.151
ARE,2024,2.16
ARE,2025,2.174
ARG,2015,7.577
ARG,2016,8.088
ARG,2017,8.347
ARG,2018,9.22
ARG,2019,9.843
ARG,2020,11.461
ARG,2021,8.736
ARG,2022,6.805
ARG,2023,6.139
ARG,2024,7.15
ARG,2025,7.145
ARM,2015,18.261
ARM,2016,17.617
ARM,2017,17.704
ARM,2018,18.966
ARM,2019,18.304
ARM,2020,18.175
ARM,2021,15.469
ARM,2022,13.451
ARM,2023,12.405
ARM,2024,12.405
ARM,2025,12.871
AUS,2015,6.055
AUS,2016,5.711
AUS,2017,5.592
AUS,2018,5.345
AUS,2019,5.143
AUS,2020,6.394
AUS,2021,5.022
AUS,2022,3.728
AUS,2023,3.668
AUS,2024,3.942
AUS,2025,4.09
AUT,2015,5.802
AUT,2016,6.064
AUT,2017,5.561
AUT,2018,4.933
AUT,2019,4.56
AUT,2020,5.201
AUT,2021,6.459
AUT,2022,4.992
AUT,2023,5.264
AUT,2024,5.2
AUT,2025,5.582
AZE,2015,4.96
AZE,2016,5
AZE,2017,5
AZE,2018,4.9
AZE,2019,5
AZE,2020,7.24
AZE,2021,6.04
AZE,2022,5.65
AZE,2023,5.64
AZE,2024,5.648
AZE,2025,5.457
BDI,2015,1.449
BDI,2016,1.352
BDI,2017,1.25
BDI,2018,1.147
BDI,2019,1.043
BDI,2020,1.03
BDI,2021,1.118
BDI,2022,0.909
BDI,2023,0.911
BDI,2024,0.915
BDI,2025,0.922
BEL,2015,8.482
BEL,2016,7.83
BEL,2017,7.09
BEL,2018,5.941
BEL,2019,5.364
BEL,2020,5.545
BEL,2021,6.248
BEL,2022,5.57
BEL,2023,5.547
BEL,2024,5.7
BEL,2025,5.906
BEN,2015,1.886
BEN,2016,1.834
BEN,2017,1.691
BEN,2018,1.426
BEN,2019,1.214
BEN,2020,1.518
BEN,2021,1.833
BEN,2022,1.685
BEN,2023,1.641
BEN,2024,1.637
BEN,2025,1.589
BFA,2015,4.472
BFA,2016,4.598
BFA,2017,4.662
BFA,2018,4.695
BFA,2019,4.493
BFA,2020,4.59
BFA,2021,4.511
BFA,2022,3.828
BFA,2023,3.601
BFA,2024,3.441
BFA,2025,3.477
BGD,2015,4.397
BGD,2016,4.35
BGD,2017,4.372
BGD,2018,4.439
BGD,2019,4.504
BGD,2020,5.539
BGD,2021,5.457
BGD,2022,4.593
BGD,2023,3.352
BGD,2024,3.635
BGD,2025,3.778
BGR,2015,9.143
BGR,2016,7.575
BGR,2017,6.164
BGR,2018,5.211
BGR,2019,4.148
BGR,2020,5.037
BGR,2021,5.166
BGR,2022,4.148
BGR,2023,4.319
BGR,2024,4.2
BGR,2025,3.536
BHR,2015,1.164
BHR,2016,1.19
BHR,2017,1.18
BHR,2018,1.188
BHR,2019,1.217
BHR,2020,1.765
BHR,2021,1.548
BHR,2022,1.265
BHR,2023,1.049
BHR,2024,1.084
BHR,2025,1.102
BHS,2015,12
BHS,2016,12.7
BHS,2017,9.8
BHS,2018,10
BHS,2019,9.336
BHS,2020,12.016
BHS,2021,11.078
BHS,2022,9.25
BHS,2023,8.645
BHS,2024,9.049
BHS,2025,9.207
BIH,2015,27.695
BIH,2016,25.408
BIH,2017,20.527
BIH,2018,18.4
BIH,2019,15.692
BIH,2020,15.868
BIH,2021,14.897
BIH,2022,12.657
BIH,2023,10.668
BIH,2024,10.69
BIH,2025,11.037
BLR,2015,5.881
BLR,2016,5.844
BLR,2017,5.648
BLR,2018,4.763
BLR,2019,4.165
BLR,2020,4.049
BLR,2021,3.9
BLR,2022,3.574
BLR,2023,3.461
BLR,2024,3.458
BLR,2025,3.38
BLZ,2015,7.578
BLZ,2016,7
BLZ,2017,6.596
BLZ,2018,9.346
BLZ,2019,9.053
BLZ,2020,10.763
BLZ,2021,10.302
BLZ,2022,8.682
BLZ,2023,8.278
BLZ,2024,8.698
BLZ,2025,8.856
BOL,2015,3.111
BOL,2016,3.498
BOL,2017,3.655
BOL,2018,3.519
BOL,2019,3.682
BOL,2020,7.903
BOL,2021,5.089
BOL,2022,3.552
BOL,2023,3.024
BOL,2024,3.274
BOL,2025,2.967
BRA,2015,8.538
BRA,2016,11.58
BRA,2017,12.792
BRA,2018,12.329
BRA,2019,11.936
BRA,2020,13.697
BRA,2021,13.158
BRA,2022,9.231
BRA,2023,7.947
BRA,2024,6.801
BRA,2025,5.97
BRB,2015,9.803
BRB,2016,8.247
BRB,2017,8.62
BRB,2018,8.321
BRB,2019,8.41
BRB,2020,10.586
BRB,2021,11.015
BRB,2022,7.261
BRB,2023,6.54
BRB,2024,6.448
BRB,2025,6.524
BRN,2015,7.703
BRN,2016,8.537
BRN,2017,9.316
BRN,2018,8.7
BRN,2019,6.6
BRN,2020,7.409
BRN,2021,4.905
BRN,2022,5.191
BRN,2023,5.296
BRN,2024,5.18
BRN,2025,5.277
BTN,2015,2.45
BTN,2016,2.707
BTN,2017,3.027
BTN,2018,3.35
BTN,2019,2.72
BTN,2020,5.03
BTN,2021,4.803
BTN,2022,5.947
BTN,2023,3.126
BTN,2024,3.282
BTN,2025,3.227
BWA,2015,18.915
BWA,2016,19.328
BWA,2017,19.671
BWA,2018,19.665
BWA,2019,20.094
BWA,2020,21.017
BWA,2021,23.106
BWA,2022,23.615
BWA,2023,23.381
BWA,2024,23.81
BWA,2025,24.477
CAF,2015,5.775
CAF,2016,5.793
CAF,2017,5.836
CAF,2018,5.825
CAF,2019,5.916
CAF,2020,6.519
CAF,2021,6.701
CAF,2022,6.287
CAF,2023,6.181
CAF,2024,6.253
CAF,2025,6.251
CAN,2015,6.945
CAN,2016,7.038
CAN,2017,6.426
CAN,2018,5.837
CAN,2019,5.69
CAN,2020,9.657
CAN,2021,7.527
CAN,2022,5.279
CAN,2023,5.415
CAN,2024,6.351
CAN,2025,6.907
CHE,2015,4.801
CHE,2016,4.918
CHE,2017,4.797
CHE,2018,4.713
CHE,2019,4.394
CHE,2020,4.817
CHE,2021,5.013
CHE,2022,4.122
CHE,2023,4.043
CHE,2024,4.343
CHE,2025,4.873
CHI,2015,7.928
CHI,2016,7.469
CHI,2017,6.881
CHI,2018,6.344
CHI,2019,6.185
CHI,2020,6.633
CHI,2021,6.643
CHI,2022,5.923
CHI,2023,5.928
CHI,2024,6.031
CHI,2025,6.169
CHL,2015,6.605
CHL,2016,6.926
CHL,2017,7.257
CHL,2018,7.623
CHL,2019,7.493
CHL,2020,10.934
CHL,2021,9.281
CHL,2022,8.249
CHL,2023,9.013
CHL,2024,8.718
CHL,2025,8.974
CHN,2015,4.65
CHN,2016,4.56
CHN,2017,4.47
CHN,2018,4.31
CHN,2019,4.56
CHN,2020,5
CHN,2021,4.55
CHN,2022,4.98
CHN,2023,4.67
CHN,2024,4.59
CHN,2025,4.615
CIV,2015,2.573
CIV,2016,1.896
CIV,2017,3.272
CIV,2018,2.852
CIV,2019,2.401
CIV,2020,2.588
CIV,2021,2.623
CIV,2022,2.31
CIV,2023,2.263
CIV,2024,2.273
CIV,2025,2.323
CMR,2015,3.518
CMR,2016,3.529
CMR,2017,3.573
CMR,2018,3.608
CMR,2019,3.632
CMR,2020,3.881
CMR,2021,3.976
CMR,2022,3.646
CMR,2023,3.607
CMR,2024,3.603
CMR,2025,3.602
COD,2015,4.441
COD,2016,4.528
COD,2017,4.613
COD,2018,4.632
COD,2019,4.605
COD,2020,5.355
COD,2021,5.289
COD,2022,4.54
COD,2023,4.469
COD,2024,4.421
COD,2025,4.434
COG,2015,20.02
COG,2016,20.298
COG,2017,20.737
COG,2018,20.84
COG,2019,20.494
COG,2020,22.286
COG,2021,21.998
COG,2022,20.131
COG,2023,19.919
COG,2024,19.895
COG,2025,19.876
COL,2015,8.572
COL,2016,8.922
COL,2017,9.086
COL,2018,9.36
COL,2019,10.28
COL,2020,15.983
COL,2021,13.898
COL,2022,10.541
COL,2023,9.591
COL,2024,9.619
COL,2025,8.29
COM,2015,4.031
COM,2016,4.117
COM,2017,4.049
COM,2018,3.975
COM,2019,3.926
COM,2020,4.468
COM,2021,4.394
COM,2022,3.879
COM,2023,3.833
COM,2024,3.815
COM,2025,3.819
CPV,2015,11.923
CPV,2016,12.085
CPV,2017,12.24
CPV,2018,12.17
CPV,2019,12.123
CPV,2020,14.65
CPV,2021,13.932
CPV,2022,12.239
CPV,2023,11.882
CPV,2024,11.883
CPV,2025,11.939
CRI,2015,8.415
CRI,2016,8.085
CRI,2017,7.729
CRI,2018,9.01
CRI,2019,10.807
CRI,2020,16.432
CRI,2021,15.139
CRI,2022,11.325
CRI,2023,8.325
CRI,2024,6.936
CRI,2025,6.843
CUB,2015,2.4
CUB,2016,2
CUB,2017,1.7
CUB,2018,1.7
CUB,2019,1.705
CUB,2020,2.233
CUB,2021,2.11
CUB,2022,1.829
CUB,2023,1.73
CUB,2024,1.755
CUB,2025,1.746
CYP,2015,15.026
CYP,2016,13.006
CYP,2017,11.155
CYP,2018,8.504
CYP,2019,7.155
CYP,2020,7.755
CYP,2021,7.513
CYP,2022,6.806
CYP,2023,5.835
CYP,2024,4.9
CYP,2025,4.924
CZE,2015,5.048
CZE,2016,3.952
CZE,2017,2.893
CZE,2018,2.246
CZE,2019,2.015
CZE,2020,2.55
CZE,2021,2.803
CZE,2022,2.224
CZE,2023,2.579
CZE,2024,2.6
CZE,2025,2.825
DEU,2015,4.612
DEU,2016,4.104
DEU,2017,3.781
DEU,2018,3.384
DEU,2019,3.163
DEU,2020,3.881
DEU,2021,3.594
DEU,2022,3.137
DEU,2023,3.071
DEU,2024,3.4
DEU,2025,3.711
DJI,2015,26.063
DJI,2016,25.982
DJI,2017,26.064
DJI,2018,26.18
DJI,2019,26.257
DJI,2020,27.701
DJI,2021,27.628
DJI,2022,26.272
DJI,2023,26.074
DJI,2024,26.007
DJI,2025,26.015
