iso3,year,value
ABW,2015,75.405
ABW,2016,75.54
ABW,2017,75.62
ABW,2018,75.88
ABW,2019,76.019
ABW,2020,75.406
ABW,2021,73.655
ABW,2022,76.226
ABW,2023,76.353
ABW,2024,76.5
AFE,2015,61.713030523495
AFE,2016,62.1679813169199
AFE,2017,62.5912750961501
AFE,2018,63.3306913582336
AFE,2019,63.8572612837043
AFE,2020,63.7664840026943
AFE,2021,62.9799991857494
AFE,2022,64.4871517904367
AFE,2023,65.1462279163724
AFE,2024,65.3499304660954
AFG,2015,62.27
AFG,2016,62.646
AFG,2017,62.406
AFG,2018,62.443
AFG,2019,62.941
AFG,2020,61.454
AFG,2021,60.417
AFG,2022,65.617
AFG,2023,66.035
AFG,2024,66.289
AFW,2015,56.0339962553159
AFW,2016,56.3875627997136
AFW,2017,56.6207642286762
AFW,2018,57.0307711269764
AFW,2019,57.1428268060515
AFW,2020,57.3577091392887
AFW,2021,57.3550150454372
AFW,2022,57.9789954665232
AFW,2023,58.8474833840405
AFW,2024,59.041538008007
AGO,2015,61.042
AGO,2016,61.619
AGO,2017,62.122
AGO,2018,62.622
AGO,2019,63.051
AGO,2020,63.116
AGO,2021,62.958
AGO,2022,64.246
AGO,2023,64.617
AGO,2024,64.805
ALB,2015,78.358
ALB,2016,78.643
ALB,2017,78.9
ALB,2018,79.238
ALB,2019,79.467
ALB,2020,77.824
ALB,2021,76.844
ALB,2022,78.769
ALB,2023,79.602
ALB,2024,79.776
AND,2015,84.532
AND,2016,84.489
AND,2017,84.359
AND,2018,84.242
AND,2019,84.098
AND,2020,79.418
AND,2021,82.331
AND,2022,84.016
AND,2023,84.041
AND,2024,84.188
ARB,2015,70.6580123695192
ARB,2016,70.8964881164428
ARB,2017,71.1128560080647
ARB,2018,71.4312997859137
ARB,2019,71.8398932674972
ARB,2020,70.7265588103862
ARB,2021,70.4041144889903
ARB,2022,71.8760955992222
ARB,2023,72.4446783578531
ARB,2024,72.721805028968
ARE,2015,82.076
ARE,2016,82.195
ARE,2017,82.388
ARE,2018,82.449
