iso3,year,value
ABW,2015,1.899
ABW,2016,1.848
ABW,2017,1.785
ABW,2018,1.732
ABW,2019,1.701
ABW,2020,1.662
ABW,2021,1.631
ABW,2022,1.615
ABW,2023,1.602
ABW,2024,1.606
AFG,2015,5.652
AFG,2016,5.542
AFG,2017,5.433
AFG,2018,5.327
AFG,2019,5.238
AFG,2020,5.145
AFG,2021,5.039
AFG,2022,4.932
AFG,2023,4.84
AFG,2024,4.761
AGO,2015,5.774
AGO,2016,5.686
AGO,2017,5.6
AGO,2018,5.519
AGO,2019,5.442
AGO,2020,5.371
AGO,2021,5.304
AGO,2022,5.209
AGO,2023,5.124
AGO,2024,5.048
ALB,2015,1.631
ALB,2016,1.555
ALB,2017,1.486
ALB,2018,1.415
ALB,2019,1.395
ALB,2020,1.371
ALB,2021,1.365
ALB,2022,1.355
ALB,2023,1.348
ALB,2024,1.341
AND,2015,1.223
AND,2016,1.184
AND,2017,1.129
AND,2018,1.053
AND,2019,1.045
AND,2020,1.028
AND,2021,1.058
AND,2022,1.071
AND,2023,1.082
AND,2024,1.087
ARE,2015,1.417
ARE,2016,1.366
ARE,2017,1.35
ARE,2018,1.288
ARE,2019,1.247
ARE,2020,1.289
ARE,2021,1.162
ARE,2022,1.148
ARE,2023,1.2
ARE,2024,1.213
ARG,2015,2.35
ARG,2016,2.241
ARG,2017,2.168
ARG,2018,2.067
ARG,2019,1.882
ARG,2020,1.601
ARG,2021,1.585
ARG,2022,1.482
ARG,2023,1.5
ARG,2024,1.504
ARM,2015,1.6
ARM,2016,1.6
ARM,2017,1.6
ARM,2018,1.6
ARM,2019,1.6
ARM,2020,1.7
ARM,2021,1.7
ARM,2022,1.7
ARM,2023,1.9
ARM,2024,1.7
ASM,2015,2.78
ASM,2016,2.699
ASM,2017,2.598
ASM,2018,2.494
ASM,2019,2.404
ASM,2020,2.36
ASM,2021,2.327
ASM,2022,2.305
ASM,2023,2.286
ASM,2024,2.267
ATG,2015,1.567
ATG,2016,1.458
ATG,2017,1.485
ATG,2018,1.371
ATG,2019,1.468
ATG,2020,1.569
ATG,2021,1.58
ATG,2022,1.58
ATG,2023,1.578
ATG,2024,1.582
AUS,2015,1.814
AUS,2016,1.752
AUS,2017,1.741
AUS,2018,1.74
