iso3,year,value
ABW,2015,11.6404071622938
ABW,2016,12.1631984301248
ABW,2017,12.7167657393089
ABW,2018,13.3108463619964
ABW,2019,13.9419664537338
ABW,2020,14.5767477805038
ABW,2021,15.1295115193663
ABW,2022,15.7002096825073
ABW,2023,16.3690434830945
ABW,2024,17.0563223230356
AFE,2015,3.0209800627081
AFE,2016,3.04497679911034
AFE,2017,3.07482831431294
AFE,2018,3.11392234821198
AFE,2019,3.15714194166587
AFE,2020,3.19216910200426
AFE,2021,3.21657276924908
AFE,2022,3.24611138116328
AFE,2023,3.28630347344117
AFE,2024,3.33096021429811
AFG,2015,2.35669506261475
AFG,2016,2.35549736125691
AFG,2017,2.35973702156897
AFG,2018,2.36712047688815
AFG,2019,2.37615338349114
AFG,2020,2.37073382439812
AFG,2021,2.35254951873996
AFG,2022,2.35514236704931
AFG,2023,2.37753752819851
AFG,2024,2.400970026561
AFW,2015,2.92079691546882
AFW,2016,2.91405528105407
AFW,2017,2.91176535132795
AFW,2018,2.91413874184351
AFW,2019,2.92047830747963
AFW,2020,2.92536123418002
AFW,2021,2.93194580772786
AFW,2022,2.94754068437062
AFW,2023,2.96895662928781
AFW,2024,2.99257936115109
AGO,2015,2.69128111509288
AGO,2016,2.68501394815556
AGO,2017,2.68524168427026
AGO,2018,2.69303871230468
AGO,2019,2.70797798313284
AGO,2020,2.72560876675849
AGO,2021,2.74470411565894
AGO,2022,2.77333855965152
AGO,2023,2.81144936806097
AGO,2024,2.85242119224488
ALB,2015,12.5431065412926
ALB,2016,12.9202121629827
ALB,2017,13.3053911120274
ALB,2018,13.739521828078
ALB,2019,14.2480986631067
ALB,2020,14.7670044100644
ALB,2021,15.2660050732804
ALB,2022,15.7763381628571
ALB,2023,16.3020000675759
ALB,2024,16.922756199529
AND,2015,12.9257968645001
AND,2016,13.0178785422858
AND,2017,13.1984409422132
AND,2018,13.4862031345627
AND,2019,13.8257043289506
AND,2020,14.2168518997157
AND,2021,14.5979952401309
AND,2022,14.9689479957343
AND,2023,15.4181507865836
AND,2024,15.9456903127384
ARB,2015,3.83059579742831
ARB,2016,3.89446274838379
ARB,2017,3.98006156404198
ARB,2018,4.08181680168791
ARB,2019,4.18635530015928
ARB,2020,4.27091079157564
ARB,2021,4.33911374250505
ARB,2022,4.41069032706453
ARB,2023,4.51799054833208
ARB,2024,4.6326269533076
ARE,2015,1.50462849552252
ARE,2016,1.48522186061082
ARE,2017,1.47888416773632
ARE,2018,1.50109608885113
ARE,2019,1.52798923207058
ARE,2020,1.56409085694231
ARE,2021,1.61923304492939
ARE,2022,1.63973912932682
ARE,2023,1.69563170962521
ARE,2024,1.76696037563358
ARG,2015,11.0315216694284
ARG,2016,11.1688143183761
ARG,2017,11.3071247613454
ARG,2018,11.4636515159043
ARG,2019,11.6325391913594
ARG,2020,11.7934339853714
ARG,2021,11.9186207827562
ARG,2022,12.0340800139112
ARG,2023,12.2030217969226
ARG,2024,12.4160041547474
ARM,2015,10.923814112631
ARM,2016,11.1448655565615
ARM,2017,11.4171755495395
ARM,2018,11.7116892663124
ARM,2019,12.0453317121053
ARM,2020,12.343281529839
