iso3,year,what,group,share
ABW,2010,income,p0p50,0.086
ABW,2010,income,p50p90,0.3785
ABW,2010,income,p90p100,0.5355
ABW,2010,income,p99.9p100,0.0783
ABW,2010,income,p99p100,0.2121
ABW,2010,wealth,p0p50,0.0341
ABW,2010,wealth,p50p90,0.3094
ABW,2010,wealth,p90p100,0.6565000000000001
ABW,2010,wealth,p99.9p100,0.1546
ABW,2010,wealth,p99p100,0.3182
ABW,2011,income,p0p50,0.0917
ABW,2011,income,p50p90,0.378
ABW,2011,income,p90p100,0.5303
ABW,2011,income,p99.9p100,0.0788
ABW,2011,income,p99p100,0.212
ABW,2011,wealth,p0p50,0.0348
ABW,2011,wealth,p50p90,0.3121
ABW,2011,wealth,p90p100,0.6531
ABW,2011,wealth,p99.9p100,0.1517
ABW,2011,wealth,p99p100,0.3143
ABW,2012,income,p0p50,0.0974
ABW,2012,income,p50p90,0.3775
ABW,2012,income,p90p100,0.5252
ABW,2012,income,p99.9p100,0.0793
ABW,2012,income,p99p100,0.212
ABW,2012,wealth,p0p50,0.0356
ABW,2012,wealth,p50p90,0.3151
ABW,2012,wealth,p90p100,0.6493
ABW,2012,wealth,p99.9p100,0.1483
ABW,2012,wealth,p99p100,0.3098
ABW,2013,income,p0p50,0.103
ABW,2013,income,p50p90,0.377
ABW,2013,income,p90p100,0.52
ABW,2013,income,p99.9p100,0.0798
ABW,2013,income,p99p100,0.212
ABW,2013,wealth,p0p50,0.0364
ABW,2013,wealth,p50p90,0.3182
ABW,2013,wealth,p90p100,0.6454000000000001
ABW,2013,wealth,p99.9p100,0.1449
ABW,2013,wealth,p99p100,0.3053
ABW,2014,income,p0p50,0.1086
ABW,2014,income,p50p90,0.3764
ABW,2014,income,p90p100,0.515
ABW,2014,income,p99.9p100,0.0804
ABW,2014,income,p99p100,0.212
ABW,2014,wealth,p0p50,0.0368
ABW,2014,wealth,p50p90,0.3202
ABW,2014,wealth,p90p100,0.643
ABW,2014,wealth,p99.9p100,0.1428
ABW,2014,wealth,p99p100,0.3026
ABW,2015,income,p0p50,0.1141
ABW,2015,income,p50p90,0.3759
ABW,2015,income,p90p100,0.5099
ABW,2015,income,p99.9p100,0.0809
ABW,2015,income,p99p100,0.2119
ABW,2015,wealth,p0p50,0.0375
ABW,2015,wealth,p50p90,0.3231
ABW,2015,wealth,p90p100,0.6394000000000001
ABW,2015,wealth,p99.9p100,0.1396
ABW,2015,wealth,p99p100,0.2984
ABW,2016,income,p0p50,0.1197
ABW,2016,income,p50p90,0.3754
ABW,2016,income,p90p100,0.5049
ABW,2016,income,p99.9p100,0.0814
ABW,2016,income,p99p100,0.2119
ABW,2016,wealth,p0p50,0.0384
ABW,2016,wealth,p50p90,0.3269
ABW,2016,wealth,p90p100,0.6347
ABW,2016,wealth,p99.9p100,0.1355
ABW,2016,wealth,p99p100,0.2929
ABW,2017,income,p0p50,0.1251
ABW,2017,income,p50p90,0.3749
ABW,2017,income,p90p100,0.4999
ABW,2017,income,p99.9p100,0.0819
ABW,2017,income,p99p100,0.2119
ABW,2017,wealth,p0p50,0.0391
ABW,2017,wealth,p50p90,0.3298
ABW,2017,wealth,p90p100,0.631
ABW,2017,wealth,p99.9p100,0.1324
ABW,2017,wealth,p99p100,0.2888
ABW,2018,income,p0p50,0.1306
ABW,2018,income,p50p90,0.3744
ABW,2018,income,p90p100,0.4950000000000001
ABW,2018,income,p99.9p100,0.0824
ABW,2018,income,p99p100,0.2118
ABW,2018,wealth,p0p50,0.0398
ABW,2018,wealth,p50p90,0.3326
ABW,2018,wealth,p90p100,0.6276
ABW,2018,wealth,p99.9p100,0.1296
ABW,2018,wealth,p99p100,0.285
ABW,2019,income,p0p50,0.136
ABW,2019,income,p50p90,0.3739
ABW,2019,income,p90p100,0.4901
ABW,2019,income,p99.9p100,0.0829
ABW,2019,income,p99p100,0.2118
ABW,2019,wealth,p0p50,0.0404
ABW,2019,wealth,p50p90,0.3355
ABW,2019,wealth,p90p100,0.6241
ABW,2019,wealth,p99.9p100,0.1266
ABW,2019,wealth,p99p100,0.281
ABW,2020,income,p0p50,0.1413
ABW,2020,income,p50p90,0.3734
ABW,2020,income,p90p100,0.4852
ABW,2020,income,p99.9p100,0.0834
ABW,2020,income,p99p100,0.2118
ABW,2020,wealth,p0p50,0.0411
ABW,2020,wealth,p50p90,0.3387
ABW,2020,wealth,p90p100,0.6202000000000001
ABW,2020,wealth,p99.9p100,0.1234
ABW,2020,wealth,p99p100,0.2766
ABW,2021,income,p0p50,0.1413
ABW,2021,income,p50p90,0.3734
ABW,2021,income,p90p100,0.4852
ABW,2021,income,p99.9p100,0.0834
ABW,2021,income,p99p100,0.2118
ABW,2021,wealth,p0p50,0.0414
ABW,2021,wealth,p50p90,0.3397
ABW,2021,wealth,p90p100,0.619
ABW,2021,wealth,p99.9p100,0.1223
ABW,2021,wealth,p99p100,0.2752
ABW,2022,income,p0p50,0.1413
ABW,2022,income,p50p90,0.3734
ABW,2022,income,p90p100,0.4852
ABW,2022,income,p99.9p100,0.0834
ABW,2022,income,p99p100,0.2118
ABW,2022,wealth,p0p50,0.0412
ABW,2022,wealth,p50p90,0.3388
ABW,2022,wealth,p90p100,0.62
ABW,2022,wealth,p99.9p100,0.1232
ABW,2022,wealth,p99p100,0.2764
ABW,2023,income,p0p50,0.1413
ABW,2023,income,p50p90,0.3734
ABW,2023,income,p90p100,0.4852
ABW,2023,income,p99.9p100,0.0834
ABW,2023,income,p99p100,0.2118
ABW,2023,wealth,p0p50,0.0411
ABW,2023,wealth,p50p90,0.3385
ABW,2023,wealth,p90p100,0.6204000000000001
ABW,2023,wealth,p99.9p100,0.1235
ABW,2023,wealth,p99p100,0.2768
ABW,2024,income,p0p50,0.1413
ABW,2024,income,p50p90,0.3734
ABW,2024,income,p90p100,0.4852
ABW,2024,income,p99.9p100,0.0834
ABW,2024,income,p99p100,0.2118
ABW,2024,wealth,p0p50,0.0412
ABW,2024,wealth,p50p90,0.3389
ABW,2024,wealth,p90p100,0.6199
ABW,2024,wealth,p99.9p100,0.1231
ABW,2024,wealth,p99p100,0.2762
AFG,2010,income,p0p50,0.1792
AFG,2010,income,p50p90,0.4165
AFG,2010,income,p90p100,0.4044
AFG,2010,income,p99.9p100,0.0517
AFG,2010,income,p99p100,0.1511
