iso3,year,value
ABW,2015,0.6394000000000001
ABW,2016,0.6347
ABW,2017,0.631
ABW,2018,0.6276
ABW,2019,0.6241
ABW,2020,0.6202000000000001
ABW,2021,0.619
ABW,2022,0.62
ABW,2023,0.6204000000000001
ABW,2024,0.6199
AFG,2015,0.5802
AFG,2016,0.5809000000000001
AFG,2017,0.5817
AFG,2018,0.5817
AFG,2019,0.5816
AFG,2020,0.5816
AFG,2021,0.5817
AFG,2022,0.5817
AFG,2023,0.5816
AFG,2024,0.5816
AGO,2015,0.6754
AGO,2016,0.7017
AGO,2017,0.7087
AGO,2018,0.7121000000000001
AGO,2019,0.7121000000000001
AGO,2020,0.7122
AGO,2021,0.7120000000000001
AGO,2022,0.7121000000000001
AGO,2023,0.7121000000000001
AGO,2024,0.7122
ALB,2015,0.5716
ALB,2016,0.5740000000000001
ALB,2017,0.5725
ALB,2018,0.5708
ALB,2019,0.5694
ALB,2020,0.5693
ALB,2021,0.5691
ALB,2022,0.5697
ALB,2023,0.5691
ALB,2024,0.5691
AND,2015,0.5706
AND,2016,0.5713
AND,2017,0.5719000000000001
AND,2018,0.5717
AND,2019,0.5707
AND,2020,0.5702
AND,2021,0.5728
AND,2022,0.5735
AND,2023,0.5734
AND,2024,0.5734
ARE,2015,0.6291
ARE,2016,0.6266
ARE,2017,0.6284000000000001
ARE,2018,0.6252
ARE,2019,0.6231
ARE,2020,0.6213000000000001
ARE,2021,0.6212
ARE,2022,0.6218
ARE,2023,0.6213000000000001
ARE,2024,0.6228
ARG,2015,0.5849
ARG,2016,0.5852
ARG,2017,0.5854
ARG,2018,0.5853
ARG,2019,0.5913
ARG,2020,0.5972000000000001
ARG,2021,0.5885
ARG,2022,0.5903
ARG,2023,0.5972000000000001
ARG,2024,0.6004
ARM,2015,0.5810000000000001
ARM,2016,0.5802
ARM,2017,0.5876
ARM,2018,0.5885
ARM,2019,0.5795
ARM,2020,0.5795
ARM,2021,0.5795
ARM,2022,0.5795
ARM,2023,0.5877
ARM,2024,0.5862
ATG,2015,0.6394000000000001
ATG,2016,0.6346
ATG,2017,0.6309
ATG,2018,0.6277
ATG,2019,0.6241
ATG,2020,0.6201
ATG,2021,0.6193000000000001
ATG,2022,0.6196
ATG,2023,0.6189
ATG,2024,0.6195
AUS,2015,0.5708
AUS,2016,0.5688
AUS,2017,0.5710000000000001
AUS,2018,0.5721
AUS,2019,0.5710000000000001
AUS,2020,0.5712
AUS,2021,0.5775
AUS,2022,0.5771000000000001
AUS,2023,0.5760000000000001
AUS,2024,0.5770000000000001
AUT,2015,0.6058
AUT,2016,0.6057
AUT,2017,0.611
AUT,2018,0.6137
AUT,2019,0.6132000000000001
AUT,2020,0.6118
AUT,2021,0.6152000000000001
AUT,2022,0.6146
AUT,2023,0.6164000000000001
AUT,2024,0.6171
AZE,2015,0.5761000000000001
AZE,2016,0.5743
AZE,2017,0.5761000000000001
AZE,2018,0.5762
AZE,2019,0.5762
AZE,2020,0.5762
AZE,2021,0.5762
AZE,2022,0.5762
AZE,2023,0.5762
AZE,2024,0.5762
BDI,2015,0.6079
BDI,2016,0.6072000000000001
BDI,2017,0.6062000000000001
BDI,2018,0.6053000000000001
BDI,2019,0.6044
BDI,2020,0.6039
BDI,2021,0.6039
BDI,2022,0.6039
BDI,2023,0.6039
BDI,2024,0.6039
BEL,2015,0.5162
BEL,2016,0.5178
BEL,2017,0.5208
BEL,2018,0.5219
BEL,2019,0.5227
BEL,2020,0.5221
BEL,2021,0.5227
BEL,2022,0.5223
BEL,2023,0.523
BEL,2024,0.526
BEN,2015,0.6716000000000001
BEN,2016,0.6457
BEN,2017,0.6268
BEN,2018,0.6043000000000001
BEN,2019,0.5984
BEN,2020,0.5930000000000001
BEN,2021,0.5893
BEN,2022,0.5893
BEN,2023,0.5893
BEN,2024,0.5893
BFA,2015,0.6123000000000001
BFA,2016,0.6283000000000001
BFA,2017,0.6408
BFA,2018,0.6505000000000001
BFA,2019,0.6372
BFA,2020,0.6233000000000001
BFA,2021,0.6056
BFA,2022,0.6056
BFA,2023,0.6056
BFA,2024,0.6057
BGD,2015,0.5846
BGD,2016,0.5840000000000001
BGD,2017,0.5840000000000001
BGD,2018,0.5840000000000001
BGD,2019,0.5841000000000001
BGD,2020,0.5841000000000001
BGD,2021,0.5841000000000001
BGD,2022,0.5841000000000001
BGD,2023,0.5840000000000001
BGD,2024,0.5841000000000001
BGR,2015,0.5801000000000001
BGR,2016,0.5846
BGR,2017,0.5915
BGR,2018,0.5910000000000001
BGR,2019,0.5839
BGR,2020,0.5838
BGR,2021,0.5900000000000001
BGR,2022,0.5983
BGR,2023,0.5961000000000001
BGR,2024,0.5957
BHR,2015,0.7091000000000001
BHR,2016,0.7092
BHR,2017,0.7090000000000001
BHR,2018,0.7092
BHR,2019,0.7090000000000001
BHR,2020,0.7090000000000001
BHR,2021,0.7090000000000001
BHR,2022,0.7091000000000001
BHR,2023,0.7091000000000001
BHR,2024,0.7092
BHS,2015,0.6513
BHS,2016,0.6521
BHS,2017,0.6526000000000001
BHS,2018,0.6554
BHS,2019,0.6497
BHS,2020,0.663
BHS,2021,0.6535000000000001
BHS,2022,0.6474000000000001
BHS,2023,0.6467
BHS,2024,0.6468
BIH,2015,0.5694
BIH,2016,0.5693
BIH,2017,0.5698
BIH,2018,0.5694
BIH,2019,0.5688
BIH,2020,0.5688
BIH,2021,0.5690000000000001
BIH,2022,0.5696
BIH,2023,0.5692
BIH,2024,0.5692
BLR,2015,0.5639000000000001
BLR,2016,0.5643
BLR,2017,0.5647
BLR,2018,0.5647
BLR,2019,0.5645
BLR,2020,0.5645
BLR,2021,0.5645
BLR,2022,0.5645
BLR,2023,0.5645
BLR,2024,0.5645
BLZ,2015,0.6513
BLZ,2016,0.652
BLZ,2017,0.6529
BLZ,2018,0.6554
BLZ,2019,0.65
BLZ,2020,0.6629
BLZ,2021,0.6539
BLZ,2022,0.6813
BLZ,2023,0.6791
BLZ,2024,0.6792
BMU,2015,0.6104
BMU,2016,0.6114
BMU,2017,0.6121
BMU,2018,0.6133000000000001
BMU,2019,0.6146
BMU,2020,0.6165
BMU,2021,0.6165
BMU,2022,0.6164000000000001
BMU,2023,0.6163000000000001
BMU,2024,0.6163000000000001
BOL,2015,0.6516000000000001
BOL,2016,0.652
BOL,2017,0.6525000000000001
BOL,2018,0.6557000000000001
BOL,2019,0.6499
BOL,2020,0.6629
BOL,2021,0.6535000000000001
BOL,2022,0.6474000000000001
BOL,2023,0.6461
BOL,2024,0.6466000000000001
BRA,2015,0.7167
BRA,2016,0.7140000000000001
BRA,2017,0.7130000000000001
BRA,2018,0.7107
BRA,2019,0.7078
BRA,2020,0.7163
BRA,2021,0.7236
BRA,2022,0.7189
BRA,2023,0.7166
