iso3,year,value
ABW,2015,2.7553
ABW,2016,2.7615
ABW,2017,2.8338
ABW,2018,2.8497
ABW,2019,2.8996
ABW,2020,3.136
ABW,2021,2.9279
ABW,2022,3.0002
ABW,2023,2.9938
ABW,2024,2.9641
ABW,2025,3.3725
AFG,2015,2.8838
AFG,2016,2.9545
AFG,2017,3.0781
AFG,2018,2.9377
AFG,2019,3.076
AFG,2020,3.4739
AFG,2021,3.4011
AFG,2022,3.4725
AFG,2023,3.4297
AFG,2024,3.3429
AFG,2025,3.5523
AGO,2015,2.3589
AGO,2016,2.3878
AGO,2017,2.6023
AGO,2018,2.451
AGO,2019,2.3834
AGO,2020,2.6372
AGO,2021,2.6608
AGO,2022,2.9896
AGO,2023,2.9904
AGO,2024,2.9965
AGO,2025,3.269
ALB,2015,4.5845
ALB,2016,4.5641
ALB,2017,4.5281
ALB,2018,4.535200000000001
ALB,2019,4.5603
ALB,2020,4.8564
ALB,2021,4.6375
ALB,2022,4.7766
ALB,2023,4.7209
ALB,2024,4.641900000000001
ALB,2025,5.056500000000001
AND,2015,5.227
AND,2016,5.3249
AND,2017,5.3975
AND,2018,5.3969
AND,2019,5.480700000000001
AND,2020,6.1856
AND,2021,5.964700000000001
AND,2022,5.6917
AND,2023,5.4736
AND,2024,5.4448
AND,2025,5.7422
ARE,2015,3.9952
ARE,2016,4.1096
ARE,2017,4.1223
ARE,2018,4.1661
ARE,2019,4.0378
ARE,2020,4.5467
ARE,2021,4.0292
ARE,2022,3.8456
ARE,2023,4.039400000000001
ARE,2024,4.0011
ARE,2025,4.7521
ARG,2015,2.7767
ARG,2016,2.8246
ARG,2017,2.7738
ARG,2018,2.7238
ARG,2019,2.7786
ARG,2020,3.118
ARG,2021,2.9741
ARG,2022,2.9761
ARG,2023,2.971
ARG,2024,2.8929
ARG,2025,3.3276
ARM,2015,3.137
ARM,2016,3.1459
ARM,2017,3.0613
ARM,2018,3.0796
ARM,2019,2.9105
ARM,2020,2.9362
ARM,2021,2.8188
ARM,2022,2.8963
ARM,2023,3.1505
ARM,2024,3.2232
ARM,2025,3.545
ASM,2015,4.8935
ASM,2016,5.0166
ASM,2017,5.2058
ASM,2018,5.174300000000001
ASM,2019,5.27
ASM,2020,6.0838
ASM,2021,6.3474
ASM,2022,6.074800000000001
ASM,2023,5.8051
ASM,2024,6.0624
ASM,2025,6.3034
ATG,2015,2.8228
ATG,2016,2.8436
ATG,2017,2.8048
ATG,2018,2.7873
ATG,2019,2.8813
ATG,2020,3.4507
ATG,2021,3.4231
ATG,2022,3.2762
ATG,2023,3.1726
ATG,2024,3.1068
ATG,2025,3.4341
AUS,2015,5.8601
AUS,2016,6.0536
AUS,2017,6.3729
AUS,2018,6.329800000000001
AUS,2019,6.2268
AUS,2020,6.3253
AUS,2021,6.926500000000001
AUS,2022,7.011
AUS,2023,6.67
AUS,2024,7.0293
AUS,2025,7.2153
AUT,2015,4.488
AUT,2016,4.5559
AUT,2017,4.6166
AUT,2018,4.6226
AUT,2019,4.6321
AUT,2020,5.1513
AUT,2021,5.178
AUT,2022,4.933400000000001
AUT,2023,4.7979
AUT,2024,4.7568
AUT,2025,5.2092
AZE,2015,2.1772
AZE,2016,2.205
AZE,2017,2.2308
AZE,2018,2.2571
AZE,2019,2.2984
AZE,2020,2.3243
AZE,2021,2.3479
AZE,2022,2.4293
AZE,2023,2.3977
AZE,2024,2.3787
AZE,2025,2.5378
BDI,2015,2.2594
BDI,2016,2.3079
BDI,2017,2.4645
BDI,2018,2.4323
BDI,2019,2.3991
BDI,2020,2.5723
BDI,2021,2.4685
BDI,2022,2.5346
BDI,2023,2.4275
BDI,2024,2.3432
BDI,2025,2.5882
BEL,2015,6.655
BEL,2016,6.7056
BEL,2017,6.6265
BEL,2018,6.4874
BEL,2019,6.3998
BEL,2020,7.132000000000001
BEL,2021,6.7975
BEL,2022,6.2831
BEL,2023,5.9202
BEL,2024,5.9783
BEL,2025,6.076300000000001
BEN,2015,2.7694
BEN,2016,2.8878
BEN,2017,3.0037
BEN,2018,3.0234
BEN,2019,2.9634
BEN,2020,3.173
BEN,2021,3.1361
BEN,2022,3.1266
BEN,2023,3.0604
BEN,2024,2.9465
BEN,2025,3.1802
BFA,2015,3.5742
BFA,2016,3.6058
BFA,2017,3.5773
BFA,2018,3.5462
BFA,2019,3.5074
BFA,2020,3.706
BFA,2021,3.4043
BFA,2022,3.5106
BFA,2023,3.285
BFA,2024,3.1015
BFA,2025,3.3662
BGD,2015,3.5945
BGD,2016,3.6197
BGD,2017,3.6983
BGD,2018,3.6579
BGD,2019,3.6741
BGD,2020,4.036700000000001
BGD,2021,3.6824
BGD,2022,4.0503
BGD,2023,3.9736
BGD,2024,3.9192
BGD,2025,4.3387
BGR,2015,2.5101
BGR,2016,2.4991
BGR,2017,2.4544
BGR,2018,2.483
BGR,2019,2.4399
BGR,2020,2.5086
BGR,2021,2.2925
BGR,2022,2.377
BGR,2023,2.4143
BGR,2024,2.3506
BGR,2025,2.6848
BHR,2015,2.7538
BHR,2016,2.8472
BHR,2017,2.8416
BHR,2018,2.9157
BHR,2019,2.8773
BHR,2020,3.0406
BHR,2021,2.9343
BHR,2022,3.1493
BHR,2023,3.0335
BHR,2024,2.9828
BHR,2025,3.4437
BHS,2015,2.4622
BHS,2016,2.6034
BHS,2017,2.5195
BHS,2018,2.5576
BHS,2019,2.3359
BHS,2020,2.7928
BHS,2021,2.5001
BHS,2022,2.588
BHS,2023,2.5056
BHS,2024,2.4606
BHS,2025,2.9197
BIH,2015,4.4217
BIH,2016,3.1955
BIH,2017,3.3045
BIH,2018,3.3723
BIH,2019,3.2364
BIH,2020,3.449
