iso3,year,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49
ABW,1950,6.185,17.159,43.395,85.447,136.754,192.891,238.976,272.446,295.361,308.768,314.961,315.549,312.648,306.903,298.796,288.938,276.458,261.935,245.638,227.946,209.219,191.905,174.648,157.505,140.951,126.561,107.484,86.134,65.538,46.724,28.519,17.709,10.506,6.525,3.844
ABW,1951,6.056,16.856,42.825,84.524,135.434,191.151,236.836,269.941,292.551,305.72,311.741,312.217,309.261,303.512,295.445,285.655,273.267,258.852,242.694,225.17,206.627,189.464,172.361,155.378,138.986,124.722,105.891,84.85,64.574,46.073,28.214,17.564,10.463,6.53,3.862
ABW,1952,5.889,16.459,42.133,83.484,134.02,189.338,234.577,267.202,289.379,302.181,307.917,308.187,305.099,299.292,291.228,281.48,269.156,254.813,238.776,221.418,203.073,186.068,169.132,152.331,136.142,122.036,103.559,82.979,63.195,45.179,27.881,17.462,10.505,6.63,3.957
ABW,1953,5.7,15.977,41.2,81.953,131.805,186.384,230.889,262.816,284.405,296.747,302.151,302.206,299.001,293.166,285.148,275.498,263.304,249.112,233.282,216.184,198.141,181.396,164.734,148.225,132.348,118.503,100.513,80.54,61.386,43.985,27.368,17.255,10.488,6.697,4.035
ABW,1954,5.539,15.524,40.319,80.512,129.698,183.512,227.18,258.238,279.077,290.822,295.791,295.556,292.165,286.237,278.212,268.611,256.488,242.374,226.684,209.794,192.028,175.542,159.176,143.005,127.517,114.021,96.667,77.484,59.154,42.554,26.835,17.105,10.574,6.875,4.201
ABW,1955,5.382,15.069,39.413,79.007,127.468,180.445,223.208,253.336,273.377,284.491,289,288.456,284.867,278.84,270.804,261.251,249.199,235.169,219.634,202.973,185.51,169.3,153.246,137.428,122.347,109.209,92.53,74.19,56.744,41.007,26.251,16.941,10.666,7.069,4.381
ABW,1956,5.22,14.584,38.399,77.256,124.816,176.753,218.449,247.534,266.701,277.139,281.161,280.293,276.503,270.384,262.354,252.87,240.927,227.027,211.71,195.357,178.276,162.397,146.705,131.288,116.652,103.889,87.942,70.527,54.05,39.263,25.562,16.725,10.742,7.261,4.565
ABW,1957,5.106,14.167,37.503,75.699,122.403,173.297,213.844,241.735,259.884,269.525,272.964,271.695,267.63,261.346,253.251,243.762,231.838,217.964,202.781,186.675,169.943,154.357,139.01,123.997,109.838,97.473,82.396,66.105,50.826,37.224,24.859,16.608,10.978,7.625,4.883
ABW,1958,4.988,13.755,36.577,74.035,119.814,169.629,209.082,235.923,253.209,262.203,265.191,263.633,259.39,253.023,244.931,235.494,223.651,209.87,194.874,179.045,162.671,147.387,132.378,117.747,104.021,92.016,77.683,62.342,48.068,35.456,24.181,16.436,11.114,7.879,5.114
ABW,1959,4.89,13.439,35.898,72.848,118.011,167.124,205.872,232.039,248.768,257.339,260.025,258.267,253.898,247.472,239.381,229.979,218.198,204.491,189.634,174.011,157.892,142.814,128.029,113.647,100.197,88.412,74.562,59.846,46.236,34.28,23.73,16.326,11.212,8.056,5.273
