iso3,year,q5,srb
ABW,1950,110.3089,104.3
ABW,1951,103.668,104.3
ABW,1952,97.4022,104.3
ABW,1953,91.512,104.3
ABW,1954,85.9203,104.3
ABW,1955,80.6895,104.3
ABW,1956,75.8146,104.3
ABW,1957,71.3746,104.3
ABW,1958,67.3553,104.3
ABW,1959,63.7691,104.3
ABW,1960,60.559,104.3
ABW,1961,57.6606,104.3
ABW,1962,55.0831,104.3
ABW,1963,52.7385,104.3
ABW,1964,50.5696,104.3
ABW,1965,48.5326,104.3
ABW,1966,46.5939,104.2
ABW,1967,44.73,104.2
ABW,1968,42.9308,104.2
ABW,1969,41.1875,104.2
ABW,1970,39.5051,104.2
ABW,1971,37.8868,104.2
ABW,1972,36.3379,104.2
ABW,1973,34.8646,104.2
ABW,1974,33.4665,104.2
ABW,1975,32.1435,104.2
ABW,1976,30.892,104.2
ABW,1977,29.7127,104.2
ABW,1978,28.6053,104.2
ABW,1979,27.5778,104.2
ABW,1980,26.6382,104.2
ABW,1981,25.7961,104.2
ABW,1982,25.0614,104.1
ABW,1983,24.4341,104.1
ABW,1984,23.9159,104.2
ABW,1985,23.4965,104.2
ABW,1986,23.1634,104.3
ABW,1987,22.899,104.3
ABW,1988,22.6872,104.3
ABW,1989,22.5145,104.3
ABW,1990,22.369,104.4
ABW,1991,22.2436,104.4
ABW,1992,22.1292,104.4
ABW,1993,22.0225,104.4
ABW,1994,21.9201,104.4
ABW,1995,21.8197,104.4
ABW,1996,21.7151,104.4
ABW,1997,21.6038,104.4
ABW,1998,21.4762,104.4
ABW,1999,21.3279,104.4
ABW,2000,21.1515,104.3
ABW,2001,20.9462,104.3
ABW,2002,20.705,104.3
ABW,2003,20.4294,104.3
ABW,2004,20.1241,104.3
ABW,2005,19.7945,104.3
ABW,2006,19.4486,104.3
ABW,2007,19.0934,104.2
ABW,2008,18.7369,104.2
ABW,2009,18.3842,104.3
ABW,2010,18.0387,104.3
ABW,2011,17.7041,104.3
ABW,2012,17.3815,104.3
ABW,2013,17.07,104.3
ABW,2014,16.7693,104.4
ABW,2015,16.4774,104.4
ABW,2016,16.1919,104.4
ABW,2017,15.9118,104.4
ABW,2018,15.6352,104.3
ABW,2019,15.3639,104.4
ABW,2020,15.0952,104.3
ABW,2021,15.2445,104.3
ABW,2022,14.5676,104.3
ABW,2023,14.3108,104.3
AFG,1950,413.7014,104.9
AFG,1951,407.9939,104.9
AFG,1952,402.24,104.9
AFG,1953,396.4229,104.9
AFG,1954,391.5887,104.9
AFG,1955,384.4414,104.9
AFG,1956,378.4591,104.9
AFG,1957,372.1603,104.9
AFG,1958,366.1019,104.9
AFG,1959,360.0998,104.9
AFG,1960,354.452,104.9
AFG,1961,348.7335,104.9
AFG,1962,343.2186,104.9
AFG,1963,338.0092,104.9
AFG,1964,332.5331,104.9
AFG,1965,327.3154,104.9
AFG,1966,322.1359,104.9
AFG,1967,316.9564,104.9
AFG,1968,311.7126,104.9
AFG,1969,306.5237,104.9
AFG,1970,301.2696,104.9
AFG,1971,296.0995,104.9
AFG,1972,290.9405,105
AFG,1973,285.3993,105
AFG,1974,279.9998,105
AFG,1975,274.4467,105
AFG,1976,268.9411,105
AFG,1977,263.1268,105
AFG,1978,263.9394,105
AFG,1979,266.508,105
AFG,1980,261.1878,105
AFG,1981,257.0977,105
AFG,1982,271.3529,105.1
AFG,1983,265.5844,105.1
AFG,1984,293.9678,105.1
AFG,1985,286.6748,105.2
AFG,1986,245.7409,105.3
AFG,1987,240.0805,105.3
AFG,1988,214.8586,105.4
AFG,1989,205.7027,105.4
AFG,1990,199.388,105.5
AFG,1991,194.169,105.6
AFG,1992,183.3971,105.6
AFG,1993,165.1757,105.6
AFG,1994,158.3224,105.7
AFG,1995,153.9471,105.8
AFG,1996,148.7353,106
AFG,1997,145.7963,106.2
AFG,1998,144.0929,106.4
AFG,1999,136.398,106.5
AFG,2000,131.9071,106.5
AFG,2001,127.8353,106.5
AFG,2002,124.0226,106.5
AFG,2003,117.8265,106.5
AFG,2004,113.3739,106.4
AFG,2005,109.4739,106.3
AFG,2006,105.3774,106.3
AFG,2007,100.5294,106.3
AFG,2008,96.2567,106.3
AFG,2009,93.6144,106.2
AFG,2010,90.2386,106.1
AFG,2011,86.3166,105.9
AFG,2012,82.906,105.8
AFG,2013,79.7818,105.7
AFG,2014,78.2069,105.6
AFG,2015,76.5487,105.6
AFG,2016,73.9115,105.5
AFG,2017,67.6953,105.4
AFG,2018,65.3379,105.3
AFG,2019,64.0056,105.3
AFG,2020,62.8769,105.2
AFG,2021,61.3673,105.2
AFG,2022,58.0385,105.2
AFG,2023,56.162,105.1
AGO,1950,341.0534,102.9
AGO,1951,338.8005,102.9
AGO,1952,336.6555,102.9
AGO,1953,334.3478,102.9
AGO,1954,331.9652,102.9
AGO,1955,329.4406,102.9
AGO,1956,326.7551,102.9
AGO,1957,323.9751,102.9
AGO,1958,321.0038,102.9
AGO,1959,317.7917,102.9
AGO,1960,314.3568,102.8
AGO,1961,310.8718,102.9
AGO,1962,307.2344,102.9
AGO,1963,303.5392,102.9
AGO,1964,299.6594,102.9
AGO,1965,295.7144,102.9
AGO,1966,291.6667,102.9
AGO,1967,287.4935,102.9
AGO,1968,283.3344,102.9
AGO,1969,279.1594,102.9
AGO,1970,275.0598,102.9
AGO,1971,270.9271,102.9
AGO,1972,266.8901,102.9
AGO,1973,262.9494,102.9
AGO,1974,259.1208,102.9
AGO,1975,258.815,102.9
AGO,1976,256.8061,102.9
AGO,1977,253.3044,102.9
AGO,1978,249.9568,102.9
AGO,1979,246.8155,102.9
AGO,1980,243.8302,102.9
AGO,1981,241.0335,102.9
AGO,1982,238.3982,102.9
AGO,1983,241.0967,102.9
AGO,1984,238.7939,102.9
AGO,1985,236.7923,103
AGO,1986,234.8228,103
AGO,1987,243.165,103
AGO,1988,239.6274,103
AGO,1989,238.1348,103
AGO,1990,237.0894,103
AGO,1991,228.1624,103.1
AGO,1992,236.285,103.1
AGO,1993,227.1633,103.1
AGO,1994,220.559,103.1
AGO,1995,219.0588,103.1
AGO,1996,216.8255,103.1
AGO,1997,213.9935,103
AGO,1998,216.5059,103
AGO,1999,208.403,103
AGO,2000,206.4443,102.9
AGO,2001,197.8211,102.9
AGO,2002,193.5538,102.9
AGO,2003,180.1555,102.9
AGO,2004,171.9159,102.9
AGO,2005,163.1828,102.9
AGO,2006,155.1122,102.8
AGO,2007,145.26,102.7
AGO,2008,136.1749,102.7
AGO,2009,127.5082,102.6
