iso3,sex,age,qx,lx
ABW,female,0,0.0107626,100000
ABW,female,1,0.000962,98923.74
ABW,female,2,0.0005658,98828.575
ABW,female,3,0.00041197,98772.658
ABW,female,4,0.00036956,98731.967
ABW,female,5,0.00032789,98695.48
ABW,female,6,0.00027381,98663.118
ABW,female,7,0.00021883,98636.103
ABW,female,8,0.00017444,98614.519
ABW,female,9,0.00015217,98597.316
ABW,female,10,0.0001629,98582.313
ABW,female,11,0.00018898,98566.254
ABW,female,12,0.00021433,98547.627
ABW,female,13,0.00023594,98526.505
ABW,female,14,0.000225,98503.259
ABW,female,15,0.00020873,98481.096
ABW,female,16,0.00020223,98460.539
ABW,female,17,0.00020913,98440.628
ABW,female,18,0.00021632,98420.041
ABW,female,19,0.00022471,98398.751
ABW,female,20,0.00025252,98376.64
ABW,female,21,0.00031677,98351.798
ABW,female,22,0.00038329,98320.643
ABW,female,23,0.00042627,98282.958
ABW,female,24,0.00043932,98241.062
ABW,female,25,0.00045182,98197.903
ABW,female,26,0.00041562,98153.536
ABW,female,27,0.00043452,98112.742
ABW,female,28,0.00044595,98070.109
ABW,female,29,0.00044393,98026.375
ABW,female,30,0.0004442,97982.858
ABW,female,31,0.00046338,97939.334
ABW,female,32,0.000505,97893.951
ABW,female,33,0.0005611,97844.515
ABW,female,34,0.00062561,97789.615
ABW,female,35,0.00070381,97728.437
ABW,female,36,0.00080509,97659.654
ABW,female,37,0.00091461,97581.029
ABW,female,38,0.00103331,97491.781
ABW,female,39,0.00109328,97391.041
ABW,female,40,0.00111512,97284.565
ABW,female,41,0.00112127,97176.081
ABW,female,42,0.00114445,97067.12
ABW,female,43,0.00119751,96956.031
ABW,female,44,0.00132274,96839.925
ABW,female,45,0.00145778,96711.831
ABW,female,46,0.00159962,96570.846
ABW,female,47,0.00174001,96416.37
ABW,female,48,0.00187585,96248.604
ABW,female,49,0.00199773,96068.057
ABW,female,50,0.00212951,95876.139
ABW,female,51,0.00226523,95671.97
ABW,female,52,0.00244002,95455.251
ABW,female,53,0.00269112,95222.338
ABW,female,54,0.00299531,94966.083
ABW,female,55,0.00336058,94681.631
ABW,female,56,0.00379665,94363.446
ABW,female,57,0.00429605,94005.181
ABW,female,58,0.00483,93601.33
ABW,female,59,0.00543042,93149.235
ABW,female,60,0.00608501,92643.395
ABW,female,61,0.00682114,92079.659
ABW,female,62,0.00762458,91451.571
ABW,female,63,0.0082476,90754.291
ABW,female,64,0.00908757,90005.786
ABW,female,65,0.00997762,89187.852
ABW,female,66,0.01077257,88297.97
ABW,female,67,0.0117358,87346.774
ABW,female,68,0.01300019,86321.689
ABW,female,69,0.01464832,85199.491
ABW,female,70,0.01671056,83951.462
ABW,female,71,0.01918864,82548.586
ABW,female,72,0.02203348,80964.59
ABW,female,73,0.02521046,79180.658
ABW,female,74,0.02870934,77184.477
ABW,female,75,0.03268071,74968.562
ABW,female,76,0.03688093,72518.536
ABW,female,77,0.04220783,69843.985
ABW,female,78,0.04914178,66896.022
ABW,female,79,0.05801701,63608.632
ABW,female,80,0.06903749,59918.249
ABW,female,81,0.08197585,55781.644
ABW,female,82,0.09608404,51208.896
ABW,female,83,0.11038183,46288.538
ABW,female,84,0.1242818,41179.125
ABW,female,85,0.13820125,36061.309
ABW,female,86,0.15281569,31077.591
ABW,female,87,0.16922156,26328.448
ABW,female,88,0.18836728,21873.107
ABW,female,89,0.2101953,17752.929
ABW,female,90,0.23414457,14021.347
ABW,female,91,0.259316,10738.325
ABW,female,92,0.28399617,7953.705
ABW,female,93,0.30808289,5694.883
ABW,female,94,0.3320086,3940.387
ABW,female,95,0.36736756,2632.145
ABW,female,96,0.40146394,1665.18
ABW,female,97,0.43787985,996.67
ABW,female,98,0.47661761,560.249
ABW,female,99,0.51765007,293.224
ABW,female,100,1,141.437
ABW,male,0,0.01314082,100000
ABW,male,1,0.00087559,98685.918
ABW,male,2,0.00058662,98599.509
ABW,male,3,0.00049836,98541.668
ABW,male,4,0.00045657,98492.559
ABW,male,5,0.00040492,98447.591
ABW,male,6,0.00034371,98407.727
ABW,male,7,0.00028149,98373.904
ABW,male,8,0.00022681,98346.213
ABW,male,9,0.00018823,98323.907
ABW,male,10,0.0001741,98305.399
ABW,male,11,0.00017236,98288.284
ABW,male,12,0.00018506,98271.343
ABW,male,13,0.00021449,98253.157
ABW,male,14,0.00027449,98232.083
ABW,male,15,0.00034565,98205.119
ABW,male,16,0.00044759,98171.174
ABW,male,17,0.00059137,98127.234
ABW,male,18,0.0007471,98069.205
ABW,male,19,0.00084063,97995.937
ABW,male,20,0.00087372,97913.558
ABW,male,21,0.00082951,97828.009
ABW,male,22,0.00080768,97746.86
ABW,male,23,0.00079255,97667.912
ABW,male,24,0.00079265,97590.505
ABW,male,25,0.00081948,97513.15
ABW,male,26,0.00087853,97433.24
ABW,male,27,0.00095653,97347.641
ABW,male,28,0.00104247,97254.525
ABW,male,29,0.00111914,97153.141
ABW,male,30,0.00118533,97044.413
ABW,male,31,0.00124142,96929.383
ABW,male,32,0.00129007,96809.053
ABW,male,33,0.00133903,96684.162
ABW,male,34,0.00138695,96554.699
ABW,male,35,0.00144859,96420.782
ABW,male,36,0.00153649,96281.107
ABW,male,37,0.00172734,96133.173
ABW,male,38,0.00185589,95967.118
ABW,male,39,0.00201342,95789.013
ABW,male,40,0.00214249,95596.15
ABW,male,41,0.00225083,95391.336
ABW,male,42,0.00237002,95176.626
ABW,male,43,0.00248233,94951.055
ABW,male,44,0.00258572,94715.355
ABW,male,45,0.00280915,94470.448
ABW,male,46,0.00307089,94205.066
ABW,male,47,0.0033482,93915.773
ABW,male,48,0.00362514,93601.324
ABW,male,49,0.00392731,93262.006
ABW,male,50,0.00423358,92895.737
ABW,male,51,0.00456414,92502.455
ABW,male,52,0.00494812,92080.261
ABW,male,53,0.00541416,91624.637
ABW,male,54,0.00600253,91128.566
ABW,male,55,0.00671889,90581.564
ABW,male,56,0.00755429,89972.957
ABW,male,57,0.00849743,89293.275
ABW,male,58,0.00940784,88534.511
ABW,male,59,0.01039333,87701.593
ABW,male,60,0.01142691,86790.081
ABW,male,61,0.01255344,85798.339
ABW,male,62,0.0138096,84721.275
ABW,male,63,0.01544584,83551.308
ABW,male,64,0.01710284,82260.788
ABW,male,65,0.01891067,80853.894
ABW,male,66,0.02030263,79324.893
ABW,male,67,0.02168234,77714.39
ABW,male,68,0.02316403,76029.36
ABW,male,69,0.02488765,74268.213
ABW,male,70,0.02700343,72419.852
ABW,male,71,0.02970061,70464.268
ABW,male,72,0.03320952,68371.436
ABW,male,73,0.03779211,66100.854
ABW,male,74,0.04369689,63602.763
ABW,male,75,0.05111033,60823.52
ABW,male,76,0.05926036,57714.81
ABW,male,77,0.06944193,54294.609
ABW,male,78,0.08178965,50524.287
ABW,male,79,0.09627869,46391.923
ABW,male,80,0.11244594,41925.37
ABW,male,81,0.12975595,37211.032
ABW,male,82,0.14735245,32382.679
ABW,male,83,0.16461757,27611.012
ABW,male,84,0.18118236,23065.755
ABW,male,85,0.19717495,18886.647
ABW,male,86,0.21365013,15162.673
ABW,male,87,0.23153949,11923.166
ABW,male,88,0.25143143,9162.482
ABW,male,89,0.27350212,6858.746
ABW,male,90,0.2971435,4982.865
ABW,male,91,0.32207474,3502.239
ABW,male,92,0.34732946,2374.256
ABW,male,93,0.37219949,1549.607
ABW,male,94,0.39574937,972.844
ABW,male,95,0.4145523,587.842
ABW,male,96,0.43603479,344.151
ABW,male,97,0.45661429,194.089
ABW,male,98,0.47615977,105.465
ABW,male,99,0.49457199,55.247
ABW,male,100,1,27.923
AFG,female,0,0.04013565,100000
AFG,female,1,0.00497167,95986.435
AFG,female,2,0.00353178,95509.222
AFG,female,3,0.00255296,95171.905
AFG,female,4,0.00188912,94928.935
AFG,female,5,0.00144359,94749.603
AFG,female,6,0.00115071,94612.824
AFG,female,7,0.00096346,94503.952
AFG,female,8,0.00084839,94412.901
AFG,female,9,0.00078565,94332.802
AFG,female,10,0.0007622,94258.689
AFG,female,11,0.00077108,94186.845
AFG,female,12,0.00080825,94114.219
AFG,female,13,0.00087092,94038.151
AFG,female,14,0.00095603,93956.252
AFG,female,15,0.00105996,93866.427
AFG,female,16,0.00117701,93766.933
AFG,female,17,0.00129896,93656.568
AFG,female,18,0.00141787,93534.912
AFG,female,19,0.00152591,93402.292
AFG,female,20,0.00162025,93259.769
AFG,female,21,0.00170078,93108.664
AFG,female,22,0.00176996,92950.307
AFG,female,23,0.00183159,92785.789
AFG,female,24,0.00188877,92615.843
AFG,female,25,0.0019444,92440.914
AFG,female,26,0.00200048,92261.171
AFG,female,27,0.00205869,92076.605
AFG,female,28,0.00212059,91887.048
AFG,female,29,0.0021875,91692.193
AFG,female,30,0.00226028,91491.616
AFG,female,31,0.00233968,91284.82
AFG,female,32,0.00242629,91071.242
AFG,female,33,0.00252077,90850.277
AFG,female,34,0.00262381,90621.264
AFG,female,35,0.002736,90383.491
AFG,female,36,0.00285804,90136.202
AFG,female,37,0.00299072,89878.589
AFG,female,38,0.00313551,89609.788
AFG,female,39,0.00329418,89328.815
AFG,female,40,0.00346902,89034.55
AFG,female,41,0.00366295,88725.687
AFG,female,42,0.00387898,88400.689
AFG,female,43,0.00412046,88057.785
AFG,female,44,0.00439052,87694.947
AFG,female,45,0.00469203,87309.92
AFG,female,46,0.00502733,86900.259
AFG,female,47,0.00539824,86463.383
AFG,female,48,0.00580597,85996.633
AFG,female,49,0.00625084,85497.339
AFG,female,50,0.00673242,84962.909
AFG,female,51,0.00724962,84390.903
AFG,female,52,0.00780322,83779.101
AFG,female,53,0.00839616,83125.354
AFG,female,54,0.00903641,82427.42
AFG,female,55,0.00973759,81682.573
AFG,female,56,0.01051686,80887.181
AFG,female,57,0.01139526,80036.502
AFG,female,58,0.01239199,79124.465
AFG,female,59,0.01352288,78143.956
AFG,female,60,0.01479887,77087.225
AFG,female,61,0.01622405,75946.42
AFG,female,62,0.01780371,74714.262
AFG,female,63,0.01954594,73384.071
AFG,female,64,0.02146857,71949.71
AFG,female,65,0.02360414,70405.053
AFG,female,66,0.02599354,68743.202
AFG,female,67,0.02868715,66956.323
AFG,female,68,0.0317353,65035.537
AFG,female,69,0.03517164,62971.615
AFG,female,70,0.03901093,60756.799
AFG,female,71,0.04324456,58386.62
AFG,female,72,0.04786449,55861.717
AFG,female,73,0.05287551,53187.924
AFG,female,74,0.0583183,50375.585
AFG,female,75,0.06429288,47437.767
AFG,female,76,0.07092188,44387.857
AFG,female,77,0.07834566,41239.786
AFG,female,78,0.08668108,38008.828
AFG,female,79,0.09595858,34714.182
AFG,female,80,0.106145,31383.058
AFG,female,81,0.11710479,28051.903
AFG,female,82,0.12867845,24766.891
AFG,female,83,0.14075968,21579.926
AFG,female,84,0.15329719,18542.342
AFG,female,85,0.16637939,15699.854
AFG,female,86,0.18013735,13087.722
AFG,female,87,0.19471334,10730.134
AFG,female,88,0.21021031,8640.834
AFG,female,89,0.22657704,6824.441
AFG,female,90,0.24368514,5278.18
AFG,female,91,0.26129784,3991.966
