iso3,age,male,female
ABW,0,0.519,0.499
ABW,1,0.525,0.504
ABW,2,0.536,0.515
ABW,3,0.55,0.528
ABW,4,0.567,0.546
ABW,5,0.594,0.572
ABW,6,0.626,0.603
ABW,7,0.655,0.63
ABW,8,0.678,0.652
ABW,9,0.695,0.668
ABW,10,0.705,0.678
ABW,11,0.707,0.68
ABW,12,0.703,0.675
ABW,13,0.7,0.672
ABW,14,0.701,0.673
ABW,15,0.703,0.678
ABW,16,0.711,0.683
ABW,17,0.728,0.693
ABW,18,0.739,0.704
ABW,19,0.737,0.697
ABW,20,0.724,0.682
ABW,21,0.702,0.652
ABW,22,0.671,0.609
ABW,23,0.634,0.572
ABW,24,0.603,0.546
ABW,25,0.584,0.536
ABW,26,0.581,0.544
ABW,27,0.586,0.57
ABW,28,0.596,0.604
ABW,29,0.61,0.631
ABW,30,0.624,0.656
ABW,31,0.634,0.675
ABW,32,0.644,0.686
ABW,33,0.651,0.69
ABW,34,0.655,0.691
ABW,35,0.658,0.695
ABW,36,0.652,0.699
ABW,37,0.643,0.704
ABW,38,0.637,0.714
ABW,39,0.629,0.722
ABW,40,0.628,0.732
ABW,41,0.628,0.746
ABW,42,0.628,0.759
ABW,43,0.63,0.778
ABW,44,0.632,0.796
ABW,45,0.638,0.802
ABW,46,0.649,0.806
ABW,47,0.658,0.811
ABW,48,0.667,0.814
ABW,49,0.681,0.819
ABW,50,0.694,0.827
ABW,51,0.704,0.844
ABW,52,0.715,0.867
ABW,53,0.727,0.884
ABW,54,0.741,0.9
ABW,55,0.756,0.912
ABW,56,0.774,0.923
ABW,57,0.793,0.929
ABW,58,0.807,0.932
ABW,59,0.81,0.932
ABW,60,0.802,0.929
ABW,61,0.785,0.924
ABW,62,0.757,0.915
ABW,63,0.723,0.898
ABW,64,0.69,0.877
ABW,65,0.662,0.851
ABW,66,0.638,0.819
ABW,67,0.615,0.781
ABW,68,0.593,0.739
ABW,69,0.571,0.699
ABW,70,0.543,0.651
ABW,71,0.505,0.605
ABW,72,0.46,0.567
ABW,73,0.416,0.526
ABW,74,0.371,0.489
ABW,75,0.33,0.452
ABW,76,0.293,0.409
ABW,77,0.26,0.368
ABW,78,0.229,0.331
ABW,79,0.198,0.297
ABW,80,0.169,0.266
ABW,81,0.143,0.237
ABW,82,0.118,0.21
ABW,83,0.095,0.187
ABW,84,0.076,0.162
ABW,85,0.058,0.135
ABW,86,0.045,0.111
ABW,87,0.033,0.089
ABW,88,0.023,0.068
ABW,89,0.016,0.05
ABW,90,0.011,0.036
ABW,91,0.007,0.024
ABW,92,0.004,0.016
ABW,93,0.003,0.011
ABW,94,0.001,0.007
ABW,95,0.001,0.004
ABW,96,0,0.002
ABW,97,0,0.001
ABW,98,0,0.001
ABW,99,0,0
ABW,100,0,0
AFG,0,715.587,684.576
AFG,1,692.684,663.583
AFG,2,677.49,648.793
AFG,3,664.408,636.102
AFG,4,650.431,622.528
AFG,5,637.108,609.505
AFG,6,623.924,596.667
AFG,7,610.412,583.438
AFG,8,597.45,570.761
AFG,9,584.388,558.083
AFG,10,570.421,544.345
AFG,11,556.405,530.439
AFG,12,541.973,516.104
AFG,13,527.317,501.656
AFG,14,514.058,488.683
AFG,15,500.091,475.355
AFG,16,488.075,464.193
AFG,17,479.395,456.219
AFG,18,470.022,447.737
AFG,19,460.212,438.906
AFG,20,450.49,430.247
AFG,21,438.959,420.345
AFG,22,425.334,408.748
AFG,23,411.073,396.429
AFG,24,395.681,383.313
AFG,25,380.324,370.228
AFG,26,365.421,357.086
AFG,27,350.072,343.272
AFG,28,334.757,328.916
AFG,29,319.135,313.822
AFG,30,302.668,297.904
AFG,31,285.884,281.635
AFG,32,269.723,265.933
AFG,33,255.285,251.857
AFG,34,242.436,239.263
AFG,35,230,227.1
AFG,36,218.286,215.634
AFG,37,206.605,204.272
AFG,38,194.739,192.778
AFG,39,184.994,183.151
AFG,40,177.598,175.72
AFG,41,171.464,169.587
AFG,42,166.21,164.444
AFG,43,160.334,158.836
AFG,44,153.804,152.691
AFG,45,147.91,147.259
AFG,46,142.006,141.936
AFG,47,135.852,136.483
AFG,48,129.883,131.278
AFG,49,123.721,125.943
AFG,50,117.281,120.413
AFG,51,111.04,115.18
AFG,52,104.835,110.022
AFG,53,98.776,105.023
AFG,54,92.927,100.224
AFG,55,87.047,95.359
AFG,56,81.323,90.641
AFG,57,75.799,86.044
AFG,58,70.602,81.635
AFG,59,65.801,77.441
AFG,60,61.319,73.305
AFG,61,57.155,69.249
AFG,62,53.325,65.376
AFG,63,49.752,61.642
AFG,64,46.358,57.981
AFG,65,43.112,54.395
AFG,66,40.051,50.956
AFG,67,37.12,47.611
AFG,68,34.217,44.241
AFG,69,31.453,41.021
AFG,70,28.791,37.919
AFG,71,26.193,34.888
AFG,72,23.555,31.532
AFG,73,21.372,29.23
AFG,74,19.263,27.914
AFG,75,17.407,25.902
AFG,76,15.917,23.328
AFG,77,14.116,20.477
AFG,78,12.271,17.68
AFG,79,10.509,15.101
AFG,80,8.878,12.802
AFG,81,7.411,10.772
AFG,82,6.122,8.976
AFG,83,4.998,7.411
AFG,84,4.027,6.086
AFG,85,3.176,4.934
AFG,86,2.433,3.882
AFG,87,1.808,2.956
AFG,88,1.312,2.212
AFG,89,0.931,1.632
AFG,90,0.643,1.173
AFG,91,0.434,0.82
AFG,92,0.284,0.558
AFG,93,0.181,0.369
AFG,94,0.111,0.238
AFG,95,0.066,0.148
AFG,96,0.038,0.09
AFG,97,0.02,0.053
AFG,98,0.011,0.03
AFG,99,0.006,0.016
